GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00021407	11	7	22	17	24	5	3
WBGene00021408	11	2	16	14	17	14	7
WBGene00021409	9	3	44	43	72	1	1
WBGene00001492	93	124	38	52	33	43	25
WBGene00235257	4	2	10	12	7	1	1
WBGene00235258	1	1	2	2	2	1	1
WBGene00235259	10	6	32	27	29	4	3
WBGene00015246	56	6	101	87	105	18	12
WBGene00015247	189	21	181	153	224	51	67
WBGene00001111	24	22	8	19	29	15	8
WBGene00017928	13	5	8	14	14	17	3
WBGene00017929	39	17	16	10	12	30	15
WBGene00000674	85	37	14	27	24	49	18
WBGene00198551	1	1	2	2	2	1	1
WBGene00021400	3	1	2	4	2	1	1
WBGene00019821	14	7	6	14	64	15	10
WBGene00019822	5	9	6	6	12	10	5
WBGene00019823	9	7	22	14	19	16	9
WBGene00001728	1	2	2	2	5	2	1
WBGene00019824	4	3	6	2	7	7	11
WBGene00019825	4	2	2	6	7	4	2
WBGene00001071	3	12	2	2	5	3	3
WBGene00020647	8	5	4	8	7	12	12
WBGene00003932	5	19	2	8	2	15	10
WBGene00005487	3	1	4	2	2	1	1
WBGene00045177	3	1	4	8	2	1	1
WBGene00020648	14	100	12	33	24	156	56
WBGene00019298	11	21	34	46	24	12	11
WBGene00019299	13	16	8	10	5	10	11
WBGene00001099	93	139	28	33	26	34	18
WBGene00001735	5	15	6	10	12	9	3
WBGene00000675	24	9	38	33	41	85	73
WBGene00017574	6	7	4	6	2	6	6
WBGene00197593	1	1	2	2	2	1	1
WBGene00022048	108	77	64	89	105	94	83
WBGene00004981	5	31	8	6	10	7	8
WBGene00020295	46	6	6	6	5	5	13
WBGene00045249	1	2	2	2	5	1	3
WBGene00002187	13	4	42	41	38	32	19
WBGene00165558	1	2	8	4	5	1	1
WBGene00001332	9	7	12	23	26	8	10
WBGene00022047	9	7	6	8	10	4	1
