GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00021407	46	41	14	17	17	9	6
WBGene00021408	79	26	91	85	117	20	9
WBGene00021409	39	28	133	147	134	4	13
WBGene00001492	1355	1564	1253	1039	1186	993	1003
WBGene00235257	5	1	2	2	2	1	1
WBGene00235258	1	2	2	2	2	1	1
WBGene00235259	14	13	32	17	36	5	6
WBGene00015246	36	13	18	15	17	4	2
WBGene00015247	88	46	107	93	74	31	35
WBGene00001111	24	47	34	25	41	53	16
WBGene00017928	623	1067	352	319	337	461	543
WBGene00017929	914	994	788	580	728	942	844
WBGene00000674	192	243	199	224	248	120	106
WBGene00198551	3	1	2	2	2	1	1
WBGene00021400	34	19	12	6	14	6	5
WBGene00019821	881	855	572	530	594	552	577
WBGene00019822	1256	805	826	735	881	1272	1243
WBGene00019823	713	769	413	327	325	1127	1071
WBGene00001728	1	3	4	2	2	1	1
WBGene00019824	1137	1304	1029	845	1060	1435	1449
WBGene00019825	484	407	195	190	239	412	429
WBGene00001071	33	17	24	37	21	14	12
WBGene00020647	942	2109	512	424	475	734	858
WBGene00003932	347	235	228	168	217	506	382
WBGene00005487	4	5	16	12	19	9	3
WBGene00045177	6	2	8	8	14	13	6
WBGene00020648	17	41	14	12	14	23	27
WBGene00019298	1460	369	737	603	563	484	576
WBGene00019299	19	19	8	4	17	11	6
WBGene00001099	949	556	727	727	714	359	465
WBGene00001735	33	14	6	19	5	13	12
WBGene00000675	3032	6939	2302	2307	2174	8346	7383
WBGene00017574	147	26	89	77	127	36	32
WBGene00197593	1	1	2	2	2	1	1
WBGene00022048	16655	10243	13940	11673	13784	12140	11545
WBGene00004981	735	357	256	224	267	729	615
WBGene00020295	375	518	286	228	241	267	338
WBGene00045249	92	101	30	23	33	95	108
WBGene00002187	355	153	363	253	353	225	218
WBGene00165558	3	1	4	2	7	1	1
WBGene00001332	835	1161	1388	1286	1368	965	1092
WBGene00022047	75	5	93	56	86	72	68
WBGene00002041	876	518	1013	841	1065	182	184
WBGene00235263	18	6	36	27	36	14	15
WBGene00019773	19	83	14	8	7	7	3
WBGene00019774	159	1187	153	149	198	72	46
WBGene00021011	80	114	58	58	64	68	66
WBGene00021012	1265	1027	890	774	1029	1152	1155
WBGene00000213	380	312	226	207	227	109	173
WBGene00021013	3	5	4	6	5	5	2
WBGene00017276	1	1	2	2	2	2	1
WBGene00200779	1	2	2	2	2	1	3
WBGene00195964	1	4	2	2	2	1	1
WBGene00197598	4	4	2	4	2	1	1
WBGene00197815	1	1	2	2	2	1	2
WBGene00018925	662	995	431	412	482	628	585
WBGene00018926	145	39	66	70	45	4	3
WBGene00189987	10	11	6	4	10	7	3
WBGene00015996	92	12	26	21	24	104	20
WBGene00015997	14	3	4	4	2	1	1
WBGene00015998	5	4	4	8	2	4	1
WBGene00015999	4	7	4	4	2	5	2
WBGene00199072	1	1	2	2	7	1	1
WBGene00194995	2964	49	641	545	587	276	245
WBGene00019658	105	30	40	19	33	94	81
WBGene00004427	9768	11336	6268	5500	6399	17395	16070
WBGene00044723	4	8	4	10	5	5	3
WBGene00019659	3	3	6	2	5	2	4
WBGene00019660	9	3	6	12	5	9	5
WBGene00195864	1	2	2	2	2	1	1
WBGene00235287	24	39	6	23	7	14	16
WBGene00021950	211	126	232	228	291	91	73
