"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00014450",15.1428571428571,5.35752817319362,1.68191415521664,10.7464604148713,0.00104478958134218,0.00411662487897162
"WBGene00014451",24.7142857142857,5.66586008713531,1.57496248211205,14.1496997542939,0.000168824045500492,0.000807148704688947
"WBGene00010957",1004,7.13641016591465,0.950445632854899,47.3930791431749,5.80874102199409e-12,1.14016526757398e-10
"WBGene00010958",444.285714285714,6.44850705174223,0.562753202456744,143.160119816485,5.42277532492414e-33,1.1049550293024e-30
"WBGene00014452",13.5714285714286,5.38995020611053,1.69602446884116,10.6745442308351,0.00108619947644708,0.00426799592260521
"WBGene00014453",132.428571428571,7.82974527687787,0.973644683551941,111.599889567104,4.37212015094881e-26,5.4226962683797e-24
"WBGene00014455",11.7142857142857,2.79656976788797,1.55836201020805,3.18803314482754,0.0741792123366227,0.159223902477255
"WBGene00014456",16.5714285714286,3.30740426030239,1.90460553367082,3.0986089551028,0.0783592230471981,0.166442847068236
"WBGene00014457",359.571428571429,4.58133284481339,1.41596095193793,12.4535242373711,0.000417203878215154,0.00181332188408598
"WBGene00010960",6525.14285714286,0.84191429697489,0.307023117539057,7.50480367923045,0.00615346475673191,0.0197589544362949
"WBGene00014458",22.1428571428571,5.01646172509548,1.5747601649969,11.1916218572033,0.000821674932678829,0.00332006330210832
"WBGene00014459",67.1428571428571,6.43077460357997,1.70443188869748,22.9211370462388,1.68785594882537e-06,1.26375076203391e-05
"WBGene00014460",30.7142857142857,3.39366648276056,1.05277771089273,10.4740113759774,0.00121065557582528,0.00468814046059401
"WBGene00010961",2909.85714285714,4.83889816768754,0.372842154787283,158.067068336688,2.99216963674951e-36,7.35266057443054e-34
"WBGene00014461",698.571428571429,-0.162030041057802,0.736750035343027,0.0483273247384659,0.825999841821524,0.899008857472797
"WBGene00014462",15.8571428571429,0.169921393750754,1.54709643365133,0.0120654556044215,0.912533993136888,0.949594590620804
"WBGene00014463",10.2857142857143,0.0537281288071882,1.71582795342893,0.000980605901055753,0.975018624999883,0.985486303061396
"WBGene00014464",34.1428571428571,3.61715442842741,1.11619119428387,10.4283061913037,0.00124098502580487,0.00479474033897882
"WBGene00000829",20150.1428571429,1.09868549798491,0.247535294041444,19.6063154773297,9.51541467632236e-06,6.08162201642769e-05
"WBGene00014465",16.2857142857143,-0.87071365956359,1.3642540213414,0.405997338328049,0.524008121803296,0.676690210025922
"WBGene00010962",16833.4285714286,0.145586077674438,0.26615822111524,0.299324451339842,0.584306239320723,0.725866279010995
"WBGene00014466",81.5714285714286,3.61776681298226,0.876720863002712,18.3483867372633,1.83974699732008e-05,0.000111426431727284
"WBGene00014467",20.4285714285714,6.57274825188574,1.55917323336608,19.4959941578458,1.00810872232629e-05,6.40014424752848e-05
"WBGene00014468",30,3.70043200873853,1.15104678604905,9.83850292249553,0.00170896527106699,0.00636437110086653
"WBGene00014469",14.5714285714286,3.30374677441199,2.22989793942286,2.1807150600423,0.139749519138667,0.263314923995753
"WBGene00010965",9044.42857142857,2.63587316001064,0.294113926212934,77.0688326352299,1.65102335817844e-18,9.91419812268214e-17
"WBGene00014471",75.5714285714286,1.81731319238848,0.707737935503948,6.61552118067849,0.010109374959859,0.029915640009154
"WBGene00010966",570.571428571429,5.38009570537287,0.486893529695215,115.51807659907,6.0604102455178e-27,8.10390482517834e-25
"WBGene00010967",13262.7142857143,4.43113227198063,0.300189042758399,193.522317419408,5.41403880397754e-44,2.72549082849646e-41
"WBGene00014473",46.5714285714286,4.26301829493648,1.39896391578013,11.1594013473447,0.000836068979351562,0.00337026769914775
"WBGene00021406",1037.14285714286,-0.65311127930062,0.281925209278841,5.34082374161144,0.0208316271144087,0.0559037519112919
"WBGene00021405",71.1428571428571,-3.54301101096538,0.796087592268583,19.607802834782,9.50801009678978e-06,6.08143127117541e-05
"WBGene00021404",61.4285714285714,-1.14013823012097,0.79281443073745,2.05470709786624,0.151736431376974,0.280830531947263
"WBGene00021403",21.4285714285714,-0.927096915777634,1.12744121217486,0.673986324446602,0.411665235654559,0.57830451193889
"WBGene00195502",1.71428571428571,-1.41501013527834,3.89603524517955,0.131153543587647,0.71723899100347,NA
"WBGene00166500",2.14285714285714,-1.87443710545116,3.6703717863353,0.258689928800745,0.611021623027146,NA
"WBGene00235260",111.285714285714,-2.13588220058106,0.810162316656063,6.38086056949229,0.0115357484404408,0.0335906550368468
"WBGene00023131",8811.57142857143,-2.91280272348488,1.14602565477374,6.03426750787634,0.0140307716645133,0.0398788920308551
"WBGene00235261",6.14285714285714,0.17688058552304,2.17014643977967,0.00664697122644498,0.935021295233361,NA
"WBGene00235262",3,-2.50246356362817,3.41582817848471,0.530251837755255,0.466501000916754,NA
"WBGene00201447",5.42857142857143,-2.15198454792008,2.44970073917474,0.760485335628232,0.383176680782554,NA
"WBGene00006599",528.571428571429,0.444883701479663,0.351435913785933,1.60408004003385,0.205325966639682,0.353256626106277
"WBGene00017927",8.42857142857143,-0.256340771588905,2.01633095262308,0.016102082727727,0.899024309619247,0.943451875134459
"WBGene00023277",14,-0.819425389822583,1.56207668666252,0.273843972860789,0.600764781102286,0.737110393788295
"WBGene00196821",1.42857142857143,-0.999978621122585,4.08763192931232,0.0596326564969694,0.80707748659152,NA
"WBGene00017926",693.571428571429,0.765933389565029,0.313214955333057,5.97424647510775,0.0145162827339061,0.041067883516287
"WBGene00023019",18.5714285714286,3.25083505521763,1.48848289145442,4.59419198758918,0.0320804610760123,0.0803937293963436
"WBGene00197291",1.85714285714286,-0.999989247959674,3.58227383892068,0.0779215841784939,0.78013402685103,NA
"WBGene00199863",1.42857142857143,-0.999978621122585,4.08763192931232,0.0596326564969694,0.80707748659152,NA
"WBGene00021398",101.571428571429,1.13583080828159,0.827109119250363,1.96280747495568,0.161213382086425,0.29360802806887
"WBGene00219750",60.2857142857143,2.06299168330926,1.65480011753622,1.99243599245736,0.158086407835466,0.289139198111185
"WBGene00021397",34.7142857142857,0.685745301912192,1.00789783752305,0.465037637695424,0.495278989478293,0.653600245482688
"WBGene00021396",71.5714285714286,-0.88674719949551,0.665176376169839,1.76838457018857,0.183582127609085,0.324601693546882
"WBGene00198224",1.85714285714286,-2.4149923397765,3.67625673487042,0.428374639103573,0.512787567635256,NA
"WBGene00021395",382.714285714286,-0.706574489693874,0.382596012615714,3.394282102315,0.0654228366470939,0.143782392405195
"WBGene00021402",598.571428571429,-0.742526236710547,0.33621536312345,4.85073223357585,0.0276343987198683,0.0708705976160124
"WBGene00000815",1445.42857142857,-0.368706209342305,0.274867847482678,1.79538323492829,0.180271642862742,0.320075667970818
"WBGene00044736",107,-0.68231750697527,0.604969384408356,1.26688084149788,0.26035264848189,0.422869228640732
"WBGene00195063",381.428571428571,-1.58327470169262,0.377464724713718,17.2827370748755,3.22099837569026e-05,0.000184136967930242
"WBGene00021394",1036.14285714286,0.924477183525915,0.291604787533693,10.0535453845352,0.00152055029639991,0.00573759675334674
"WBGene00021401",182.428571428571,1.39377021997679,0.476835948894777,8.50860957813022,0.00353470046092265,0.0121290964493088
"WBGene00019819",810.285714285714,1.97819473540976,0.390338251047849,25.2341620405859,5.0774810402009e-07,4.14628652118696e-06
"WBGene00020651",92.8571428571429,3.85389514164151,0.626541147026279,37.4183363372516,9.53217231944791e-10,1.32214474408161e-08
"WBGene00020650",17.2857142857143,-2.98817403113523,1.32927451339485,4.93272572959979,0.0263527190792381,0.0680937710990699
"WBGene00003362",2.14285714285714,-1.87443621401468,3.72028711321182,0.251702483008746,0.615878849868496,NA
"WBGene00020649",773.142857142857,0.588567727316902,0.353227534919933,2.7875456630666,0.0949996271201091,0.19504275421606
"WBGene00206487",152.571428571429,-0.739079508357424,0.459852702208035,2.5726470063247,0.108725664995271,0.217349740955275
"WBGene00019300",151.285714285714,0.85283983577561,0.536411654783085,2.52536762958886,0.1120286688264,0.222457710319764
"WBGene00198707",2.57142857142857,-0.415019858143242,3.0253514743339,0.0188083574163684,0.890917317894134,NA
"WBGene00200120",1.42857142857143,-0.999978621122585,4.08763192931232,0.0596326564969694,0.80707748659152,NA
"WBGene00017578",186.571428571429,-0.349904659491981,0.429546879012931,0.662571260747391,0.415653656552265,0.582337188827817
