GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00014450	1	1	2	6	7	5	3
WBGene00014451	1	1	12	8	24	5	2
WBGene00010957	27	2	324	306	563	14	11
WBGene00010958	22	1	435	530	702	10	12
WBGene00014452	3	1	173	228	193	5	3
WBGene00014453	4	1	81	110	103	2	2
WBGene00014455	1	1	8	4	5	1	1
WBGene00014456	1	2	8	4	10	2	1
WBGene00014457	1	1	8	8	10	1	1
WBGene00010960	22	10	240	232	380	15	21
WBGene00014458	3	1	48	29	91	5	4
WBGene00014459	1	1	46	35	57	7	6
WBGene00014460	6	1	50	48	81	6	7
WBGene00010961	23	1	214	300	315	19	19
WBGene00014461	3	1	28	44	45	5	2
WBGene00014462	4	1	16	44	67	9	4
WBGene00014463	19	2	117	155	200	64	44
WBGene00014464	13	2	91	104	167	8	8
WBGene00000829	93	5	413	449	618	53	65
WBGene00014465	4	1	20	17	31	2	4
WBGene00010962	65	17	606	903	914	39	58
WBGene00014466	8	1	171	219	267	5	6
WBGene00014467	1	1	26	21	38	1	2
WBGene00014468	1	2	22	19	41	2	1
WBGene00014469	1	1	6	4	21	4	1
WBGene00010965	28	6	214	246	306	16	20
WBGene00014471	3	1	26	31	48	4	1
WBGene00010966	9	1	151	151	291	5	7
WBGene00010967	44	2	342	391	654	31	41
WBGene00014473	3	1	62	31	110	5	4
WBGene00021406	85	115	32	52	33	41	22
WBGene00021405	9	3	44	43	72	1	1
WBGene00021404	11	2	16	14	17	14	7
WBGene00021403	11	7	22	17	24	5	3
WBGene00195502	52	16	107	72	79	45	57
WBGene00166500	1	1	4	2	2	1	1
WBGene00235260	58	12	363	344	403	66	61
WBGene00023131	3	1	2	2	2	1	1
WBGene00235261	1	1	2	2	7	1	1
WBGene00235262	4	2	2	2	5	1	1
WBGene00201447	1	1	2	2	2	1	1
WBGene00006599	72	78	81	79	43	40	29
WBGene00017927	28	16	44	35	50	12	15
WBGene00023277	14	35	14	19	19	31	10
WBGene00196821	5	1	2	2	2	1	1
WBGene00017926	4	5	2	4	2	7	6
WBGene00023019	3	7	4	6	2	1	1
WBGene00197291	3	1	2	4	2	1	2
WBGene00199863	3	1	2	2	2	1	1
WBGene00021398	10	10	2	2	5	4	4
WBGene00219750	11	2	117	93	143	49	26
WBGene00021397	4	3	2	2	7	4	3
WBGene00021396	6	9	12	6	7	12	7
WBGene00198224	4	3	2	2	5	1	4
WBGene00021395	27	28	95	87	117	24	22
WBGene00021402	13	4	8	6	10	5	7
WBGene00000815	11	49	38	50	50	12	12
WBGene00044736	3	8	4	8	19	7	3
WBGene00195063	6	11	10	15	19	11	4
WBGene00021394	14	22	46	48	64	17	10
WBGene00021401	3	4	2	10	5	7	4
WBGene00019819	22	7	30	31	48	10	10
WBGene00020651	3	2	10	12	7	6	2
WBGene00020650	31	5	4	12	12	34	7
WBGene00003362	1	3	2	2	2	1	1
WBGene00020649	25	25	46	41	41	27	16
WBGene00206487	9	9	4	2	2	11	11
WBGene00019300	15	18	22	27	10	12	13
WBGene00198707	3	1	2	2	2	1	2
WBGene00200120	28	1	2	2	2	5	3
WBGene00017578	3059	6947	2353	2357	2210	8356	7385
WBGene00017577	8	3	12	4	5	4	3
WBGene00017576	37	26	93	95	88	46	30
WBGene00044789	38	10	50	25	33	23	30
WBGene00020300	24	11	18	23	36	9	13
WBGene00020298	9	2	4	12	14	7	4
WBGene00020297	24	14	32	31	50	24	23
WBGene00001666	31	8	6	8	10	5	2
WBGene00219270	13	1	99	60	131	4	3
WBGene00020299	24	22	16	21	24	7	9
WBGene00022046	33	25	143	77	158	133	71
WBGene00022045	1	2	8	6	2	4	3
WBGene00022044	11	6	115	135	153	17	9
WBGene00235264	6	16	6	2	5	1	1
WBGene00019772	3	1	2	2	2	3	3
WBGene00201763	15	2	6	12	7	5	7
WBGene00021010	15	6	2	4	2	5	2
WBGene00001625	6	9	4	8	2	7	6
WBGene00199193	1	1	2	2	2	1	1
WBGene00018924	15	40	6	12	2	9	9
WBGene00201760	1	2	2	2	2	1	1
WBGene00198589	1	4	2	2	2	1	1
WBGene00001165	18	21	4	21	19	20	20
WBGene00001579	160	50	75	79	62	22	12
WBGene00015995	3	1	2	2	5	1	1
WBGene00015994	1	2	4	2	2	1	2
WBGene00044457	5	7	4	4	5	4	2
WBGene00000676	5	12	2	2	10	1	1
WBGene00002140	17	14	6	6	2	16	7
WBGene00015993	14	22	16	15	10	18	18
WBGene00015497	65	158	310	290	348	172	162
WBGene00019665	19	30	10	6	14	33	31
WBGene00019664	9	26	20	17	7	21	22
WBGene00019663	1	2	4	4	5	5	1
WBGene00019662	3	2	2	4	2	1	1
WBGene00044458	1	3	4	4	2	1	1
WBGene00019661	8	1	4	4	7	3	1
