"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00014455",11.7142857142857,2.79657077835211,1.48291451383571,3.53604781340233,0.0600483818802118,NA
"WBGene00014456",16.5714285714286,3.30740562924562,1.85038177186282,3.30618034930985,0.0690197437341754,0.278297240345973
"WBGene00014461",698.571428571429,-0.162030041057802,0.736750035343027,0.0483273247384659,0.825999841821524,0.919424376044143
"WBGene00014462",15.8571428571429,0.169921715398543,1.48132280219779,0.0131601339346403,0.908668941878196,0.958378819296533
"WBGene00014463",10.2857142857143,0.0537285188842531,1.63678243422368,0.0010775651419479,0.97381311522249,NA
"WBGene00014465",16.2857142857143,-0.870713950046607,1.30182479638884,0.446105874002924,0.504190037344487,0.726583017387478
"WBGene00010962",16833.4285714286,0.145586060159038,0.28216560182873,0.266326239003618,0.605806877263046,0.790519437334722
"WBGene00014469",14.5714285714286,3.30371942617378,2.95119601175963,1.21644010055928,0.270060416778666,NA
"WBGene00021406",1075.28571428571,-0.594854778422479,0.290154883770725,4.18512193680075,0.040780278969709,0.231681648734392
"WBGene00021404",61.4285714285714,-1.14013830416149,0.765145145204232,2.20663860073903,0.137417807202235,0.388037508558836
"WBGene00021403",21.4285714285714,-0.927097166058606,1.07145572853023,0.74690963130567,0.38745642707358,0.639367711795654
"WBGene00195502",1.71428571428571,-1.41501235809817,3.73701826383385,0.142664832235223,0.705646049935846,NA
"WBGene00166500",2.14285714285714,-1.87443957375116,3.52904331322232,0.280106747149659,0.596631259414155,NA
"WBGene00235260",111.285714285714,-2.13588224258678,0.798761717470862,6.53354541349425,0.0105858751553662,0.156506995983882
"WBGene00235261",6.14285714285714,0.176880361826358,2.0699460866228,0.00730645135893582,0.931881557544733,NA
"WBGene00235262",3,-2.50246611899238,3.29831313214632,0.569216755465025,0.450570324841059,NA
"WBGene00201447",5.42857142857143,-2.15198597046803,2.35333733180206,0.824304775538234,0.363924549508784,NA
"WBGene00017927",8.42857142857143,-0.256340745773807,1.93904982728201,0.017402359013694,0.895049150244989,NA
"WBGene00023277",14,-0.819425612551261,1.48953947244414,0.30126568242369,0.583090037480523,NA
"WBGene00196821",1.42857142857143,-0.999980426544912,3.91327324099304,0.0650979064999682,0.79861272021013,NA
"WBGene00000897",553.857142857143,0.512179588325542,0.357027331077761,2.05841777078528,0.151367270983832,0.408263935436121
"WBGene00023019",18.5714285714286,3.25083592173862,1.42162791555893,5.05086195046983,0.024613691012505,0.211747288182005
"WBGene00197291",1.85714285714286,-0.999990169340562,3.42255926379985,0.085476061772269,0.770009175742443,NA
"WBGene00199863",1.42857142857143,-0.999980426544912,3.91327324099304,0.0650979064999682,0.79861272021013,NA
"WBGene00021398",101.571428571429,1.13583082940516,0.814589276694811,2.02861493146786,0.154361227914993,0.410385854998226
"WBGene00219750",60.2857142857143,2.06299190312982,1.64205345118378,2.04210019902013,0.15299828011625,0.410143741141914
"WBGene00021397",34.7142857142857,0.685745399389503,0.969698669131197,0.502783302171245,0.478279709666282,0.709474369351192
"WBGene00021396",71.5714285714286,-0.886747219729967,0.641331047194664,1.9028435200786,0.167760383733724,0.428067797519883
"WBGene00198224",1.85714285714286,-2.41499616527668,3.51803674962589,0.469676281346921,0.493136131956557,NA
