GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00014450	36	2	10	10	7	31	10
WBGene00014451	64	2	16	10	26	44	11
WBGene00010957	2856	12	1144	692	1148	783	393
WBGene00010958	1857	15	294	197	351	177	219
WBGene00014452	41	2	4	8	10	12	18
WBGene00014453	596	3	70	66	50	65	77
WBGene00014454	1788677	382861	202381	162323	216881	471923	446649
WBGene00014455	23	6	6	6	12	18	11
WBGene00014456	8	2	4	10	26	55	11
WBGene00014457	843	2	649	456	506	15	46
WBGene00010959	12639	2587	10735	8368	10347	9793	12289
WBGene00010960	9228	4351	7630	6090	6810	4786	6781
WBGene00014458	71	2	8	12	31	18	13
WBGene00014459	61	1	66	39	105	151	47
WBGene00014460	60	8	20	35	21	39	32
WBGene00010961	3801	79	4216	2922	4669	2237	2445
WBGene00014461	1426	1199	489	545	475	518	238
WBGene00014462	9	12	12	4	29	18	27
WBGene00014463	5	8	10	4	14	17	14
WBGene00014464	93	8	28	17	36	42	15
WBGene00000829	31257	12365	21662	18809	21792	16367	18799
WBGene00014465	28	12	16	17	31	4	6
WBGene00010962	29047	22468	15066	13282	13882	10513	13576
WBGene00014466	100	7	95	102	98	50	119
WBGene00010963	14844	1452	11374	8915	11643	6554	8203
WBGene00010964	42057	2392	34938	24166	35872	18425	19112
WBGene00014467	55	2	10	6	10	43	17
WBGene00014468	65	23	12	6	12	72	20
WBGene00014469	3	2	4	2	12	75	4
WBGene00014470	71	5	32	8	53	79	37
WBGene00010965	22588	3180	8945	6357	8409	7295	6537
WBGene00014471	211	24	64	68	100	29	33
WBGene00014472	531806	116767	111186	92500	111459	115644	93664
WBGene00010966	1587	38	570	309	544	512	434
WBGene00010967	24066	934	16055	11534	15949	11417	12884
WBGene00014473	48	2	52	35	93	70	26
WBGene00021406	1010	1332	1041	878	909	840	819
WBGene00021407	43	41	10	17	12	8	6
WBGene00021408	61	21	73	77	98	16	7
WBGene00021405	36	25	121	120	110	4	11
WBGene00021409	36	25	121	120	110	4	11
WBGene00021404	61	21	73	81	98	16	7
WBGene00001492	1267	1546	1206	996	1139	983	991
WBGene00021403	43	41	10	17	12	8	6
WBGene00195502	1	1	4	2	2	1	1
WBGene00235257	5	1	2	2	2	1	1
WBGene00235258	1	2	2	2	2	1	1
WBGene00166500	1	1	4	2	5	1	1
WBGene00235260	6	3	8	8	12	4	2
WBGene00235259	10	13	18	6	7	4	5
WBGene00023131	6081	55205	89	68	62	138	38
WBGene00235261	13	3	6	10	7	3	1
WBGene00235262	1	1	8	2	7	1	1
WBGene00201447	3	2	8	12	10	1	2
WBGene00015246	33	8	18	15	14	3	2
WBGene00006599	609	152	465	400	485	215	238
WBGene00015247	66	30	36	41	10	18	21
WBGene00017927	1	2	2	6	5	2	2
WBGene00001111	4	9	18	4	14	4	5
WBGene00023277	17	18	4	15	26	12	6
WBGene00017928	621	1067	352	319	332	461	542
WBGene00017929	911	989	763	561	707	930	840
WBGene00196821	1	1	2	2	2	1	1
WBGene00017926	1040	1137	393	350	449	703	776
WBGene00000897	533	468	562	424	554	679	607
WBGene00000674	163	228	97	93	98	94	87
WBGene00198932	1	1	14	12	12	1	2
WBGene00202431	3	7	4	6	2	1	1
WBGene00023019	60	13	2	8	14	27	6
WBGene00197291	1	2	2	2	2	2	2
WBGene00198551	3	1	2	2	2	1	1
WBGene00199863	1	1	2	2	2	1	1
WBGene00021400	34	18	10	4	14	5	5
WBGene00021398	208	7	133	149	189	12	10
WBGene00219750	3	1	2	2	2	1	1
WBGene00021397	48	11	48	23	55	17	16
WBGene00021396	71	52	93	75	95	37	35
WBGene00198224	1	2	2	4	2	1	1
WBGene00006561	214	176	296	265	308	128	175
WBGene00021395	418	338	246	176	263	189	211
WBGene00196851	1	1	4	4	2	1	1
