"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00021407",11,-1.14628591640513,1.19616351604009,0.917139372312803,0.338227202397155,NA
"WBGene00021408",8.75,0.491140527230731,1.36999114468144,0.128771791484922,0.719708901745422,NA
"WBGene00021409",18.125,-0.194647683569754,1.19630830019994,0.0263267421302373,0.871104911255311,NA
"WBGene00001492",39.5,-0.171036947730958,0.836447884172167,0.041870568854776,0.837866690462375,0.98273565631897
"WBGene00235257",4,0.263036706119574,2.31875063140928,0.0129675467078449,0.909336775549966,NA
"WBGene00235258",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00235259",13,-0.366126962866711,1.20152957471637,0.0926492909773842,0.760835767046827,NA
"WBGene00015246",45.75,-0.237311394887236,0.7275817479135,0.106304290901249,0.744391528239004,0.967708986710705
"WBGene00015247",123.25,0.319202298530113,0.558491893384009,0.3265040022074,0.567724945947302,0.927701192320938
"WBGene00001111",12.875,1.37550760476137,1.30637092462018,1.11342884455976,0.291337806560743,NA
"WBGene00017928",7.25,-0.464661548292081,1.56949488051299,0.0878339971015265,0.766949053166388,NA
"WBGene00017929",17.5,-0.446397887387343,1.09715120067138,0.166358865675029,0.683368282766443,NA
"WBGene00000674",28.375,0.423604218161916,1.14984049830617,0.133820535985727,0.714503205978989,0.958777012721247
"WBGene00198551",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00021400",1.875,1.32191973458799,2.81865445201863,0.222965431774345,0.636789638405795,NA
"WBGene00019821",12.5,-0.459428006852523,1.56356066305563,0.08620676137879,0.769056025570806,NA
"WBGene00019822",5.125,-0.0931077176453434,1.65083206742647,0.00318065459515537,0.955025313840022,NA
"WBGene00019823",8.5,-0.374393090015792,1.39012545243899,0.0724135888620978,0.787854476409697,NA
"WBGene00001728",1.5,0.84799086314771,3.04282111558486,0.0781514625780666,0.779818298208258,NA
"WBGene00019824",3.5,0.263035798186457,2.02567306479351,0.0168651781073805,0.896672444045629,NA
"WBGene00019825",3.25,0.415038599690365,2.1419270486547,0.0375759067854418,0.846297204362934,NA
"WBGene00001071",1.875,0.584963999662035,2.66063955681168,0.0483714154585222,0.82592175766445,NA
"WBGene00020647",4,1.7914067884385,2.31569236265244,0.624956270001448,0.429211445692771,NA
"WBGene00003932",2.875,0.906891501808106,2.34443473063906,0.149964490478105,0.698569294778775,NA
"WBGene00005487",1.875,1.32191973458799,2.81865445201863,0.222965431774348,0.636789638405792,NA
"WBGene00045177",2.5,-0.415028595330562,2.40534481616268,0.0297196487666831,0.863127885700988,NA
"WBGene00020648",9.875,-1.06710383365033,1.5918118124473,0.451483764578462,0.501631179170017,NA
"WBGene00019298",13.125,-0.957561337553387,1.2587254627507,0.574339573919829,0.448539619923154,NA
"WBGene00019299",5.625,1.83649786404305,1.88577581365478,0.965510653176697,0.325802366874912,NA
"WBGene00001099",32,1.53138214169224,1.04556644418395,2.11565258649047,0.145799892226105,0.697260992808445
"WBGene00001735",4,0.736965195305648,2.32048000493913,0.102937748652362,0.74833230270344,NA
"WBGene00000675",21.375,0.289506504858511,0.927528370627446,0.0974691724088999,0.754888127544588,0.97018410493238
"WBGene00017574",3.625,0.945552478929083,2.03192393643309,0.216712244851518,0.641556522992714,NA
"WBGene00197593",1.5,1.58494543429065,3.01450585225264,0.279355446651639,0.597123991281605,NA
"WBGene00022048",60.25,-0.326933684690816,0.675437035036298,0.23433995705409,0.628324322271506,0.934596056297056
"WBGene00004981",3.75,6.22586947212694e-06,2.10926652558414,-8.71835936777643e-12,1,NA
"WBGene00020295",13.375,3.63331941077146,1.69055681366095,4.63675311889468,0.0312941563028174,NA
"WBGene00001338",80,5.04437901874877,1.71552149175449,7.38332486110137,0.00658313557270869,0.154597506352643
"WBGene00045249",1.625,1.26302143964171,2.96023227979821,0.183875865994818,0.668063325509194,NA
"WBGene00002187",15.25,-0.86393617915737,1.13455977457836,0.57511775454465,0.448232393656219,NA
"WBGene00165558",2.25,-0.28950114318084,2.70154756924879,0.0114321254637488,0.914851559525616,NA
"WBGene00001332",8.625,2.16991241372024,1.92477106806369,1.44741283751493,0.228943538683991,NA
"WBGene00000913",32.125,-0.0601607531846191,0.821768575062794,0.00535981464133783,0.941638408138365,0.993887200848067
"WBGene00022047",5.375,-0.321921509925869,1.70382368299833,0.0357355693014227,0.850062611402247,NA
"WBGene00002041",55.75,-0.350390133399601,0.824646478029879,0.17890569215394,0.672315362840977,0.946222549280379
"WBGene00235263",27.25,1.07374547638619,1.06490929453852,1.06406693122572,0.302289441667117,0.863802776586121
"WBGene00019773",5.75,0.736969656432088,1.83422221738155,0.161227852136452,0.68802857014949,NA
"WBGene00019774",75.625,-0.425592164244374,0.673166573118823,0.400969120090203,0.52658918691127,0.927701192320938
"WBGene00021011",13.375,0.399360020679148,1.37013526321405,0.0846981517888992,0.771028781557346,NA
"WBGene00021012",219.375,0.394679224055684,0.563644378416428,0.489660340122853,0.484078858056839,0.921937962103717
"WBGene00000213",5.875,-1.1519915334933,1.71268300356009,0.455909476709131,0.499541915479005,NA
"WBGene00021013",2.125,0.906886696892376,2.69838601033788,0.114373265008471,0.735219132310273,NA
"WBGene00017276",1.625,1.90686870308152,2.96023187019064,0.420346085380686,0.516764404902392,NA
"WBGene00200779",1.75,0.362569655532472,2.91563340168151,0.0155203287267369,0.9008555786917,NA
"WBGene00195964",1.75,1.58495091989804,2.89432612320114,0.303883414371075,0.581458049087794,NA
"WBGene00197598",3.5,-0.341030945465526,2.44747274228283,0.0192518443323557,0.889646903330186,NA
"WBGene00197815",1.75,0.999990392522224,2.87968825937628,0.121771610795328,0.727120921649821,NA
"WBGene00018925",4.75,-1.01592890162077,1.89125964368326,0.289740428040879,0.59038691809823,NA
"WBGene00018926",11.125,0.607683526871957,1.34575382302053,0.204163815543772,0.65138071948553,NA
"WBGene00189987",13.375,-0.141471386845721,1.10675376251659,0.0163393917513375,0.898286966431984,NA
"WBGene00015996",4.25,0.848000077484591,1.99301336053198,0.180779176462305,0.670704481999361,NA
"WBGene00015997",2.5,1.58495447870362,2.58166750470997,0.386145798847465,0.534332323097961,NA
"WBGene00015998",2,2.58494335699936,2.7874321409278,0.879056930422429,0.348460108682904,NA
"WBGene00015999",3.125,2.90687431545239,2.49244940689434,1.41932158666,0.233515098846439,NA
"WBGene00199072",3.625,2.94751745970943,2.41100758345199,1.57162069779757,0.209971805141324,NA
"WBGene00194995",2.875,-2.99997415427605,2.26339663119295,1.75175309368235,0.185656495783119,NA
"WBGene00019658",2.5,2.19262888732842,2.64451116198158,0.706659204111794,0.400555111061442,NA
"WBGene00004427",18,-0.111030596943182,0.974891438451551,0.0129709015035502,0.909325099312565,NA
"WBGene00044723",1.875,1.32191973458799,2.81865445201863,0.222965431774345,0.636789638405795,NA
"WBGene00019659",2.75,1.09953517935567,2.35894416060638,0.217740981197213,0.64076659441122,NA
"WBGene00019660",2.75,1.90688090580255,2.52372108197577,0.588765671731096,0.442896823107658,NA
"WBGene00195864",4.75,1.64385612278631,1.93889665927148,0.712419469391037,0.398641774942648,NA
"WBGene00235287",2.5,1.54430937165309,2.430605030578,0.404818899219666,0.524611011538034,NA
"WBGene00021950",209.25,0.391051081629442,0.567386157879867,0.474429861134553,0.490956253248399,0.921937962103717
"WBGene00044460",3.625,2.73695035033786,2.33394268852936,1.46112142403329,0.226751774734808,NA
"WBGene00044459",68.125,-0.613989968530079,0.752966314071322,0.658424944173341,0.417116548481414,0.910612461010916
"WBGene00021951",2.125,-0.151998198313602,2.89857381025203,0.00274512151705153,0.958214828760247,NA
"WBGene00197624",1.625,0.58495965904323,2.95674176639946,0.0393475797830192,0.842761655504695,NA
"WBGene00196878",3,3.5765488241692e-06,2.48219279013914,-2.07478478841949e-12,1,NA
"WBGene00194844",5.25,3.14503221984861,2.28848359270906,2.03008209322164,0.154212277286398,NA
"WBGene00000677",9.125,0.807356047637957,1.38121787597918,0.340524199335455,0.559526800316432,NA
"WBGene00018928",4.75,-0.900453192827075,1.8121156730873,0.24809957658163,0.6184164141732,NA
"WBGene00018929",5.875,-0.263029458469381,1.63215715162229,0.0259785504248811,0.871952712676474,NA
"WBGene00199691",1.875,0.777600400633229,2.84270310884532,0.07546187356159,0.783544236848457,NA
"WBGene00004824",65.25,0.148661219809732,0.738157784893034,0.040600552213391,0.840310923299202,0.98273565631897
"WBGene00018935",2.625,0.192651171741755,2.30695541912692,0.00697272435509433,0.933451718968327,NA
"WBGene00018934",5.125,0.938602504568011,1.8794244584977,0.248940966168366,0.617821764776932,NA
"WBGene00235283",1.875,1.32191973458799,2.81865445201863,0.222965431774348,0.636789638405792,NA
"WBGene00021936",147,-0.163837058095105,0.562863356908147,0.0845993791564013,0.771158605607544,0.97018410493238
"WBGene00220183",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00202216",1.625,0.584959659043228,2.95674176639947,0.0393475797830192,0.842761655504695,NA
"WBGene00021942",8.25,-1.10991422327163,1.44244346035313,0.589462481142945,0.442627049222654,NA
"WBGene00021943",5.875,-0.485422746702063,1.78251010570829,0.0738507242724609,0.785810487072038,NA
"WBGene00201199",15.125,4.5457821783753,1.71640291690976,6.97966551574198,0.0082441015624094,NA
"WBGene00021945",65.25,-0.301715196786131,0.684205570573517,0.194205698929473,0.659439061318594,0.945201206515244
"WBGene00023183",6.875,-0.415033584996992,1.58771819671669,0.0681622790846177,0.794031534324846,NA
"WBGene00196995",2,3.17132139816302e-06,2.83030728815697,-1.24700250125898e-12,1,NA
"WBGene00196058",1.625,1.90686870308152,2.96023187019064,0.42034608538069,0.51676440490239,NA
"WBGene00196404",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00019067",20.25,-0.53433604285268,1.05414616276664,0.255403323055184,0.613295868843233,0.934596056297056
"WBGene00019068",8.5,1.22239116146485,2.03350403703735,0.381584499100001,0.536756456855468,NA
"WBGene00043705",87.5,-0.57803040969074,0.67498973048575,0.729195019468818,0.393144238500294,0.903451355416952
"WBGene00021925",2.875,1.73695748991511,2.48759434590508,0.502821500312688,0.478262996009764,NA
"WBGene00021926",4.125,-0.276833302907132,1.86730380945642,0.0219929851084437,0.88210576230659,NA
"WBGene00194825",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00021927",4,1.64384624851113,2.28882482458088,0.540617297508582,0.462177010908956,NA
"WBGene00219762",2.25,-0.28950114318084,2.70154756924879,0.0114321254637488,0.914851559525616,NA
"WBGene00021928",2.875,0.906891522263383,2.28378945705215,0.15812202201969,0.690891443520662,NA
"WBGene00219399",3.75,6.49465153034649e-06,2.16754166411984,-8.97770746632887e-12,1,NA
"WBGene00021929",8,1.78135651844683,1.70953769115557,1.12197405433116,0.289493785758592,NA
"WBGene00021930",4,-1.39230538207099,1.92257145239207,0.524012598812746,0.469135022577986,NA
"WBGene00021931",19,0.92785494943564,1.40167124427209,0.431236850053594,0.511382668074857,NA
"WBGene00000816",33,0.222980532677454,0.988106071129765,0.051088772840636,0.821179443269071,0.982528733475362
"WBGene00021934",9.25,0.900464487892007,1.36014259900542,0.438861480017685,0.507672482927229,NA
"WBGene00044462",6.375,0.337036132565014,1.56749187185583,0.046246835040094,0.829727733224976,NA
"WBGene00005905",3.25,1.32192344057394,2.41919854937829,0.30714552595699,0.579437109773484,NA
"WBGene00005904",6,0.263041041103369,1.71403873930153,0.023486347826875,0.878199108533455,NA
"WBGene00016638",22.25,0.8945392002736,0.993047289090594,0.811009179255599,0.367822054673358,0.902607216343527
"WBGene00016639",9.75,1.2571553143225,1.57981513587195,0.658871419775565,0.416958657463993,NA
"WBGene00199664",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00023256",1.625,1.9068750886942,2.94375999389792,0.425306958309353,0.51430078359302,NA
"WBGene00016797",14.125,-0.716202938866442,1.17930865088882,0.370141458176178,0.542927171415779,NA
"WBGene00016798",1.75,0.362569660384022,2.90129715431244,0.0156753580892328,0.900364211591014,NA
"WBGene00198147",3.375,1.20644704261244,2.42321721028975,0.254406618881944,0.613989191713342,NA
"WBGene00198533",3.5,0.304848975361718,2.39375175424737,0.0163454638739893,0.898268171376924,NA
"WBGene00197287",3.375,-1.15199208827671,2.47697961427657,0.210266036605102,0.646558967139949,NA
"WBGene00196875",1.75,0.362569660384022,2.90129715431244,0.0156753580892328,0.900364211591014,NA
"WBGene00202019",1.625,0.584959659043228,2.95674176639947,0.0393475797830192,0.842761655504695,NA
"WBGene00001104",36.5,-0.410744623848727,0.850362248099017,0.232782492881114,0.629468283463677,0.934596056297056
"WBGene00023163",5.75,0.889816377120154,1.66724221295809,0.28562487118176,0.593037954738884,NA
"WBGene00001103",5.625,-0.136058566185954,1.72578697484858,0.00621385447053058,0.937169428087358,NA
"WBGene00044463",2.75,1.90688090580255,2.52372108197577,0.588765671731096,0.442896823107658,NA
"WBGene00009521",11.5,-0.137498291228413,1.45019412584621,0.00898973030061256,0.924462417020733,NA
"WBGene00044908",2.875,0.263039120112103,2.27405649897251,0.0133940221192539,0.90786451186921,NA
"WBGene00009522",4.375,2.58494947397899,2.25373744446836,1.40862223916739,0.235285244059586,NA
"WBGene00009523",2.75,-1.58494832694595,2.34756827779231,0.454251819438404,0.500322718283784,NA
"WBGene00009518",4.375,2.44744842867132,2.33062727895029,1.16170437896823,0.281112347516062,NA
"WBGene00009517",2.125,0.90688657900687,2.73754403161123,0.111032899810635,0.738971244581911,NA
"WBGene00045037",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00018776",33.875,-0.0960259855001955,0.845383215373416,0.0128996018410916,0.909573585160856,0.992342221091114
"WBGene00000678",5.625,2.16992168942703,1.95719870779736,1.23965166330899,0.265538197356867,NA
"WBGene00023304",1.625,1.9068750886942,2.94375999389792,0.425306958309353,0.51430078359302,NA
"WBGene00000679",39,3.49056857755283,1.4069568159155,5.67506339515909,0.0172077180070115,0.234153620730923
"WBGene00200943",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00199889",2.5,-0.415028341150207,2.44502489073264,0.0287649644512733,0.865322857308784,NA
"WBGene00019052",7.75,0.263034306278162,1.42048803315875,0.0343481159652228,0.852968289700185,NA
"WBGene00219265",2.5,0.447453829603376,2.62094222761319,0.0293672516609043,0.863933817855423,NA
"WBGene00023397",5.625,3.04180379906941,2.06048238095834,2.46205314393381,0.116626248255332,NA
"WBGene00023202",2.5,0.0588966218928751,2.29792446383621,0.000656847795710291,0.979553221478951,NA
"WBGene00022309",1.625,1.9068750886942,2.94375999389792,0.425306958309353,0.51430078359302,NA
"WBGene00022310",7.625,-0.656340079852582,1.56528162931478,0.176072780706278,0.6747701828789,NA
"WBGene00022311",5.125,0.906892902338614,1.95884203547322,0.215683890689277,0.642348441356804,NA
"WBGene00022312",4.75,-0.616662343707289,2.01108996470586,0.0934635136445223,0.759819344498715,NA
"WBGene00235267",2.75,1.0995351990168,2.34480014765438,0.220410302650642,0.638727466043348,NA
"WBGene00000546",11.875,2.52082833926204,1.66917148937945,2.36338055646644,0.124212755185822,NA
"WBGene00000547",51.625,-0.402078945197315,0.702340907991038,0.326491008858689,0.567732651311907,0.927701192320938
"WBGene00000680",33.5,-0.977334281212071,0.867447661245824,1.26767712721985,0.260202901955954,0.82935316969097
"WBGene00022313",27.25,0.669032592497593,1.27884098933917,0.267395612975008,0.605084191783648,0.934596056297056
"WBGene00199030",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00003806",10.75,-0.64769663334371,1.26945704027321,0.259519364875317,0.610450549942119,NA
"WBGene00198503",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00197920",2.75,1.0995351990168,2.34480014765439,0.220410302650642,0.638727466043348,NA
"WBGene00044719",176.125,10.0371683455722,1.8919627420159,30.5757094056961,3.210886668484e-08,1.16876274732818e-05
"WBGene00019369",7.25,1.64384862768911,2.06947266230952,0.678551701379256,0.410085887042011,NA
"WBGene00019370",16.375,-1.23388167199707,1.45438257854845,0.702071527651029,0.402088505193535,NA
"WBGene00201161",1.5,1.58494543429065,3.01450585225265,0.279355446651639,0.597123991281605,NA
"WBGene00016427",260.75,0.686339365038111,0.520212707367646,1.73505614365224,0.187766467176491,0.773061129120956
"WBGene00003794",354.125,-0.572246772722633,0.483223609928349,1.39867427823414,0.236945665803171,0.82935316969097
"WBGene00021521",7.5,-0.217096410370024,1.54165869573842,0.0197936282425673,0.888114979728798,NA
"WBGene00199574",2,1.73695121004072,2.7484862771027,0.407292016131692,0.523347180891926,NA
"WBGene00219752",2.125,0.0995411922189115,2.5370680103824,0.00153956775073638,0.968701174702834,NA
"WBGene00021522",119.125,-0.743508474583764,0.642258809446877,1.31945233154885,0.250690363694117,0.82935316969097
"WBGene00003297",1.5,0.84799086314771,3.04282111558486,0.0781514625780666,0.779818298208258,NA
"WBGene00220154",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00021524",5.75,1.64635652234091,2.11921692325419,0.643247987405452,0.42253709537229,NA
"WBGene00197111",1.375,1.16991482601436,3.10293066921941,0.143170586271065,0.705149146041202,NA
"WBGene00003947",14.875,0.289097248574393,1.06795952079839,0.0732687383897428,0.786635631647089,NA
"WBGene00044293",4.375,-1.80733985147268,1.85237090920255,0.957650362374785,0.327779578099998,NA
"WBGene00021507",409,-0.424873674863926,0.464544240519892,0.835258019652173,0.360756510940267,0.902607216343527
"WBGene00021508",23.25,-0.113039892440431,0.992112603901606,0.0129658681220306,0.909342618377594,0.992342221091114
"WBGene00021509",231.75,-0.287957561025468,0.508610175703706,0.320265808597782,0.571447947508414,0.927701192320938
"WBGene00021510",55.625,-0.371681387292776,0.752681147927781,0.242868251974151,0.622142143982165,0.934596056297056
"WBGene00198094",1.625,0.584959659043228,2.95674176639947,0.0393475797830192,0.842761655504695,NA
"WBGene00021410",4.75,-0.115472700117334,2.25129697746475,0.00262051041024236,0.959173386217756,NA
"WBGene00004913",12.75,-0.755095990430593,1.25628955414108,0.359568642962039,0.548745897781717,NA
"WBGene00000683",7.125,0.807358096149054,1.82075150438563,0.198177082901815,0.656196293067967,NA
"WBGene00198204",2.625,0.321929314595938,2.56071722064834,0.0159014320830586,0.89965207043459,NA
"WBGene00201394",4,0.881347252791984,2.28978079465256,0.152254592031746,0.696390033518543,NA
"WBGene00198086",2.25,0.26303245827316,2.66732125055003,0.00976497146442767,0.921282879597877,NA
"WBGene00195510",4.375,3.1292638347449,2.19427921652044,2.23105840294042,0.13526116387796,NA
"WBGene00196527",2.5,0.447459190283845,2.59409796754281,0.0299882683479353,0.862516851967636,NA
"WBGene00022298",18.5,-1.508594955113,1.03598184697123,2.10208582949846,0.14709835153105,NA
"WBGene00022301",89,-1.38226293746551,0.659216294822339,4.3241209914095,0.0375758170703052,0.364735931029096
"WBGene00022303",10.25,2.02384695520003,1.65218280847445,1.48182412150509,0.22348933953299,NA
"WBGene00019874",3.25,1.32192338653814,2.43274798429823,0.303521530140834,0.58168311381186,NA
"WBGene00202224",1.875,1.32191973458799,2.81865445201863,0.222965431774348,0.636789638405792,NA
"WBGene00044649",273.125,-0.864433261153653,0.5665609072379,2.31295653069911,0.128299810170698,0.662375358554359
"WBGene00219423",10.125,-0.514569761269299,1.45450087148559,0.12449600746659,0.724208456041253,NA
"WBGene00000487",8.25,1.01936491370928,2.07714419075234,0.251379764272166,0.616105214365816,NA
"WBGene00016027",2.25,-0.0931026350714818,2.46281474018089,0.00142883033775831,0.969847246276545,NA
"WBGene00001729",6.125,-0.206446282938036,1.82632551204817,0.0127332852098831,0.910155931341093,NA
"WBGene00235274",26.375,-0.295765603210284,0.879137329941431,0.112953935640846,0.736805862551987,0.964196570347666
"WBGene00016920",4.375,1.16992574111298,2.03800088558499,0.331512993893234,0.564769537702646,NA
"WBGene00001557",6.25,-0.263025469359481,1.94503497658418,0.0182847535993176,0.892437042368038,NA
