GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00021407	91	20	9	11	11	3	3	1
WBGene00021408	157	49	59	55	76	20	17	17
WBGene00021409	78	21	86	95	87	24	27	20
WBGene00001492	2695	835	811	672	768	263	196	217
WBGene00235257	10	2	1	1	2	1	1	1
WBGene00235258	3	1	1	1	2	1	1	1
WBGene00235259	28	12	21	11	23	8	4	9
WBGene00015246	71	6	12	10	11	1	1	4
WBGene00015247	174	58	69	60	48	21	11	17
WBGene00001111	48	19	22	16	26	5	1	1
WBGene00017928	1239	350	228	207	218	96	66	103
WBGene00017929	1818	618	510	376	471	197	120	152
WBGene00000674	382	108	129	145	161	43	25	39
WBGene00198551	5	1	1	1	2	1	1	1
WBGene00021400	68	18	8	4	9	6	2	4
WBGene00019821	1752	557	370	343	385	163	118	154
WBGene00019822	2498	748	535	476	570	218	157	187
WBGene00019823	1418	330	267	212	210	89	64	80
WBGene00001728	3	1	3	1	2	1	1	1
WBGene00019824	2263	730	666	547	686	272	186	209
WBGene00019825	963	255	127	123	155	62	50	54
WBGene00001071	66	11	16	24	14	5	5	9
WBGene00020647	1873	499	331	274	308	127	90	116
WBGene00003932	690	203	147	109	141	70	44	55
WBGene00005487	8	4	10	8	12	2	1	7
WBGene00045177	13	3	5	5	9	1	1	1
WBGene00020648	33	11	9	8	9	7	3	6
WBGene00019298	2905	590	477	391	365	169	121	162
WBGene00019299	38	7	5	3	11	3	1	1
WBGene00001099	1888	559	471	471	462	275	184	212
WBGene00001735	66	5	4	13	3	1	1	2
WBGene00000675	6032	1589	1491	1494	1408	744	459	537
WBGene00017574	293	71	57	50	82	19	13	25
WBGene00197593	3	1	1	1	2	1	1	1
WBGene00022048	33130	9112	9026	7559	8925	3147	2143	2861
WBGene00004981	1461	406	166	145	173	83	62	46
WBGene00020295	746	211	185	148	156	56	36	53
WBGene00001338	683	214	120	125	134	63	28	62
WBGene00045249	182	55	20	15	22	7	5	4
WBGene00002187	705	246	235	164	229	85	68	98
WBGene00165558	5	1	3	1	5	1	1	1
WBGene00001332	1661	497	899	833	886	333	251	291
WBGene00000913	16890	4492	4720	3992	4470	1806	1273	1488
WBGene00022047	149	74	60	36	56	31	17	22
WBGene00002041	1742	567	656	545	689	213	198	230
WBGene00235263	35	4	23	18	23	6	4	6
WBGene00019773	38	5	9	5	5	3	2	2
WBGene00019774	316	99	99	96	128	19	16	21
WBGene00021011	159	52	38	38	42	12	6	7
WBGene00021012	2515	850	576	501	666	233	157	218
WBGene00000213	756	186	146	134	147	68	52	43
WBGene00021013	5	4	3	4	3	1	1	2
WBGene00017276	3	1	1	1	2	1	1	1
WBGene00200779	3	1	1	1	2	1	1	1
WBGene00195964	3	1	1	1	2	1	1	1
WBGene00197598	8	1	1	3	2	1	1	1
WBGene00197815	3	1	1	1	2	1	1	1
WBGene00018925	1317	377	279	267	312	88	57	71
WBGene00018926	288	26	43	45	29	8	5	9
WBGene00189987	20	2	4	3	6	1	2	1
WBGene00015996	182	3	17	14	15	4	3	2
WBGene00015997	28	6	3	3	2	1	1	1
WBGene00015998	10	2	3	5	2	1	1	2
WBGene00015999	8	2	3	3	2	1	1	1
WBGene00199072	3	1	1	1	5	1	1	1
WBGene00194995	5895	2064	415	353	380	106	82	119
WBGene00019658	210	36	26	13	22	5	1	3
WBGene00004427	19430	4033	4059	3561	4144	1692	1063	1181
WBGene00044723	8	7	3	6	3	1	1	1
WBGene00019659	5	4	4	1	3	1	2	1
WBGene00019660	18	6	4	8	3	2	2	1
WBGene00195864	3	1	1	1	2	1	1	1
WBGene00235287	48	37	4	15	5	1	1	15
WBGene00021950	420	129	150	148	189	67	46	38
WBGene00044460	20	4	9	9	9	4	3	1
WBGene00044459	228	87	150	135	167	55	40	42
WBGene00021951	8	1	3	6	3	1	1	1
WBGene00197624	3	2	3	3	2	1	1	1
WBGene00196878	3	1	1	1	2	1	1	1
WBGene00194844	30	4	3	4	6	1	2	1
WBGene00000677	12665	1572	976	1102	1025	361	249	344
WBGene00018928	243	85	51	26	36	27	14	22
WBGene00018929	53	16	26	18	14	4	5	3
WBGene00199691	3	1	1	1	3	1	1	1
WBGene00004824	796	329	296	238	281	102	83	85
WBGene00018935	973	289	121	89	110	62	38	55
WBGene00018934	895	267	108	80	102	37	23	31
WBGene00235283	3	2	1	3	3	1	1	2
WBGene00021936	2288	843	1534	1320	1816	458	386	433
WBGene00220183	5	3	13	11	12	1	3	1
WBGene00202216	3	1	5	1	2	1	1	1
WBGene00021942	73	26	16	11	15	9	5	3
WBGene00021943	1213	375	614	485	621	188	167	212
WBGene00201199	3	1	1	1	2	1	1	1
WBGene00021945	1062	339	240	200	238	84	42	64
WBGene00023183	18381	3788	5455	4680	6346	1149	638	755
WBGene00196995	3	1	1	1	2	1	1	1
WBGene00196058	3	1	1	3	2	1	1	1
WBGene00196404	3	1	1	3	5	1	1	1
WBGene00019067	40	7	13	18	9	1	4	3
WBGene00019068	495	161	108	98	119	61	43	46
WBGene00043705	506	174	721	562	920	154	165	220
WBGene00021925	152	39	68	34	53	13	9	11
WBGene00021926	1148	353	207	204	213	107	58	65
WBGene00194825	3	1	1	1	2	1	1	1
WBGene00021927	66	13	22	21	22	6	7	8
WBGene00219762	3	2	8	3	6	1	1	3
WBGene00021928	63	16	18	20	11	6	3	4
WBGene00219399	78	12	20	21	26	13	7	3
WBGene00021929	2111	607	416	353	422	177	119	143
WBGene00021930	1034	378	143	115	116	60	44	39
WBGene00021931	81	8	16	20	20	6	2	2
WBGene00000816	1481	466	447	408	450	186	137	182
WBGene00021934	6414	1803	1483	1122	1553	579	419	480
WBGene00044462	23	4	3	5	5	1	1	1
WBGene00005905	10	1	5	3	3	1	1	1
WBGene00005904	25	2	4	6	5	1	1	1
WBGene00016638	8181	2966	1315	1069	1345	819	583	635
WBGene00016639	10	6	8	16	6	1	3	2
WBGene00199664	3	1	1	1	2	1	1	1
WBGene00023256	13	1	3	1	2	1	1	1
WBGene00016797	99	32	27	26	28	7	5	4
WBGene00016798	5	1	1	1	2	1	1	1
WBGene00198147	3	1	1	1	2	1	1	1
WBGene00198533	3	1	1	1	3	1	1	1
WBGene00197287	3	1	1	1	2	1	1	1
WBGene00196875	3	1	1	1	2	1	1	1
WBGene00202019	3	1	1	1	2	1	1	1
WBGene00001104	230	79	43	33	56	16	11	17
WBGene00023163	15	2	1	1	6	3	1	1
WBGene00001103	76	17	10	16	20	1	1	1
WBGene00044463	13	9	4	8	9	4	2	4
WBGene00009521	2609	682	772	622	770	243	200	209
WBGene00044908	35	2	4	3	5	1	2	1
WBGene00009522	43	23	22	23	23	8	8	8
WBGene00009523	53	14	37	26	26	6	3	3
WBGene00009518	192	62	35	31	29	19	13	19
WBGene00009517	30	4	13	6	6	2	3	1
WBGene00045037	5	1	1	1	2	1	1	1
WBGene00018776	6755	1566	1809	1658	1705	676	472	529
WBGene00000678	394	52	47	55	48	10	5	9
WBGene00023304	5	1	1	1	2	1	1	1
WBGene00000679	28	1	9	9	2	1	1	1
WBGene00200943	3	1	1	1	2	1	1	1
WBGene00199889	3	2	1	1	2	1	1	1
WBGene00019052	8	1	3	1	2	1	1	1
WBGene00219265	10	1	1	1	2	1	1	1
WBGene00023397	18	1	1	1	2	1	1	1
WBGene00023202	240	11	3	1	2	1	1	1
WBGene00022309	169	35	12	8	11	6	3	4
WBGene00022310	2723	835	856	750	838	320	197	206
