GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00021407	23	14	14	11	15	3	5	3
WBGene00021408	23	6	10	9	11	2	3	6
WBGene00021409	18	4	29	28	46	6	7	7
WBGene00001492	185	36	25	34	22	5	7	2
WBGene00235257	8	1	7	8	5	1	1	1
WBGene00235258	3	1	1	1	2	1	1	1
WBGene00235259	20	8	21	18	19	6	10	2
WBGene00015246	111	27	65	56	68	16	14	9
WBGene00015247	377	113	117	99	145	36	48	51
WBGene00001111	48	6	5	13	19	4	2	6
WBGene00017928	25	6	5	9	9	1	1	2
WBGene00017929	78	31	10	6	8	3	2	2
WBGene00000674	169	12	9	18	15	1	1	2
WBGene00198551	3	1	1	1	2	1	1	1
WBGene00021400	5	1	1	3	2	1	1	1
WBGene00019821	28	7	4	9	42	6	3	1
WBGene00019822	10	6	4	4	8	3	3	3
WBGene00019823	18	6	14	9	12	4	3	2
WBGene00001728	3	1	1	1	3	1	1	1
WBGene00019824	8	4	4	1	5	3	2	1
WBGene00019825	8	3	1	4	5	3	1	1
WBGene00001071	5	2	1	1	3	1	1	1
WBGene00020647	15	1	3	5	5	1	1	1
WBGene00003932	10	2	1	5	2	1	1	1
WBGene00005487	5	1	3	1	2	1	1	1
WBGene00045177	5	2	3	5	2	1	1	1
WBGene00020648	28	4	8	21	15	1	1	1
WBGene00019298	23	6	22	30	15	3	3	3
WBGene00019299	25	2	5	6	3	2	1	1
WBGene00001099	185	8	18	21	17	4	1	2
WBGene00001735	10	1	4	6	8	1	1	1
WBGene00000675	48	18	25	21	26	6	14	13
WBGene00017574	13	3	3	4	2	1	1	2
WBGene00197593	3	1	1	1	2	1	2	1
WBGene00022048	215	61	42	58	68	13	13	12
WBGene00004981	10	2	5	4	6	1	1	1
WBGene00020295	91	2	4	4	3	1	1	1
WBGene00001338	561	17	7	10	14	1	15	15
WBGene00045249	3	1	1	1	3	1	2	1
WBGene00002187	25	7	27	26	25	4	4	4
WBGene00165558	3	1	5	3	3	1	1	1
WBGene00001332	18	1	8	15	17	2	5	3
WBGene00000913	104	33	27	25	40	8	13	7
WBGene00022047	18	6	4	5	6	1	2	1
WBGene00002041	61	9	100	133	104	10	11	18
WBGene00235263	28	4	52	43	48	11	14	18
WBGene00019773	25	3	7	5	3	1	1	1
WBGene00019774	359	68	52	59	45	9	5	8
WBGene00021011	61	5	13	13	11	1	2	1
WBGene00021012	1044	62	227	168	207	19	16	12
WBGene00000213	18	6	5	9	6	1	1	1
WBGene00021013	5	1	3	3	2	1	1	1
WBGene00017276	3	1	1	1	2	1	1	3
WBGene00200779	3	1	4	1	2	1	1	1
WBGene00195964	5	1	1	1	3	1	1	1
WBGene00197598	5	1	10	6	3	1	1	1
WBGene00197815	3	1	1	3	2	1	2	1
WBGene00018925	15	7	7	1	5	1	1	1
WBGene00018926	40	6	7	11	17	4	1	3
WBGene00189987	33	28	10	11	5	9	7	4
WBGene00015996	18	3	5	3	2	1	1	1
WBGene00015997	8	1	3	3	2	1	1	1
WBGene00015998	8	1	1	1	2	1	1	1
WBGene00015999	15	1	3	1	2	1	1	1
WBGene00199072	18	1	1	3	3	1	1	1
WBGene00200850	1775	1	9	14	6	1	1	1
