"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00014450",11.625,3.56477330610044,1.98655963048068,3.63624524840471,0.0565342976112802,0.454992375967707
"WBGene00014451",23.5,2.43538412805596,1.01630135828795,5.70248198207544,0.016940940344912,0.232709877281318
"WBGene00010957",1927.25,0.231797124738598,0.381613272285439,0.36878764759696,0.543665846767448,0.948463766966662
"WBGene00010958",896.25,0.414788517793316,0.39931809561714,1.07761948195881,0.299230705111522,0.851019315831199
"WBGene00014452",18,1.35192232564537,1.04782194506974,1.65841784715442,0.197817078406195,0.757963403679485
"WBGene00014453",237.375,1.02881259784443,0.781085905072147,1.7219786969775,0.189438542355907,0.745396445216122
"WBGene00014454",681588.875,1.56680373678828,0.37043912678853,17.5131565686014,2.85326395603631e-05,0.00330671344320331
"WBGene00014455",8.375,2.10852273115316,1.82373427684027,1.35215473444165,0.244901776205933,NA
"WBGene00014456",5.875,0.206454429932302,2.00939638748028,0.0105793648337098,0.918077228086937,NA
"WBGene00014457",516.75,-0.223207874939262,0.408700997055522,0.298165853097316,0.585034557353812,0.957849450238266
"WBGene00010959",7741.625,0.0930657447584253,0.327940184073015,0.0805300990517281,0.776580318347745,0.991018048130368
"WBGene00010960",5993.375,0.0259444464803879,0.347642068790108,0.00556957782546874,0.94050941903914,0.995008405313187
"WBGene00014458",25.125,0.935429488380528,1.09902445926707,0.717243534210205,0.397049571023964,0.905243755729449
"WBGene00014459",32.75,0.416368647804367,1.53289705265585,0.074449085566286,0.784965757416613,0.993472286730401
"WBGene00014460",24.625,2.32896211921921,0.97322823025555,5.78517672156232,0.0161618729846011,0.22629626244052
"WBGene00010961",3293.625,-0.847970232265334,0.374269199741412,5.10205860075072,0.0238974656708055,0.280925345683716
"WBGene00014461",478.25,-0.0490021398247033,1.01896218750355,0.00232388215037815,0.961551541770056,0.996484604526915
"WBGene00014462",6.625,-0.15199543716947,2.00176870867805,0.00575809051633058,0.939512911471763,NA
"WBGene00014463",4.625,-1.66294969836103,1.94529879319659,0.731890624169942,0.39227104924803,NA
"WBGene00014464",31.5,-0.169050493475263,1.18884705718385,0.0203972446983585,0.886433192081274,0.995008405313187
"WBGene00000829",17473.625,-0.0545191931890057,0.302781280426618,0.0324212344676766,0.85710626937815,0.993908533372009
"WBGene00014465",19.5,-0.737822038773086,0.984361377374282,0.561666031873536,0.453589750844593,0.926583335349291
"WBGene00010962",14790.875,0.625378538484851,0.310284369221406,4.04853646855406,0.0442096570511852,0.393047905590234
"WBGene00014466",70.125,-0.247927270796087,0.538509763171697,0.211950371859452,0.645242998672118,0.972675025563557
"WBGene00010963",8916.375,-0.0294733061049384,0.331852859889916,0.00788793065656535,0.929229713102621,0.995008405313187
"WBGene00010964",28618.375,-0.312515392079011,0.36790985248907,0.720924669704232,0.395840768149477,0.905243755729449
"WBGene00014467",20.125,-0.273468760519195,1.18353420074484,0.0538111807371706,0.816559473551671,0.993908533372009
"WBGene00014468",21.125,0.186805837357916,1.26272457049376,0.0217121259624733,0.88285549176102,0.995008405313187
"WBGene00014469",2.625,0.321929488898427,2.74519747582911,0.013814668194577,0.906435463150421,NA
"WBGene00014470",28.5,0.325323163337402,1.66892204356024,0.0379604076247517,0.845522662934745,0.993908533372009
"WBGene00010965",10719.375,0.414817134693152,0.355945966327648,1.35612489314883,0.24421020205994,0.818343172650146
"WBGene00014471",89.125,-0.424622674607898,0.588008827025489,0.52299942693503,0.469565008802518,0.933445578080384
"WBGene00014472",225183.75,1.26817583159162,0.344159762590626,13.3896852459849,0.000253011844794486,0.0161630563842284
"WBGene00010966",940,-0.0762916235592193,0.416023423918159,0.0336279517930933,0.85450045062525,0.993908533372009
"WBGene00010967",14351.875,-0.0228849216386944,0.351460901061582,0.00423976956486172,0.94808362151068,0.995008405313187
"WBGene00014473",35.125,-1.44767135280059,0.841859904160373,2.94879117644738,0.0859418199302908,0.547739309776838
"WBGene00021406",667.5,-0.029909774458988,0.333003251845118,0.0080673049457971,0.928431703299126,0.995008405313187
"WBGene00021405",54.75,-0.0232573954563501,0.646448422916668,0.00129400992244655,0.971304406649683,0.9976357609799
"WBGene00021404",56.625,-0.124367946115685,0.611069282858286,0.0414181174023653,0.838732979338293,0.993908533372009
"WBGene00021403",18.625,0.0390280830597291,1.08078335440021,0.00130315812381099,0.971203195246988,0.9976357609799
"WBGene00195502",1.625,0.584959442901244,3.06391452602621,0.0366117949411731,0.848257588121013,NA
"WBGene00166500",1.75,0.362569625853009,3.00393074324537,0.0146146036087202,0.903777470018057,NA
"WBGene00235260",84.125,-0.614453547232352,0.615416312482308,0.990769029551196,0.319554489571859,0.862594909939128
"WBGene00023131",1530.25,8.00775370372434,1.70293507535612,23.3178410324968,1.3732032112148e-06,0.000344811326336037
"WBGene00235261",6,1.47392941927043,1.76120430825388,0.70428059423169,0.401349079886867,NA
"WBGene00235262",2.375,0.125530082006075,2.78558175717125,0.00203421560848938,0.964025784562263,NA
"WBGene00201447",3.75,-1.92598249633916,2.13137439440943,0.812271282018195,0.367449596403606,NA
"WBGene00006599",485.625,-0.133405484349235,0.346768314015587,0.147987968145401,0.700465590955654,0.979529723787029
"WBGene00017927",6.25,0.700437889239275,1.82107322952122,0.149847339403593,0.698681288921763,NA
"WBGene00023277",9.625,0.985499737099736,1.49778830148887,0.434013686768239,0.510026036753516,NA
"WBGene00196821",1.375,1.16991403061668,3.22089887575572,0.132651907023952,0.715698142465274,NA
"WBGene00017926",433.25,1.37013909948943,0.373872688828971,13.281984676035,0.000267968670115885,0.0168217332665247
"WBGene00000897",348.75,-0.000416483492396716,0.411640588441816,1.02391290113246e-06,0.999192632069273,1
"WBGene00023019",17.25,4.57287451244559,1.96319769487536,6.20039112714456,0.0127722085489846,0.200940635362679
"WBGene00197291",1.375,1.16991403061668,3.22089887575572,0.132651907023952,0.715698142465274,NA
"WBGene00199863",1.375,1.16991403061668,3.22089887575572,0.132651907023952,0.715698142465274,NA
"WBGene00021398",102,0.791579064250918,0.571044565139254,1.92062226808739,0.165788078123498,0.712425323733205
"WBGene00219750",30.875,-1.11768921585875,1.77614092275075,0.353342939329167,0.552226846128359,0.949236787661847
"WBGene00021397",32.75,0.117643547911302,0.866051383296884,0.0184512596120641,0.891951394439665,0.995008405313187
"WBGene00021396",55.25,-0.0118286468047726,0.625588261927521,0.000357522242218522,0.98491429133197,0.998473361179741
"WBGene00198224",1.625,0.584959442901245,3.06391452602621,0.0366117949411766,0.848257588121006,NA
"WBGene00021395",295.25,0.230946260880178,0.409175849953172,0.318478829574843,0.572523249861518,0.954380062540885
"WBGene00021402",369.875,0.0443164927434356,0.41243129708647,0.0115457899299116,0.914430928783376,0.995008405313187
"WBGene00000815",912.625,-0.0571191841183379,0.333475792323989,0.0293377553954599,0.864001501030418,0.993908533372009
"WBGene00044736",85.375,0.121877201224503,0.535172533739124,0.0518710707541317,0.819838878443597,0.993908533372009
"WBGene00195063",191.125,0.751783996796021,0.431511057349233,3.02744557087361,0.0818668104672996,0.540036926438431
"WBGene00021394",774.375,-0.0852420964891366,0.304389781031888,0.0784188354969899,0.779451701505483,0.991494476588707
"WBGene00021401",111.375,-0.54151934916248,0.475989413857099,1.29436823611621,0.255244498298333,0.825874146060961
"WBGene00019820",726.625,0.186511076042331,0.360528052364107,0.267556792924736,0.604975424872931,0.964382152310643
