"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00014450",2.875,1.4329436066309,2.49849248853534,0.337630390010943,0.561200209598568,NA
"WBGene00014451",5.375,0.23703232889145,2.19195379329781,0.0117976175317906,0.91350640485197,NA
"WBGene00010957",133.375,-0.31991633777781,0.698678809869154,0.208913942968564,0.647619979224548,0.966277987042456
"WBGene00010958",171.125,-0.797465702441337,0.678585888081026,1.36100055073231,0.243364152681942,0.716050072275628
"WBGene00014452",55.625,-2.59435905429743,1.1973967878349,4.38896940534388,0.0361721719908841,0.228637756065247
"WBGene00014453",29.875,-0.240317675940442,1.4052798042301,0.0288152193253168,0.865206387038773,0.986427681792627
"WBGene00014455",2.375,0.125530116455152,2.62064171565218,0.002299445424228,0.961754072207357,NA
"WBGene00014456",3,0.362564884353502,2.44301218013307,0.0222110353965341,0.881527063225573,NA
"WBGene00014457",3.25,0.16992122753248,2.40688928540137,0.00500559110192356,0.943596565386302,NA
"WBGene00010959",119.75,0.732162488810963,0.61751224153031,1.4025396821487,0.236298807539263,0.712931628130365
"WBGene00010960",88.625,-1.59991592908752,0.711411724452621,4.97422761119252,0.0257276890396481,0.182558161308154
"WBGene00014458",18.25,-0.539367919453992,1.54176116427953,0.119786349233088,0.729266326601946,0.986427681792627
"WBGene00014459",15.125,-1.20645094162334,1.60698384766933,0.544772017972711,0.460461748320098,NA
"WBGene00014460",19.375,0.353633577428634,1.39714956241315,0.0654795242138064,0.798036029773169,0.986427681792627
"WBGene00010961",90.5,-0.847940233632995,0.691919226602048,1.486205617618,0.22280611420462,0.691494055109741
"WBGene00014461",13.25,-1.53367989173326,1.37166188857569,1.22970557548436,0.267464304266714,NA
"WBGene00014462",14.125,0.0347622464740904,1.64746767163566,0.000445791523524974,0.983154895940278,NA
"WBGene00014463",52.125,-0.66368540042291,0.809721578873502,0.664759620048507,0.414884630223411,0.86715798183469
"WBGene00014464",41,-0.859202131917227,0.871688750844587,0.96036830179267,0.327094101864523,0.798728665311623
"WBGene00000829",168.875,-0.712575649608965,0.586290034915098,1.4707925899624,0.225220682495337,0.69634174287373
"WBGene00014465",8.25,-0.584961111367514,1.53838146787478,0.143127751390765,0.705191192435859,NA
"WBGene00010962",253.25,-1.45151596059116,0.562877091475821,6.56475159410796,0.0104018255904096,0.0917341952068505
"WBGene00014466",64.125,-1.82781822001111,0.897624573328002,3.97404049737669,0.0462067716282738,0.276048196953429
"WBGene00010963",509.375,-0.643838441452457,0.468798024177622,1.87945301367223,0.170396329321895,0.618772552753234
"WBGene00010964",128,-1.55477579010374,0.600590785345672,6.60999414615709,0.0101407995083916,0.090474205044565
"WBGene00014467",9.75,-0.0524741989724661,1.99302107968102,0.000690972527387146,0.979028937249822,NA
"WBGene00014468",9.25,-0.0555017362258802,2.01419414512711,0.000756822387117495,0.978052640943543,NA
"WBGene00014469",4,-3.60307362838869e-06,2.40473367131336,-2.34479102800833e-12,1,NA
"WBGene00014470",25.5,-0.183603025000901,1.36668518854506,0.0178224908162576,0.8937972510188,0.986427681792627
"WBGene00010965",86.625,-0.917421114825827,0.658077263509471,1.92688993660383,0.165099103451479,0.611218721477097
"WBGene00014471",12,0.69388673923869,1.89157246667013,0.141314932310124,0.706977275286571,NA
"WBGene00010966",60.375,-1.61143399592941,0.90261896307146,3.1123514626739,0.0777007062170626,0.384763924903743
"WBGene00010967",148,-1.74668068073679,0.641313656198561,7.29767945240658,0.00690437256248129,0.0706458452249467
"WBGene00014473",21,-2.27853211236884,1.33360655025008,2.87651037178867,0.0898806113223147,0.427208730523282
"WBGene00021406",37.125,-0.120628058545124,0.855723669147154,0.0198893997556837,0.887846413870739,0.986427681792627
"WBGene00021405",18.125,-0.194647684326751,1.19209291234092,0.0265111927954678,0.870658128667623,0.986427681792627
"WBGene00021404",8.875,0.616670944501262,1.34479500907819,0.210855402782435,0.646097772724336,NA
"WBGene00021403",11,-1.14628596520136,1.18743018571754,0.930802641568064,0.334654445993284,NA
"WBGene00195502",45.25,-0.037169633134763,0.718724653493766,0.00267441143313363,0.958756014477133,0.990395249116506
"WBGene00166500",1.625,0.584959708676849,2.93157808345768,0.0400348006473124,0.841412553812343,NA
"WBGene00235260",133,-0.600158095124993,0.550875625750466,1.18227391014686,0.27689355840211,0.753020367343182
"WBGene00235261",1.75,0.362569646977844,2.94157729866028,0.0152456031383217,0.901732484898076,NA
"WBGene00235262",2.25,1.2630317155031,2.49161960371769,0.257294463721184,0.611985017021446,NA
"WBGene00201447",1.375,1.16991500691545,3.07546902670005,0.145801097171674,0.702580715728643,NA
"WBGene00006599",42.5,-0.175441183304835,0.79462457075129,0.048749384038409,0.825253904895694,0.986427681792627
"WBGene00017927",24,-0.919379969965083,0.88399946230353,1.0799823723011,0.298701499464393,0.775284068883231
"WBGene00023277",10,-1.28010169830293,1.32208428327521,0.941520729419494,0.331887055601342,NA
"WBGene00196821",2.25,2.90687046650597,2.68903416459026,1.20320018198101,0.272683001933987,NA
"WBGene00000897",22,-1.07038695662563,0.9510844249235,1.26611122895437,0.260497480365243,0.737677880178027
"WBGene00023019",2.375,-0.263026617850547,2.40801066823807,0.0119192902896792,0.913063290524544,NA
"WBGene00197291",1.875,1.32191987660911,2.79505374398729,0.22689345870706,0.633836910777294,NA
"WBGene00199863",1.625,1.90687535781044,2.91830052925723,0.433153985092648,0.510445380176416,NA
"WBGene00021398",3.625,3.58494261456412,2.43096012305045,2.29745331394402,0.129586313373031,NA
"WBGene00219750",32.25,-0.993710014822248,1.75778962207562,0.287427242166075,0.591873950657029,0.943953968547947
"WBGene00021397",2.375,1.77759716586067,2.68420480796308,0.448058538468693,0.503258368265532,NA
"WBGene00021396",4.5,-0.387014564582818,1.92440161555608,0.0404337351010575,0.840634914566619,NA
"WBGene00198224",2.125,2.26301914268139,2.72576978033951,0.705429644073359,0.400965247409988,NA
"WBGene00006561",47.125,4.95935222392527,1.11589366115087,21.1766141802835,4.18844175182993e-06,0.000228146886011442
"WBGene00021395",35.75,0.637962659302259,0.946594835912044,0.463206089431011,0.496129402554618,0.903007411755996
"WBGene00021402",7.375,2.64384929008474,1.47819123801201,3.24236297313649,0.0717570754682012,NA
"WBGene00000815",15.875,-0.0938215481906902,1.31550770020165,0.00507024271666268,0.943234095263618,NA
"WBGene00044736",3.625,-0.415031030739268,2.43957765764106,0.0286384593517965,0.865616508636701,NA
"WBGene00195063",6.25,0.42742116033848,1.77160092666733,0.0587254462814073,0.808521884162433,NA
"WBGene00021394",18.625,-0.0717903624268581,1.18590562605392,0.00365711792355228,0.951778035701803,0.990395249116506
"WBGene00021401",2.5,-0.41502840505946,2.43855809056145,0.0289173976944568,0.864969901089616,NA
"WBGene00019820",24.875,-2.00136040565138,1.12964478714387,3.08893594680433,0.07882633837675,0.387231773670401
