GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00014450	71	1	7	6	5	1	1	1
WBGene00014451	126	12	10	6	17	6	3	8
WBGene00010957	5680	5578	741	448	743	801	689	738
WBGene00010958	3693	2450	190	128	227	136	164	182
WBGene00014452	81	34	3	5	6	6	3	6
WBGene00014453	1186	490	46	43	32	39	17	46
WBGene00014455	46	2	4	4	8	1	1	1
WBGene00014456	15	2	3	6	17	2	1	1
WBGene00014457	1676	922	420	296	328	191	118	183
WBGene00010959	25141	9797	6951	5418	6700	2902	2200	2824
WBGene00010960	18356	9382	4940	3943	4409	2442	1793	2682
WBGene00014458	142	18	5	8	20	2	5	1
WBGene00014459	121	2	43	25	68	1	1	1
WBGene00014460	119	9	13	23	14	7	5	7
WBGene00010961	7561	7135	2730	1892	3023	1313	1163	1532
WBGene00014461	2836	9	317	353	308	1	1	1
WBGene00014462	18	2	8	3	19	1	1	1
WBGene00014463	10	5	7	3	9	1	1	1
WBGene00014464	185	12	18	11	23	1	1	1
WBGene00000829	62174	22961	14027	12179	14111	5265	4085	4987
WBGene00014465	56	41	10	11	20	8	3	7
WBGene00010962	57778	19193	9755	8600	8989	5058	3851	5103
WBGene00014466	200	95	61	66	63	24	23	29
WBGene00010963	29527	12530	7365	5773	7539	2969	2407	3221
WBGene00010964	83657	52634	22623	15648	23228	12131	8679	10347
WBGene00014467	109	31	7	4	6	2	1	1
WBGene00014468	129	17	8	4	8	1	1	1
WBGene00014469	5	1	3	1	8	1	1	1
WBGene00014470	142	17	21	5	34	5	2	2
WBGene00010965	44930	17500	5792	4116	5445	3109	2182	2681
WBGene00014471	420	112	42	44	65	7	11	12
WBGene00010966	3157	2696	369	200	352	268	218	260
WBGene00010967	47871	24533	10396	7468	10327	5240	3907	5073
WBGene00014473	96	47	34	23	60	9	6	6
WBGene00021406	2311	711	738	616	675	227	174	191
WBGene00021405	78	21	86	95	87	24	27	20
WBGene00021404	159	49	59	56	76	20	17	17
WBGene00021403	91	20	9	11	11	3	3	1
WBGene00195502	3	1	3	1	2	1	1	1
WBGene00166500	3	1	3	1	3	1	1	1
WBGene00235260	63	26	160	135	165	40	56	28
WBGene00235261	25	3	4	6	5	2	1	2
WBGene00235262	3	1	5	1	5	1	1	2
WBGene00201447	5	3	5	8	6	1	1	1
WBGene00006599	1557	479	501	408	535	142	131	132
WBGene00017927	13	2	7	9	12	1	4	2
WBGene00023277	33	5	3	10	17	4	2	3
WBGene00196821	3	1	1	1	2	1	1	1
WBGene00000897	1079	358	372	275	369	141	88	108
WBGene00023019	119	1	1	5	9	1	1	1
WBGene00197291	3	1	1	1	2	1	1	1
WBGene00199863	3	1	1	1	2	1	1	1
WBGene00021398	417	42	86	96	122	24	11	18
WBGene00219750	25	1	74	56	87	1	1	2
WBGene00021397	101	32	37	20	39	11	4	18
WBGene00021396	154	47	64	50	71	23	18	15
WBGene00198224	3	1	1	3	2	1	1	1
WBGene00006561	470	134	207	189	216	90	56	81
WBGene00021395	900	247	335	247	337	118	81	97
WBGene00021402	1057	299	449	342	450	156	109	97
WBGene00000815	3099	947	931	755	830	253	208	278
WBGene00044736	177	66	108	80	125	43	40	44
WBGene00195063	718	157	179	152	147	63	44	69
WBGene00021394	1734	610	998	877	1017	322	314	323
WBGene00021401	379	148	94	86	107	26	26	25
WBGene00019820	2702	816	644	528	536	239	159	189
WBGene00019819	3827	1080	509	402	518	254	178	210
WBGene00020651	544	64	39	35	45	8	9	3
WBGene00020650	23	2	7	5	3	2	2	2
WBGene00003362	3	1	1	1	5	1	1	1
WBGene00020649	1815	592	905	749	929	305	192	224
WBGene00206487	346	80	67	70	68	28	30	26
WBGene00019300	422	114	73	61	107	38	26	39
WBGene00198707	13	1	1	1	2	1	1	1
WBGene00200120	3	1	1	1	2	1	1	1
WBGene00017578	473	113	143	138	131	30	38	48
WBGene00017577	13	5	4	11	2	1	3	1
WBGene00017576	281	105	168	175	206	44	36	48
WBGene00020298	1320	470	310	214	252	105	76	83
WBGene00020297	9338	2934	2910	2431	2722	1319	885	1006
WBGene00020296	1406	509	696	553	811	320	329	325
WBGene00001666	33	14	17	8	20	4	5	4
WBGene00219270	10	1	10	9	12	3	2	1
WBGene00020299	88	49	60	56	82	19	30	20
WBGene00022046	3994	1043	811	585	773	253	185	237
WBGene00022045	278	59	31	21	32	19	10	18
WBGene00022044	1004	333	280	224	284	88	60	69
WBGene00235264	3	1	3	3	2	1	1	1
WBGene00019772	61	28	8	15	11	6	5	4
WBGene00235265	10	2	1	1	3	1	1	1
WBGene00201763	3	1	1	1	2	1	1	1
WBGene00021010	38	5	12	8	14	4	2	1
WBGene00001625	51	14	9	6	8	2	3	3
WBGene00199193	3	1	1	1	2	1	1	1
WBGene00018924	43	9	17	10	11	4	2	2
WBGene00201760	3	1	1	1	2	1	1	1
WBGene00198589	5	2	1	1	5	1	1	1
WBGene00001165	473	156	147	108	155	41	36	36
WBGene00001579	3066	993	1169	1009	1161	391	274	298
WBGene00015995	3	1	3	3	2	1	1	1
WBGene00015994	137	14	23	18	19	4	5	3
WBGene00044457	48	24	16	6	6	11	7	10
WBGene00000676	182	4	12	10	15	1	1	1
WBGene00002140	66	15	18	16	20	6	1	4
WBGene00015993	1888	34	29	34	17	9	6	9
WBGene00200054	53	8	7	15	12	1	1	1
WBGene00015497	344	82	190	195	260	61	50	64
WBGene00019665	111	26	26	19	39	14	7	7
WBGene00019664	1704	292	143	144	159	43	27	44
WBGene00019663	369	77	60	64	53	32	19	29
WBGene00019662	3	2	4	4	2	1	2	2
WBGene00044458	3	1	4	3	2	1	1	1
WBGene00019661	53	20	20	18	14	5	4	7
WBGene00023038	25	4	3	1	2	1	1	1
WBGene00018256	139	37	42	24	28	16	8	9
WBGene00021949	10	1	3	4	3	1	1	1
WBGene00219763	3	2	3	1	2	1	1	1
WBGene00021948	354	77	86	78	90	28	10	33
WBGene00021947	18	4	5	3	3	1	1	1
WBGene00001788	25	8	1	9	5	2	1	1
WBGene00018933	13	4	3	5	6	1	1	2
WBGene00018932	1087	325	130	105	134	90	62	63
WBGene00197041	3	1	1	1	3	1	1	1
WBGene00200616	3	1	1	1	2	1	1	1
WBGene00018930	94	17	90	68	138	14	18	24
WBGene00001154	1347	388	333	304	442	115	100	101
WBGene00021935	746	337	198	172	199	86	70	66
WBGene00185088	164	38	52	49	65	17	11	19
WBGene00199601	3	1	1	3	2	1	1	1
WBGene00044742	162	55	48	29	49	22	11	17
WBGene00023184	99	2	1	1	2	1	1	1
WBGene00021941	83	7	42	23	36	5	3	2
WBGene00044757	76	11	10	8	11	3	3	7
WBGene00021939	581	174	205	165	202	66	57	44
WBGene00021938	1474	515	359	303	372	110	84	132
WBGene00007007	930	302	288	234	240	115	86	123
WBGene00016649	437	166	142	129	113	78	56	46
WBGene00045301	230	79	91	94	88	25	23	22
WBGene00016648	460	183	145	140	110	87	65	60
WBGene00045300	250	79	98	96	93	26	25	24
WBGene00016647	460	183	145	140	110	87	65	60
WBGene00045299	243	79	95	96	93	26	24	24
WBGene00016646	440	168	143	130	116	80	58	47
WBGene00045298	215	80	90	98	88	23	23	25
WBGene00019073	458	181	145	139	107	85	63	58
WBGene00019072	278	90	113	114	100	29	25	29
WBGene00019070	25	11	17	6	8	1	3	3
WBGene00019069	126	26	95	74	76	18	21	17
WBGene00004047	4126	1291	1542	1330	1471	531	347	462
WBGene00021924	1780	627	788	546	861	295	200	243
WBGene00021923	200	108	116	81	90	40	40	36
WBGene00021922	1074	269	155	131	139	53	51	57
WBGene00021921	2146	779	661	607	592	261	175	201
WBGene00194822	3	1	1	1	2	1	1	1
WBGene00194823	3	2	1	3	2	1	1	1
WBGene00194824	3	1	1	1	2	1	1	1
WBGene00194826	3	1	1	1	2	1	1	1
WBGene00021920	784	184	115	101	102	47	44	46
WBGene00196098	3	1	1	1	2	1	1	1
WBGene00021933	624	194	102	104	91	59	33	31
WBGene00021932	629	235	133	101	170	52	53	51
WBGene00016637	5	11	4	1	3	1	5	1
WBGene00003893	10284	2266	1938	1825	1916	883	598	710
WBGene00202064	3	1	1	1	2	1	1	1
WBGene00016636	3185	836	823	753	924	457	362	381
WBGene00200465	3	1	1	1	2	1	1	1
WBGene00219437	13	2	5	6	5	1	1	1
WBGene00016796	1186	345	451	339	592	163	140	164
WBGene00022426	862	206	249	207	199	120	68	85
WBGene00022428	382	112	164	163	128	53	39	36
WBGene00007020	549	179	203	174	263	83	58	72
WBGene00022427	2154	543	1156	1143	1444	428	436	532
WBGene00021123	56	21	39	33	31	18	13	11
WBGene00021122	15	1	4	1	5	1	1	1
WBGene00021121	99	33	21	15	32	14	13	15
WBGene00021120	10	1	1	4	3	1	1	1
WBGene00009524	38	2	1	3	3	1	1	1
WBGene00009519	13	2	4	4	2	1	1	1
WBGene00045003	3	1	1	1	2	1	1	1
WBGene00009520	5	3	12	9	8	1	1	3
WBGene00009526	63	57	16	28	23	16	10	17
WBGene00009525	5	1	1	1	6	1	1	1
WBGene00009515	172	81	65	56	73	23	22	22
WBGene00007476	321	99	50	45	34	32	20	22
WBGene00022425	2925	1052	685	610	734	280	217	220
WBGene00018778	8694	2152	2400	2151	2292	815	588	677
WBGene00018777	1026	279	318	249	349	117	94	98
WBGene00019054	10	1	4	3	3	1	1	2
WBGene00019053	3	1	3	1	5	1	1	1
WBGene00004338	1001	236	136	124	142	60	52	46
WBGene00166535	8	1	1	1	2	1	2	1
WBGene00023305	10	1	1	3	2	1	1	1
WBGene00022423	657	175	507	428	547	167	137	188
WBGene00198926	3	1	1	1	2	1	1	1
WBGene00022314	58	16	14	13	14	3	1	1
WBGene00199927	3	1	1	1	2	1	1	1
WBGene00002180	574	176	59	70	87	33	20	16
WBGene00022308	10	3	4	1	5	1	1	1
WBGene00022307	715	209	185	193	223	101	63	79
WBGene00023393	3	1	1	1	2	1	1	1
WBGene00220213	20	1	7	1	2	1	1	1
WBGene00044464	25	3	7	4	3	2	2	1
WBGene00022306	3066	848	1406	1295	1542	453	408	498
WBGene00019367	23	7	5	5	2	1	2	2
WBGene00195474	3	1	1	1	2	2	1	1
WBGene00000681	291	72	47	68	66	23	13	16
WBGene00044073	96	76	38	38	40	36	25	24
WBGene00016425	106	32	29	25	22	14	8	11
WBGene00016424	83	15	21	20	15	12	5	2
WBGene00021520	23	5	17	18	26	12	6	10
WBGene00021519	20	5	3	3	5	2	1	3
WBGene00021518	270	65	29	28	34	34	17	27
WBGene00021517	25	6	4	5	3	2	1	1
WBGene00021516	91	22	22	10	15	6	7	3
WBGene00000416	1469	452	683	516	762	226	174	227
WBGene00021515	394	162	167	140	198	65	60	70
WBGene00021514	3698	691	805	815	811	327	218	269
WBGene00001105	116	44	25	30	32	6	7	7
WBGene00003712	250	85	67	49	76	33	18	26
WBGene00003682	96	45	57	49	54	18	12	12
WBGene00003677	207	45	74	86	49	18	19	15
WBGene00045255	71	37	30	31	31	16	7	9
WBGene00021525	91	26	21	21	20	6	2	4
WBGene00021513	51	18	7	8	9	2	3	1
WBGene00004497	3410	735	360	303	325	147	104	148
WBGene00021512	2584	591	775	681	777	274	208	242
WBGene00220155	5	4	3	1	2	1	1	1
WBGene00021511	20	6	4	8	5	2	1	1
WBGene00200640	3	1	1	1	2	1	1	1
WBGene00044618	30	8	5	5	3	4	1	2
WBGene00019538	23	6	5	6	9	1	2	3
WBGene00019537	4993	1211	652	686	677	297	225	263
WBGene00019536	28	12	21	8	11	2	9	7
WBGene00195004	8	2	12	9	9	1	1	4
WBGene00021506	2836	879	931	726	889	301	227	252
WBGene00021505	172	48	55	49	70	16	16	13
WBGene00000682	51	2	17	15	17	1	1	1
WBGene00021504	25	2	1	6	5	1	1	1
WBGene00195012	3	1	1	1	2	1	1	1
WBGene00000553	341	97	207	195	230	60	61	53
WBGene00019462	283	108	228	188	233	60	46	61
WBGene00001173	12405	3524	4284	3600	4312	1556	1116	1344
WBGene00001186	1449	352	561	471	609	195	123	153
WBGene00001253	154	49	57	41	46	19	19	15
WBGene00018681	4040	1260	1476	1295	1699	586	427	499
WBGene00018680	362	132	507	364	546	225	117	144
WBGene00018679	1560	376	292	272	219	102	71	74
WBGene00138717	824	210	142	130	130	64	35	51
WBGene00018678	1057	221	194	190	236	87	51	64
WBGene00006738	265	183	40	15	25	30	8	13
WBGene00021655	1044	288	300	262	334	132	84	93
WBGene00044466	131	39	16	11	19	12	3	4
WBGene00022297	660	236	113	105	121	56	48	33
WBGene00022302	101	27	3	10	8	4	3	6
WBGene00022300	2953	896	1000	968	1040	391	266	291
WBGene00022296	6199	1916	1922	1531	1790	678	518	567
WBGene00022295	51	9	9	15	15	3	3	3
WBGene00201141	3	1	1	1	3	1	1	1
WBGene00044467	159	45	120	121	117	45	30	40
WBGene00019873	73	21	72	86	116	21	11	17
WBGene00255572	8	1	5	5	5	1	1	2
WBGene00019875	2907	585	546	546	546	196	125	164
WBGene00023241	96	44	370	297	487	78	90	119
WBGene00023240	5	1	5	3	3	1	1	1
WBGene00022940	3	1	1	1	2	1	1	1
WBGene00016025	8	2	1	3	2	1	1	1
WBGene00200043	3	1	1	1	2	1	1	1
WBGene00016024	66	11	7	10	14	4	3	4
WBGene00199050	3	1	1	1	2	1	1	1
WBGene00016023	38	14	9	13	11	4	3	2
WBGene00077523	15	2	4	3	3	1	1	1
WBGene00016918	1294	423	279	233	309	125	108	128
WBGene00201637	3	1	3	1	2	1	1	1
WBGene00016917	8	1	5	4	2	1	1	1
WBGene00022134	7121	1826	3587	3202	3774	1055	845	1015
WBGene00044650	1856	727	1089	915	1159	481	413	500
WBGene00020208	3688	1145	1963	1635	2005	657	469	486
WBGene00019784	5	2	3	1	2	1	1	1
WBGene00019783	255	36	68	45	74	8	10	4
WBGene00201529	3	2	1	1	2	1	1	1
WBGene00196218	3	1	1	3	2	1	1	1
WBGene00198288	3	1	1	1	3	1	1	1
WBGene00199490	3	1	1	1	2	1	1	1
WBGene00201693	3	1	3	1	2	1	1	1
WBGene00200681	3	2	1	1	2	1	1	2
WBGene00219413	35	7	8	3	6	1	1	1
WBGene00021415	286	63	39	35	45	11	13	17
WBGene00021423	4679	1667	3006	2749	3576	1064	1002	1081
WBGene00021421	999	308	280	245	252	102	73	112
WBGene00168399	5	1	1	1	2	1	1	1
WBGene00197860	8	4	1	1	2	1	1	2
WBGene00021420	3377	797	617	597	716	273	209	247
WBGene00021419	650	162	119	103	107	45	26	51
WBGene00219262	3	1	1	1	2	1	1	1
WBGene00200448	3	1	1	1	2	1	1	1
WBGene00016671	131	27	47	55	59	11	11	15
WBGene00200790	3	1	1	1	2	1	1	1
WBGene00016670	58	13	8	9	5	1	3	7
WBGene00016669	30	4	3	4	2	1	1	1
WBGene00016668	5	2	1	3	2	1	1	1
WBGene00001705	23	8	3	3	3	1	1	2
WBGene00044468	447	193	95	94	144	46	27	44
WBGene00235299	3	1	1	1	3	1	1	1
WBGene00022090	430	69	111	86	110	20	16	18
WBGene00022089	8421	2315	2505	2082	2273	1036	811	872
WBGene00022087	3476	1078	1398	1289	1448	501	405	475
WBGene00198527	3	1	1	1	2	1	1	1
WBGene00022086	53	4	25	18	15	1	2	1
WBGene00022085	53	11	21	33	28	2	3	2
WBGene00235288	10	3	8	8	14	1	1	1
WBGene00235342	15	1	1	3	3	1	1	1
WBGene00022083	288	44	83	96	110	19	13	25
WBGene00235343	15	1	3	8	2	1	1	4
WBGene00022082	20	2	12	6	5	1	1	1
WBGene00022079	207	17	39	49	40	11	9	4
WBGene00235294	8	1	3	4	2	1	1	3
WBGene00022078	622	269	385	351	481	147	126	165
WBGene00022077	710	199	240	253	252	86	61	75
WBGene00022101	308	77	56	69	66	31	34	26
WBGene00174384	3	1	1	1	2	1	1	1
WBGene00022076	455	140	120	111	133	59	50	58
WBGene00004878	230	84	72	49	59	30	12	19
WBGene00199492	3	1	1	3	2	1	1	1
WBGene00022075	293	107	30	34	56	17	5	12
WBGene00004367	1345	429	424	336	391	152	124	125
WBGene00202041	3	1	1	1	3	1	1	1
WBGene00201684	13	9	4	6	6	1	1	1
WBGene00023390	3	1	1	1	2	1	1	1
WBGene00195436	5	4	1	1	2	1	1	1
WBGene00022074	1979	579	436	369	394	227	151	160
WBGene00022376	379	114	42	40	32	19	16	11
WBGene00196975	3	1	1	1	2	1	1	1
WBGene00022375	18	7	22	19	25	7	3	10
WBGene00023396	3	1	1	4	5	1	1	1
WBGene00022374	35	11	13	18	12	4	7	6
WBGene00044485	126	24	12	20	15	10	10	4
WBGene00043061	10	1	8	5	6	1	1	2
WBGene00235350	25	2	7	3	11	1	1	1
WBGene00219424	10	1	7	5	5	1	2	3
WBGene00044486	8	4	5	5	6	1	1	1
WBGene00169683	3	1	1	1	2	1	1	1
WBGene00021868	2753	754	672	582	760	258	209	212
