GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00014450	71	1	7	6	5	1	1	1
WBGene00014451	126	12	10	6	17	6	3	8
WBGene00010957	5680	5578	741	448	743	801	689	738
WBGene00010958	3693	2450	190	128	227	136	164	182
WBGene00014452	81	34	3	5	6	6	3	6
WBGene00014453	1186	490	46	43	32	39	17	46
WBGene00014454	3557891	1155817	131044	105106	140433	145728	91413	125279
WBGene00014455	46	2	4	4	8	1	1	1
WBGene00014456	15	2	3	6	17	2	1	1
WBGene00014457	1676	922	420	296	328	191	118	183
WBGene00010959	25141	9797	6951	5418	6700	2902	2200	2824
WBGene00010960	18356	9382	4940	3943	4409	2442	1793	2682
WBGene00014458	142	18	5	8	20	2	5	1
WBGene00014459	121	2	43	25	68	1	1	1
WBGene00014460	119	9	13	23	14	7	5	7
WBGene00010961	7561	7135	2730	1892	3023	1313	1163	1532
WBGene00014461	2836	9	317	353	308	1	1	1
WBGene00014462	18	2	8	3	19	1	1	1
WBGene00014463	10	5	7	3	9	1	1	1
WBGene00014464	185	12	18	11	23	1	1	1
WBGene00000829	62174	22961	14027	12179	14111	5265	4085	4987
WBGene00014465	56	41	10	11	20	8	3	7
WBGene00010962	57778	19193	9755	8600	8989	5058	3851	5103
WBGene00014466	200	95	61	66	63	24	23	29
WBGene00010963	29527	12530	7365	5773	7539	2969	2407	3221
WBGene00010964	83657	52634	22623	15648	23228	12131	8679	10347
WBGene00014467	109	31	7	4	6	2	1	1
WBGene00014468	129	17	8	4	8	1	1	1
WBGene00014469	5	1	3	1	8	1	1	1
WBGene00014470	142	17	21	5	34	5	2	2
WBGene00010965	44930	17500	5792	4116	5445	3109	2182	2681
WBGene00014471	420	112	42	44	65	7	11	12
WBGene00014472	1057826	368411	71994	59895	72171	68224	45065	57884
WBGene00010966	3157	2696	369	200	352	268	218	260
WBGene00010967	47871	24533	10396	7468	10327	5240	3907	5073
WBGene00014473	96	47	34	23	60	9	6	6
WBGene00021406	2010	608	674	569	589	204	155	173
WBGene00021407	86	19	7	11	8	3	1	1
WBGene00021408	121	37	47	50	63	12	16	16
WBGene00021405	71	16	78	78	71	22	26	19
WBGene00021409	71	16	78	78	71	22	26	19
WBGene00021404	121	37	47	53	63	12	16	16
WBGene00001492	2520	802	781	645	737	256	186	211
WBGene00021403	86	19	7	11	8	3	1	1
WBGene00195502	3	1	3	1	2	1	1	1
WBGene00235257	10	2	1	1	2	1	1	1
WBGene00235258	3	1	1	1	2	1	1	1
WBGene00166500	3	1	3	1	3	1	1	1
WBGene00235260	13	3	5	5	8	1	1	1
WBGene00235259	20	7	12	4	5	6	2	8
WBGene00023131	12097	1	57	44	40	1	1	1
WBGene00235261	25	3	4	6	5	2	1	2
WBGene00235262	3	1	5	1	5	1	1	2
WBGene00201447	5	3	5	8	6	1	1	1
WBGene00015246	66	6	12	10	9	1	1	4
WBGene00006599	1211	354	301	259	314	105	98	92
WBGene00015247	131	37	23	26	6	14	5	9
WBGene00017927	3	2	1	4	3	1	3	2
WBGene00001111	8	5	12	3	9	1	1	1
WBGene00023277	33	5	3	10	17	4	2	3
WBGene00017928	1236	349	228	207	215	95	66	103
WBGene00017929	1813	614	494	363	457	196	116	149
WBGene00196821	3	1	1	1	2	1	1	1
WBGene00017926	2068	317	254	227	291	116	82	107
WBGene00000897	1059	352	364	274	359	139	88	106
WBGene00000674	324	90	63	60	63	26	15	21
WBGene00198932	3	1	9	8	8	4	2	2
WBGene00202431	5	2	3	4	2	1	1	1
WBGene00023019	119	1	1	5	9	1	1	1
WBGene00197291	3	1	1	1	2	1	1	1
WBGene00198551	5	1	1	1	2	1	1	1
WBGene00199863	3	1	1	1	2	1	1	1
WBGene00021400	68	17	7	3	9	5	2	4
WBGene00021398	415	42	86	96	122	24	10	18
WBGene00219750	5	1	1	1	2	1	1	1
WBGene00021397	96	29	31	15	36	11	4	18
WBGene00021396	142	44	60	49	62	22	16	13
WBGene00198224	3	1	1	3	2	1	1	1
WBGene00006561	425	131	192	172	199	85	49	75
WBGene00021395	832	224	159	114	170	76	44	45
WBGene00196851	3	1	3	3	2	1	1	1
WBGene00021402	1042	294	445	338	444	152	107	97
WBGene00000815	3046	925	753	645	655	206	171	202
WBGene00044736	164	58	95	70	111	41	38	42
WBGene00195063	690	148	136	133	114	54	38	58
WBGene00021394	1507	548	380	309	376	182	137	138
WBGene00021401	356	145	67	50	62	20	20	13
WBGene00019821	1694	486	308	269	291	146	99	115
WBGene00019822	2467	744	516	456	550	216	154	183
WBGene00019823	1411	325	237	194	185	79	60	74
WBGene00019820	2700	815	633	516	527	236	155	187
WBGene00019819	3795	1055	494	384	504	250	171	197
WBGene00001728	3	1	3	1	2	1	1	1
WBGene00019824	2263	730	666	547	686	272	186	209
WBGene00019825	961	254	127	123	155	62	50	54
WBGene00001071	66	11	16	24	14	4	5	9
WBGene00020647	1873	498	330	274	308	127	90	116
WBGene00003932	690	202	147	108	141	70	44	55
WBGene00020651	541	62	31	28	37	7	9	3
WBGene00020650	23	2	7	5	3	2	2	2
WBGene00005487	8	4	9	8	12	2	1	7
WBGene00003362	3	1	1	1	5	1	1	1
WBGene00020649	1618	525	777	637	819	276	171	194
WBGene00206487	344	80	65	69	63	28	30	24
WBGene00045177	13	2	1	3	3	1	1	1
WBGene00020648	30	11	9	8	9	7	3	6
WBGene00019298	2816	563	446	372	351	162	117	158
WBGene00019300	354	90	43	44	62	23	20	33
WBGene00019299	28	2	1	3	3	3	1	1
WBGene00198707	13	1	1	1	2	1	1	1
WBGene00001099	1866	555	464	466	454	273	182	212
WBGene00001735	61	4	4	10	3	1	1	2
WBGene00200120	3	1	1	1	2	1	1	1
WBGene00023092	56	4	1	1	2	1	1	1
WBGene00017578	392	90	74	69	62	22	18	29
WBGene00000675	6032	1589	1491	1494	1408	744	459	537
WBGene00017577	10	5	4	8	2	1	3	1
WBGene00017574	288	69	51	44	70	18	12	24
WBGene00017576	215	59	73	84	91	26	21	19
WBGene00197593	3	1	1	1	2	1	1	1
WBGene00022048	32844	9029	8746	7322	8561	3075	2075	2803
WBGene00220192	3	1	1	4	6	1	1	2
WBGene00004981	1443	396	162	133	172	82	61	44
WBGene00020295	741	211	185	148	156	56	36	53
WBGene00004493	21668	3843	2831	2552	2613	1319	851	955
WBGene00044789	3752	730	1321	1176	1348	523	524	760
WBGene00020300	1140	241	154	110	164	88	86	88
WBGene00001338	683	214	120	125	134	63	28	62
WBGene00020298	1320	470	310	214	252	105	76	83
WBGene00045249	182	55	20	15	22	7	5	4
WBGene00020297	9336	2933	2910	2431	2722	1319	885	1005
WBGene00020296	1297	428	357	227	332	130	88	99
WBGene00001666	30	14	14	8	15	4	5	4
WBGene00002187	652	220	155	111	125	58	46	61
WBGene00219270	10	1	10	9	12	3	2	1
WBGene00165558	5	1	3	1	5	1	1	1
WBGene00020299	48	25	14	10	19	6	7	4
WBGene00001332	1590	465	589	531	547	251	173	187
WBGene00000913	16784	4446	4449	3705	4125	1715	1151	1378
WBGene00022046	3994	1043	811	585	773	253	185	237
WBGene00022047	149	74	60	36	56	31	17	22
WBGene00002041	1590	488	408	339	425	140	116	144
WBGene00022045	278	59	31	21	32	19	10	18
WBGene00022044	981	325	181	138	168	68	43	48
WBGene00235263	18	2	1	5	3	1	1	1
WBGene00235264	3	1	3	3	2	1	1	1
WBGene00019772	61	27	8	14	11	5	5	4
WBGene00019773	33	5	8	5	3	3	2	2
WBGene00019774	124	44	27	34	40	11	5	7
WBGene00220031	3	1	1	1	2	1	1	1
WBGene00235265	10	2	1	1	3	1	1	1
WBGene00021011	159	52	38	38	42	12	6	7
WBGene00021012	2169	745	430	357	470	174	116	172
WBGene00000213	741	183	143	129	147	68	52	43
WBGene00201763	3	1	1	1	2	1	1	1
WBGene00021010	35	5	12	8	14	4	2	1
WBGene00021013	5	4	3	4	3	1	1	1
WBGene00001625	46	14	8	4	6	2	3	2
WBGene00017276	3	1	1	1	2	1	1	1
WBGene00199193	3	1	1	1	2	1	1	1
WBGene00018924	33	6	14	9	8	4	2	2
WBGene00200779	3	1	1	1	2	1	1	1
WBGene00201760	3	1	1	1	2	1	1	1
WBGene00198589	5	2	1	1	5	1	1	1
WBGene00195964	3	1	1	1	2	1	1	1
WBGene00001165	377	117	74	65	77	24	21	20
WBGene00197598	8	1	1	3	2	1	1	1
WBGene00197815	3	1	1	1	2	1	1	1
WBGene00018927	25	9	4	4	12	4	2	3
WBGene00219978	3	1	4	1	3	1	1	1
WBGene00018925	1315	376	278	265	311	86	56	71
WBGene00001579	3021	979	1159	992	1133	382	271	294
WBGene00018926	288	26	43	45	29	8	5	9
WBGene00189987	18	2	4	3	5	1	2	1
WBGene00015995	3	1	1	1	2	1	1	1
WBGene00015996	167	3	14	10	11	3	3	2
WBGene00015994	137	14	23	18	19	4	5	3
WBGene00199836	3	1	1	1	2	1	1	1
WBGene00015997	28	6	3	3	2	1	1	1
WBGene00044457	48	24	14	6	6	11	7	10
WBGene00015998	10	2	3	5	2	1	1	2
WBGene00015999	5	2	3	3	2	1	1	1
WBGene00000676	182	4	12	10	15	1	1	1
WBGene00199072	3	1	1	1	5	1	1	1
WBGene00002140	33	12	13	13	9	4	1	4
WBGene00015993	106	34	14	14	11	9	5	9
WBGene00022911	1775	1	9	14	6	1	1	1
WBGene00200850	5	1	1	3	2	1	1	1
WBGene00200054	53	8	7	15	12	1	1	1
WBGene00194995	5895	2064	415	353	380	106	82	119
WBGene00015497	250	69	78	68	104	27	18	26
WBGene00019665	109	25	22	15	32	11	7	6
WBGene00196668	3	1	1	1	2	1	1	1
WBGene00019658	207	34	22	11	19	4	1	2
WBGene00004427	17724	3277	3760	3275	3658	1620	1023	1120
WBGene00044948	822	500	107	118	173	43	27	36
WBGene00045051	895	259	194	172	315	31	15	28
WBGene00019664	1545	267	133	119	125	40	22	39
WBGene00023106	147	16	1	5	9	1	2	2
WBGene00019663	369	77	60	64	53	32	19	29
WBGene00019662	3	2	4	3	2	1	2	2
WBGene00044723	8	7	3	6	3	1	1	1
WBGene00019659	5	4	3	1	2	1	2	1
WBGene00019660	15	6	4	6	3	2	2	1
WBGene00044458	3	1	4	3	2	1	1	1
WBGene00019661	48	19	17	14	14	4	3	7
WBGene00195864	3	1	1	1	2	1	1	1
WBGene00023038	25	4	3	1	2	1	1	1
WBGene00018256	137	37	42	24	26	16	8	9
WBGene00235287	48	37	4	15	5	1	1	15
WBGene00021950	114	35	53	51	59	21	21	16
WBGene00021949	5	1	3	3	3	1	1	1
WBGene00044460	18	3	7	9	9	4	3	1
WBGene00044459	182	60	55	48	59	25	15	15
WBGene00021951	8	1	1	4	2	1	1	1
WBGene00168241	3	1	1	1	2	1	1	1
WBGene00219763	3	2	3	1	2	1	1	1
WBGene00197624	3	2	3	3	2	1	1	1
WBGene00021948	268	49	47	49	51	15	7	20
WBGene00196878	3	1	1	1	2	1	1	1
WBGene00194844	10	4	1	3	3	1	1	1
WBGene00021947	15	4	5	3	3	1	1	1
WBGene00001788	20	8	1	6	5	2	1	1
WBGene00000677	12665	1572	976	1102	1025	361	249	344
WBGene00018928	230	82	48	25	31	27	11	19
WBGene00018929	48	15	25	18	11	4	5	2
WBGene00018933	10	3	3	3	3	1	1	1
WBGene00018932	1074	320	128	103	133	89	62	62
WBGene00018931	657	38	27	18	29	11	10	11
WBGene00199691	3	1	1	1	3	1	1	1
WBGene00004824	720	300	162	128	139	62	40	52
WBGene00197041	3	1	1	1	3	1	1	1
WBGene00200616	3	1	1	1	2	1	1	1
WBGene00018930	48	14	14	6	11	2	2	1
WBGene00018935	973	289	120	89	110	62	38	55
WBGene00018934	895	267	108	80	102	37	23	31
WBGene00001154	1345	387	331	304	442	114	100	101
WBGene00220182	129	42	80	61	91	13	20	19
WBGene00021935	736	329	183	163	176	83	64	61
WBGene00185088	164	38	52	49	65	17	11	19
WBGene00235283	3	2	1	3	3	1	1	2
WBGene00021936	1904	697	696	523	748	201	162	161
WBGene00220183	5	3	13	11	12	1	3	1
WBGene00199601	3	1	1	3	2	1	1	1
WBGene00202216	3	1	5	1	2	1	1	1
WBGene00021942	73	26	14	11	15	9	5	3
WBGene00044742	162	55	48	29	49	22	11	17
WBGene00021943	1150	347	571	451	567	181	163	200
WBGene00201199	3	1	1	1	2	1	1	1
WBGene00023184	99	2	1	1	2	1	1	1
WBGene00021941	81	7	16	9	14	5	3	2
WBGene00021945	1034	328	196	150	201	73	36	54
WBGene00044757	73	11	9	8	11	3	3	6
WBGene00021939	528	158	146	111	131	55	46	37
WBGene00195533	3	1	1	3	2	1	1	1
WBGene00023183	18381	3788	5455	4680	6346	1149	638	755
WBGene00201671	15	4	9	15	8	1	3	2
WBGene00021938	1436	506	300	265	303	97	73	107
WBGene00196995	3	1	1	1	2	1	1	1
WBGene00196058	3	1	1	3	2	1	1	1
WBGene00007007	865	293	249	195	198	102	77	109
WBGene00016649	435	165	142	129	111	78	56	46
WBGene00045301	215	74	87	81	85	23	20	22
WBGene00016648	458	182	145	140	108	87	65	60
WBGene00045300	222	76	90	84	87	24	22	22
WBGene00016647	458	182	145	140	108	87	65	60
WBGene00045299	220	75	89	84	87	24	22	22
WBGene00016646	437	168	143	130	114	80	58	47
WBGene00045298	207	75	89	86	85	21	21	25
WBGene00019073	455	181	145	139	105	85	63	58
WBGene00019072	245	85	100	94	93	26	21	24
WBGene00019070	25	11	17	6	8	1	3	3
WBGene00019069	81	14	25	28	17	6	5	7
WBGene00196404	3	1	1	3	5	1	1	1
WBGene00199590	3	1	1	1	2	1	1	1
WBGene00019067	33	6	9	10	6	1	3	2
WBGene00019068	490	160	100	93	113	58	42	44
WBGene00004047	3898	1223	1307	1078	1206	444	267	360
WBGene00043705	397	115	120	90	110	48	29	49
WBGene00220181	38	11	17	10	17	11	6	10
WBGene00021924	1747	611	683	448	723	270	173	211
WBGene00021923	190	100	90	50	57	31	25	28
WBGene00021925	134	32	23	16	25	9	7	7
WBGene00021926	1148	352	206	203	212	106	58	64
WBGene00021922	1067	269	155	130	139	51	50	57
WBGene00021921	2118	767	656	604	583	258	173	200
WBGene00194825	3	1	1	1	2	1	1	1
WBGene00194822	3	1	1	1	2	1	1	1
WBGene00194823	3	2	1	3	2	1	1	1
WBGene00194824	3	1	1	1	2	1	1	1
WBGene00194826	3	1	1	1	2	1	1	1
WBGene00021927	61	11	18	14	14	6	6	8
WBGene00219762	3	2	7	3	3	1	1	2
WBGene00021928	58	16	17	18	11	6	3	4
WBGene00005903	215	1	4	3	3	1	1	1
WBGene00219399	78	11	17	19	26	12	7	3
WBGene00021929	2108	605	416	352	422	177	119	143
WBGene00021930	1034	378	143	115	116	60	44	39
WBGene00021920	784	184	115	101	102	47	44	46
WBGene00021931	58	4	8	10	12	4	2	2
WBGene00000816	1388	421	258	227	227	120	84	99
WBGene00021934	6366	1789	1461	1106	1515	572	417	477
WBGene00196098	3	1	1	1	2	1	1	1
WBGene00021933	609	186	94	99	85	57	33	25
WBGene00021932	609	222	68	40	82	35	23	31
WBGene00044462	8	1	1	4	3	1	1	1
WBGene00016637	5	11	4	1	3	1	5	1
WBGene00003893	10246	2257	1921	1813	1907	880	593	708
WBGene00005905	3	1	3	3	2	1	1	1
WBGene00005904	25	1	4	5	3	1	1	1
WBGene00202064	3	1	1	1	2	1	1	1
WBGene00016638	8130	2951	1300	1043	1311	809	577	628
WBGene00016636	3173	834	811	745	921	457	362	379
WBGene00016639	5	4	4	8	2	1	2	1
WBGene00199664	3	1	1	1	2	1	1	1
WBGene00200465	3	1	1	1	2	1	1	1
WBGene00023256	13	1	3	1	2	1	1	1
WBGene00016797	66	20	12	13	8	1	3	3
WBGene00023257	3	1	1	1	3	1	1	1
WBGene00016798	5	1	1	1	2	1	1	1
WBGene00219437	5	1	1	1	5	1	1	1
WBGene00016796	1135	329	411	322	532	157	126	156
WBGene00198147	3	1	1	1	2	1	1	1
WBGene00198949	10	1	7	3	3	1	1	1
WBGene00022426	819	186	211	167	170	109	54	74
WBGene00022428	324	79	72	70	56	31	23	22
WBGene00198533	3	1	1	1	3	1	1	1
WBGene00197287	3	1	1	1	2	1	1	1
WBGene00007020	506	160	77	68	108	54	27	44
WBGene00196875	3	1	1	1	2	1	1	1
WBGene00022427	2010	500	724	734	895	252	285	338
WBGene00196976	3	1	1	3	2	1	1	1
WBGene00202019	3	1	1	1	2	1	1	1
WBGene00001104	230	77	35	28	54	15	9	13
WBGene00023163	15	2	1	1	6	3	1	1
WBGene00001103	76	17	10	16	20	1	1	1
WBGene00021123	56	16	35	29	28	18	11	11
WBGene00044463	5	9	3	3	5	4	1	4
WBGene00021122	15	1	4	1	2	1	1	1
WBGene00021121	99	33	21	15	32	14	13	15
WBGene00021120	10	1	1	4	3	1	1	1
WBGene00009521	2601	677	764	619	762	241	200	208
