Condition	GeneID	HS % / WT % 	HS % Antisense over Sense	HS log % Antisense over Sense	HS log rowmean	HS rowmean	OK % / WT % 	OK % Antisense over Sense	OK log % Antisense over Sense	OK log rowmean	OK rowmean	TOTAL_HS_A	TOTAL_HS_S	TOTAL_OK_A	TOTAL_OK_S	TOTAL_WT_A	TOTAL_WT_S	WT % Antisense over Sense	WT log % Antisense over Sense	WT log rowmean	WT rowmean	log Condition (antisense/sense) / WT (antisense/sense) 	log HS % / WT % 	log OK % / WT % 	Antisense up in Condition
HS	WBGene00010963	1.4306611570247934	0.014462809917355372	-4.236174757661319	6.601909235902685	736.5						21.0	1452.0			150	14838	0.010109179134654266	-4.594311442653216	8.921857979353632	7494.0	0.35813668499189705	0.35813668499189705		True
HS	WBGene00000897	3.811572052401747	0.07205240174672489	-2.6303616226477047	5.503296947234575	245.5						33.0	458.0			10	529	0.01890359168241966	-3.968403338864254	5.596568390349052	269.5	1.338041716216549	1.338041716216549		True
HS	WBGene00015497	95.62499999999999	3.269230769230769	1.1845547184688343	4.0163830207523885	55.5						85.0	26.0			4	117	0.03418803418803419	-3.3758795736778655	4.102643365036796	60.5	4.5604342921467	4.5604342921467		True
HS	WBGene00021948	6.390476190476191	0.5238095238095238	-0.6466271649250525	3.871201010907891	48.0						33.0	63.0			10	122	0.08196721311475409	-2.501435951739211	4.189654742026425	66.0	1.8548087868141585	1.8548087868141585		True
HS	WBGene00021943	27.781818181818178	0.14545454545454545	-1.927891643552635	5.241747015059643	189.0						48.0	330.0			3	573	0.005235602094240838	-5.25227342804663	5.662960480135946	288.0	3.324381784493995	3.324381784493995		True
HS	WBGene00021924	12.105781057810578	0.14022140221402213	-1.9645326611533152	5.0401940963378005	154.5						38.0	271.0			9	777	0.011583011583011582	-4.458215773031428	5.973809611869261	393.0	2.493683111878113	2.493683111878113		True
HS	WBGene00021923	19.134999999999998	2.15	0.7654678421395714	4.548599834499697	94.5						129.0	60.0			10	89	0.11235955056179775	-2.186051276738094	3.901972669574645	49.5	2.9515191188776653	2.9515191188776653		True
HS	WBGene00001104	16.217194570135746	1.8823529411764706	0.6325225587435105	3.1986731175506815	24.5						32.0	17.0			13	112	0.11607142857142858	-2.153549513833558	4.135166556742356	62.5	2.7860720725770682	2.7860720725770682		True
HS	WBGene00235267	67.11428571428571	12.428571428571429	2.5199979695992702	3.8501476017100584	47.0						87.0	7.0			5	27	0.18518518518518517	-1.6863989535702288	2.772588722239781	16.0	4.206396923169499	4.206396923169499		True
HS	WBGene00000547	11.963927855711423	0.022545090180360723	-3.7922379671010895	6.9280479822498995	1020.5						45.0	1996.0			3	1592	0.0018844221105527637	-6.2741340777362185	6.6814818346589995	797.5	2.481896110635129	2.481896110635129		True
HS	WBGene00022306	4.32824427480916	0.015854374633000587	-4.144309814658359	6.762729506931879	865.0						27.0	1703.0			5	1365	0.003663003663003663	-5.60947179518496	6.529418838262226	685.0	1.4651619805266005	1.4651619805266005		True
HS	WBGene00016425	4.195906432748537	1.9444444444444444	0.664976303593249	3.2771447329921766	26.5						35.0	18.0			19	41	0.4634146341463415	-0.7691330875378672	3.4011973816621555	30.0	1.4341093911311162	1.4341093911311162		True
HS	WBGene00021516	1.9708333333333334	2.6875	0.9886113934537812	3.3843902633457743	29.5						43.0	16.0			60	44	1.3636363636363635	0.31015492830383945	3.9512437185814275	52.0	0.6784564651499417	0.6784564651499417		True
HS	WBGene00003677	9.837837837837839	0.7027027027027027	-0.3528213746227423	4.548599834499697	94.5						78.0	111.0			6	84	0.07142857142857142	-2.639057329615259	3.8066624897703196	45.0	2.286235954992516	2.286235954992516		True
HS	WBGene00001186	3.695192307692307	0.0673076923076923	-2.6984807500860595	5.1149953094204985	166.5						21.0	312.0			10	549	0.018214936247723135	-4.005513348515485	5.633002292595154	279.5	1.3070325984294255	1.3070325984294255		True
HS	WBGene00022300	5.332491582491582	0.03367003367003367	-3.391147045808654	6.643138479461352	767.5						50.0	1485.0			8	1267	0.006314127861089187	-5.064965638641303	6.457554277032581	637.5	1.6738185928326492	1.6738185928326492		True
HS	WBGene00020208	10.706891495601173	0.030058651026392963	-3.5046047716991	7.247792581767846	1405.0						82.0	2728.0			5	1781	0.002807411566535654	-5.875492370855562	6.794586580876499	893.0	2.3708875991564615	2.3708875991564615		True
HS	WBGene00022090	47.72108843537414	33.888888888888886	3.5230871992711923	5.749392985908253	314.0						610.0	18.0			147	207	0.7101449275362319	-0.3422862064866327	5.176149732573829	177.0	3.865373405757825	3.865373405757825		True
HS	WBGene00022089	307.51138392857143	0.5839285714285715	-0.5379766128319414	7.480992162869525	1774.0						1308.0	2240.0			8	4213	0.0018988844054118206	-6.26648872029918	7.654680165222554	2110.5	5.728512107467239	5.728512107467239		True
HS	WBGene00022087	12.428571428571429	0.08035714285714286	-2.521274293958875	7.434847875211999	1694.0						252.0	3136.0			9	1392	0.00646551724137931	-5.041272263558145	6.551794365777062	700.5	2.5199979695992702	2.5199979695992702		True
HS	WBGene00022059	2.038979447200567	0.018072289156626505	-4.013375499688434	6.516193076042964	676.0						24.0	1328.0			17	1918	0.008863399374348279	-4.725824911387168	6.874715424903937	967.5	0.712449411698734	0.712449411698734		True
HS	WBGene00022060	7.062271062271062	11.476190476190476	2.440274495767232	4.875197323201151	131.0						241.0	21.0			78	48	1.625	0.4855078157817008	4.143134726391533	63.0	1.9547666799855312	1.9547666799855312		True
