GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00014450	1	1	2	6	7	5	3
WBGene00014451	1	1	12	8	24	5	2
WBGene00010957	27	2	324	306	563	14	11
WBGene00010958	22	1	435	530	702	10	12
WBGene00014452	3	1	173	228	193	5	3
WBGene00014453	4	1	81	110	103	2	2
WBGene00014454	5335	201	1015	888	2480	1065	1087
WBGene00014455	1	1	8	4	5	1	1
WBGene00014456	1	1	8	4	10	2	1
WBGene00014457	1	1	8	8	10	1	1
WBGene00010959	64	5	175	128	212	35	47
WBGene00010960	20	10	240	232	380	15	21
WBGene00014458	3	1	48	29	91	5	4
WBGene00014459	1	1	46	35	57	7	6
WBGene00014460	6	1	50	48	81	6	7
WBGene00010961	20	1	209	300	315	18	19
WBGene00014461	3	1	28	44	45	5	2
WBGene00014462	4	1	16	44	67	9	4
WBGene00014463	19	2	117	155	200	64	44
WBGene00014464	13	2	91	104	167	8	8
WBGene00000829	89	5	411	449	618	52	65
WBGene00014465	4	1	20	17	31	2	4
WBGene00010962	64	17	606	903	907	38	58
WBGene00014466	8	1	171	219	267	5	6
WBGene00010963	150	21	1466	1479	1785	34	46
WBGene00010964	86	1	216	265	413	62	50
WBGene00014467	1	1	26	21	38	1	2
WBGene00014468	1	1	22	19	41	2	1
WBGene00014469	1	1	6	4	21	4	1
WBGene00014470	4	4	73	89	84	3	2
WBGene00010965	25	6	214	246	306	15	20
WBGene00014471	3	1	26	31	48	4	1
WBGene00014472	1060	74	284	350	547	303	296
WBGene00010966	9	1	147	151	291	5	7
WBGene00010967	43	1	338	391	654	31	41
WBGene00014473	3	1	62	31	110	5	4
WBGene00021406	1	1	2	2	2	1	1
WBGene00021407	1	1	2	2	2	1	1
WBGene00021408	1	1	2	2	2	1	1
WBGene00021405	1	1	2	2	2	1	1
WBGene00021409	1	1	2	2	2	1	1
WBGene00021404	1	1	2	2	2	1	1
WBGene00001492	1	1	8	2	2	2	2
WBGene00021403	1	1	2	2	2	1	1
WBGene00195502	1	1	2	2	2	1	1
WBGene00235257	3	1	4	2	2	1	1
WBGene00235258	1	1	2	2	2	1	1
WBGene00166500	1	1	4	2	2	1	1
WBGene00235260	1	1	2	2	2	1	1
WBGene00235259	1	2	2	2	2	1	1
WBGene00023131	1	1	2	2	2	1	1
WBGene00235261	1	1	2	2	5	1	1
WBGene00235262	3	2	2	2	2	1	1
WBGene00201447	1	1	2	2	2	1	1
WBGene00015246	32	3	44	56	53	8	6
WBGene00006599	10	13	18	21	17	6	7
WBGene00015247	14	4	30	14	38	2	5
WBGene00017927	25	16	18	19	12	5	10
WBGene00001111	3	3	4	2	2	1	2
WBGene00023277	5	13	8	6	5	2	3
WBGene00017928	6	2	4	6	7	5	1
WBGene00017929	8	1	6	4	7	6	4
WBGene00196821	5	1	2	2	2	1	1
WBGene00017926	4	3	2	2	2	7	6
WBGene00000897	10	33	32	19	21	17	18
WBGene00000674	9	12	4	4	5	7	5
WBGene00198932	1	1	2	2	2	1	1
WBGene00202431	3	1	2	2	2	2	1
WBGene00023019	3	7	4	6	2	1	1
WBGene00197291	3	1	2	4	2	1	2
WBGene00198551	1	1	2	2	2	1	1
WBGene00199863	3	1	2	2	2	1	1
WBGene00021400	3	1	2	2	2	1	1
WBGene00021398	5	7	2	2	5	3	4
WBGene00219750	1	1	2	4	2	1	1
WBGene00021397	3	2	2	2	5	1	2
WBGene00021396	3	3	2	2	5	5	2
WBGene00198224	4	1	2	2	2	1	4
WBGene00006561	9	1	8	6	10	4	3
WBGene00021395	5	6	10	12	12	4	5
WBGene00196851	1	1	2	2	5	1	1
WBGene00021402	9	1	4	6	7	2	6
WBGene00000815	4	2	2	2	5	6	8
WBGene00044736	3	6	4	4	12	3	2
WBGene00195063	5	4	4	8	7	4	3
WBGene00021394	6	4	8	6	10	5	4
WBGene00021401	1	1	2	4	5	2	3
WBGene00019821	5	2	2	10	10	5	5
WBGene00019822	3	2	2	4	5	6	5
WBGene00019823	8	5	8	4	5	11	6
WBGene00019820	8	5	8	10	7	8	9
WBGene00019819	9	1	6	2	7	4	7
WBGene00001728	1	1	2	2	2	1	1
WBGene00019824	4	2	4	2	7	5	10
WBGene00019825	4	1	2	6	5	4	2
WBGene00001071	3	2	2	2	2	1	2
WBGene00020647	3	3	2	6	5	10	9
WBGene00003932	4	11	2	2	2	11	7
WBGene00020651	1	1	6	10	2	2	1
WBGene00020650	4	3	4	8	5	2	3
WBGene00005487	1	1	2	2	2	1	1
WBGene00003362	1	1	2	2	2	1	1
WBGene00020649	11	16	30	31	31	11	11
WBGene00206487	1	6	2	2	2	5	9
WBGene00045177	1	1	2	4	2	1	1
WBGene00020648	3	1	4	2	2	2	1
WBGene00019298	6	8	2	4	5	4	4
