GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00014450	36	2	10	10	7	31	10
WBGene00014451	62	2	12	10	26	44	11
WBGene00010957	2847	12	1142	692	1143	782	392
WBGene00010958	1856	15	294	197	351	176	218
WBGene00014452	41	2	4	8	10	12	18
WBGene00014453	596	3	70	66	50	65	77
WBGene00014454	1788460	382459	202327	162267	216831	471798	446573
WBGene00014455	22	6	6	6	12	17	11
WBGene00014456	8	2	4	8	26	55	11
WBGene00014457	841	2	649	454	506	15	46
WBGene00010959	12634	2586	10727	8362	10347	9785	12285
WBGene00010960	9172	4323	7599	6051	6779	4773	6762
WBGene00014458	70	2	8	12	29	18	11
WBGene00014459	61	1	66	39	105	151	46
WBGene00014460	58	8	20	33	21	38	32
WBGene00010961	3796	79	4214	2920	4664	2237	2441
WBGene00014461	1411	461	479	520	473	517	238
WBGene00014462	9	11	12	4	29	17	27
WBGene00014463	5	8	10	4	14	17	14
WBGene00014464	86	7	28	17	31	40	15
WBGene00000829	31131	12308	21594	18736	21720	16321	18750
WBGene00014465	28	11	16	17	31	4	6
WBGene00010962	29036	22448	15046	13273	13870	10504	13571
WBGene00014466	100	7	95	102	98	50	119
WBGene00010963	14838	1452	11374	8910	11634	6551	8200
WBGene00010964	42022	2389	34912	24149	35834	18417	19100
WBGene00014467	55	2	8	6	10	43	17
WBGene00014468	65	21	12	6	12	72	20
WBGene00014469	3	2	4	2	12	74	4
WBGene00014470	70	5	32	8	53	78	37
WBGene00010965	22161	3174	8804	6245	8249	6748	6324
WBGene00014471	210	21	60	64	95	29	33
WBGene00014472	530802	116712	110914	92274	111089	114502	93194
WBGene00010966	1586	38	570	309	544	512	434
WBGene00010967	24051	903	16025	11513	15913	11391	12854
WBGene00014473	47	2	52	35	91	70	26
WBGene00021406	1	5	6	8	5	4	5
WBGene00021407	1	1	2	2	2	1	1
WBGene00021408	1	1	2	2	2	1	1
WBGene00021405	1	1	2	2	2	1	1
WBGene00021409	1	1	2	2	2	1	1
WBGene00021404	1	1	2	2	2	1	1
WBGene00001492	191	98	117	83	134	111	129
WBGene00021403	1	1	2	2	2	1	1
WBGene00195502	1	1	2	2	2	1	1
WBGene00235257	4	1	2	2	2	1	1
WBGene00235258	1	1	2	2	2	1	1
WBGene00166500	1	1	2	2	2	1	1
WBGene00235260	1	1	2	2	5	1	1
WBGene00235259	4	1	8	2	2	1	1
WBGene00023131	5	1	6	2	2	1	1
WBGene00235261	11	3	6	10	7	2	1
WBGene00235262	1	1	8	2	7	1	1
WBGene00201447	3	2	8	12	10	1	2
WBGene00015246	24	2	18	6	12	2	1
WBGene00006599	602	144	459	398	485	212	237
WBGene00015247	66	29	34	41	10	18	21
WBGene00017927	1	2	2	2	2	1	1
WBGene00001111	4	2	12	2	14	2	5
WBGene00023277	10	1	2	6	10	1	1
WBGene00017928	600	959	350	313	322	452	538
WBGene00017929	905	949	763	555	697	920	835
WBGene00196821	1	1	2	2	2	1	1
WBGene00017926	1038	1135	393	350	446	702	775
WBGene00000897	529	458	560	416	551	671	602
WBGene00000674	127	196	97	77	93	79	85
WBGene00198932	1	1	14	10	12	1	2
WBGene00202431	3	7	4	6	2	1	1
WBGene00023019	3	1	2	2	2	2	1
WBGene00197291	1	2	2	2	2	2	2
WBGene00198551	3	1	2	2	2	1	1
WBGene00199863	1	1	2	2	2	1	1
WBGene00021400	27	11	10	4	14	4	5
WBGene00021398	201	5	133	145	186	9	9
WBGene00219750	3	1	2	2	2	1	1
WBGene00021397	47	9	48	23	50	17	16
WBGene00021396	67	40	93	70	91	35	33
WBGene00198224	1	1	2	4	2	1	1
WBGene00006561	208	168	296	263	306	127	174
WBGene00021395	409	337	236	176	258	179	203
WBGene00196851	1	1	2	4	2	1	1
WBGene00021402	506	705	679	509	680	503	516
WBGene00000815	1530	1987	1158	994	1012	1298	1258
WBGene00044736	83	50	137	104	150	44	62
WBGene00195063	346	1081	209	205	177	198	275
WBGene00021394	755	246	582	476	575	809	761
WBGene00021401	177	121	103	77	95	298	209
WBGene00019821	807	765	471	396	432	501	534
WBGene00019822	1211	785	786	694	838	1253	1233
WBGene00019823	705	749	367	298	282	1094	1055
WBGene00019820	1354	2817	973	791	802	1204	1243
WBGene00019819	1903	362	763	594	766	707	426
WBGene00001728	1	1	4	2	2	1	1
WBGene00019824	1135	1274	1027	845	1055	1432	1447
WBGene00019825	474	397	185	186	227	399	423
WBGene00001071	25	5	18	27	19	7	10
WBGene00020647	641	1681	304	248	298	546	622
WBGene00003932	346	222	228	164	217	502	382
WBGene00020651	269	22	44	41	50	91	72
WBGene00020650	9	3	6	2	2	5	4
WBGene00005487	4	3	14	12	19	6	3
WBGene00003362	1	1	2	2	2	1	1
WBGene00020649	807	69	1198	979	1251	180	222
WBGene00206487	173	326	101	104	98	107	125
WBGene00045177	6	1	2	4	2	2	2
WBGene00020648	9	36	4	8	10	20	26
WBGene00019298	1403	341	681	565	530	444	537
WBGene00019300	160	96	66	64	95	162	123
WBGene00019299	13	6	2	4	5	1	1
WBGene00198707	3	1	2	2	2	1	1
WBGene00001099	933	541	703	708	690	349	458
WBGene00001735	25	6	6	14	2	5	7
WBGene00200120	1	1	2	2	2	1	1
WBGene00023092	22	1	2	2	2	2	1
WBGene00017578	194	145	115	102	91	36	44
WBGene00000675	2956	6895	2260	2265	2134	8110	7261
WBGene00017577	5	3	4	8	2	3	2
WBGene00017574	145	26	77	66	107	35	30
WBGene00017576	92	157	105	112	131	110	100
WBGene00197593	1	1	2	2	2	1	1
WBGene00022048	16382	10101	13471	11259	13180	12007	11446
WBGene00220192	1	1	2	6	10	1	2
WBGene00004981	723	354	248	203	265	722	610
WBGene00020295	76	92	81	52	64	79	107
WBGene00004493	10861	16582	4355	3918	4003	15931	17695
WBGene00044789	1870	1632	2026	1806	2062	814	1073
WBGene00020300	571	2380	238	170	253	247	299
WBGene00001338	328	96	173	178	196	208	216
WBGene00020298	663	325	479	331	387	729	684
WBGene00045249	92	90	30	23	33	95	106
WBGene00020297	4682	1474	4475	3752	4194	3560	3728
WBGene00020296	643	265	548	344	511	626	568
WBGene00001666	13	2	22	12	24	33	19
WBGene00002187	327	133	230	170	193	209	209
WBGene00219270	5	1	16	12	19	2	2
WBGene00165558	3	1	4	2	7	1	1
WBGene00020299	24	7	22	14	26	27	22
WBGene00001332	797	1145	896	812	821	942	1075
WBGene00000913	8427	12265	6860	5707	6354	10454	11766
WBGene00022046	2006	3403	1241	890	1184	1157	1231
WBGene00022047	75	4	89	56	81	71	68
WBGene00002041	783	471	622	518	649	146	158
WBGene00022045	137	198	48	31	48	133	124
WBGene00022044	493	575	280	203	260	581	573
WBGene00235263	3	2	2	6	2	1	3
WBGene00235264	1	1	4	2	2	1	1
WBGene00019772	29	12	12	17	14	13	18
WBGene00019773	11	4	12	6	2	2	2
WBGene00019774	53	34	40	50	55	30	30
WBGene00220031	1	1	2	2	2	1	1
WBGene00235265	1	1	2	2	2	1	1
WBGene00021011	56	105	36	31	60	52	60
WBGene00021012	1083	944	657	549	721	1089	1115
WBGene00000213	370	292	222	197	224	104	172
WBGene00201763	1	1	2	2	2	1	1
WBGene00021010	17	5	18	8	21	2	1
WBGene00021013	1	1	4	6	5	2	2
WBGene00001625	17	3	12	2	10	4	7
WBGene00017276	1	1	2	2	2	1	1
WBGene00199193	1	1	2	2	2	1	1
WBGene00018924	15	1	20	14	12	6	1
WBGene00200779	1	2	2	2	2	1	3
WBGene00201760	1	1	2	2	2	1	1
WBGene00198589	1	1	2	2	7	1	2
WBGene00195964	1	3	2	2	2	1	1
WBGene00001165	189	480	111	101	119	131	151
WBGene00197598	3	1	2	2	2	1	1
WBGene00197815	1	1	2	2	2	1	2
WBGene00018927	11	47	6	6	19	11	8
WBGene00219978	1	9	6	2	5	2	3
WBGene00018925	658	363	429	410	480	623	584
WBGene00001579	1445	2290	1781	1518	1730	1363	1293
WBGene00018926	133	24	46	48	38	2	3
WBGene00189987	5	5	2	2	5	2	1
WBGene00015995	1	1	2	2	2	1	1
WBGene00015996	13	6	10	6	10	20	6
WBGene00015994	67	6	36	27	29	2	5
WBGene00199836	1	1	2	2	2	1	1
WBGene00015997	14	2	4	2	2	1	1
WBGene00044457	23	2	22	10	10	7	12
WBGene00015998	4	3	4	4	2	2	1
WBGene00015999	3	4	4	2	2	4	2
WBGene00000676	13	1	4	4	7	8	2
WBGene00199072	1	1	2	2	2	1	1
WBGene00002140	15	15	20	15	14	11	10
WBGene00015993	47	17	22	19	14	24	29
WBGene00022911	24	2	2	2	2	2	3
WBGene00200850	1	1	2	2	2	1	1
WBGene00200054	4	1	2	8	5	2	2
WBGene00194995	1463	33	383	307	325	199	215
WBGene00015497	117	26	117	93	150	81	92
WBGene00019665	53	22	34	23	50	44	46
WBGene00196668	1	1	2	2	2	1	1
WBGene00019658	64	26	28	12	12	72	60
WBGene00004427	8888	11239	5797	5040	5623	16103	15338
WBGene00044948	412	8	165	182	267	661	267
WBGene00045051	450	6	300	265	482	593	437
WBGene00019664	773	687	203	178	193	616	527
WBGene00023106	72	7	2	8	14	16	6
WBGene00019663	186	28	93	99	81	125	130
WBGene00019662	1	2	6	2	2	5	8
WBGene00044723	3	4	4	2	5	2	3
WBGene00019659	1	1	4	2	2	1	3
WBGene00019660	8	1	4	6	2	6	5
WBGene00044458	1	1	6	4	2	1	2
WBGene00019661	22	9	24	21	21	34	40
WBGene00195864	1	2	2	2	2	1	1
WBGene00023038	10	1	4	2	2	3	1
WBGene00018256	55	153	60	35	33	49	40
WBGene00235287	5	4	4	2	2	2	3
WBGene00021950	53	53	83	73	91	53	46
WBGene00021949	1	1	2	2	2	1	1
WBGene00044460	6	1	6	4	10	2	2
WBGene00044459	89	24	81	70	84	26	29
WBGene00021951	3	4	2	2	2	5	4
WBGene00168241	1	1	2	2	2	1	2
WBGene00219763	1	1	4	2	2	2	1
WBGene00197624	1	15	2	2	2	2	2
WBGene00021948	122	63	73	70	72	77	74
WBGene00196878	1	1	2	2	2	1	1
WBGene00194844	5	17	2	2	5	10	7
WBGene00021947	5	1	6	2	5	2	3
WBGene00001788	10	6	2	6	5	4	8
WBGene00000677	6086	4829	1454	1607	1523	3104	2507
WBGene00018928	113	33	70	33	41	74	65
WBGene00018929	6	1	2	4	7	10	9
WBGene00018933	1	7	4	2	5	2	3
WBGene00018932	539	452	197	159	198	729	631
WBGene00018931	64	13	36	21	38	19	17
WBGene00199691	1	1	2	2	5	1	1
WBGene00004824	360	499	250	197	212	435	376
WBGene00197041	1	1	2	2	2	2	1
WBGene00200616	1	1	2	2	2	1	1
WBGene00018930	24	1	22	8	17	3	5
WBGene00018935	484	171	185	137	167	416	379
WBGene00018934	446	627	167	124	158	452	489
WBGene00001154	676	579	510	466	668	1118	1141
WBGene00220182	65	34	123	95	138	278	256
WBGene00021935	366	246	276	248	265	452	421
WBGene00185088	81	64	81	73	98	89	102
WBGene00235283	1	1	2	4	5	2	2
WBGene00021936	939	611	1072	806	1153	1703	1660
WBGene00220183	3	1	20	17	19	1	1
WBGene00199601	1	1	2	4	2	1	1
WBGene00202216	1	1	8	2	2	1	1
WBGene00021942	34	27	20	17	24	46	47
WBGene00044742	81	45	75	44	76	56	65
WBGene00021943	573	330	880	694	876	860	937
WBGene00201199	1	1	2	2	2	1	1
WBGene00023184	1	1	2	2	2	1	5
WBGene00021941	11	1	12	8	14	7	6
WBGene00021945	512	214	294	230	310	455	388
WBGene00044757	22	2	12	10	14	4	4
WBGene00021939	250	172	226	155	203	151	156
WBGene00195533	1	1	2	4	2	1	1
WBGene00023183	9237	4811	8421	7223	9800	5332	3379
WBGene00201671	8	7	12	23	12	4	3
WBGene00021938	718	1754	457	408	465	731	731
WBGene00196995	1	1	2	2	2	1	1
WBGene00196058	1	1	2	2	2	1	1
WBGene00007007	431	715	385	294	294	392	417
WBGene00016649	1	1	2	2	2	1	1
WBGene00045301	3	2	4	2	2	1	1
WBGene00016648	1	1	2	2	2	1	1
WBGene00045300	1	1	2	2	2	1	1
WBGene00016647	1	1	2	2	2	1	1
WBGene00045299	1	1	2	2	2	1	1
WBGene00016646	1	1	2	2	2	1	1
WBGene00045298	8	61	16	17	10	2	5
WBGene00019073	1	1	2	2	2	1	1
WBGene00019072	13	12	18	15	12	4	11
WBGene00019070	11	52	16	10	12	12	13
WBGene00019069	14	46	38	33	12	29	28
WBGene00196404	1	1	2	4	7	1	1
WBGene00199590	1	1	2	2	2	2	1
WBGene00019067	9	2	6	10	7	1	3
WBGene00019068	245	228	155	139	169	146	142
WBGene00004047	1908	967	1986	1644	1831	2443	2214
WBGene00043705	182	142	183	137	169	144	173
WBGene00220181	15	13	24	14	26	24	30
WBGene00021924	777	271	896	607	962	1531	1441
WBGene00021923	89	60	137	73	86	143	114
WBGene00021925	66	75	36	25	38	64	67
WBGene00021926	573	934	318	306	325	747	753
WBGene00021922	533	522	238	199	215	540	576
WBGene00021921	1045	721	1005	928	890	1548	1320
WBGene00194825	1	1	2	2	2	1	1
WBGene00194822	1	1	2	2	2	1	1
WBGene00194823	1	1	2	2	2	1	1
WBGene00194824	1	1	2	2	2	1	1
WBGene00194826	1	1	2	2	2	1	1
WBGene00021927	25	3	24	14	21	23	18
WBGene00219762	1	1	10	4	5	1	1
WBGene00021928	23	61	22	25	14	35	41
WBGene00005903	11	1	6	2	2	1	2
WBGene00219399	27	21	12	14	21	20	18
WBGene00021929	1056	736	643	542	649	1283	1437
WBGene00021930	517	846	220	170	179	686	583
WBGene00021920	384	434	177	155	155	218	263
WBGene00021931	20	49	10	12	14	42	56
WBGene00000816	682	317	395	333	348	960	930
WBGene00021934	3182	6251	2242	1704	2337	7130	6744
WBGene00196098	1	1	2	2	2	1	1
WBGene00021933	299	129	133	149	124	572	451
WBGene00021932	275	117	103	52	107	212	201
WBGene00044462	3	8	2	4	5	6	6
WBGene00016637	3	114	6	2	5	294	298
WBGene00003893	5126	10980	2967	2785	2941	4914	6292
WBGene00005905	1	1	4	2	2	2	2
WBGene00005904	4	1	4	4	2	1	1
WBGene00202064	1	1	2	2	2	1	1
WBGene00016638	4019	2076	1966	1580	1957	7697	8589
WBGene00016636	1589	259	1251	1147	1415	7839	9011
WBGene00016639	1	2	4	4	2	4	4
WBGene00199664	1	1	2	2	2	1	1
WBGene00200465	1	1	2	2	2	1	1
WBGene00023256	1	1	2	2	2	1	1
WBGene00016797	28	2	12	17	10	15	10
WBGene00023257	1	1	2	2	5	1	1
WBGene00016798	3	1	2	2	2	1	3
WBGene00219437	1	1	2	2	2	1	1
WBGene00016796	568	171	626	489	802	925	915
WBGene00198147	1	1	2	2	2	1	1
