GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00014450	3	1	1	4	5	2	3	4
WBGene00014451	3	1	8	5	15	4	3	4
WBGene00010957	53	19	210	198	365	65	78	79
WBGene00010958	43	16	282	343	454	68	72	91
WBGene00014452	5	4	112	148	125	13	9	29
WBGene00014453	8	2	52	71	66	9	7	24
WBGene00014454	10613	10211	657	575	1606	797	1172	964
WBGene00014455	3	1	5	3	3	1	2	1
WBGene00014456	3	1	5	3	6	2	2	2
WBGene00014457	3	1	5	5	6	1	2	3
WBGene00010959	126	67	113	83	138	25	19	34
WBGene00010960	40	22	155	150	246	31	25	37
WBGene00014458	5	1	31	19	59	11	11	8
WBGene00014459	3	2	30	23	37	7	12	7
WBGene00014460	13	2	33	31	53	7	9	7
WBGene00010961	40	19	136	194	204	32	43	48
WBGene00014461	5	4	18	29	29	7	5	9
WBGene00014462	8	2	10	29	43	6	2	13
WBGene00014463	38	12	76	100	130	21	16	24
WBGene00014464	25	11	59	68	108	18	17	22
WBGene00000829	177	50	266	291	400	56	40	62
WBGene00014465	8	3	13	11	20	4	3	4
WBGene00010962	126	60	393	585	587	92	72	102
WBGene00014466	15	8	111	142	173	28	14	22
WBGene00010963	298	94	949	958	1156	196	190	227
WBGene00010964	172	122	140	172	267	48	44	49
WBGene00014467	3	1	17	14	25	6	8	4
WBGene00014468	3	1	14	13	26	4	7	6
WBGene00014469	3	1	4	3	14	1	3	3
WBGene00014470	8	2	47	58	54	9	11	15
WBGene00010965	51	25	138	159	198	33	38	46
WBGene00014471	5	1	17	20	31	4	7	11
WBGene00014472	2108	2462	184	227	354	154	259	223
WBGene00010966	18	10	95	98	189	16	25	29
WBGene00010967	86	49	219	253	423	43	55	51
WBGene00014473	5	5	40	20	71	9	12	6
WBGene00021406	3	1	1	1	2	1	1	1
WBGene00021407	3	1	1	1	2	1	1	1
WBGene00021408	3	1	1	1	2	1	1	1
WBGene00021405	3	1	1	1	2	1	1	1
WBGene00021409	3	1	1	1	2	1	1	1
WBGene00021404	3	1	1	1	2	1	1	1
WBGene00001492	3	2	5	1	2	1	1	1
WBGene00021403	3	1	1	1	2	1	1	1
WBGene00195502	3	1	1	1	2	1	1	1
WBGene00235257	5	1	3	1	2	1	1	1
WBGene00235258	3	1	1	1	2	1	1	1
WBGene00166500	3	1	3	1	2	1	1	1
WBGene00235260	3	1	1	1	2	1	1	1
WBGene00235259	3	1	1	1	2	1	1	1
WBGene00023131	3	1	1	1	2	1	1	1
WBGene00235261	3	1	1	1	3	1	1	1
WBGene00235262	5	2	1	1	2	1	1	1
WBGene00201447	3	1	1	1	2	1	1	1
WBGene00015246	63	14	29	36	34	7	7	6
WBGene00006599	20	11	12	14	11	4	4	2
WBGene00015247	28	10	20	9	25	2	4	6
WBGene00017927	51	22	12	13	8	6	3	6
WBGene00001111	5	2	3	1	2	1	1	1
WBGene00023277	10	6	5	4	3	1	1	1
WBGene00017928	13	6	3	4	5	1	1	2
WBGene00017929	15	2	4	3	5	1	1	1
WBGene00196821	10	1	1	1	2	1	1	1
WBGene00017926	8	2	1	1	2	1	1	1
WBGene00000897	20	17	21	13	14	4	3	8
WBGene00000674	18	10	3	3	3	1	1	1
WBGene00198932	3	1	1	1	2	1	1	1
WBGene00202431	5	1	1	1	2	1	1	1
WBGene00023019	5	2	3	4	2	1	1	1
WBGene00197291	5	1	1	3	2	1	1	1
WBGene00198551	3	1	1	1	2	1	1	1
WBGene00199863	5	1	1	1	2	1	1	1
WBGene00021400	5	1	1	1	2	1	1	1
WBGene00021398	10	1	1	1	3	1	1	1
WBGene00219750	3	1	1	3	2	1	1	1
WBGene00021397	5	1	1	1	3	1	1	1
WBGene00021396	5	2	1	1	3	1	1	1
WBGene00198224	8	1	1	1	2	1	1	1
WBGene00006561	18	2	5	4	6	1	3	2
WBGene00021395	10	2	7	8	8	4	1	3
WBGene00196851	3	1	1	1	3	1	1	1
WBGene00021402	18	4	3	4	5	6	3	3
WBGene00000815	8	2	1	1	3	2	1	1
WBGene00044736	5	1	3	3	8	1	1	1
WBGene00195063	10	2	3	5	5	2	1	2
WBGene00021394	13	3	5	4	6	1	2	2
WBGene00021401	3	2	1	3	3	1	1	1
WBGene00019821	10	5	1	6	6	4	1	1
WBGene00019822	5	6	1	3	3	1	3	2
WBGene00019823	15	4	5	3	3	2	1	1
WBGene00019820	15	6	5	6	5	2	3	2
