GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00014450	71	1	7	6	5	1	1	1
WBGene00014451	124	12	8	6	17	6	3	8
WBGene00010957	5663	5571	739	448	740	801	689	738
WBGene00010958	3691	2445	190	128	227	136	164	182
WBGene00014452	81	34	3	5	6	6	3	6
WBGene00014453	1186	490	46	43	32	39	17	45
WBGene00014454	3557459	1155637	131009	105070	140401	145708	91399	125254
WBGene00014455	43	2	4	4	8	1	1	1
WBGene00014456	15	2	3	5	17	1	1	1
WBGene00014457	1674	922	420	294	328	191	118	183
WBGene00010959	25131	9795	6946	5415	6700	2902	2200	2822
WBGene00010960	18245	9321	4921	3918	4389	2428	1782	2671
WBGene00014458	139	17	5	8	19	2	5	1
WBGene00014459	121	2	43	25	68	1	1	1
WBGene00014460	116	9	13	21	14	7	5	7
WBGene00010961	7551	7131	2728	1891	3020	1313	1163	1532
WBGene00014461	2806	8	310	337	306	1	1	1
WBGene00014462	18	2	8	3	19	1	1	1
WBGene00014463	10	5	7	3	9	1	1	1
WBGene00014464	172	11	18	11	20	1	1	1
WBGene00000829	61924	22829	13982	12132	14064	5235	4058	4966
WBGene00014465	56	41	10	11	20	8	3	7
WBGene00010962	57755	19185	9742	8594	8981	5057	3849	5103
WBGene00014466	200	95	61	66	63	24	23	29
WBGene00010963	29515	12523	7365	5769	7533	2965	2404	3220
WBGene00010964	83586	52607	22606	15637	23203	12121	8676	10343
WBGene00014467	109	31	5	4	6	2	1	1
WBGene00014468	129	16	8	4	8	1	1	1
WBGene00014469	5	1	3	1	8	1	1	1
WBGene00014470	139	17	21	5	34	5	2	2
WBGene00010965	44081	17480	5701	4044	5341	3107	2180	2681
WBGene00014471	417	112	39	41	62	7	11	12
WBGene00014472	1055829	368317	71818	59748	71931	68206	45052	57875
WBGene00010966	3155	2694	369	200	352	268	217	260
WBGene00010967	47840	24515	10376	7455	10304	5233	3902	5071
WBGene00014473	94	47	34	23	59	9	6	6
WBGene00021406	3	1	4	5	3	2	1	3
WBGene00021407	3	1	1	1	2	1	1	1
WBGene00021408	3	1	1	1	2	1	1	1
WBGene00021405	3	1	1	1	2	1	1	1
WBGene00021409	3	1	1	1	2	1	1	1
WBGene00021404	3	1	1	1	2	1	1	1
WBGene00001492	379	122	76	54	87	38	22	29
WBGene00021403	3	1	1	1	2	1	1	1
WBGene00195502	3	1	1	1	2	1	1	1
