GeneID	baseMean	log2FoldChange	padj	log2FoldChange_sig_and_sense_significant_and_antisense_significant	gene_biotype_name	name
WBGene00194993	7.857142857142861	5.939272767335511	0.0178975672817251	True	snRNA	NA
WBGene00077475	8.571428571428571	5.0944938955529295	0.0258592473597834	True	rRNA	NA
WBGene00077470	8.71428571428571	4.78133915759601	0.0326146477403865	True	rRNA	NA
WBGene00077474	8.85714285714286	5.163206558038099	0.0220420700683244	True	rRNA	NA
WBGene00077471	8.85714285714286	5.163206558038099	0.0220420700683244	True	rRNA	NA
WBGene00200365	9.0	-5.70040928172259	0.0304722343246349	True	ncRNA	NA
WBGene00045272	9.14285714285714	6.75484065260622	0.00474383683227217	True	protein_coding	NA
WBGene00199120	9.85714285714286	-5.27298583244984	0.0400262869082184	True	ncRNA	NA
WBGene00014549	10.5714285714286	6.43041119596007	0.00436825688284363	True	snRNA	NA
WBGene00014288	10.857142857142902	5.8089254523885	0.0129358921156129	True	snRNA	NA
WBGene00014403	10.857142857142902	5.39229232334934	0.0116078964573677	True	snRNA	NA
WBGene00014405	11.142857142857098	5.03999297823513	0.0162549420387619	True	snRNA	NA
WBGene00019983	11.285714285714299	4.752506641526639	0.0250992750314042	True	protein_coding	sti-1
WBGene00014312	11.5714285714286	5.17846240580339	0.0168385793295189	True	snRNA	NA
WBGene00014550	11.714285714285701	5.62494173900148	0.0128865698635824	True	snRNA	NA
WBGene00014310	11.857142857142902	4.9858183825632	0.0212096211628065	True	snRNA	NA
WBGene00014311	11.857142857142902	4.62098611323572	0.0289530828744092	True	snRNA	NA
WBGene00014404	11.857142857142902	4.3345852946712595	0.0322179002883732	True	snRNA	NA
WBGene00045095	12.142857142857098	7.68189661342031	0.000266873594219429	True	ncRNA	mrpr-1
WBGene00015893	12.4285714285714	-5.62446355816862	0.0264651428034314	True	protein_coding	NA
WBGene00000677	12.714285714285701	4.748171947204299	0.0238369707917906	True	protein_coding	col-103
WBGene00013700	12.857142857142902	-4.4332241878044005	0.0305613320403013	True	protein_coding	NA
WBGene00194828	12.857142857142902	5.06297531085729	0.0333286598032284	True	miRNA	NA
WBGene00006344	13.142857142857098	5.529789145549111	0.0102332354790909	True	snRNA	sup-39
WBGene00022117	13.285714285714299	4.8873044112510895	0.0361324877156738	True	protein_coding	NA
WBGene00003401	13.4285714285714	3.82679037016315	0.0457849465614271	True	protein_coding	mpk-1
WBGene00219425	13.857142857142902	-3.8565500321882897	0.0426853755987361	True	protein_coding	NA
WBGene00013506	14.0	5.598138782477879	0.00324357818996907	True	protein_coding	usp-3
WBGene00014222	14.142857142857098	4.93977521240267	0.0411384099923807	True	protein_coding	trpp-3
WBGene00001683	14.714285714285701	5.79814800813654	0.00863305861029445	True	protein_coding	gpd-1
WBGene00194769	14.857142857142902	-5.32845663969824	0.00438779671867083	True	pseudogene	NA
WBGene00000122	15.142857142857098	4.09190549047582	0.0391087607198247	True	protein_coding	aly-3
WBGene00011194	15.4285714285714	-8.06963743359728	8.401632274056659e-05	True	protein_coding	NA
WBGene00011446	15.714285714285701	5.5584008843614505	0.0030627971700614397	True	protein_coding	NA
WBGene00045093	15.857142857142902	4.16990990087807	0.0444602552484834	True	snoRNA	NA
WBGene00001227	16.0	3.97726815530751	0.0252634035687775	True	protein_coding	eif-3.D
WBGene00016636	16.2857142857143	4.33878427432538	0.0309902535870144	True	protein_coding	perm-2
WBGene00019240	16.428571428571402	3.8975416626125896	0.0398397050729354	True	protein_coding	NA
WBGene00006066	16.7142857142857	4.45942027218102	0.0262408203360919	True	protein_coding	sto-4
WBGene00019190	16.7142857142857	-4.2223804840055	0.0248232406215112	True	protein_coding	NA
WBGene00014946	17.0	-8.16987292390561	0.00036647822589931097	True	pseudogene	NA
WBGene00044745	17.1428571428571	-4.17959792071634	0.0315261411884193	True	protein_coding	NA
WBGene00044413	17.428571428571402	4.2556364083563105	0.0463949132993208	True	protein_coding	NA
WBGene00000670	18.0	3.64525184915119	0.0429093931865476	True	protein_coding	col-95
WBGene00013942	18.5714285714286	3.59755481135445	0.0289530828744092	True	protein_coding	NA
WBGene00004454	18.7142857142857	3.9083186375859396	0.0400026472174242	True	protein_coding	rpl-36.A
WBGene00007169	18.7142857142857	-3.59584270792714	0.0362925139937174	True	protein_coding	NA
WBGene00006697	19.7142857142857	3.8083136330873297	0.0430116572141632	True	protein_coding	uaf-1
WBGene00004435	21.4285714285714	5.06513448615145	0.00433771761651634	True	protein_coding	rpl-23
WBGene00016695	21.714285714285698	-4.35988554643175	0.011260520557506001	True	protein_coding	NA
WBGene00016955	22.0	-4.87035265375459	0.00886347018672832	True	protein_coding	perm-5
WBGene00016124	22.142857142857103	4.02235656547016	0.0227782431511636	True	protein_coding	dnc-4
WBGene00014593	22.142857142857103	4.55261125246856	0.00711894132645727	True	snRNA	NA
WBGene00013223	23.571428571428598	4.16991426958585	0.0130489164673978	True	protein_coding	efa-6
WBGene00007100	23.714285714285698	3.78087282800586	0.0212696084939086	True	protein_coding	NA
WBGene00012469	23.857142857142897	3.5170522944905698	0.0229323071807879	True	protein_coding	NA
WBGene00011423	24.714285714285698	-5.8021798479701605	0.00012098111596893	True	protein_coding	ipla-7
WBGene00011231	24.857142857142897	4.11040935655192	0.0347824010939959	True	protein_coding	NA
WBGene00044149	25.0	-4.81445150310754	0.00131998120830032	True	protein_coding	NA
WBGene00009186	25.285714285714302	4.38022692052881	0.0128632927674938	True	protein_coding	trcs-1
WBGene00015083	25.714285714285698	4.33656072375654	0.008504202105031009	True	protein_coding	egg-1
WBGene00004432	25.714285714285698	3.71165599834392	0.0293435061710828	True	protein_coding	rpl-20
WBGene00001840	26.142857142857103	3.4198516943587296	0.0285414535410113	True	protein_coding	hel-1
WBGene00004449	26.428571428571402	4.1889647215651395	0.0268426264157527	True	protein_coding	rpl-35
WBGene00045163	26.857142857142897	5.7793116543280005	0.0049736480257556795	True	snoRNA	NA
WBGene00008741	28.142857142857103	3.94004986796293	0.0095536436910927	True	protein_coding	NA
WBGene00014542	28.285714285714302	5.183473595898009	0.000962317296825127	True	snRNA	NA
WBGene00002064	28.285714285714302	3.47887591314548	0.0438163708468924	True	protein_coding	iff-1
WBGene00045162	28.285714285714302	4.15720273548369	0.029970819437834	True	snoRNA	NA
WBGene00020600	28.285714285714302	-4.72661457614158	0.0018353233696526698	True	protein_coding	trd-1
WBGene00014336	28.857142857142897	6.51524322831125	3.18591470126843e-05	True	snRNA	NA
WBGene00014335	28.857142857142897	6.51524322831125	3.18591470126843e-05	True	snRNA	NA
WBGene00044508	29.428571428571402	-3.7946088367723196	0.017432956323116	True	protein_coding	nsy-7
WBGene00007105	30.428571428571402	3.52746760401015	0.0278272982296973	True	protein_coding	NA
WBGene00045164	30.428571428571402	4.42145145943763	0.0225195962893232	True	snoRNA	NA
WBGene00002136	30.428571428571402	3.80491622140657	0.0312564836228503	True	protein_coding	inx-14
WBGene00003930	30.714285714285698	-3.0558490643816	0.0499526764044805	True	protein_coding	pat-3
WBGene00000696	31.428571428571402	3.8549057840377796	0.018228522864027	True	protein_coding	NA
WBGene00013489	31.857142857142897	4.1844111160861095	0.0113342649795305	True	protein_coding	col-42
WBGene00004440	32.0	4.19376238033949	0.00290984864683098	True	protein_coding	rpl-26
WBGene00000795	32.8571428571429	4.14057362088542	0.0127270711953967	True	protein_coding	crn-2
WBGene00016171	32.8571428571429	3.69997739071876	0.0346707917113014	True	protein_coding	NA
WBGene00003934	33.2857142857143	5.04135559169873	0.00681020686547255	True	protein_coding	pat-10
WBGene00020263	33.2857142857143	-4.863272214941411	0.00236631496862401	True	protein_coding	let-355
WBGene00009124	33.4285714285714	-3.9301634168707698	0.0203390343172544	True	protein_coding	rtel-1
WBGene00000106	33.7142857142857	3.16991892739523	0.0404247920191092	True	protein_coding	alg-2
WBGene00004412	34.0	5.08526533659273	0.00029739008258693	True	protein_coding	rpl-1
WBGene00003370	34.1428571428571	3.7154638842046297	0.0123862506141605	True	protein_coding	mlc-2
WBGene00020128	35.2857142857143	-3.34653227405874	0.0324915345215746	True	protein_coding	NA
WBGene00001607	36.0	3.7974305219357096	0.00804000753878252	True	protein_coding	gln-6
