GeneID	baseMean	log2FoldChange	padj	log2FoldChange_sig_and_sense_significant_and_antisense_significant	gene_biotype_name	name
WBGene00198814	852446.5	1.9436195651235602	0.0292827458225641	True	ncRNA	NA
WBGene00196396	755444.0	0.9431381709319749	0.405087271152063	False	ncRNA	NA
WBGene00195813	565944.75	1.08823392614089	0.387057978895094	False	ncRNA	NA
WBGene00201398	429079.625	0.8756822845922769	0.54113946322377	False	ncRNA	NA
WBGene00004622	221429.5	3.8045039774662404	3.0014864307557594e-08	True	rRNA	rrn-3.1
WBGene00007131	67527.25	0.325227458774078	0.932279562944047	False	protein_coding	pals-26
WBGene00045189	67524.25	0.32513658973914	0.932279562944047	False	ncRNA	NA
WBGene00200561	58426.375	-1.04317699085824	0.170688557658611	False	ncRNA	NA
WBGene00004512	48956.25	2.8167051277497	0.000701661959183504	False	rRNA	rrn-1.1
WBGene00004513	48422.875	2.7966978617220497	0.000753030337593605	False	rRNA	NA
WBGene00004966	40111.75	-0.310233786937284	0.9463016417409541	False	protein_coding	spe-12
WBGene00007539	33948.0	0.24893315323517498	0.965643136885602	False	snoRNA	NA
WBGene00200276	24128.875	-0.825442099569005	0.40943996837444	False	ncRNA	NA
WBGene00202408	17844.75	0.0341542555659379	0.997227537000653	False	ncRNA	NA
WBGene00201151	12389.5	-0.920982750213812	0.323276251383628	False	ncRNA	NA
WBGene00196066	10860.625	-0.278196712301648	0.9509773441185291	False	ncRNA	NA
WBGene00197673	10478.625	0.213252842862153	0.968934602973667	False	ncRNA	NA
WBGene00199244	10478.625	0.21339904247796104	0.968934602973667	False	ncRNA	NA
WBGene00202259	10478.0	0.21277256535747602	0.968934602973667	False	ncRNA	NA
WBGene00195962	10477.25	0.213123597420233	0.968934602973667	False	ncRNA	NA
WBGene00196043	10467.0	0.210403886945679	0.968934602973667	False	ncRNA	NA
WBGene00199371	10435.625	-1.1993543905905701	0.192349156320221	False	ncRNA	NA
WBGene00198544	8592.0	5.29930671261842	0.000910676435514116	False	ncRNA	NA
WBGene00197737	8591.25	5.2467769910003295	0.00345001704973196	False	ncRNA	NA
WBGene00199059	8589.75	5.05385643704516	0.00478089586811008	False	ncRNA	NA
WBGene00198190	8117.625	0.335718081285573	0.9244813195093999	False	ncRNA	NA
WBGene00199757	8042.375	-0.215826473498413	0.968934602973667	False	ncRNA	NA
WBGene00198205	8041.875	-0.21605703956212	0.968934602973667	False	ncRNA	NA
WBGene00199607	8041.625	-0.21616552429895602	0.968934602973667	False	ncRNA	NA
WBGene00196671	8035.375	-0.216460811472422	0.968934602973667	False	ncRNA	NA
WBGene00195350	8032.875	-0.216628359467047	0.968934602973667	False	ncRNA	NA
WBGene00014425	7434.875	0.6323682611280059	0.684019505806848	False	snoRNA	NA
WBGene00201282	7230.5	-0.731409016908128	0.7160208850584159	False	ncRNA	NA
WBGene00201023	7230.25	-0.7308259596734279	0.709443143655795	False	ncRNA	NA
WBGene00199726	7211.75	-0.72711939541603	0.717020346312516	False	ncRNA	NA
WBGene00195860	7069.5	-0.73682517603092	0.7034611035645351	False	ncRNA	NA
