GeneID	baseMean	log2FoldChange	padj	log2FoldChange_sig_and_sense_significant_and_antisense_significant	gene_biotype_name	name
WBGene00004622	28685676.625	3.5329752377220296	1.1890021086292e-13	True	rRNA	rrn-3.1
WBGene00004512	8131591.75	1.88536570550914	0.17892339748312	False	rRNA	rrn-1.1
WBGene00004513	8118476.75	1.8821573895223898	0.181659223695585	False	rRNA	NA
WBGene00004567	1541704.25	-0.0852755087074128	0.982138909608631	False	rRNA	rrn-2.1
WBGene00004677	1443149.125	0.737774334041331	0.480405141511992	False	pseudogene	rrn-3.56
WBGene00014454	681588.875	1.56680372751093	0.00347583453638479	False	rRNA	NA
WBGene00000140	407297.625	-0.07963001224403099	0.9828003687651801	False	protein_coding	anc-1
WBGene00006930	333692.0	0.8625806433501341	0.13381286379647	False	protein_coding	vit-6
WBGene00023429	269280.75	-0.44600470268404707	0.7541057177745809	False	snoRNA	NA
WBGene00014472	225183.75	1.26817582374424	0.0155939015029182	False	rRNA	NA
WBGene00006929	221932.25	0.641365042061996	0.40848138026697906	False	protein_coding	vit-5
WBGene00006926	209747.625	0.817796185244466	0.17740683827798698	False	protein_coding	vit-2
WBGene00014290	207761.875	0.939055631756864	0.19014728561525304	False	snoRNA	NA
WBGene00013859	159983.0	0.058170012489251	0.98739907278073	False	protein_coding	NA
WBGene00045156	157298.875	-0.30894032647020503	0.8646491156139571	False	snoRNA	NA
WBGene00045370	148302.75	-0.483902324878755	0.652759091040593	False	ncRNA	NA
WBGene00006928	145690.0	0.584266413783739	0.493656153221044	False	protein_coding	vit-4
WBGene00006927	145605.375	0.611668587497798	0.45271698327001797	False	protein_coding	vit-3
WBGene00195017	107185.75	0.8898042465618751	0.124716431400938	False	ncRNA	NA
WBGene00195016	104917.375	0.7280411471881991	0.324209900921031	False	ncRNA	NA
WBGene00001920	76588.0	1.89490707839271	3.0150507025177503e-05	False	protein_coding	NA
WBGene00001930	76581.25	1.89484770623567	3.0150507025177503e-05	False	protein_coding	NA
WBGene00044947	70860.25	-0.34112339117373397	0.8018088562230741	False	snoRNA	NA
WBGene00045141	68613.75	-0.718512156896354	0.289691503026166	False	snoRNA	NA
WBGene00045154	58399.75	-1.04309894458057	0.0208270895579237	False	snoRNA	NA
WBGene00006925	55226.875	1.13106897391021	0.02391674325429	False	protein_coding	vit-1
WBGene00023467	51837.0	1.4623634004960702	6.38949114391025e-05	False	snoRNA	NA
WBGene00201261	50960.625	0.655220083004615	0.39439669072624	False	ncRNA	NA
WBGene00001168	48801.875	0.949796816268791	0.144325106521061	False	protein_coding	eef-1A.1
WBGene00001938	45662.25	1.8068939741632102	9.10060620718715e-05	False	protein_coding	his-64
WBGene00044952	44174.375	1.1267274732761299	0.0308948416072574	False	snoRNA	NA
WBGene00006789	44136.125	0.44304888356332706	0.675821177064555	False	protein_coding	unc-54
WBGene00045168	42095.375	0.22872209585464398	0.89907665839958	False	ncRNA	NA
WBGene00006436	40439.5	1.08306128968008	0.0772239012983638	False	protein_coding	ttn-1
WBGene00206375	35470.0	-0.369931929776946	0.8169283857361309	False	snoRNA	NA
WBGene00023452	33840.0	-1.5730860587558202	0.000900362135438993	False	miRNA	NA
WBGene00000066	31033.75	0.6580206470210551	0.326119579770999	False	protein_coding	act-4
WBGene00019017	29890.875	0.628072136954459	0.4602198847652079	False	protein_coding	NA
WBGene00045089	28905.375	-1.03750856638358	0.544680032497869	False	snoRNA	NA
WBGene00010964	28618.375	-0.312515391806312	0.8451089341804799	False	protein_coding	ctc-1
WBGene00001581	28185.25	0.655678465740247	0.41911914211886897	False	protein_coding	gfi-1
WBGene00001488	28098.5	0.51388403525951	0.563483478580156	False	protein_coding	frm-1
WBGene00001167	28076.875	0.10271022796748501	0.9689042193756701	False	protein_coding	eef-2
WBGene00001939	27374.25	0.25644104724535	0.8547050996941	False	protein_coding	his-65
WBGene00001921	27362.25	0.258469081016257	0.8533163480371809	False	protein_coding	his-47
WBGene00001931	27355.0	0.255161152837527	0.8562134061769201	False	protein_coding	his-57
WBGene00045055	26253.0	-0.6862444271275739	0.515269901634406	False	snoRNA	NA
