GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00014455	23	6	6	6	12	18	11
WBGene00014456	8	2	4	10	26	55	11
WBGene00014461	1426	1199	489	545	475	518	238
WBGene00014462	9	12	12	4	29	18	27
WBGene00014463	5	8	10	4	14	17	14
WBGene00014465	28	12	16	17	31	4	6
WBGene00010962	29047	22468	15066	13282	13882	10513	13576
WBGene00014469	3	2	4	2	12	75	4
WBGene00021406	1162	1475	1140	951	1043	881	875
WBGene00021404	80	26	91	87	117	20	9
WBGene00021403	46	41	14	17	17	9	6
WBGene00195502	1	1	4	2	2	1	1
WBGene00166500	1	1	4	2	5	1	1
WBGene00235260	32	8	248	209	255	17	10
WBGene00235261	13	3	6	10	7	3	1
WBGene00235262	1	1	8	2	7	1	1
WBGene00201447	3	2	8	12	10	1	2
WBGene00017927	6	2	10	14	19	3	5
WBGene00023277	17	18	4	15	26	12	6
WBGene00196821	1	1	2	2	2	1	1
WBGene00000897	543	471	574	425	570	686	608
WBGene00023019	60	13	2	8	14	27	6
WBGene00197291	1	2	2	2	2	2	2
WBGene00199863	1	1	2	2	2	1	1
WBGene00021398	210	7	133	149	189	13	10
WBGene00219750	13	1	115	87	134	46	26
WBGene00021397	51	11	56	31	60	18	16
WBGene00021396	78	59	99	77	110	40	38
WBGene00198224	1	2	2	4	2	1	1
WBGene00006561	236	181	320	292	334	130	177
WBGene00021395	452	354	518	381	520	215	239
WBGene00021402	531	715	693	528	695	509	519
WBGene00000815	1558	2043	1438	1166	1282	1330	1301
WBGene00044736	89	54	167	124	193	54	68
WBGene00019820	1359	2826	995	816	828	1210	1247
WBGene00020650	11	74	10	8	5	8	5
WBGene00003362	1	1	2	2	7	1	1
WBGene00206487	174	335	103	108	105	115	128
WBGene00198707	6	4	2	2	2	1	1
WBGene00200120	1	1	2	2	2	1	1
WBGene00017578	238	179	222	213	203	130	121
WBGene00017577	6	9	6	17	2	9	5
WBGene00017576	141	265	260	271	317	178	142
WBGene00001666	17	6	26	12	31	35	19
WBGene00219270	5	1	16	14	19	2	2
WBGene00020299	44	21	93	87	127	71	69
WBGene00022046	2008	3453	1253	903	1193	1164	1232
WBGene00022045	140	203	48	33	50	133	125
WBGene00235264	1	1	4	4	2	1	1
WBGene00019772	31	18	12	23	17	17	18
WBGene00235265	5	2	2	2	5	1	2
WBGene00201763	1	1	2	2	2	1	1
WBGene00021010	19	7	18	12	21	5	1
WBGene00001625	25	6	14	10	12	5	7
WBGene00199193	1	1	2	2	2	1	1
WBGene00018924	22	38	26	15	17	10	3
WBGene00201760	1	1	2	2	2	1	1
WBGene00198589	3	1	2	2	7	1	2
WBGene00001165	238	637	228	166	239	237	237
WBGene00015995	1	2	4	4	2	2	1
WBGene00015994	69	11	36	27	29	4	6
WBGene00044457	24	2	24	10	10	9	13
WBGene00002140	33	29	28	25	31	18	15
WBGene00015993	949	194	44	52	26	135	54
WBGene00200054	27	2	10	23	19	9	4
WBGene00019665	56	26	40	29	60	49	49
WBGene00019662	1	2	6	6	2	7	9
WBGene00044458	1	1	6	4	2	2	2
WBGene00019661	27	17	30	27	21	37	44
WBGene00023038	13	2	4	2	2	6	3
WBGene00018256	70	159	64	37	43	57	43
WBGene00021949	5	5	4	6	5	4	1
WBGene00219763	1	1	4	2	2	2	1
WBGene00021948	178	138	133	120	138	94	79
WBGene00021947	9	5	8	4	5	4	3
WBGene00001788	13	49	2	14	7	9	9
WBGene00018933	6	50	4	8	10	18	12
WBGene00197041	1	1	2	2	5	2	1
WBGene00200616	1	2	2	2	2	1	1
WBGene00018930	47	19	139	104	212	17	10
WBGene00185088	83	66	81	75	100	90	103
WBGene00199601	1	1	2	4	2	1	1
WBGene00044742	81	47	75	44	76	58	65
WBGene00021941	42	2	64	35	55	18	7
WBGene00044757	38	2	16	12	17	9	5
WBGene00021939	292	942	316	255	313	189	170
WBGene00021938	741	1801	554	468	575	745	747
WBGene00007007	468	725	445	362	370	438	453
WBGene00016649	220	338	220	199	174	186	263
WBGene00016648	231	365	224	217	169	190	277
WBGene00016647	231	365	224	217	169	190	277
WBGene00016646	221	340	222	201	179	186	265
WBGene00019073	230	364	224	215	165	190	275
WBGene00019070	13	55	26	10	12	12	14
WBGene00019069	64	176	147	114	117	82	67
WBGene00021923	100	64	179	126	138	150	121
WBGene00194822	1	1	2	2	2	1	1
WBGene00194823	1	1	2	4	2	1	1
WBGene00194824	1	1	2	2	2	1	1
WBGene00194826	1	1	2	2	2	1	1
WBGene00021920	394	435	177	157	158	219	263
WBGene00196098	1	1	2	2	2	1	1
WBGene00016637	11	1582	20	14	7	1994	2048
WBGene00003893	5170	11407	2993	2818	2960	5117	6538
WBGene00202064	1	1	2	2	2	1	1
WBGene00200465	1	1	2	2	2	1	1
WBGene00219437	6	1	8	10	7	2	1
WBGene00022426	433	425	385	319	308	503	527
WBGene00022427	1083	1300	1785	1766	2229	1070	1017
WBGene00021123	28	16	60	50	48	53	56
WBGene00021122	8	1	6	2	7	5	3
WBGene00021121	50	99	32	23	50	24	26
WBGene00021120	5	2	2	6	5	2	2
WBGene00009524	19	2	2	4	5	5	1
WBGene00009519	6	2	6	6	2	1	1
WBGene00045003	1	1	2	2	2	1	1
WBGene00009520	3	6	18	14	12	3	3
WBGene00009526	32	25	24	43	36	46	78
WBGene00009525	3	3	2	2	10	1	1
WBGene00009515	86	23	101	87	112	36	21
WBGene00007476	161	217	77	70	53	197	185
WBGene00019054	5	2	6	4	5	1	1
WBGene00019053	1	1	4	2	7	1	1
WBGene00166535	4	4	2	2	2	9	3
WBGene00023305	5	1	2	4	2	1	1
WBGene00022423	330	168	784	661	845	380	397
WBGene00198926	1	1	2	2	2	2	1
WBGene00022314	29	2	22	19	21	8	7
WBGene00199927	1	1	2	2	2	1	1
WBGene00022308	5	2	6	2	7	4	2
WBGene00022307	360	641	286	298	344	313	407
WBGene00023393	1	2	2	2	2	1	1
WBGene00044464	13	22	10	6	5	15	8
WBGene00022306	1542	1728	2171	2000	2382	982	1158
WBGene00019367	11	4	8	8	2	11	5
WBGene00195474	1	1	2	2	2	1	1
WBGene00000681	146	349	73	104	103	334	277
WBGene00044073	48	18	58	58	62	28	33
WBGene00016425	53	36	44	39	33	50	35
WBGene00016424	42	16	32	31	24	36	26
WBGene00021520	11	21	26	27	41	13	12
WBGene00021519	10	4	4	4	7	9	7
WBGene00021517	13	5	6	8	5	8	3
WBGene00021516	46	23	34	15	24	9	12
WBGene00021515	198	106	258	217	306	120	137
WBGene00001105	58	78	38	46	50	31	43
WBGene00003712	126	54	103	75	117	71	53
WBGene00003682	48	10	89	75	84	37	40
WBGene00003677	104	127	115	133	76	136	165
WBGene00045255	36	12	46	48	48	30	25
WBGene00021525	46	45	32	33	31	18	14
WBGene00021513	25	23	10	12	14	18	20
WBGene00220155	3	1	4	2	2	14	3
WBGene00021511	10	8	6	12	7	8	11
WBGene00200640	1	1	2	2	2	1	1
WBGene00044618	15	10	8	8	5	5	7
WBGene00019538	11	7	8	10	14	8	11
WBGene00019536	14	12	32	12	17	33	26
WBGene00195004	4	35	18	14	14	7	4
WBGene00021506	1426	4013	1438	1122	1372	2178	2084
WBGene00021505	86	57	85	75	107	21	28
WBGene00000682	25	41	26	23	26	25	6
WBGene00021504	13	2	2	10	7	7	1
WBGene00195012	1	6	2	2	2	2	1
WBGene00000553	172	46	320	302	356	51	55
WBGene00019462	142	64	352	290	360	65	53
WBGene00001173	6236	5480	6617	5560	6659	4605	5169
WBGene00001253	78	50	89	64	72	40	47
WBGene00018681	2031	1583	2280	2000	2623	2139	1979
WBGene00022302	51	62	4	15	12	13	14
WBGene00022300	1484	1782	1545	1495	1606	1828	1857
WBGene00022296	3116	6106	2969	2365	2764	3192	3286
WBGene00022295	25	26	14	23	24	36	14
WBGene00201141	1	1	2	2	5	1	3
WBGene00044467	80	36	185	188	181	42	33
WBGene00019873	37	35	111	133	179	138	32
WBGene00019875	1462	1651	844	843	843	691	679
WBGene00023241	48	1	572	458	752	31	30
WBGene00023240	3	1	8	4	5	1	1
WBGene00022940	1	1	2	2	2	1	1
WBGene00016025	4	4	2	4	2	5	4
WBGene00200043	1	2	2	2	2	1	1
WBGene00016024	33	54	10	15	21	21	20
WBGene00199050	1	1	2	2	2	1	1
WBGene00016023	19	13	14	19	17	11	6
WBGene00077523	8	3	6	4	5	1	3
WBGene00201637	1	1	4	2	2	1	1
WBGene00016917	4	6	8	6	2	11	5
WBGene00020208	1845	2745	3023	2522	3077	2994	2935
WBGene00019784	3	10	4	2	2	1	1
WBGene00019783	128	44	105	70	115	76	74
WBGene00201529	1	1	2	2	2	1	1
WBGene00196218	1	1	2	4	2	1	1
WBGene00198288	1	1	2	2	5	1	1
WBGene00199490	1	1	2	2	2	1	1
WBGene00201693	1	2	4	2	2	1	1
WBGene00200681	1	2	2	2	2	1	2
WBGene00219413	18	31	12	4	10	5	11
WBGene00021423	2349	2458	4641	4241	5523	2467	2294
WBGene00021421	502	500	433	379	389	412	431
WBGene00168399	3	1	2	2	2	1	2
WBGene00197860	4	3	2	2	2	5	3
WBGene00021420	1698	4229	953	922	1105	1776	2080
WBGene00219262	1	3	2	2	2	2	1
WBGene00200448	1	1	2	2	2	1	1
WBGene00016671	66	30	73	85	91	36	43
WBGene00200790	1	1	2	2	2	1	1
WBGene00016670	29	4	12	14	7	5	3
WBGene00016669	15	14	4	6	2	12	12
WBGene00016668	3	5	2	4	2	1	2
WBGene00001705	11	49	4	4	5	20	15
WBGene00235299	1	1	2	2	5	1	1
WBGene00022090	216	33	171	133	169	25	23
WBGene00022087	1748	3594	2159	1990	2236	1933	1802
WBGene00198527	1	1	2	2	2	1	1
WBGene00022086	27	17	38	27	24	18	5
WBGene00022085	27	26	32	50	43	8	9
WBGene00235288	5	2	12	12	21	1	1
WBGene00235342	8	1	2	4	5	1	1
WBGene00022083	145	116	129	149	169	108	87
WBGene00235343	8	2	4	12	2	2	2
WBGene00022082	10	6	18	10	7	5	2
WBGene00022079	104	39	60	75	62	18	9
WBGene00235294	4	7	4	6	2	1	1
WBGene00174384	1	1	2	2	2	1	1
WBGene00022076	229	39	185	172	205	14	24
WBGene00004878	116	33	111	75	91	15	14
WBGene00199492	1	1	2	4	2	1	1
WBGene00022075	147	411	46	52	86	199	172
WBGene00004367	676	770	655	518	604	712	671
WBGene00202041	1	1	2	2	5	1	1
WBGene00201684	6	1	6	10	10	14	5
WBGene00023390	1	1	2	2	2	2	1
WBGene00195436	3	2	2	2	2	5	3
WBGene00196975	1	1	2	2	2	1	1
WBGene00022375	9	11	34	29	38	4	2
WBGene00023396	1	1	2	6	7	5	3
WBGene00022374	18	7	20	27	19	11	9
WBGene00044485	64	59	18	31	24	21	20
WBGene00043061	5	4	12	8	10	5	4
WBGene00235350	13	2	10	4	17	13	7
WBGene00219424	5	1	10	8	7	2	1
WBGene00044486	4	7	8	8	10	5	2
WBGene00169683	1	1	2	2	2	1	1
WBGene00044487	248	18	2	17	12	94	24
WBGene00235268	23	7	20	37	57	39	32
WBGene00023484	15	5	14	6	10	8	4
WBGene00043062	103	36	52	52	31	88	47
WBGene00044490	46	49	20	12	26	13	11
WBGene00021873	60	11	46	58	57	15	16
WBGene00043702	33	3	18	29	17	11	16
WBGene00044495	75	76	60	85	64	31	27
WBGene00021872	58	26	22	14	33	40	37
WBGene00021871	24	20	6	33	19	11	9
WBGene00021897	53	16	36	29	24	24	14
WBGene00189961	6	7	4	17	10	8	2
WBGene00202412	1	1	2	2	2	1	1
WBGene00197842	1	1	2	2	2	2	1
WBGene00199274	3	6	2	4	5	2	4
WBGene00200008	1	2	2	6	5	8	4
WBGene00201650	1	2	2	2	2	1	2
WBGene00197276	1	2	2	2	5	1	1
WBGene00021869	783	555	489	367	475	185	184
WBGene00003008	17	45	16	12	17	15	18
WBGene00022067	1108	1318	1188	994	1270	927	1063
WBGene00022066	3615	8	6093	16328	4332	782	76
WBGene00201412	1	1	2	2	2	1	1
WBGene00201376	5	1	2	2	2	1	1
WBGene00195576	3	1	2	2	2	1	1
WBGene00197431	1	2	2	4	2	1	1
WBGene00197636	6	3	10	8	10	5	3
WBGene00020729	516	560	449	431	470	474	443
WBGene00174542	1	1	2	2	2	1	1
WBGene00020730	8	7	22	8	31	9	5
WBGene00020728	28	10	42	29	76	10	4
WBGene00199115	10	9	18	17	31	1	2
WBGene00200723	9	1	8	6	17	2	2
WBGene00022064	13	7	6	8	10	7	2
WBGene00022059	2515	1762	5066	4421	5287	3810	3905
WBGene00197555	69	7	44	58	36	12	17
WBGene00020831	844	921	572	491	618	975	897
WBGene00201407	4	2	4	2	5	2	1
WBGene00196782	3	45	2	2	5	4	1
WBGene00021089	20	25	32	27	45	23	20
WBGene00021087	23	6	6	17	12	26	25
WBGene00021086	10	22	16	8	17	11	18
WBGene00021085	9	23	18	6	17	13	20
WBGene00021084	8	2	6	2	7	11	6
WBGene00021083	1	2	4	4	7	5	1
WBGene00018325	2103	2076	2226	2238	2026	2810	2502
WBGene00196320	1	1	2	2	2	1	1
WBGene00018324	1	1	4	4	2	1	1
WBGene00018323	15	7	12	15	7	7	4
WBGene00021953	17	3	8	4	10	5	2
WBGene00015414	18	15	16	19	12	30	22
WBGene00219410	1	2	2	2	2	1	1
WBGene00015412	22	63	12	17	19	10	3
WBGene00195724	1	1	2	2	2	1	1
WBGene00197323	1	1	2	2	2	1	1
WBGene00200140	1	1	2	2	2	1	1
WBGene00015411	1	2	2	2	2	1	1
WBGene00021033	4	2	4	8	5	4	2
WBGene00001692	301	204	373	325	368	231	230
WBGene00019049	4	2	2	2	5	3	7
WBGene00194843	1	1	4	2	2	1	1
WBGene00019051	4	2	4	2	5	1	1
WBGene00019048	24	7	18	23	29	9	5
WBGene00019047	25	15	64	44	24	12	9
WBGene00019046	9	2	2	2	2	2	1
WBGene00023301	4	4	2	10	7	2	1
WBGene00015655	4	2	4	2	2	1	3
WBGene00023463	5	1	2	4	7	2	1
WBGene00023465	19	29	2	6	7	2	3
WBGene00015654	5	2	8	12	12	2	1
WBGene00023464	1	2	10	2	2	2	1
WBGene00015652	4	2	4	4	5	1	1
WBGene00015651	29	3312	73	58	84	1318	1260
WBGene00023462	4	2	4	15	10	2	1
WBGene00199025	1	1	2	2	2	1	1
WBGene00006769	3922	1644	1509	1390	1635	1563	1471
WBGene00019778	741	659	588	456	635	856	822
WBGene00201697	1	1	2	2	2	1	1
WBGene00200460	1	2	2	4	7	1	2
WBGene00015036	9	4	2	12	7	2	2
WBGene00015035	31	40	54	39	24	38	18
WBGene00021375	94	53	56	62	48	19	30
WBGene00021374	108	28	95	118	112	24	29
WBGene00202239	1	1	2	2	2	1	1
WBGene00196540	1	1	2	2	2	1	1
WBGene00023366	5	1	64	58	72	3	3
WBGene00002188	34	7	44	29	26	14	11
WBGene00022609	19	7	10	12	12	17	21
WBGene00022608	168	103	344	342	446	111	133
WBGene00170259	1	1	2	2	2	1	1
WBGene00021360	4	1	2	4	5	3	2
WBGene00198923	1	1	2	2	2	1	1
