GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.N2HS_INP_.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.N2HS_J2A_.bam	X.BAMS.N2HS_J2B_.bam
WBGene00014450	1	1	2	6	7	5	3
WBGene00014451	1	1	12	8	24	5	2
WBGene00010957	27	2	324	306	563	14	11
WBGene00010958	22	1	435	530	702	10	12
WBGene00014452	3	1	173	228	193	5	3
WBGene00014453	4	1	81	110	103	2	2
WBGene00014454	5346	218	1015	888	2480	1066	1088
WBGene00014455	1	1	8	4	5	1	1
WBGene00014456	1	2	8	4	10	2	1
WBGene00014457	1	1	8	8	10	1	1
WBGene00010959	240	5	175	130	212	36	47
WBGene00010960	22	10	240	232	380	15	21
WBGene00014458	3	1	48	29	91	5	4
WBGene00014459	1	1	46	35	57	7	6
WBGene00014460	6	1	50	48	81	6	7
WBGene00010961	23	1	214	300	315	19	19
WBGene00014461	3	1	28	44	45	5	2
WBGene00014462	4	1	16	44	67	9	4
WBGene00014463	19	2	117	155	200	64	44
WBGene00014464	13	2	91	104	167	8	8
WBGene00000829	93	5	413	449	618	53	65
WBGene00014465	4	1	20	17	31	2	4
WBGene00010962	65	17	606	903	914	39	58
WBGene00014466	8	1	171	219	267	5	6
WBGene00010963	151	25	1466	1481	1790	35	46
WBGene00010964	88	1	224	265	415	65	51
WBGene00014467	1	1	26	21	38	1	2
WBGene00014468	1	2	22	19	41	2	1
WBGene00014469	1	1	6	4	21	4	1
WBGene00014470	4	4	73	89	84	3	2
WBGene00010965	28	6	214	246	306	16	20
WBGene00014471	3	1	26	31	48	4	1
WBGene00014472	1060	74	286	350	549	305	296
WBGene00010966	9	1	151	151	291	5	7
WBGene00010967	44	2	342	391	654	31	41
WBGene00014473	3	1	62	31	110	5	4
WBGene00021406	27	61	12	19	14	22	11
WBGene00021407	8	2	20	15	24	1	3
WBGene00021408	8	2	8	14	7	4	2
WBGene00021405	6	1	34	25	41	1	1
WBGene00021409	6	1	34	25	41	1	1
WBGene00021404	8	2	8	14	7	4	2
WBGene00001492	34	65	18	19	14	24	14
WBGene00021403	8	2	20	15	24	1	3
WBGene00195502	52	16	107	72	79	45	57
WBGene00235257	4	2	10	12	7	1	1
WBGene00235258	1	1	2	2	2	1	1
WBGene00166500	1	1	4	2	2	1	1
WBGene00235260	1	1	6	2	2	1	1
WBGene00235259	3	2	4	4	7	1	1
WBGene00023131	3	1	2	2	2	1	1
WBGene00235261	1	1	2	2	7	1	1
WBGene00235262	4	2	2	2	5	1	1
WBGene00201447	1	1	2	2	2	1	1
WBGene00015246	32	4	46	58	53	9	6
WBGene00006599	11	15	20	27	17	9	8
WBGene00015247	15	6	30	14	43	2	5
WBGene00017927	28	16	28	21	26	8	11
WBGene00001111	4	3	4	4	2	3	2
WBGene00023277	14	35	14	19	19	31	10
WBGene00017928	13	5	6	14	14	17	3
WBGene00017929	15	3	6	6	10	10	4
WBGene00196821	5	1	2	2	2	1	1
WBGene00017926	4	4	2	4	2	7	6
WBGene00000897	23	289	42	35	29	23	19
WBGene00000674	23	19	8	6	7	13	7
WBGene00198932	1	1	2	2	2	1	1
WBGene00202431	60	13	2	8	14	27	6
WBGene00023019	3	7	4	6	2	1	1
WBGene00197291	3	1	2	4	2	1	2
WBGene00198551	1	1	2	2	2	1	1
WBGene00199863	3	1	2	2	2	1	1
WBGene00021400	3	1	2	4	2	1	1
WBGene00021398	10	10	2	2	5	4	4
WBGene00219750	1	1	2	4	2	1	1
WBGene00021397	4	2	2	2	7	4	3
WBGene00021396	5	7	2	2	7	7	2
WBGene00198224	4	3	2	2	5	1	4
WBGene00006561	168	8	8	8	12	6	4
WBGene00021395	6	7	12	12	12	5	5
WBGene00196851	1	1	2	4	5	1	1
WBGene00021402	10	4	6	6	7	5	6
WBGene00000815	9	3	4	4	7	7	8
WBGene00044736	3	7	4	6	14	5	2
WBGene00195063	6	5	8	14	12	9	3
WBGene00021394	6	5	8	8	17	7	4
WBGene00021401	3	4	2	4	5	5	3
WBGene00019821	6	5	2	10	10	7	5
WBGene00019822	4	4	2	4	7	8	5
WBGene00019823	9	6	8	6	10	14	6
WBGene00019820	17	23	79	101	41	11	11
WBGene00019819	14	3	14	8	12	8	7
WBGene00001728	1	2	2	2	5	2	1
WBGene00019824	4	2	6	2	7	7	11
WBGene00019825	4	2	2	6	7	4	2
WBGene00001071	3	2	2	2	5	1	2
WBGene00020647	8	3	4	8	7	12	12
WBGene00003932	5	16	2	6	2	14	7
WBGene00020651	1	2	6	12	2	2	1
WBGene00020650	29	3	4	12	10	33	6
WBGene00005487	3	1	4	2	2	1	1
WBGene00003362	1	3	2	2	2	1	1
WBGene00020649	11	18	30	31	33	12	11
WBGene00206487	9	8	4	2	2	8	9
WBGene00045177	3	1	4	8	2	1	1
WBGene00020648	9	12	4	2	7	6	3
WBGene00019298	6	10	2	6	10	5	4
