"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00021407",18.625,0.0390280443798406,1.07129707698553,0.00132631602141942,0.970948565895712,0.995896737014887
"WBGene00021408",56.25,-0.135056932242708,0.608746427862983,0.0492163108521098,0.824432605221211,0.98450330866029
"WBGene00021409",54.75,-0.0232573945858493,0.642075448542575,0.00131168693470585,0.971109156411258,0.995896737014887
"WBGene00001492",807.125,-0.0450336937132681,0.335368498420373,0.0180312580407929,0.893180756546982,0.991409889546868
"WBGene00235257",2.375,1.90688291118724,2.54429570925943,0.561294690809589,0.453739061862192,NA
"WBGene00235258",1.375,1.16991424019497,3.19023890912841,0.135269929812903,0.713029374203975,NA
"WBGene00235259",14.5,-0.16664921372384,1.11004913801641,0.0225272597579433,0.880692948041302,NA
"WBGene00015246",14.5,1.10535404469765,1.27102437569109,0.753967200231223,0.385223091108007,NA
"WBGene00015247",57.25,-0.267932776989582,0.624250794507757,0.184209280970741,0.667780530504618,0.959335972687149
"WBGene00001111",17.25,-1.85560424103067,1.11285471758897,2.81138644541949,0.0935974527363052,NA
"WBGene00017928",313.375,0.52265870785133,0.385915471080085,1.8310916406315,0.175998660744656,0.681291605765205
"WBGene00017929",532.75,0.0239126200909361,0.396934245523094,0.0036292130921538,0.951962138213129,0.995149986635798
"WBGene00000674",129,-0.200863102716675,0.478784022423411,0.175974777291103,0.674855520893045,0.95968666865222
"WBGene00198551",1.625,1.90687423078853,3.0234905078382,0.402094857742956,0.526009363481563,NA
"WBGene00021400",14.875,1.11018289072407,1.12730852317926,0.965143947404286,0.325894257744594,NA
"WBGene00019821",480.25,0.317462792418545,0.348403335506362,0.829702708935898,0.362358507895501,0.844477305512742
"WBGene00019822",673.625,0.247467980459775,0.342567654413403,0.521616096059788,0.470153114442059,0.892405866067971
"WBGene00019823",333.75,0.539145573400824,0.384701167162674,1.96047435196705,0.161462596467569,0.662380150578422
"WBGene00001728",1.625,0.584959500796456,3.03557858138013,0.0373064382736885,0.846842477173666,NA
"WBGene00019824",694.875,0.122786989027271,0.362325573820054,0.11483071549965,0.734710067810768,0.969125060483941
"WBGene00019825",223.625,0.630299871844603,0.40042796933261,2.47183294780658,0.11590269288636,0.582578766264228
"WBGene00001071",18.75,1.07800186433096,1.01413650346049,1.13256117261768,0.287229694812526,0.787448568184992
"WBGene00020647",452.25,0.453146500572958,0.360259312917114,1.57994125958177,0.208769154780363,0.723408428520048
"WBGene00003932",182.375,0.533000844424147,0.443073259277302,1.44482210447993,0.22936061030432,0.739649878196507
"WBGene00005487",6.5,-0.584960022856901,1.68293379381868,0.120369109375545,0.728634504996944,NA
"WBGene00045177",4.75,-0.547478264122284,1.94775627642444,0.0789576284319793,0.778715001279595,NA
"WBGene00020648",10.75,0.884522050415552,1.20976894148906,0.534381642973202,0.464770528644631,NA
"WBGene00019298",647.5,0.851973116704897,0.363021493986649,5.48033539104992,0.0192315686987919,0.225177050200512
"WBGene00019299",8.625,0.514576249506973,1.53516933221153,0.112087506011925,0.737779942072486,NA
"WBGene00001099",565.25,0.690780209733142,0.354329579679295,3.78836137001342,0.0516101504239192,0.40895021605991
"WBGene00001735",11.875,1.40053952085222,1.51553143848934,0.844920456781743,0.357993298984293,NA
"WBGene00000675",1719.25,0.58839801797724,0.360629289009776,2.65463472632518,0.103248471897346,0.561247163691183
"WBGene00017574",76.25,0.315657496088544,0.595823125294121,0.280492277683365,0.596378741938259,0.940852995450029
"WBGene00197593",1.375,1.16991424019497,3.19023890912841,0.135269929812903,0.713029374203975,NA
"WBGene00022048",9487.875,0.216284586138808,0.33900385844813,0.40688048790426,0.523557108152949,0.914269205742463
"WBGene00004981",317.75,0.505970184047466,0.409307015772414,1.52535303631051,0.216811213135058,0.729946716179598
"WBGene00020295",198.875,0.0681511790577776,0.426802716928467,0.025495311097913,0.873139055271816,0.989543849416643
"WBGene00001338",178.625,0.365608629270113,0.485166691889374,0.567380933471654,0.451301544623328,0.884461519267963
"WBGene00045249",38.75,-0.106453788867679,0.765158667613343,0.0193757991645924,0.889294495100781,0.990613380019558
"WBGene00002187",228.75,0.195887746651446,0.426664507061706,0.210739888860957,0.646188103843861,0.952430998948803
"WBGene00165558",2.25,0.73696307325609,2.77719291228412,0.0710633854926606,0.789794738407515,NA
"WBGene00001332",706.375,0.159624091259107,0.326058331752288,0.239633005749909,0.624471303053749,0.948140918556598
"WBGene00000913",4891.375,0.381488856599827,0.326621419048327,1.36250994961742,0.243102958674811,0.751767057175973
"WBGene00022047",55.625,-0.108929114185112,0.636039278289722,0.0293295667437476,0.864020297210972,0.987714339864162
"WBGene00002041",605,0.0593340087629173,0.333184124391136,0.031712440626535,0.858660249592641,0.986870782816476
"WBGene00235263",14.875,1.12928102787089,1.21143328483795,0.891928749479845,0.344955169809109,NA
"WBGene00019773",8.625,1.48542560458816,1.46597417377692,1.0279490631424,0.310640860971217,NA
