"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WBGene00021407",11,-1.14628593840689,1.19223365886779,0.9232500831423,0.336623051138525,NA
"WBGene00021408",8.75,0.491140527310794,1.36648232535674,0.129437810125275,0.719015650119082,NA
"WBGene00021409",18.125,-0.19464768427938,1.19235716690952,0.0264995737347959,0.870686225571966,0.984029947236121
"WBGene00001492",39.5,-0.171036970614799,0.829580574795022,0.042568791821779,0.836539349010894,0.983056087995793
"WBGene00235257",4,0.263036702521222,2.31690778478113,0.0129885060970985,0.909263852259701,NA
"WBGene00235258",1.375,1.1699148327082,3.10191884447949,0.143266222744284,0.705055295943786,NA
"WBGene00235259",13,-0.366126970077418,1.19705961865097,0.0933401865847472,0.759972986082445,NA
"WBGene00015246",45.75,-0.237311403517679,0.720741788303844,0.108329553470206,0.742053988934572,0.964871760576008
"WBGene00015247",123.25,0.319202298401276,0.549706532957448,0.337028430069893,0.561549511103953,0.900382381909321
"WBGene00001111",12.875,1.3755076159104,1.30175911883397,1.1215222472049,0.289590910740332,NA
"WBGene00017928",7.25,-0.464661568998056,1.5663929612072,0.0881841418737892,0.766498461350688,NA
"WBGene00017929",17.5,-0.446397914803993,1.09234231546833,0.167843495807389,0.682035515807058,0.952285678837373
"WBGene00000674",28.375,0.423604195316183,1.14475442132829,0.134978835705041,0.713324654726843,0.959353772561249
"WBGene00198551",1.375,1.1699148327082,3.10191884447949,0.143266222744284,0.705055295943786,NA
"WBGene00021400",1.875,1.32191974226772,2.81738331063721,0.22317432802171,0.636631811427279,NA
"WBGene00019821",12.5,-0.459428026591334,1.55902073058385,0.0867091668256066,0.768403213343668,NA
"WBGene00019822",5.125,-0.0931077228442789,1.64821653540843,0.00319075524611634,0.954954034277396,NA
"WBGene00019823",8.5,-0.374393100810404,1.38679218361307,0.0727612839612988,0.787357980046927,NA
"WBGene00001728",1.5,0.847990867549247,3.04173129864681,0.0782084445917732,0.779740113179377,NA
"WBGene00019824",3.5,0.263035795515881,2.02344648427746,0.0169023575750202,0.896559252927542,NA
"WBGene00019825",3.25,0.415038598180159,2.13981309733052,0.0376504174342287,0.846146789432171,NA
"WBGene00001071",1.875,0.584963998936371,2.65926558980421,0.0484216248563172,0.825832882819777,NA
"WBGene00020647",4,1.79140679941566,2.31381434822547,0.62606940575165,0.4288007579297,NA
"WBGene00003932",2.875,0.906891502266106,2.34259550076727,0.150202475859309,0.698341940192428,NA
"WBGene00005487",1.875,1.32191974226772,2.8173833106372,0.22317432802171,0.636631811427279,NA
"WBGene00045177",2.5,-0.415028605774168,2.40373535649182,0.0297593663995954,0.863037360664326,NA
"WBGene00020648",9.875,-1.06710386527723,1.58853602909872,0.453371234426676,0.500738341446284,NA
"WBGene00019298",13.125,-0.957561356854418,1.25485415922083,0.577852372907955,0.447155355529525,NA
"WBGene00019299",5.625,1.8364978748578,1.88326779567193,0.968214240208091,0.325125946362507,NA
"WBGene00001099",32,1.53138214219322,1.04027316520682,2.13671118218016,0.143809906504413,0.568202119954669
"WBGene00001735",4,0.73696519609076,2.3186146848208,0.103110450651798,0.748128426442829,NA
"WBGene00000675",21.375,0.289506505718776,0.92207616961619,0.0986273299829392,0.753483151537562,0.964871760576008
"WBGene00017574",3.625,0.945552479961966,2.02980466373732,0.217168698703109,0.641205747941637,NA
"WBGene00197593",1.5,1.58494544635974,3.01342030684127,0.279564482270402,0.596986812604825,NA
"WBGene00022048",60.25,-0.326933700013225,0.668026512890052,0.239576689279282,0.624512019340536,0.929798566969109
"WBGene00004981",3.75,6.21676292278397e-06,2.10726769691568,-8.70414851306123e-12,1,NA
"WBGene00020295",13.375,3.63331943977136,1.68733503105273,4.65415833468066,0.0309784163265112,NA
"WBGene00001338",80,5.04437901874877,1.71552149175449,7.38332486110137,0.00658313557270869,0.0675407887211052
"WBGene00045249",1.625,1.26302144956388,2.95906983291717,0.184024810770012,0.66793695645204,NA
"WBGene00002187",15.25,-0.863936194793469,1.1304816145041,0.57922240111558,0.446617276363942,NA
"WBGene00165558",2.25,-0.289501148761325,2.70018490641948,0.0114435670718223,0.91480912285319,NA
"WBGene00001332",8.625,2.16991244049389,1.92224542701019,1.45231399904768,0.22815701444974,NA
"WBGene00000913",32.125,-0.0601607636076676,0.81538551869639,0.00544406792552365,0.941182316330559,0.9916020535576
"WBGene00022047",5.375,-0.321921526697042,1.70113509912317,0.0358489314788812,0.849827804048768,NA
"WBGene00002041",55.75,-0.35039013750229,0.818409930813936,0.181593474290715,0.670007395240487,0.948615036122017
"WBGene00235263",27.25,1.07374549548508,1.06050776436944,1.07377877385148,0.300093467543191,0.791489430884646
"WBGene00019773",5.75,0.736969650342558,1.83161034048814,0.161687966272826,0.687607178462539,NA
"WBGene00019774",75.625,-0.425592189115937,0.665357117417764,0.410514519983479,0.52170847081863,0.89621889945439
