GeneID	X.BAMS.N2WT_INP_.bam	X.BAMS.OK803.INP__.bam	X.BAMS.N2.J2.1_.bam	X.BAMS.N2.J2.2_.bam	X.BAMS.N2.J2.3_.bam	X.BAMS.OK803.J2.1_.bam	X.BAMS.OK803.J2.2_.bam	X.BAMS.OK803.J2.3_.bam
WBGene00014450	3	1	1	4	5	2	3	4
WBGene00014451	3	1	8	5	15	4	3	4
WBGene00010957	53	19	210	198	365	65	78	79
WBGene00010958	43	16	282	343	454	68	72	91
WBGene00014452	5	4	112	148	125	13	9	29
WBGene00014453	8	2	52	71	66	9	7	24
WBGene00014455	3	1	5	3	3	1	2	1
WBGene00014456	3	1	5	3	6	2	2	2
WBGene00014457	3	1	5	5	6	1	2	3
WBGene00010959	478	67	113	84	138	25	19	34
WBGene00010960	43	22	155	150	246	31	25	37
WBGene00014458	5	2	31	19	59	11	11	8
WBGene00014459	3	2	30	23	37	7	12	7
WBGene00014460	13	2	33	31	53	7	9	7
WBGene00010961	46	19	138	194	204	32	43	48
WBGene00014461	5	4	18	29	29	7	5	9
WBGene00014462	8	2	10	29	43	6	2	13
WBGene00014463	38	12	76	100	130	21	16	24
WBGene00014464	25	11	59	68	108	18	17	22
WBGene00000829	185	50	267	291	400	56	40	62
WBGene00014465	8	3	13	11	20	4	3	4
WBGene00010962	129	60	393	585	592	93	72	102
WBGene00014466	15	8	111	142	173	28	14	22
WBGene00010963	301	94	949	959	1159	196	190	227
WBGene00010964	174	123	145	172	269	48	44	49
WBGene00014467	3	1	17	14	25	6	8	4
WBGene00014468	3	1	14	13	26	4	7	6
WBGene00014469	3	1	4	3	14	1	3	3
WBGene00014470	8	2	47	58	54	9	11	15
WBGene00010965	56	25	138	159	198	33	38	46
WBGene00014471	5	1	17	20	31	4	7	11
WBGene00010966	18	10	98	98	189	16	25	29
WBGene00010967	88	49	222	253	423	43	55	51
WBGene00014473	5	5	40	20	71	9	12	6
WBGene00021406	172	34	21	34	22	5	7	2
WBGene00021405	18	4	29	28	46	6	7	7
WBGene00021404	23	6	10	9	11	2	4	6
WBGene00021403	23	14	14	11	15	3	5	3
WBGene00195502	104	36	69	46	51	21	14	21
WBGene00166500	3	1	3	1	2	1	1	1
WBGene00235260	116	45	235	223	261	56	59	69
WBGene00235261	3	1	1	1	5	1	1	1
WBGene00235262	8	2	1	1	3	1	1	1
WBGene00201447	3	1	1	1	2	1	1	1
WBGene00006599	144	36	52	51	28	14	7	8
WBGene00017927	56	29	29	23	32	7	5	11
WBGene00023277	28	12	9	13	12	4	1	1
WBGene00196821	10	1	1	1	2	1	1	1
WBGene00000897	56	21	33	28	23	4	3	8
WBGene00023019	5	2	3	4	2	1	1	1
WBGene00197291	5	1	1	3	2	1	1	1
WBGene00199863	5	1	1	1	2	1	1	1
WBGene00021398	20	1	1	1	3	1	1	1
WBGene00219750	23	1	76	60	93	1	1	3
WBGene00021397	8	1	1	1	5	1	1	1
WBGene00021396	13	3	8	4	5	1	1	1
WBGene00198224	8	1	1	1	3	1	1	1
WBGene00006561	336	4	8	8	11	1	3	6
WBGene00021395	53	6	61	56	76	14	7	13
WBGene00021402	25	4	5	4	6	6	3	6
WBGene00000815	23	3	25	33	32	3	2	6
WBGene00044736	5	1	3	5	12	1	1	1
WBGene00195063	13	2	7	10	12	3	1	2
WBGene00021394	28	4	30	31	42	3	5	6
WBGene00021401	5	2	1	6	3	1	1	1
WBGene00019820	33	7	52	68	31	2	4	2
WBGene00019819	43	7	20	20	31	5	3	10
WBGene00020651	5	2	7	8	5	2	1	2
WBGene00020650	61	6	3	8	8	3	1	3
WBGene00003362	3	1	1	1	2	1	1	2
WBGene00020649	51	7	30	26	26	9	8	6
WBGene00206487	18	3	3	1	2	1	2	1
WBGene00019300	30	4	14	18	6	1	1	1
WBGene00198707	5	1	1	1	2	1	1	1
WBGene00200120	56	4	1	1	2	1	1	1
WBGene00017578	6085	1591	1523	1526	1431	744	459	538
WBGene00017577	15	2	8	3	3	1	1	1
WBGene00017576	73	16	60	61	57	12	11	9
WBGene00020298	18	3	3	8	9	2	1	1
WBGene00020297	48	11	21	20	32	7	11	3
WBGene00020296	521	4	22	14	17	4	4	4
WBGene00001666	61	2	4	5	6	1	1	2
WBGene00219270	25	14	64	39	85	21	22	35
WBGene00020299	48	10	10	14	15	3	7	3
WBGene00022046	51	21	20	13	23	6	8	7
WBGene00022045	3	5	5	4	2	1	1	1
WBGene00022044	23	12	74	88	99	18	22	25
WBGene00235264	13	1	4	1	3	1	1	1
WBGene00019772	5	2	1	1	2	1	1	1
WBGene00235265	3	1	1	3	2	1	1	1
WBGene00201763	30	8	4	8	5	2	2	2
