gene_id_names,HS_J2,HS_INP,N2_J2,N2_INP,OK_J2,OK_INP
WBGene00022951,1,0,1,1,1,1
WBGene00197215,1,1,0,0,0,0
WBGene00002019,1,0,0,0,0,0
WBGene00219343,1,0,0,0,0,0
WBGene00002018,1,0,0,0,0,0
WBGene00012618,1,1,0,0,0,0
WBGene00009588,1,0,0,0,0,0
WBGene00197228,1,1,0,0,0,0
WBGene00002017,1,0,0,0,0,1
WBGene00004677,1,1,0,1,1,1
WBGene00001784,1,0,0,0,0,0
WBGene00196816,1,0,0,0,0,0
WBGene00195813,1,0,1,1,1,1
WBGene00013172,1,0,0,0,0,0
WBGene00011231,1,0,0,0,0,0
WBGene00198348,1,1,0,0,0,0
WBGene00219590,1,1,0,0,0,0
WBGene00012813,1,1,0,0,0,0
WBGene00002020,1,1,0,0,0,0
WBGene00003331,1,1,0,0,0,0
WBGene00010989,1,0,0,0,0,1
WBGene00004512,1,1,1,1,1,1
WBGene00012620,1,0,0,0,0,0
WBGene00022092,1,0,0,0,0,0
WBGene00021599,1,0,0,0,0,0
WBGene00004567,1,1,1,1,1,1
WBGene00196396,1,1,1,0,1,1
WBGene00003308,1,0,0,0,0,0
WBGene00020861,1,0,0,0,0,0
WBGene00200892,1,0,0,0,0,0
WBGene00002015,1,0,0,0,0,1
WBGene00194993,1,0,0,0,0,0
WBGene00220041,1,0,0,0,0,0
WBGene00010790,1,0,0,0,0,0
WBGene00012621,1,0,0,0,0,0
WBGene00010877,1,0,0,0,0,0
WBGene00001910,1,0,0,0,0,0
WBGene00220000,1,0,1,1,1,1
WBGene00044180,1,0,0,0,0,0
WBGene00008944,1,1,0,0,0,0
WBGene00012456,1,0,0,0,0,0
WBGene00016637,1,0,0,0,0,0
WBGene00017964,1,0,0,0,0,0
WBGene00197545,1,1,0,0,0,0
WBGene00165826,1,0,0,0,0,0
WBGene00044747,1,0,0,0,0,0
WBGene00045275,1,0,0,0,0,0
WBGene00004622,1,0,0,1,1,1
WBGene00003280,1,0,0,0,0,0
WBGene00220142,1,0,0,0,0,0
WBGene00219916,1,0,0,0,0,0
WBGene00012498,1,1,0,0,0,0
WBGene00017659,1,0,0,0,0,0
WBGene00198814,1,1,1,1,1,1
WBGene00001898,1,1,0,0,0,0
WBGene00019668,1,0,0,0,0,0
WBGene00045276,1,0,0,0,0,0
WBGene00045366,1,1,0,0,0,0
WBGene00001749,1,0,0,0,0,0
WBGene00004833,1,0,0,0,0,0
WBGene00044726,1,0,0,0,1,0
WBGene00000883,1,0,0,0,0,0
WBGene00195666,1,0,0,0,0,0
WBGene00017565,1,0,0,0,0,0
WBGene00220237,1,0,0,0,0,0
WBGene00003163,1,0,0,0,0,0
WBGene00011544,1,0,0,0,0,0
WBGene00021098,1,0,0,0,0,0
WBGene00015485,1,0,1,1,1,1
WBGene00003344,1,1,0,0,0,0
WBGene00220243,1,0,0,0,0,0
WBGene00003333,1,0,0,0,0,0
WBGene00012600,1,0,0,0,0,0
WBGene00017297,1,0,0,0,0,0
WBGene00003544,1,0,0,0,0,0
WBGene00019347,1,0,1,1,1,1
WBGene00006650,1,0,0,0,0,0
WBGene00004905,1,0,0,0,0,0
WBGene00003003,1,0,0,0,0,0
WBGene00004834,1,0,0,0,0,0
WBGene00012384,1,0,1,0,1,0
WBGene00000793,1,0,1,1,1,1
WBGene00016016,1,0,0,0,0,0
WBGene00014181,1,0,0,0,0,0
WBGene00016115,1,0,0,0,0,0
WBGene00007135,1,0,1,1,1,1
WBGene00200573,1,0,0,0,0,0
WBGene00201623,1,0,0,0,0,0
WBGene00047916,1,0,0,0,0,0
WBGene00012158,1,0,0,0,0,0
WBGene00013568,1,0,0,0,0,0
WBGene00199162,1,0,0,0,0,0
WBGene00012977,1,0,0,0,0,0
WBGene00012663,1,0,1,1,1,1
WBGene00220108,1,0,0,0,0,0
WBGene00013154,1,0,0,0,0,0
WBGene00014017,1,0,0,0,0,0
WBGene00196043,1,0,1,1,1,1
WBGene00202259,1,0,1,1,1,1
WBGene00200004,1,0,0,0,0,0
WBGene00199244,1,0,1,1,1,1
WBGene00196304,1,0,0,0,0,0
WBGene00197673,1,0,1,1,1,1
WBGene00195962,1,0,1,1,1,1
WBGene00014501,1,0,0,0,0,0
WBGene00003279,1,0,0,0,0,0
WBGene00219847,1,0,0,0,0,0
WBGene00004765,1,0,1,0,1,1
WBGene00003598,1,0,1,1,1,1
WBGene00013020,1,0,0,0,0,0
WBGene00012555,1,0,0,0,0,0
WBGene00004077,1,0,0,0,0,0
WBGene00045159,1,0,0,0,0,0
WBGene00197171,1,0,0,0,0,0
WBGene00197145,1,0,0,0,0,0
WBGene00012734,1,0,0,0,0,0
WBGene00012928,1,0,1,0,0,0
WBGene00220094,1,0,1,1,1,1
WBGene00016904,1,0,1,0,0,1
WBGene00013732,1,0,1,0,1,1
WBGene00016002,1,0,1,1,1,1
WBGene00000677,1,0,0,0,0,0
WBGene00196129,1,0,0,0,0,0
WBGene00174884,1,0,0,0,0,0
WBGene00004947,1,0,1,0,1,0
WBGene00014115,1,0,1,1,1,1
