gene_id_names,HS_J2,HS_INP,N2_J2,N2_INP,OK_J2,OK_INP
WBGene00012618,1,1,0,0,0,0
WBGene00197228,1,1,0,0,0,0
WBGene00198348,1,1,0,0,0,0
WBGene00010989,1,0,0,0,0,1
WBGene00022092,1,0,0,0,0,0
WBGene00000793,1,0,1,1,1,1
WBGene00004947,1,0,1,0,1,0
WBGene00012476,1,0,1,0,1,0
WBGene00235373,1,0,1,1,1,0
WBGene00200167,1,0,0,0,0,0
WBGene00009589,1,1,0,0,0,0
WBGene00016458,1,0,1,1,1,1
WBGene00194981,1,0,0,1,0,1
WBGene00012840,1,0,0,0,0,0
WBGene00008144,1,1,0,0,0,0
WBGene00017930,1,0,1,1,1,1
WBGene00199742,0,1,0,0,0,0
WBGene00043327,0,0,1,0,0,0
WBGene00077687,0,0,1,0,1,0
WBGene00019590,0,0,1,1,0,1
WBGene00043328,0,0,1,0,1,0
WBGene00220042,0,0,1,0,0,0
WBGene00164974,0,0,1,1,1,1
WBGene00019279,0,0,1,0,0,0
WBGene00269391,0,0,0,1,0,1
