gene_id_names,HS_J2,HS_INP,N2_J2,N2_INP,OK_J2,OK_INP
WBGene00002017,1,0,0,0,0,1
WBGene00195813,1,0,1,1,1,1
WBGene00011231,1,0,0,0,0,0
WBGene00004567,1,1,1,1,1,1
WBGene00196396,1,1,1,0,1,1
WBGene00003308,1,0,0,0,0,0
WBGene00002015,1,0,0,0,0,1
WBGene00010790,1,0,0,0,0,0
WBGene00220000,1,0,1,1,1,1
WBGene00219916,1,0,0,0,0,0
WBGene00017659,1,0,0,0,0,0
WBGene00198814,1,1,1,1,1,1
WBGene00045366,1,1,0,0,0,0
WBGene00001749,1,0,0,0,0,0
WBGene00220243,1,0,0,0,0,0
WBGene00004905,1,0,0,0,0,0
WBGene00199162,1,0,0,0,0,0
WBGene00012977,1,0,0,0,0,0
WBGene00012663,1,0,1,1,1,1
WBGene00004765,1,0,1,0,1,1
WBGene00012555,1,0,0,0,0,0
WBGene00012734,1,0,0,0,0,0
WBGene00220094,1,0,1,1,1,1
WBGene00013732,1,0,1,0,1,1
WBGene00016002,1,0,1,1,1,1
WBGene00014115,1,0,1,1,1,1
WBGene00003834,1,0,0,0,0,1
WBGene00007859,1,0,0,0,0,0
WBGene00220163,1,0,1,0,1,1
WBGene00017245,1,0,0,0,0,0
WBGene00012718,1,0,0,0,0,0
WBGene00219826,1,0,0,0,1,0
WBGene00023180,1,0,0,0,0,0
WBGene00201398,1,0,1,0,1,1
WBGene00008968,1,0,1,1,1,1
WBGene00014954,1,0,1,1,0,1
WBGene00201669,1,0,1,1,1,1
WBGene00220246,1,0,1,1,1,1
WBGene00007637,1,0,1,0,1,1
WBGene00220004,1,0,1,0,1,1
WBGene00004314,1,0,0,0,0,0
WBGene00021238,1,0,1,1,1,1
WBGene00220207,1,0,1,1,1,1
WBGene00235348,1,0,1,0,1,0
WBGene00006945,1,0,0,0,0,0
WBGene00009301,1,0,0,1,1,0
WBGene00014843,1,0,0,1,0,1
WBGene00044131,1,0,1,0,1,1
WBGene00001918,1,0,0,0,0,0
WBGene00004246,1,0,1,1,1,1
WBGene00012961,1,0,1,1,1,1
WBGene00015731,1,0,1,0,1,1
WBGene00001889,1,0,0,0,0,0
WBGene00220052,1,0,0,0,0,0
WBGene00009527,1,0,0,0,0,0
WBGene00014264,1,0,0,0,0,0
WBGene00009654,1,0,1,1,1,1
WBGene00001923,1,0,0,0,0,0
WBGene00014309,1,0,0,0,0,0
WBGene00015228,1,0,0,0,0,1
WBGene00001901,1,0,0,0,0,0
WBGene00219803,1,0,1,1,1,1
WBGene00012362,1,0,1,1,1,1
WBGene00017499,1,0,0,0,0,0
WBGene00021236,1,0,0,0,0,0
WBGene00014376,1,0,1,1,0,1
WBGene00003229,1,0,1,1,1,1
WBGene00045127,1,0,0,0,0,0
WBGene00009656,1,0,0,1,0,1
WBGene00009052,0,0,1,0,0,0
WBGene00010713,0,0,1,0,0,0
WBGene00001895,0,0,1,0,0,1
WBGene00001234,0,0,1,0,0,1
WBGene00021317,0,0,1,1,0,1
WBGene00001925,0,0,1,0,0,1
WBGene00015800,0,0,0,0,0,1
