DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
9858283	9858283		True	False	200	9858083	9858083		ADOG	X	.	.	9858083	protein_coding	gene_id "WBGene00011082"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00011082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1165	256.0	WormBase	9856918	+	gene	False	N2HS_INP_split
1152901	1152901		False	False	200	1152701	1152701		ADOG	II	.	.	1152701	protein_coding	gene_id "WBGene00004076"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004076	0	0	0	0	0	['WBGene00021105']	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		15920	10874.0	WormBase	1136781	+	gene	False	N2HS_INP_split
10931975	10931975		False	False	900	10931075	10931075		ADOG	II	.	.	10931075	protein_coding	gene_id "WBGene00010988"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00010988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		4514	11452.0	WormBase	10926561	+	gene	False	N2HS_INP_split
17277948	17277948		False	False	200	17277748	17277748		ADOG	IV	.	.	17277748	protein_coding	gene_id "WBGene00009156"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		792	665.0	WormBase	17276956	+	gene	False	N2HS_INP_split
2592058	2592058		False	False	300	2591758	2591758		ADOG	V	.	.	2591758	pseudogene	gene_id "WBGene00016230"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00016230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1365	729.0	WormBase	2590393	+	gene	False	N2HS_INP_split
5778101	5778101		False	False	200	5777901	5777901		ADOG	V	.	.	5777901	pseudogene	gene_id "WBGene00235319"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00235319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		472	2253.0	WormBase	5777429	+	gene	False	N2HS_INP_split
9073928	9073928		False	False	300	9073628	9073628		ADOG	V	.	.	9073628	ncRNA	gene_id "WBGene00199334"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		196	3032.0	WormBase	9073432	+	gene	False	N2HS_INP_split
10034687	10034687		False	False	200	10034487	10034487		ADOG	V	.	.	10034487	ncRNA	gene_id "WBGene00198809"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00198809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		55	2853.0	WormBase	10034432	+	gene	False	N2HS_INP_split
10049326	10049326		False	False	600	10048726	10048726		ADOG	V	.	.	10048726	protein_coding	gene_id "WBGene00010177"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00010177	0	0	0	['WBGene00199742', 'WBGene00198348', 'WBGene00197228', 'WBGene00197215']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		11386	3429.0	WormBase	10037340	+	gene	False	N2HS_INP_split
12749890	12749890	False			500	12749390	12749390	False	APOG	I	.	.	12752087	protein_coding	gene_id "WBGene00012195"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	572.0	2197		WormBase	12749890	+	gene	False	N2HS_INP_split
