gene_id_name	gene_biotype_name	TYPE	chr	strand	DOG_length	DOG_start_local	DOG_end_local	DOG_start_meta	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	POG_into_upstream_gene	padj	baseMean	pvalue	log2FoldChange	lfcSE	stat	source	length	left_int_length	right_int_length	sample_name	start	end	type
WBGene00015993	protein_coding	DOG	IV	+	500	620925	621425	620925	621425	0	False	False	0	0.0374457280322442	207.714285714286	0.00167145586297424	3.5068137935539	1.0765660771371302	9.87933224857159	WormBase	5381	0.0	3139.0	N2HS_J2B_sp	615544	620925	gene
WBGene00021157	protein_coding	DOG	IV	+	200	5336827	5337027	5336827	5337027	0	True	False	0	0.0083102289985678	436.0	0.000279581651080417	3.09117484766252	0.8273221292250329	13.2024616486833	WormBase	4349	0.0	214.0	N2HS_J2B_sp	5332478	5336827	gene
WBGene00044501	protein_coding	DOG	IV	+	4300	5694646	5698946	5694646	5698946	0	False	False	0	0.0083102289985678	19.8571428571429	0.00028009881388932703	4.4594203795397	1.25612631686306	13.1989981246774	WormBase	3616	0.0	10973.0	N2HS_J2B_sp	5691030	5694646	gene
WBGene00019055	protein_coding	DOG	IV	+	4400	6253083	6253300	6253083	6257483	0	False	True	0	0.0308967886830273	29.857142857142897	0.0013017321581325599	3.1128335124521103	0.9688524083260459	10.3400680076799	WormBase	3209	0.0	217.0	N2HS_J2B_sp	6249874	6253083	gene
WBGene00219916	ncRNA	DOG	IV	+	3700	17278502	17278959	17278502	17282202	0	False	True	0	5.73629834907278e-14	154.285714285714	2.7433902375433495e-16	4.36286436959464	0.529281731549117	66.9795443608443	WormBase	89	0.0	457.0	N2HS_J2A_split	17278413	17278502	gene
WBGene00015753	protein_coding	DOG	III	+	10100	8111245	8121345	8111245	8121345	0	True	False	0	3.58030789267804e-07	1130.28571428571	5.38146939004215e-09	6.85611120189083	1.0278120182689798	34.0463524427946	WormBase	2542	0.0	19607.0	N2HS_J2B_s	8108703	8111245	gene
WBGene00194856	antisense	DOG	III	+	2100	10815128	10817228	10815128	10817228	0	False	False	0	0.0308967886830273	58.1428571428571	0.00129896955763987	2.90053749038517	0.93554063142056	10.3439895221057	WormBase	752	0.0	2135.0	N2HS_J2B_s	10814376	10815128	gene
WBGene00011612	protein_coding	DOG	X	+	29200	191193	192834	191193	220393	0	False	True	0	0.0178866157524442	194.42857142857102	0.000659902471395118	1.6842319853926202	0.49314180717236294	11.598916710961799	WormBase	8502	0.0	1641.0	N2HS_J2B_spl	182691	191193	gene
WBGene00020490	protein_coding	DOG	X	+	2900	1177172	1180072	1177172	1180072	0	False	False	0	0.0411410838434349	148.571428571429	0.00186451279545515	1.47662227935401	0.47467095604882104	9.67835706363799	WormBase	14019	0.0	3112.0	N2HS_J2B_spl	1163153	1177172	gene
WBGene00220094	snoRNA	DOG	X	+	1000	11484924	11485924	11484924	11485924	0	True	False	0	0.000112758105102993	212.85714285714297	2.4652193327003603e-06	3.46903729313585	0.862276313275991	22.193383168355	WormBase	98	0.0	2864.0	N2WT_INP_split	11484826	11484924	gene
