DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
1815852	1815852		True	False	200	1815652	1815652		ADOG	V	.	.	1821323	protein_coding	gene_id "WBGene00001632"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001632	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1736.0	5471		WormBase	1815852	-	gene	False	N2HS_J2B_split
9099638	9099638		False	False	300	9099338	9099338		ADOG	V	.	.	9101133	protein_coding	gene_id "WBGene00017661"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017661	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	942.0	1495		WormBase	9099638	-	gene	False	N2HS_J2B_split
110551	110551		False	False	300	110251	110251		ADOG	I	.	.	110771	ncRNA	gene_id "WBGene00199899"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199899	0	0	0	['WBGene00199597']	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	444.0	220		WormBase	110551	-	gene	False	N2HS_J2B_spl
146486	146486		False	False	200	146286	146286		ADOG	I	.	.	154850	protein_coding	gene_id "WBGene00000253"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00000253	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	30810.0	8364		WormBase	146486	-	gene	False	N2HS_J2B_spl
502932	502932		False	False	600	502332	502332		ADOG	I	.	.	506250	protein_coding	gene_id "WBGene00022036"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00022036	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	890.0	3318		WormBase	502932	-	gene	False	N2HS_J2B_spl
801555	801555		False	False	200	801355	801355		ADOG	I	.	.	801698	ncRNA	gene_id "WBGene00199422"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199422	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4260.0	143		WormBase	801555	-	gene	False	N2HS_J2B_spl
979125	979125		False	False	400	978725	978725		ADOG	I	.	.	979274	ncRNA	gene_id "WBGene00200860"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200860	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2575.0	149		WormBase	979125	-	gene	False	N2HS_J2B_spl
1974779	1974779		False	False	500	1974279	1974279		ADOG	I	.	.	1974991	ncRNA	gene_id "WBGene00201351"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201351	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	16252.0	212		WormBase	1974779	-	gene	False	N2HS_J2B_spl
2061667	2061667		False	False	2500	2059167	2059167		ADOG	I	.	.	2064077	protein_coding	gene_id "WBGene00021346"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021346	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11490.0	2410		WormBase	2061667	-	gene	False	N2HS_J2B_spl
2233744	2233744		False	False	300	2233444	2233444		ADOG	I	.	.	2234957	protein_coding	gene_id "WBGene00021006"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021006	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	645.0	1213		WormBase	2233744	-	gene	False	N2HS_J2B_spl
