sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2_J2_3	13400	WBGene00022951	16931619	16943323	X	+	DOG	J2	N2
N2_J2_3	8700	WBGene00004512	15063836	15064301	I	+	DOG	J2	N2
N2_J2_3	8000	WBGene00004567	15064453	15064838	I	+	DOG	J2	N2
N2_J2_3	1800	WBGene00019347	17008462	17010262	X	+	DOG	J2	N2
N2_J2_3	1800	WBGene00196212	8853468	8853670	V	+	DOG	J2	N2
N2_J2_3	1500	WBGene00012384	11070950	11072450	IV	+	DOG	J2	N2
N2_J2_3	900	WBGene00014115	9122398	9122524	I	+	DOG	J2	N2
N2_J2_3	900	WBGene00016458	10819963	10820863	I	+	DOG	J2	N2
N2_J2_3	800	WBGene00235373	4397925	4398725	IV	+	DOG	J2	N2
N2_J2_3	800	WBGene00220093	11484600	11484826	X	+	DOG	J2	N2
N2_J2_3	700	WBGene00000793	11693837	11694136	III	+	DOG	J2	N2
N2_J2_3	600	WBGene00219838	5916938	5917538	III	+	DOG	J2	N2
N2_J2_3	500	WBGene00021764	1973882	1974382	I	+	DOG	J2	N2
N2_J2_3	500	WBGene00220246	9122693	9123193	I	+	DOG	J2	N2
N2_J2_3	400	WBGene00009654	10518391	10518791	III	+	DOG	J2	N2
N2_J2_3	400	WBGene00007637	11616244	11616644	I	+	DOG	J2	N2
N2_J2_3	400	WBGene00009068	16223519	16223919	X	+	DOG	J2	N2
N2_J2_3	400	WBGene00220163	11238559	11238959	III	+	DOG	J2	N2
N2_J2_3	400	WBGene00009052	7098406	7098649	I	+	DOG	J2	N2
N2_J2_3	400	WBGene00220004	3415924	3416324	I	+	DOG	J2	N2
N2_J2_3	300	WBGene00220000	6835631	6835931	I	+	DOG	J2	N2
N2_J2_3	300	WBGene00014858	13635958	13636258	I	+	DOG	J2	N2
N2_J2_3	300	WBGene00012663	10854561	10854861	III	+	DOG	J2	N2
N2_J2_3	300	WBGene00004513	15071033	15071333	I	+	DOG	J2	N2
N2_J2_3	300	WBGene00044131	2531174	2531474	V	+	DOG	J2	N2
N2_J2_3	300	WBGene00015731	2422895	2423195	V	+	DOG	J2	N2
N2_J2_3	300	WBGene00021598	15198075	15198375	II	+	DOG	J2	N2
N2_J2_3	300	WBGene00220094	11484924	11485224	X	+	DOG	J2	N2
N2_J2_3	300	WBGene00220236	11635327	11635627	II	+	DOG	J2	N2
N2_J2_3	300	WBGene00021716	3492881	3493181	II	+	DOG	J2	N2
N2_J2_3	300	WBGene00016544	2155220	2155520	II	+	DOG	J2	N2
N2_J2_3	300	WBGene00016002	6691841	6691986	II	+	DOG	J2	N2
N2_J2_3	200	WBGene00001234	12970238	12970438	I	+	DOG	J2	N2
N2_J2_3	200	WBGene00023366	3589335	3589535	IV	+	DOG	J2	N2
N2_J2_3	200	WBGene00023341	6418047	6418247	V	+	DOG	J2	N2
N2_J2_3	200	WBGene00200723	3168949	3169149	IV	+	DOG	J2	N2
N2_J2_3	200	WBGene00007062	18060708	18060908	V	+	DOG	J2	N2
N2_J2_3	200	WBGene00007736	12474889	12475089	IV	+	DOG	J2	N2
N2_J2_3	200	WBGene00022375	2732404	2732604	IV	+	DOG	J2	N2
N2_J2_3	200	WBGene00197318	970170	970370	V	+	DOG	J2	N2
N2_J2_3	200	WBGene00013554	12232241	12232441	III	+	DOG	J2	N2
N2_J2_3	200	WBGene00002189	14951924	14952124	I	+	DOG	J2	N2
N2_J2_3	200	WBGene00021405	23198	23398	IV	+	DOG	J2	N2
N2_J2_3	200	WBGene00017930	6040582	6040782	V	+	DOG	J2	N2
N2_J2_3	200	WBGene00044503	6707052	6707252	IV	+	DOG	J2	N2
N2_J2_3	200	WBGene00185002	9838311	9838511	III	+	DOG	J2	N2
N2_J2_3	200	WBGene00017287	5347013	5347213	II	+	DOG	J2	N2
N2_J2_3	200	WBGene00164974	11440652	11440852	X	+	DOG	J2	N2
N2_J2_3	200	WBGene00011418	12482426	12482626	IV	+	DOG	J2	N2
N2_J2_3	200	WBGene00019827	4021956	4022156	X	+	DOG	J2	N2
N2_J2_3	200	WBGene00008748	10694461	10694661	X	+	DOG	J2	N2
N2_J2_3	200	WBGene00003638	15716444	15716644	X	+	DOG	J2	N2
N2_J2_3	200	WBGene00219964	16943517	16943717	X	+	DOG	J2	N2
N2_J2_3	200	WBGene00004010	11136380	11136580	III	+	DOG	J2	N2
N2_J2_3	200	WBGene00007135	4340464	4340664	III	+	DOG	J2	N2
N2_J2_3	200	WBGene00003229	134065	134265	I	+	DOG	J2	N2
N2_J2_3	200	WBGene00022033	533084	533284	I	+	DOG	J2	N2
N2_J2_3	200	WBGene00021351	2076906	2077106	I	+	DOG	J2	N2
N2_J2_3	200	WBGene00018581	6596231	6596431	I	+	DOG	J2	N2
N2_J2_3	200	WBGene00011973	7699037	7699237	I	+	DOG	J2	N2
