RUNON	chr	RUNON_strand	RUNON_start	RUNON_end	OPERON	OPERON_strand	OPERON_start	OPERON_end
WBGene00021925	IV	-	1003400	1003600	CEOP4044	-	992240	1003639
WBGene00021925	IV	-	1003400	1003600	CEOP4642	-	1003600	1009734
WBGene00008968	IV	-	8752860	8753195	CEOP4609	+	8753195	8762057
WBGene00007902	IV	-	8773552	8773952	CEOP4308	-	8767688	8780872
WBGene00014829	IV	-	11362794	11363194	CEOP4639	+	11341325	11371836
WBGene00013382	IV	-	13408406	13408606	CEOP4601	+	13403769	13412895
WBGene00004277	III	-	1077850	1078150	CEOP3052	+	1062793	1080775
WBGene00022491	III	-	1185048	1185248	CEOP3060	+	1185248	1202008
WBGene00004765	III	-	3611951	3612951	CEOP3862	+	3612951	3630368
WBGene00003598	III	-	4893547	4894647	CEOP3232	+	4887921	4899085
WBGene00020097	III	-	5008830	5008933	CEOP3252	-	5003197	5017860
WBGene00020423	III	-	5169799	5169933	CEOP3260	+	5155472	5172045
WBGene00022599	III	-	5273471	5273800	CEOP3276	-	5268682	5274787
WBGene00015485	III	-	6422159	6422459	CEOP3372	+	6422459	6431792
WBGene00044452	III	-	6727955	6728155	CEOP3400	+	6722454	6728058
WBGene00019401	III	-	7155732	7156032	CEOP3412	-	7156032	7162115
WBGene00001689	III	-	9390870	9391270	CEOP3576	+	9387601	9393164
WBGene00012362	III	-	10711527	10711724	CEOP3796	+	10708484	10716191
WBGene00013225	III	-	11849151	11849951	CEOP3732	-	11849951	11869281
WBGene00044233	III	-	11929589	11929889	CEOP3841	+	11929889	11947017
WBGene00000201	III	-	12052303	12052424	CEOP3750	-	12031516	12058458
WBGene00013552	III	-	12223887	12224487	CEOP3756	-	12224487	12226267
WBGene00006389	III	-	12670507	12671307	CEOP3799	-	12652344	12673421
WBGene00012097	III	-	13457387	13457687	CEOP3792	+	13433447	13462594
WBGene00010665	III	-	13763730	13764030	CEOP3829	-	13759444	13768092
WBGene00021333	I	-	1050721	1050921	CEOP1908	+	1034443	1050727
WBGene00044435	I	-	2048840	2049140	CEOP1913	+	2034383	2050177
WBGene00021473	I	-	2375989	2377089	CEOP1967	-	2377089	2401492
WBGene00022128	I	-	2721679	2721879	CEOP1052	+	2718027	2726724
WBGene00022117	I	-	2870108	2870608	CEOP1064	-	2870608	2876324
WBGene00004415	I	-	4645241	4645641	CEOP1196	-	4635722	4646963
WBGene00009050	I	-	7079668	7079868	CEOP1364	-	7075918	7081520
WBGene00010427	I	-	7139973	7140278	CEOP1368	-	7140278	7156868
WBGene00011062	I	-	7233445	7233645	CEOP1376	-	7229433	7234501
WBGene00009477	I	-	9009060	9009260	CEOP1516	+	9001913	9013885
WBGene00006503	I	-	9063160	9063588	CEOP1528	-	9060493	9064403
WBGene00006958	I	-	11924585	11924785	CEOP1660	+	11912005	11929511
WBGene00012366	I	-	13806801	13806917	CEOP1998	+	13792645	13806801
WBGene00012366	I	-	13806801	13806917	CEOP1724	+	13806917	13840047
WBGene00004489	I	-	14468214	14468321	CEOP1732	-	14465380	14469354
WBGene00021560	V	-	4169920	4170120	CEOP5562	+	4166796	4175640
WBGene00197520	V	-	7224832	7225132	CEOP5144	-	7205626	7230848
WBGene00013766	V	-	20267244	20267377	CEOP5508	-	20234807	20269711
