gene_id_name	strand	gene_biotype_name	overlapped_gene	overlapped_biotype	same_or_opposite_strand
WBGene00235373	+	ncRNA	WBGene00220137	ncRNA	same
WBGene00219643	+	lincRNA	WBGene00175029	ncRNA	same
WBGene00196455	+	ncRNA	WBGene00219848	ncRNA	same
WBGene00197731	+	ncRNA	WBGene00196715	ncRNA	same
WBGene00017685	+	protein_coding	WBGene00198576	ncRNA	same
WBGene00167134	+	piRNA	WBGene00173015	piRNA	same
WBGene00169374	+	piRNA	WBGene00049638	piRNA	same
WBGene00008847	+	protein_coding	WBGene00171687	piRNA	same
WBGene00235373	+	ncRNA	WBGene00021281	protein_coding	same
WBGene00019907	+	protein_coding	WBGene00019908	protein_coding	same
WBGene00005716	+	protein_coding	WBGene00006393	protein_coding	same
WBGene00196455	+	ncRNA	WBGene00007942	protein_coding	same
WBGene00007285	+	protein_coding	WBGene00007288	protein_coding	same
WBGene00008418	+	protein_coding	WBGene00008419	protein_coding	same
WBGene00206528	+	protein_coding	WBGene00013178	protein_coding	same
WBGene00015766	+	protein_coding	WBGene00015765	protein_coding	same
WBGene00201623	+	ncRNA	WBGene00001889	protein_coding	same
WBGene00013154	+	protein_coding	WBGene00013155	pseudogene	same
WBGene00014478	+	tRNA	WBGene00014479	tRNA	same
WBGene00173800	+	piRNA	WBGene00219633	antisense	opposite
WBGene00047593	+	piRNA	WBGene00219633	antisense	opposite
WBGene00171618	+	piRNA	WBGene00219633	antisense	opposite
WBGene00015677	+	protein_coding	WBGene00219683	antisense	opposite
WBGene00016362	+	protein_coding	WBGene00219658	antisense	opposite
WBGene00017683	+	protein_coding	WBGene00219679	antisense	opposite
WBGene00007904	+	protein_coding	WBGene00219564	lincRNA	opposite
WBGene00202080	+	ncRNA	WBGene00219649	lincRNA	opposite
WBGene00018766	+	protein_coding	WBGene00219707	lincRNA	opposite
WBGene00195037	+	ncRNA	WBGene00219707	lincRNA	opposite
WBGene00019605	+	protein_coding	WBGene00219713	lincRNA	opposite
WBGene00014156	+	protein_coding	WBGene00219641	lincRNA	opposite
WBGene00012977	+	protein_coding	WBGene00219619	lincRNA	opposite
WBGene00001875	+	protein_coding	WBGene00195170	lincRNA	opposite
WBGene00170383	+	piRNA	WBGene00194829	miRNA	opposite
WBGene00018357	+	protein_coding	WBGene00219254	miRNA	opposite
WBGene00008776	+	protein_coding	WBGene00003325	miRNA	opposite
WBGene00003745	+	protein_coding	WBGene00045359	miRNA	opposite
WBGene00045137	+	snoRNA	WBGene00003039	miRNA	opposite
WBGene00045137	+	snoRNA	WBGene00003335	miRNA	opposite
WBGene00198974	+	ncRNA	WBGene00003327	miRNA	opposite
WBGene00022090	+	protein_coding	WBGene00197723	ncRNA	opposite
WBGene00195724	+	ncRNA	WBGene00198367	ncRNA	opposite
WBGene00200541	+	ncRNA	WBGene00199956	ncRNA	opposite
WBGene00200541	+	ncRNA	WBGene00197195	ncRNA	opposite
WBGene00200272	+	ncRNA	WBGene00199503	ncRNA	opposite
WBGene00047307	+	piRNA	WBGene00200871	ncRNA	opposite
WBGene00201462	+	ncRNA	WBGene00195339	ncRNA	opposite
WBGene00174032	+	piRNA	WBGene00196267	ncRNA	opposite
WBGene00169073	+	piRNA	WBGene00198640	ncRNA	opposite
WBGene00015310	+	protein_coding	WBGene00199713	ncRNA	opposite
WBGene00199434	+	ncRNA	WBGene00200214	ncRNA	opposite
WBGene00015935	+	protein_coding	WBGene00198193	ncRNA	opposite
WBGene00202097	+	ncRNA	WBGene00200701	ncRNA	opposite
WBGene00202097	+	ncRNA	WBGene00200526	ncRNA	opposite
WBGene00201535	+	ncRNA	WBGene00202318	ncRNA	opposite
WBGene00016126	+	protein_coding	WBGene00196545	ncRNA	opposite
WBGene00008365	+	protein_coding	WBGene00199253	ncRNA	opposite
WBGene00008365	+	protein_coding	WBGene00199173	ncRNA	opposite
WBGene00200525	+	ncRNA	WBGene00201342	ncRNA	opposite
WBGene00195921	+	ncRNA	WBGene00198599	ncRNA	opposite
WBGene00195921	+	ncRNA	WBGene00198307	ncRNA	opposite
WBGene00001577	+	protein_coding	WBGene00200650	ncRNA	opposite
WBGene00007802	+	protein_coding	WBGene00198508	ncRNA	opposite
WBGene00198595	+	ncRNA	WBGene00198285	ncRNA	opposite
WBGene00198595	+	ncRNA	WBGene00195274	ncRNA	opposite
WBGene00201015	+	ncRNA	WBGene00200018	ncRNA	opposite
WBGene00199305	+	ncRNA	WBGene00201878	ncRNA	opposite
WBGene00012763	+	protein_coding	WBGene00219444	ncRNA	opposite
WBGene00166408	+	piRNA	WBGene00219444	ncRNA	opposite
WBGene00048735	+	piRNA	WBGene00220221	ncRNA	opposite
WBGene00173991	+	piRNA	WBGene00220221	ncRNA	opposite
WBGene00023170	+	tRNA	WBGene00199059	ncRNA	opposite
WBGene00022898	+	tRNA	WBGene00200763	ncRNA	opposite
WBGene00198737	+	ncRNA	WBGene00197906	ncRNA	opposite
WBGene00019501	+	protein_coding	WBGene00201474	ncRNA	opposite
WBGene00019501	+	protein_coding	WBGene00200403	ncRNA	opposite
WBGene00200938	+	ncRNA	WBGene00202275	ncRNA	opposite
WBGene00200938	+	ncRNA	WBGene00195799	ncRNA	opposite
WBGene00019907	+	protein_coding	WBGene00200278	ncRNA	opposite
WBGene00019907	+	protein_coding	WBGene00199748	ncRNA	opposite
WBGene00201979	+	ncRNA	WBGene00198939	ncRNA	opposite
WBGene00023097	+	tRNA	WBGene00198939	ncRNA	opposite
WBGene00022923	+	tRNA	WBGene00198860	ncRNA	opposite
WBGene00197575	+	ncRNA	WBGene00198456	ncRNA	opposite
WBGene00197575	+	ncRNA	WBGene00196373	ncRNA	opposite
WBGene00199154	+	ncRNA	WBGene00198387	ncRNA	opposite
WBGene00008040	+	protein_coding	WBGene00200391	ncRNA	opposite
WBGene00202305	+	ncRNA	WBGene00195325	ncRNA	opposite
WBGene00194691	+	protein_coding	WBGene00199404	ncRNA	opposite
WBGene00194856	+	antisense	WBGene00197424	ncRNA	opposite
WBGene00201051	+	ncRNA	WBGene00200033	ncRNA	opposite
WBGene00196725	+	ncRNA	WBGene00195739	ncRNA	opposite
WBGene00197281	+	ncRNA	WBGene00199483	ncRNA	opposite
WBGene00198135	+	ncRNA	WBGene00198638	ncRNA	opposite
WBGene00011612	+	protein_coding	WBGene00195036	ncRNA	opposite
WBGene00200287	+	ncRNA	WBGene00197851	ncRNA	opposite
WBGene00219643	+	lincRNA	WBGene00219776	ncRNA	opposite
WBGene00198199	+	ncRNA	WBGene00200042	ncRNA	opposite
WBGene00199709	+	ncRNA	WBGene00202172	ncRNA	opposite
WBGene00197953	+	ncRNA	WBGene00200368	ncRNA	opposite
WBGene00017306	+	protein_coding	WBGene00200313	ncRNA	opposite
WBGene00017306	+	protein_coding	WBGene00196850	ncRNA	opposite
WBGene00017306	+	protein_coding	WBGene00201313	ncRNA	opposite
WBGene00201379	+	ncRNA	WBGene00201718	ncRNA	opposite
WBGene00017472	+	protein_coding	WBGene00195732	ncRNA	opposite
WBGene00020119	+	protein_coding	WBGene00198006	ncRNA	opposite
WBGene00020119	+	protein_coding	WBGene00197667	ncRNA	opposite
WBGene00201370	+	ncRNA	WBGene00197381	ncRNA	opposite
WBGene00199202	+	ncRNA	WBGene00200170	ncRNA	opposite
WBGene00198704	+	ncRNA	WBGene00195722	ncRNA	opposite
WBGene00195780	+	ncRNA	WBGene00196596	ncRNA	opposite
WBGene00005711	+	protein_coding	WBGene00195507	ncRNA	opposite
WBGene00021326	+	protein_coding	WBGene00196351	ncRNA	opposite
WBGene00201779	+	ncRNA	WBGene00200665	ncRNA	opposite
WBGene00200604	+	ncRNA	WBGene00196012	ncRNA	opposite
WBGene00196209	+	ncRNA	WBGene00195395	ncRNA	opposite
WBGene00200299	+	ncRNA	WBGene00197912	ncRNA	opposite
WBGene00200068	+	ncRNA	WBGene00197220	ncRNA	opposite
WBGene00201442	+	ncRNA	WBGene00200628	ncRNA	opposite
WBGene00022976	+	tRNA	WBGene00197566	ncRNA	opposite
WBGene00198623	+	ncRNA	WBGene00199961	ncRNA	opposite
WBGene00015801	+	protein_coding	WBGene00198936	ncRNA	opposite
WBGene00198602	+	ncRNA	WBGene00200407	ncRNA	opposite
WBGene00195944	+	ncRNA	WBGene00196355	ncRNA	opposite
WBGene00197366	+	ncRNA	WBGene00198319	ncRNA	opposite
WBGene00196289	+	ncRNA	WBGene00197903	ncRNA	opposite
WBGene00196567	+	ncRNA	WBGene00195912	ncRNA	opposite
WBGene00197822	+	ncRNA	WBGene00198512	ncRNA	opposite
WBGene00016893	+	protein_coding	WBGene00196083	ncRNA	opposite
WBGene00195259	+	ncRNA	WBGene00198371	ncRNA	opposite
WBGene00195259	+	ncRNA	WBGene00196281	ncRNA	opposite
WBGene00201254	+	ncRNA	WBGene00202429	ncRNA	opposite
WBGene00199589	+	ncRNA	WBGene00200400	ncRNA	opposite
WBGene00200250	+	ncRNA	WBGene00199711	ncRNA	opposite
WBGene00198697	+	ncRNA	WBGene00197934	ncRNA	opposite
WBGene00201253	+	ncRNA	WBGene00196765	ncRNA	opposite
WBGene00198376	+	ncRNA	WBGene00201525	ncRNA	opposite
WBGene00017241	+	protein_coding	WBGene00201705	ncRNA	opposite
WBGene00199700	+	ncRNA	WBGene00200562	ncRNA	opposite
WBGene00197821	+	ncRNA	WBGene00197030	ncRNA	opposite
WBGene00017571	+	protein_coding	WBGene00196456	ncRNA	opposite
WBGene00198186	+	ncRNA	WBGene00200065	ncRNA	opposite
WBGene00198186	+	ncRNA	WBGene00201870	ncRNA	opposite
WBGene00023118	+	tRNA	WBGene00197098	ncRNA	opposite
WBGene00201307	+	ncRNA	WBGene00200297	ncRNA	opposite
WBGene00196120	+	ncRNA	WBGene00197124	ncRNA	opposite
WBGene00198970	+	ncRNA	WBGene00199939	ncRNA	opposite
WBGene00007398	+	protein_coding	WBGene00197967	ncRNA	opposite
WBGene00201295	+	ncRNA	WBGene00202036	ncRNA	opposite
WBGene00001184	+	protein_coding	WBGene00198096	ncRNA	opposite
WBGene00199959	+	ncRNA	WBGene00197137	ncRNA	opposite
WBGene00199959	+	ncRNA	WBGene00197300	ncRNA	opposite
WBGene00201703	+	ncRNA	WBGene00202470	ncRNA	opposite
WBGene00200501	+	ncRNA	WBGene00197729	ncRNA	opposite
WBGene00196455	+	ncRNA	WBGene00197484	ncRNA	opposite
WBGene00196455	+	ncRNA	WBGene00201557	ncRNA	opposite
WBGene00200110	+	ncRNA	WBGene00200893	ncRNA	opposite
WBGene00200110	+	ncRNA	WBGene00196945	ncRNA	opposite
WBGene00200110	+	ncRNA	WBGene00197592	ncRNA	opposite
WBGene00008049	+	protein_coding	WBGene00199858	ncRNA	opposite
WBGene00202471	+	ncRNA	WBGene00196331	ncRNA	opposite
WBGene00199905	+	ncRNA	WBGene00198865	ncRNA	opposite
WBGene00198854	+	ncRNA	WBGene00195678	ncRNA	opposite
WBGene00197518	+	ncRNA	WBGene00199085	ncRNA	opposite
WBGene00201095	+	ncRNA	WBGene00196682	ncRNA	opposite
WBGene00196238	+	ncRNA	WBGene00196619	ncRNA	opposite
WBGene00014399	+	tRNA	WBGene00198233	ncRNA	opposite
WBGene00014274	+	tRNA	WBGene00197460	ncRNA	opposite
WBGene00000822	+	protein_coding	WBGene00195787	ncRNA	opposite
WBGene00202049	+	ncRNA	WBGene00202150	ncRNA	opposite
WBGene00199944	+	ncRNA	WBGene00195761	ncRNA	opposite
WBGene00199094	+	ncRNA	WBGene00200076	ncRNA	opposite
WBGene00021764	+	protein_coding	WBGene00201351	ncRNA	opposite
WBGene00198507	+	ncRNA	WBGene00196006	ncRNA	opposite
WBGene00200654	+	ncRNA	WBGene00200117	ncRNA	opposite
WBGene00044611	+	protein_coding	WBGene00220100	ncRNA	opposite
WBGene00017067	+	protein_coding	WBGene00219870	ncRNA	opposite
WBGene00016491	+	protein_coding	WBGene00201755	ncRNA	opposite
WBGene00199469	+	ncRNA	WBGene00201676	ncRNA	opposite
WBGene00198101	+	ncRNA	WBGene00199946	ncRNA	opposite
WBGene00199998	+	ncRNA	WBGene00199211	ncRNA	opposite
WBGene00197142	+	ncRNA	WBGene00198377	ncRNA	opposite
WBGene00200428	+	ncRNA	WBGene00199734	ncRNA	opposite
WBGene00201181	+	ncRNA	WBGene00196406	ncRNA	opposite
WBGene00007158	+	protein_coding	WBGene00197704	ncRNA	opposite
WBGene00197794	+	ncRNA	WBGene00201816	ncRNA	opposite
WBGene00007639	+	protein_coding	WBGene00197559	ncRNA	opposite
WBGene00196508	+	ncRNA	WBGene00195560	ncRNA	opposite
WBGene00196508	+	ncRNA	WBGene00199408	ncRNA	opposite
WBGene00015153	+	protein_coding	WBGene00235314	ncRNA	opposite
WBGene00020342	+	protein_coding	WBGene00197537	ncRNA	opposite
WBGene00020850	+	protein_coding	WBGene00268202	ncRNA	opposite
WBGene00020254	+	protein_coding	WBGene00219829	ncRNA	opposite
WBGene00020254	+	protein_coding	WBGene00195993	ncRNA	opposite
WBGene00015766	+	protein_coding	WBGene00196898	ncRNA	opposite
WBGene00015677	+	protein_coding	WBGene00201301	ncRNA	opposite
WBGene00196751	+	ncRNA	WBGene00200627	ncRNA	opposite
WBGene00196625	+	ncRNA	WBGene00196149	ncRNA	opposite
WBGene00196625	+	ncRNA	WBGene00196893	ncRNA	opposite
WBGene00197679	+	ncRNA	WBGene00197375	ncRNA	opposite
WBGene00196189	+	ncRNA	WBGene00195351	ncRNA	opposite
WBGene00235332	+	protein_coding	WBGene00197985	ncRNA	opposite
WBGene00000784	+	protein_coding	WBGene00197528	ncRNA	opposite
WBGene00197334	+	ncRNA	WBGene00198370	ncRNA	opposite
WBGene00022601	+	protein_coding	WBGene00197521	ncRNA	opposite
WBGene00198166	+	ncRNA	WBGene00198747	ncRNA	opposite
WBGene00001719	+	protein_coding	WBGene00201465	ncRNA	opposite
WBGene00195802	+	ncRNA	WBGene00201873	ncRNA	opposite
WBGene00235330	+	protein_coding	WBGene00198228	ncRNA	opposite
WBGene00196137	+	ncRNA	WBGene00198476	ncRNA	opposite
WBGene00196137	+	ncRNA	WBGene00201246	ncRNA	opposite
WBGene00004964	+	protein_coding	WBGene00199275	ncRNA	opposite
WBGene00200135	+	ncRNA	WBGene00200724	ncRNA	opposite
WBGene00000725	+	protein_coding	WBGene00198126	ncRNA	opposite
WBGene00000725	+	protein_coding	WBGene00199091	ncRNA	opposite
WBGene00050890	+	pseudogene	WBGene00201626	ncRNA	opposite
WBGene00198811	+	ncRNA	WBGene00197830	ncRNA	opposite
WBGene00200370	+	ncRNA	WBGene00197991	ncRNA	opposite
WBGene00202279	+	ncRNA	WBGene00196078	ncRNA	opposite
WBGene00200032	+	ncRNA	WBGene00197183	ncRNA	opposite
WBGene00196231	+	ncRNA	WBGene00199481	ncRNA	opposite
WBGene00010191	+	protein_coding	WBGene00198429	ncRNA	opposite
WBGene00197731	+	ncRNA	WBGene00199617	ncRNA	opposite
WBGene00197731	+	ncRNA	WBGene00198615	ncRNA	opposite
WBGene00195878	+	ncRNA	WBGene00200540	ncRNA	opposite
WBGene00011437	+	protein_coding	WBGene00198874	ncRNA	opposite
WBGene00199890	+	ncRNA	WBGene00197801	ncRNA	opposite
WBGene00199890	+	ncRNA	WBGene00198822	ncRNA	opposite
WBGene00199890	+	ncRNA	WBGene00195790	ncRNA	opposite
WBGene00200051	+	ncRNA	WBGene00198438	ncRNA	opposite
WBGene00007604	+	protein_coding	WBGene00196942	ncRNA	opposite
WBGene00201843	+	ncRNA	WBGene00201056	ncRNA	opposite
WBGene00196677	+	ncRNA	WBGene00201056	ncRNA	opposite
WBGene00200019	+	ncRNA	WBGene00200346	ncRNA	opposite
WBGene00014407	+	tRNA	WBGene00198049	ncRNA	opposite
WBGene00014408	+	tRNA	WBGene00198644	ncRNA	opposite
WBGene00195037	+	ncRNA	WBGene00198201	ncRNA	opposite
WBGene00023112	+	tRNA	WBGene00200274	ncRNA	opposite
WBGene00200386	+	ncRNA	WBGene00200425	ncRNA	opposite
WBGene00002094	+	protein_coding	WBGene00195619	ncRNA	opposite
WBGene00197845	+	ncRNA	WBGene00198639	ncRNA	opposite
WBGene00002089	+	protein_coding	WBGene00200396	ncRNA	opposite
WBGene00002103	+	protein_coding	WBGene00197746	ncRNA	opposite
WBGene00017685	+	protein_coding	WBGene00201452	ncRNA	opposite
WBGene00200802	+	ncRNA	WBGene00198885	ncRNA	opposite
WBGene00199264	+	ncRNA	WBGene00200308	ncRNA	opposite
WBGene00201153	+	ncRNA	WBGene00196542	ncRNA	opposite
WBGene00006703	+	protein_coding	WBGene00198210	ncRNA	opposite
WBGene00006703	+	protein_coding	WBGene00195413	ncRNA	opposite
WBGene00006703	+	protein_coding	WBGene00196178	ncRNA	opposite
WBGene00196288	+	ncRNA	WBGene00201675	ncRNA	opposite
WBGene00007311	+	protein_coding	WBGene00196523	ncRNA	opposite
WBGene00195862	+	ncRNA	WBGene00198664	ncRNA	opposite
WBGene00011580	+	protein_coding	WBGene00201815	ncRNA	opposite
WBGene00011580	+	protein_coding	WBGene00202113	ncRNA	opposite
WBGene00199885	+	ncRNA	WBGene00202113	ncRNA	opposite
WBGene00195919	+	ncRNA	WBGene00195984	ncRNA	opposite
WBGene00014513	+	tRNA	WBGene00200231	ncRNA	opposite
WBGene00007354	+	protein_coding	WBGene00219803	ncRNA	opposite
WBGene00009356	+	protein_coding	WBGene00201303	ncRNA	opposite
WBGene00195700	+	ncRNA	WBGene00201752	ncRNA	opposite
WBGene00195700	+	ncRNA	WBGene00201438	ncRNA	opposite
WBGene00195700	+	ncRNA	WBGene00199360	ncRNA	opposite
WBGene00044074	+	protein_coding	WBGene00198934	ncRNA	opposite
WBGene00013167	+	protein_coding	WBGene00195949	ncRNA	opposite
WBGene00004677	+	pseudogene	WBGene00201398	ncRNA	opposite
WBGene00004622	+	rRNA	WBGene00196396	ncRNA	opposite
WBGene00001911	+	protein_coding	WBGene00195366	ncRNA	opposite
WBGene00001911	+	protein_coding	WBGene00196091	ncRNA	opposite
WBGene00012977	+	protein_coding	WBGene00198409	ncRNA	opposite
WBGene00023180	+	tRNA	WBGene00201830	ncRNA	opposite
WBGene00014264	+	tRNA	WBGene00201418	ncRNA	opposite
WBGene00199488	+	ncRNA	WBGene00200573	ncRNA	opposite
WBGene00023125	+	tRNA	WBGene00195668	ncRNA	opposite
WBGene00014508	+	tRNA	WBGene00199939	ncRNA	opposite
WBGene00001901	+	protein_coding	WBGene00202351	ncRNA	opposite
WBGene00219413	+	protein_coding	WBGene00165356	piRNA	opposite
WBGene00200814	+	ncRNA	WBGene00165382	piRNA	opposite
WBGene00018080	+	protein_coding	WBGene00165376	piRNA	opposite
WBGene00172645	+	piRNA	WBGene00166120	piRNA	opposite
WBGene00172645	+	piRNA	WBGene00168036	piRNA	opposite
WBGene00046875	+	piRNA	WBGene00172114	piRNA	opposite
WBGene00046875	+	piRNA	WBGene00050520	piRNA	opposite
WBGene00006217	+	protein_coding	WBGene00174786	piRNA	opposite
WBGene00168824	+	piRNA	WBGene00169232	piRNA	opposite
WBGene00020354	+	protein_coding	WBGene00168016	piRNA	opposite
WBGene00006212	+	protein_coding	WBGene00167296	piRNA	opposite
WBGene00006213	+	protein_coding	WBGene00174010	piRNA	opposite
WBGene00006209	+	protein_coding	WBGene00047557	piRNA	opposite
WBGene00006209	+	protein_coding	WBGene00048207	piRNA	opposite
WBGene00017109	+	protein_coding	WBGene00168792	piRNA	opposite
WBGene00047307	+	piRNA	WBGene00169740	piRNA	opposite
WBGene00047307	+	piRNA	WBGene00171968	piRNA	opposite
WBGene00047307	+	piRNA	WBGene00168934	piRNA	opposite
WBGene00049456	+	piRNA	WBGene00169910	piRNA	opposite
WBGene00049456	+	piRNA	WBGene00169481	piRNA	opposite
WBGene00049456	+	piRNA	WBGene00048786	piRNA	opposite
WBGene00049456	+	piRNA	WBGene00169768	piRNA	opposite
WBGene00047187	+	piRNA	WBGene00174087	piRNA	opposite
WBGene00047187	+	piRNA	WBGene00046213	piRNA	opposite
WBGene00047187	+	piRNA	WBGene00167516	piRNA	opposite
WBGene00047187	+	piRNA	WBGene00170249	piRNA	opposite
WBGene00047187	+	piRNA	WBGene00047444	piRNA	opposite
WBGene00165762	+	piRNA	WBGene00046522	piRNA	opposite
WBGene00170303	+	piRNA	WBGene00048129	piRNA	opposite
WBGene00170303	+	piRNA	WBGene00173427	piRNA	opposite
WBGene00050269	+	piRNA	WBGene00173664	piRNA	opposite
WBGene00174337	+	piRNA	WBGene00166010	piRNA	opposite
WBGene00174337	+	piRNA	WBGene00170936	piRNA	opposite
WBGene00016053	+	protein_coding	WBGene00048897	piRNA	opposite
WBGene00004851	+	pseudogene	WBGene00173270	piRNA	opposite
WBGene00166463	+	piRNA	WBGene00167830	piRNA	opposite
WBGene00166463	+	piRNA	WBGene00169368	piRNA	opposite
WBGene00048718	+	piRNA	WBGene00047818	piRNA	opposite
WBGene00048718	+	piRNA	WBGene00172338	piRNA	opposite
WBGene00169859	+	piRNA	WBGene00168004	piRNA	opposite
WBGene00170143	+	piRNA	WBGene00169363	piRNA	opposite
WBGene00170143	+	piRNA	WBGene00170412	piRNA	opposite
