DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
2261801	2261801		False	False	700	2261101	2261101		ADOG	II	.	.	2261101	protein_coding	gene_id "WBGene00019586"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		5929	19038.0	WormBase	2255172	+	gene	False	N2-J2-1__split
2496941	2496941		False	False	300	2496641	2496641		ADOG	II	.	.	2496641	protein_coding	gene_id "WBGene00018766"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00018766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		7887	5397.0	WormBase	2488754	+	gene	False	N2-J2-1__split
3309487	3309487		False	False	200	3309287	3309287		ADOG	II	.	.	3309287	ncRNA	gene_id "WBGene00249813"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00249813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		18	701.0	WormBase	3309269	+	gene	False	N2-J2-1__split
9071503	9071503		False	False	200	9071303	9071303		ADOG	II	.	.	9071303	ncRNA	gene_id "WBGene00199053"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		149	9965.0	WormBase	9071154	+	gene	False	N2-J2-1__split
2996386	2996386		False	False	200	2996186	2996186		ADOG	IV	.	.	2996186	ncRNA	gene_id "WBGene00199274"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		148	1171.0	WormBase	2996038	+	gene	False	N2-J2-1__split
9934485	9934485		False	False	200	9934285	9934285		ADOG	IV	.	.	9934285	protein_coding	gene_id "WBGene00004974"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		375	10201.0	WormBase	9933910	+	gene	False	N2-J2-1__split
1598889	1598889		False	False	200	1598689	1598689		ADOG	V	.	.	1598689	pseudogene	gene_id "WBGene00017505"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00017505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2545	2349.0	WormBase	1596144	+	gene	False	N2-J2-1__split
14412186	14412186		False	False	200	14411986	14411986		ADOG	V	.	.	14411986	protein_coding	gene_id "WBGene00007614"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00007614	['WBGene00206494']	0	0	['WBGene00044971']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2908	3828.0	WormBase	14409078	+	gene	False	N2-J2-1__split
18852929	18852929		False	False	200	18852729	18852729		ADOG	V	.	.	18852729	protein_coding	gene_id "WBGene00012446"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		5912	21404.0	WormBase	18846817	+	gene	False	N2-J2-1__split
219399	219399		False	False	300	219099	219099		ADOG	I	.	.	219099	protein_coding	gene_id "WBGene00255594"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00255594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1039	21392.0	WormBase	218060	+	gene	False	N2-J2-1__split
2870567	2870567		False	False	400	2870167	2870167		ADOG	I	.	.	2870167	protein_coding	gene_id "WBGene00022115"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00022115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		3659	6765.0	WormBase	2866508	+	gene	False	N2-J2-1__split
11065573	11065573		False	False	200	11065373	11065373		ADOG	I	.	.	11065373	protein_coding	gene_id "WBGene00206530"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00206530	0	0	0	0	0	0	['WBGene00077687']	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2013	31621.0	WormBase	11063360	+	gene	False	N2-J2-1__split
13633694	13633694		False	False	200	13633494	13633494		ADOG	I	.	.	13633494	protein_coding	gene_id "WBGene00006793"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00006793	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00255577']	0	0	0	0	0.0	0	0	0		4267	1548.0	WormBase	13629227	+	gene	False	N2-J2-1__split
15071333	15071333		True	False	300	15071033	15071033		ADOG	I	.	.	15071033	rRNA	gene_id "WBGene00004513"; gene_source "WormBase"; gene_biotype "rRNA";	WBGene00004513	0	0	0	['WBGene00195813']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1753	1233.0	WormBase	15069280	+	gene	False	N2-J2-1__split
