DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	sample_name	DOG_overlap_same_strand_local:piRNA	DOG_overlap_same_strand_meta:piRNA	DOG_overlap_opposite_strand_local:piRNA	DOG_overlap_opposite_strand_meta:piRNA	DOG_overlap_same_strand_local:snoRNA	DOG_overlap_same_strand_meta:snoRNA	DOG_overlap_opposite_strand_local:snoRNA	DOG_overlap_opposite_strand_meta:snoRNA	DOG_overlap_same_strand_local:tRNA	DOG_overlap_same_strand_meta:tRNA	DOG_overlap_opposite_strand_local:tRNA	DOG_overlap_opposite_strand_meta:tRNA	DOG_overlap_same_strand_local:protein_coding	DOG_overlap_same_strand_meta:protein_coding	DOG_overlap_opposite_strand_local:protein_coding	DOG_overlap_opposite_strand_meta:protein_coding	DOG_overlap_same_strand_local:pseudogene	DOG_overlap_same_strand_meta:pseudogene	DOG_overlap_opposite_strand_local:pseudogene	DOG_overlap_opposite_strand_meta:pseudogene	DOG_overlap_same_strand_local:miRNA	DOG_overlap_same_strand_meta:miRNA	DOG_overlap_opposite_strand_local:miRNA	DOG_overlap_opposite_strand_meta:miRNA	DOG_overlap_same_strand_local:lincRNA	DOG_overlap_same_strand_meta:lincRNA	DOG_overlap_opposite_strand_local:lincRNA	DOG_overlap_opposite_strand_meta:lincRNA	DOG_overlap_same_strand_local:snRNA	DOG_overlap_same_strand_meta:snRNA	DOG_overlap_opposite_strand_local:snRNA	DOG_overlap_opposite_strand_meta:snRNA	DOG_overlap_same_strand_local:antisense	DOG_overlap_same_strand_meta:antisense	DOG_overlap_opposite_strand_local:antisense	DOG_overlap_opposite_strand_meta:antisense	DOG_overlap_opposite_strand_local:rRNA	DOG_overlap_opposite_strand_meta:rRNA	DOG_overlap_same_strand_local:ncRNA	DOG_overlap_same_strand_meta:ncRNA	DOG_overlap_opposite_strand_local:ncRNA	DOG_overlap_opposite_strand_meta:ncRNA
5781921	5781921	0	False	False	200	5781721	5781721	0	DOG	II	.	.	5782113	lincRNA	gene_id "WBGene00219675"; gene_source "WormBase"; gene_biotype "lincRNA";	WBGene00219675	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7701.0	192	0.0	WormBase	5781921	-	gene	N2HS_INP_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14800918	14800918	0	False	False	200	14800718	14800718	0	DOG	II	.	.	14804309	protein_coding	gene_id "WBGene00012180"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012180	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	['WBGene00045372']	0	0	0	0	0	0	14923.0	3391	0.0	WormBase	14800918	-	gene	N2HS_INP_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00013196']	['WBGene00013196']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15136253	15136253	0	False	False	200	15136053	15136053	0	DOG	II	.	.	15136401	ncRNA	gene_id "WBGene00197545"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00197545	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1829.0	148	0.0	WormBase	15136253	-	gene	N2HS_INP_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00013171']	['WBGene00013171']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11588263	11588263	0	False	False	200	11588063	11588063	0	DOG	IV	.	.	11592240	protein_coding	gene_id "WBGene00009589"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009589	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	15592.0	3977	0.0	WormBase	11588263	-	gene	N2HS_INP_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00008720']	['WBGene00008720']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9089280	9089280	0	False	True	2700	9087021	9087021	0	DOG	V	.	.	9089766	protein_coding	gene_id "WBGene00002020"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00002020	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1498.0	486	0.0	WormBase	9089280	-	gene	N2HS_INP_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00002015']	['WBGene00002015']	['WBGene00002019']	['WBGene00002019']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00194993']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10039888	10039888	0	False	False	300	10039588	10039588	0	DOG	V	.	.	10040022	ncRNA	gene_id "WBGene00199742"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199742	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3475.0	134	0.0	WormBase	10039888	-	gene	N2HS_INP_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00010177']	['WBGene00010177']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10041652	10041652	0	False	False	300	10041352	10041352	0	DOG	V	.	.	10041776	ncRNA	gene_id "WBGene00198348"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00198348	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1630.0	124	0.0	WormBase	10041652	-	gene	N2HS_INP_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00010177']	['WBGene00010177']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10043437	10043437	0	False	False	300	10043137	10043137	0	DOG	V	.	.	10043561	ncRNA	gene_id "WBGene00197228"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00197228	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1661.0	124	0.0	WormBase	10043437	-	gene	N2HS_INP_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00010177']	['WBGene00010177']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10048167	10048167	0	False	False	900	10047267	10047267	0	DOG	V	.	.	10048388	ncRNA	gene_id "WBGene00197215"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00197215	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4606.0	221	0.0	WormBase	10048167	-	gene	N2HS_INP_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00010177']	['WBGene00010177']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11769917	11769917	0	False	False	200	11769717	11769717	0	DOG	V	.	.	11770015	miRNA	gene_id "WBGene00003344"; gene_source "WormBase"; gene_biotype "miRNA";	WBGene00003344	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	5535.0	98	0.0	WormBase	11769917	-	gene	N2HS_INP_split	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	['WBGene00004768']	['WBGene00004768']	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
