sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2HS_J2B	10600	WBGene00195813	15068355	15070431	I	-	DOG	J2	HS
N2HS_J2B	10400	WBGene00197215	10043561	10048167	V	-	DOG	J2	HS
N2HS_J2B	7700	WBGene00196396	15063383	15067668	I	-	DOG	J2	HS
N2HS_J2B	4900	WBGene00002020	9087782	9089280	V	-	DOG	J2	HS
N2HS_J2B	4300	WBGene00001784	9857346	9861646	X	-	DOG	J2	HS
N2HS_J2B	4100	WBGene00197228	10041776	10043437	V	-	DOG	J2	HS
N2HS_J2B	2900	WBGene00013172	15137576	15140476	II	-	DOG	J2	HS
N2HS_J2B	2800	WBGene00198814	15061159	15063050	I	-	DOG	J2	HS
N2HS_J2B	2800	WBGene00002015	9087021	9087293	V	-	DOG	J2	HS
N2HS_J2B	2300	WBGene00198348	10040022	10041652	V	-	DOG	J2	HS
N2HS_J2B	2300	WBGene00194993	9084558	9086858	V	-	DOG	J2	HS
N2HS_J2B	1500	WBGene00008944	20161149	20162649	V	-	DOG	J2	HS
N2HS_J2B	1200	WBGene00010877	8476810	8478010	II	-	DOG	J2	HS
N2HS_J2B	1100	WBGene00045366	18719944	18720589	V	-	DOG	J2	HS
N2HS_J2B	1100	WBGene00219343	18723771	18724748	V	-	DOG	J2	HS
N2HS_J2B	700	WBGene00016016	6212412	6213112	III	-	DOG	J2	HS
N2HS_J2B	600	WBGene00197545	15135653	15136253	II	-	DOG	J2	HS
N2HS_J2B	600	WBGene00013732	12538064	12538664	III	-	DOG	J2	HS
N2HS_J2B	600	WBGene00003308	8864670	8865270	III	-	DOG	J2	HS
N2HS_J2B	500	WBGene00021914	464215	464715	III	-	DOG	J2	HS
N2HS_J2B	500	WBGene00008968	8752860	8753195	IV	-	DOG	J2	HS
N2HS_J2B	500	WBGene00201398	15060361	15060861	I	-	DOG	J2	HS
N2HS_J2B	500	WBGene00011231	7862236	7862736	I	-	DOG	J2	HS
N2HS_J2B	500	WBGene00000677	761916	762416	IV	-	DOG	J2	HS
N2HS_J2B	400	WBGene00201669	15071866	15072266	I	-	DOG	J2	HS
N2HS_J2B	400	WBGene00220207	12122800	12123200	III	-	DOG	J2	HS
N2HS_J2B	400	WBGene00012813	19519525	19519925	V	-	DOG	J2	HS
N2HS_J2B	400	WBGene00200542	10034032	10034432	V	-	DOG	J2	HS
N2HS_J2B	400	WBGene00009588	11572671	11592351	IV	-	DOG	J2	HS
N2HS_J2B	300	WBGene00012719	13143073	13143373	III	-	DOG	J2	HS
N2HS_J2B	300	WBGene00011544	10035446	10035746	V	-	DOG	J2	HS
N2HS_J2B	300	WBGene00235348	2679197	2679497	IV	-	DOG	J2	HS
N2HS_J2B	300	WBGene00003331	8867028	8867328	III	-	DOG	J2	HS
N2HS_J2B	300	WBGene00015485	6422159	6422459	III	-	DOG	J2	HS
N2HS_J2B	300	WBGene00001918	13826430	13826730	II	-	DOG	J2	HS
N2HS_J2B	300	WBGene00004246	211956	212256	I	-	DOG	J2	HS
N2HS_J2B	300	WBGene00220118	2822437	2822737	I	-	DOG	J2	HS
N2HS_J2B	300	WBGene00195962	4343780	4343931	I	-	DOG	J2	HS
N2HS_J2B	300	WBGene00197673	4346820	4346971	I	-	DOG	J2	HS
N2HS_J2B	300	WBGene00199244	4349707	4349858	I	-	DOG	J2	HS
N2HS_J2B	300	WBGene00202259	4352594	4352745	I	-	DOG	J2	HS
N2HS_J2B	300	WBGene00196043	4355481	4355632	I	-	DOG	J2	HS
N2HS_J2B	200	WBGene00022211	150163	150363	X	-	DOG	J2	HS
N2HS_J2B	200	WBGene00200892	19516972	19517172	V	-	DOG	J2	HS
N2HS_J2B	200	WBGene00003284	13144491	13144691	X	-	DOG	J2	HS
N2HS_J2B	200	WBGene00022473	4526032	4526232	I	-	DOG	J2	HS
N2HS_J2B	200	WBGene00021238	1988046	1988246	I	-	DOG	J2	HS
N2HS_J2B	200	WBGene00015273	2482804	2483004	V	-	DOG	J2	HS
N2HS_J2B	200	WBGene00219803	10574451	10574651	II	-	DOG	J2	HS
N2HS_J2B	200	WBGene00021227	2374843	2375043	V	-	DOG	J2	HS
N2HS_J2B	200	WBGene00010989	10932541	10932741	II	-	DOG	J2	HS
N2HS_J2B	200	WBGene00012362	10711527	10711724	III	-	DOG	J2	HS
N2HS_J2B	200	WBGene00006958	11924585	11924785	I	-	DOG	J2	HS
