sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
OK80_INP	14100	WBGene00022951	16931619	16943323	X	+	DOG	INP	OK
OK80_INP	11900	WBGene00004677	15061150	15062083	I	+	DOG	INP	OK
OK80_INP	8900	WBGene00004512	15063836	15064301	I	+	DOG	INP	OK
OK80_INP	8300	WBGene00004567	15064453	15064838	I	+	DOG	INP	OK
OK80_INP	4700	WBGene00199258	5841361	5841592	X	+	DOG	INP	OK
OK80_INP	4000	WBGene00220000	6835631	6836375	I	+	DOG	INP	OK
OK80_INP	3900	WBGene00004622	15068346	15069280	I	+	DOG	INP	OK
OK80_INP	3900	WBGene00018911	2456147	2459637	V	+	DOG	INP	OK
OK80_INP	3900	WBGene00017496	2348123	2351676	V	+	DOG	INP	OK
OK80_INP	1900	WBGene00019347	17008462	17010362	X	+	DOG	INP	OK
OK80_INP	1500	WBGene00000793	11693837	11694136	III	+	DOG	INP	OK
OK80_INP	1400	WBGene00220093	11484600	11484826	X	+	DOG	INP	OK
OK80_INP	1100	WBGene00269391	8792245	8792847	III	+	DOG	INP	OK
OK80_INP	1100	WBGene00014954	16928999	16929167	V	+	DOG	INP	OK
OK80_INP	1000	WBGene00220094	11484924	11485924	X	+	DOG	INP	OK
OK80_INP	900	WBGene00016002	6691841	6691986	II	+	DOG	INP	OK
OK80_INP	900	WBGene00016458	10819963	10820863	I	+	DOG	INP	OK
OK80_INP	800	WBGene00219964	16943517	16944317	X	+	DOG	INP	OK
OK80_INP	800	WBGene00014115	9122398	9122524	I	+	DOG	INP	OK
OK80_INP	700	WBGene00219838	5916938	5917638	III	+	DOG	INP	OK
OK80_INP	700	WBGene00012663	10854561	10855261	III	+	DOG	INP	OK
OK80_INP	600	WBGene00220163	11238559	11239159	III	+	DOG	INP	OK
OK80_INP	600	WBGene00015800	6105526	6106126	X	+	DOG	INP	OK
OK80_INP	500	WBGene00044131	2531174	2531674	V	+	DOG	INP	OK
OK80_INP	500	WBGene00004443	13882620	13882734	IV	+	DOG	INP	OK
OK80_INP	500	WBGene00018581	6596231	6596731	I	+	DOG	INP	OK
OK80_INP	500	WBGene00015731	2422895	2423395	V	+	DOG	INP	OK
OK80_INP	500	WBGene00220246	9122693	9123193	I	+	DOG	INP	OK
OK80_INP	500	WBGene00008748	10694461	10694961	X	+	DOG	INP	OK
OK80_INP	500	WBGene00009654	10518391	10518891	III	+	DOG	INP	OK
OK80_INP	500	WBGene00017930	6040582	6041082	V	+	DOG	INP	OK
OK80_INP	400	WBGene00021406	14926	15326	IV	+	DOG	INP	OK
OK80_INP	400	WBGene00220004	3415924	3416324	I	+	DOG	INP	OK
OK80_INP	400	WBGene00007062	18060708	18061108	V	+	DOG	INP	OK
OK80_INP	400	WBGene00198242	10680545	10680945	V	+	DOG	INP	OK
OK80_INP	400	WBGene00195728	6492164	6492402	II	+	DOG	INP	OK
OK80_INP	400	WBGene00007637	11616244	11616644	I	+	DOG	INP	OK
OK80_INP	400	WBGene00001591	16221948	16222323	V	+	DOG	INP	OK
OK80_INP	300	WBGene00202033	8270347	8270567	II	+	DOG	INP	OK
OK80_INP	300	WBGene00219930	2666468	2666768	I	+	DOG	INP	OK
OK80_INP	300	WBGene00022300	1992966	1993089	IV	+	DOG	INP	OK
OK80_INP	300	WBGene00219697	7372735	7373035	II	+	DOG	INP	OK
OK80_INP	300	WBGene00021188	16884541	16884841	X	+	DOG	INP	OK
OK80_INP	300	WBGene00077466	17117981	17118154	V	+	DOG	INP	OK
OK80_INP	300	WBGene00017016	8133329	8133432	V	+	DOG	INP	OK
OK80_INP	300	WBGene00003827	7915184	7915291	IV	+	DOG	INP	OK
OK80_INP	300	WBGene00007736	12474889	12475189	IV	+	DOG	INP	OK
OK80_INP	300	WBGene00011418	12482426	12482726	IV	+	DOG	INP	OK
OK80_INP	300	WBGene00010085	14425859	14426159	IV	+	DOG	INP	OK
OK80_INP	300	WBGene00017612	1417477	1417749	X	+	DOG	INP	OK
OK80_INP	300	WBGene00201379	4339137	4339437	X	+	DOG	INP	OK
OK80_INP	300	WBGene00004513	15071033	15071333	I	+	DOG	INP	OK
OK80_INP	300	WBGene00198262	7236651	7236951	IV	+	DOG	INP	OK
OK80_INP	300	WBGene00007135	4340464	4340764	III	+	DOG	INP	OK
OK80_INP	300	WBGene00017160	5874680	5874980	III	+	DOG	INP	OK
OK80_INP	300	WBGene00185002	9838311	9838611	III	+	DOG	INP	OK
OK80_INP	200	WBGene00013934	13817398	13817598	II	+	DOG	INP	OK
OK80_INP	200	WBGene00013683	14546634	14546834	I	+	DOG	INP	OK
OK80_INP	200	WBGene00194981	12387721	12387891	III	+	DOG	INP	OK
OK80_INP	200	WBGene00009656	11784086	11784286	II	+	DOG	INP	OK
OK80_INP	200	WBGene00012665	19199080	19199280	V	+	DOG	INP	OK
OK80_INP	200	WBGene00016021	50303	50503	II	+	DOG	INP	OK
OK80_INP	200	WBGene00004010	11136380	11136580	III	+	DOG	INP	OK
OK80_INP	200	WBGene00007015	5021910	5022047	III	+	DOG	INP	OK
OK80_INP	200	WBGene00002017	9090604	9090804	V	+	DOG	INP	OK
OK80_INP	200	WBGene00164974	11440652	11440852	X	+	DOG	INP	OK
OK80_INP	200	WBGene00220011	16564828	16565028	X	+	DOG	INP	OK
OK80_INP	200	WBGene00007063	4717	4917	II	+	DOG	INP	OK
OK80_INP	200	WBGene00009726	12491102	12491302	X	+	DOG	INP	OK
OK80_INP	200	WBGene00007956	11569531	11569731	X	+	DOG	INP	OK
OK80_INP	200	WBGene00016544	2155220	2155420	II	+	DOG	INP	OK
OK80_INP	200	WBGene00007423	10106694	10106894	V	+	DOG	INP	OK
OK80_INP	200	WBGene00019994	2935740	2935940	III	+	DOG	INP	OK
OK80_INP	200	WBGene00017287	5347013	5347213	II	+	DOG	INP	OK
OK80_INP	200	WBGene00015228	10653043	10653243	I	+	DOG	INP	OK
OK80_INP	200	WBGene00006565	14104475	14104675	I	+	DOG	INP	OK
OK80_INP	200	WBGene00021332	1048329	1048529	I	+	DOG	INP	OK
OK80_INP	200	WBGene00003229	134065	134265	I	+	DOG	INP	OK
OK80_INP	200	WBGene00219822	6793200	6793400	IV	+	DOG	INP	OK
OK80_INP	200	WBGene00002221	7800252	7800452	IV	+	DOG	INP	OK
OK80_INP	200	WBGene00007107	11315877	11316077	IV	+	DOG	INP	OK
OK80_INP	200	WBGene00011940	12703991	12704111	IV	+	DOG	INP	OK
OK80_INP	200	WBGene00022745	4147662	4147862	X	+	DOG	INP	OK
OK80_INP	200	WBGene00013094	13875423	13875623	II	+	DOG	INP	OK
OK80_INP	200	WBGene00007481	14719670	14719870	II	+	DOG	INP	OK
OK80_INP	200	WBGene00020208	2235795	2235995	IV	+	DOG	INP	OK
OK80_INP	200	WBGene00021423	2382171	2382371	IV	+	DOG	INP	OK
OK80_INP	200	WBGene00200723	3168949	3169149	IV	+	DOG	INP	OK
OK80_INP	200	WBGene00000123	4258173	4258373	IV	+	DOG	INP	OK
OK80_INP	200	WBGene00016904	280445	280645	I	+	DOG	INP	OK
OK80_INP	200	WBGene00022366	1376409	1376609	I	+	DOG	INP	OK
OK80_INP	200	WBGene00014947	13970877	13971077	I	+	DOG	INP	OK
OK80_INP	200	WBGene00001234	12970238	12970438	I	+	DOG	INP	OK
OK80_INP	200	WBGene00219950	11237980	11238180	I	+	DOG	INP	OK
OK80_INP	200	WBGene00011489	9624724	9624924	I	+	DOG	INP	OK
OK80_INP	200	WBGene00022127	2731453	2731562	I	+	DOG	INP	OK
OK80_INP	200	WBGene00004920	2727545	2727745	I	+	DOG	INP	OK
OK80_INP	200	WBGene00001115	1490494	1490694	I	+	DOG	INP	OK
