sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2WT_INP	13700	WBGene00022951	16931619	16943323	X	+	DOG	INP	N2
N2WT_INP	11800	WBGene00004677	15061150	15062083	I	+	DOG	INP	N2
N2WT_INP	8900	WBGene00004512	15063836	15064301	I	+	DOG	INP	N2
N2WT_INP	8200	WBGene00004567	15064453	15064838	I	+	DOG	INP	N2
N2WT_INP	3400	WBGene00004622	15068346	15069280	I	+	DOG	INP	N2
N2WT_INP	1500	WBGene00000793	11693837	11694136	III	+	DOG	INP	N2
N2WT_INP	1300	WBGene00220093	11484600	11484826	X	+	DOG	INP	N2
N2WT_INP	1000	WBGene00220094	11484924	11485924	X	+	DOG	INP	N2
N2WT_INP	800	WBGene00021188	16884541	16885191	X	+	DOG	INP	N2
N2WT_INP	800	WBGene00014115	9122398	9122524	I	+	DOG	INP	N2
N2WT_INP	700	WBGene00019347	17008462	17009162	X	+	DOG	INP	N2
N2WT_INP	600	WBGene00194981	12387721	12387891	III	+	DOG	INP	N2
N2WT_INP	600	WBGene00219838	5916938	5917538	III	+	DOG	INP	N2
N2WT_INP	500	WBGene00014954	16928999	16929167	V	+	DOG	INP	N2
N2WT_INP	500	WBGene00220246	9122693	9123193	I	+	DOG	INP	N2
N2WT_INP	500	WBGene00022139	1883639	1884139	I	+	DOG	INP	N2
N2WT_INP	500	WBGene00016002	6691841	6691986	II	+	DOG	INP	N2
N2WT_INP	400	WBGene00077784	5373272	5373672	X	+	DOG	INP	N2
N2WT_INP	400	WBGene00021406	14926	15326	IV	+	DOG	INP	N2
N2WT_INP	300	WBGene00199697	11670094	11670394	I	+	DOG	INP	N2
N2WT_INP	300	WBGene00007062	18060708	18061008	V	+	DOG	INP	N2
N2WT_INP	300	WBGene00003827	7915184	7915291	IV	+	DOG	INP	N2
N2WT_INP	300	WBGene00016458	10819963	10820263	I	+	DOG	INP	N2
N2WT_INP	300	WBGene00004513	15071033	15071333	I	+	DOG	INP	N2
N2WT_INP	300	WBGene00012663	10854561	10854861	III	+	DOG	INP	N2
N2WT_INP	300	WBGene00269391	8792245	8792545	III	+	DOG	INP	N2
N2WT_INP	200	WBGene00219964	16943517	16943717	X	+	DOG	INP	N2
N2WT_INP	200	WBGene00009656	11784086	11784286	II	+	DOG	INP	N2
N2WT_INP	200	WBGene00219822	6793200	6793400	IV	+	DOG	INP	N2
N2WT_INP	200	WBGene00007135	4340464	4340664	III	+	DOG	INP	N2
N2WT_INP	200	WBGene00008748	10694461	10694661	X	+	DOG	INP	N2
N2WT_INP	200	WBGene00017287	5347013	5347213	II	+	DOG	INP	N2
N2WT_INP	200	WBGene00235373	4397925	4398125	IV	+	DOG	INP	N2
N2WT_INP	200	WBGene00164974	11440652	11440852	X	+	DOG	INP	N2
N2WT_INP	200	WBGene00009654	10518391	10518591	III	+	DOG	INP	N2
N2WT_INP	200	WBGene00013683	14546634	14546834	I	+	DOG	INP	N2
N2WT_INP	200	WBGene00011418	12482426	12482626	IV	+	DOG	INP	N2
N2WT_INP	200	WBGene00007736	12474889	12475089	IV	+	DOG	INP	N2
N2WT_INP	200	WBGene00002189	14951924	14952124	I	+	DOG	INP	N2
N2WT_INP	200	WBGene00017930	6040582	6040782	V	+	DOG	INP	N2
N2WT_INP	200	WBGene00003766	3988312	3988512	V	+	DOG	INP	N2
N2WT_INP	200	WBGene00018208	4734723	4734923	V	+	DOG	INP	N2
N2WT_INP	200	WBGene00003229	134065	134265	I	+	DOG	INP	N2
N2WT_INP	200	WBGene00220000	6835631	6835831	I	+	DOG	INP	N2
N2WT_INP	200	WBGene00018325	3324950	3325150	IV	+	DOG	INP	N2
