DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_overlap_opposite_strand_local:antisense	DOG_overlap_opposite_strand_local:lincRNA	DOG_overlap_opposite_strand_local:miRNA	DOG_overlap_opposite_strand_local:ncRNA	DOG_overlap_opposite_strand_local:piRNA	DOG_overlap_opposite_strand_local:protein_coding	DOG_overlap_opposite_strand_local:pseudogene	DOG_overlap_opposite_strand_local:rRNA	DOG_overlap_opposite_strand_local:snRNA	DOG_overlap_opposite_strand_local:snoRNA	DOG_overlap_opposite_strand_local:tRNA	DOG_overlap_opposite_strand_meta:antisense	DOG_overlap_opposite_strand_meta:lincRNA	DOG_overlap_opposite_strand_meta:miRNA	DOG_overlap_opposite_strand_meta:ncRNA	DOG_overlap_opposite_strand_meta:piRNA	DOG_overlap_opposite_strand_meta:protein_coding	DOG_overlap_opposite_strand_meta:pseudogene	DOG_overlap_opposite_strand_meta:rRNA	DOG_overlap_opposite_strand_meta:snRNA	DOG_overlap_opposite_strand_meta:snoRNA	DOG_overlap_opposite_strand_meta:tRNA	DOG_overlap_same_strand_local:antisense	DOG_overlap_same_strand_local:lincRNA	DOG_overlap_same_strand_local:miRNA	DOG_overlap_same_strand_local:ncRNA	DOG_overlap_same_strand_local:piRNA	DOG_overlap_same_strand_local:protein_coding	DOG_overlap_same_strand_local:pseudogene	DOG_overlap_same_strand_local:rRNA	DOG_overlap_same_strand_local:snRNA	DOG_overlap_same_strand_local:snoRNA	DOG_overlap_same_strand_local:tRNA	DOG_overlap_same_strand_meta:antisense	DOG_overlap_same_strand_meta:lincRNA	DOG_overlap_same_strand_meta:miRNA	DOG_overlap_same_strand_meta:ncRNA	DOG_overlap_same_strand_meta:piRNA	DOG_overlap_same_strand_meta:protein_coding	DOG_overlap_same_strand_meta:pseudogene	DOG_overlap_same_strand_meta:rRNA	DOG_overlap_same_strand_meta:snRNA	DOG_overlap_same_strand_meta:snoRNA	DOG_overlap_same_strand_meta:tRNA	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	baseMean	chr	end	gene_biotype_name	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	lfcSE	log2FoldChange	padj	pvalue	right_int_length	sample_name	source	start	stat	strand	type
15326	15326	0	False	False	400	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	14926	14926	0	DOG	705.375	IV	14926	protein_coding	WBGene00021406	0	0	0	0	0	['WBGene00021407']	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	14231	0.33222983353433805	-0.0765039450668959	0.999080862006025	0.8178818247231039	6567.0	OK80-INP_split	WormBase	695	0.0530243594791955	+	gene
23398	23398	0	False	False	200	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	23198	23198	0	DOG	54.75	IV	23198	protein_coding	WBGene00021405	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1705	0.645746309145369	-0.0232573953161989	0.999080862006025	0.971273235624087	3784.0	N2-J2-3__split	WormBase	21493	0.0012968239415585	+	gene
1497630	1497630	False	0	0	500	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	1497130	1497130	False	POG	1189.5	IV	1509965	protein_coding	WBGene00022306	0	0	0	['WBGene00198503']	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	7868.0	12335	0.309272793544974	0.211682256028194	0.999080862006025	0.493757821228288	0.0	N2-J2-1__split	WormBase	1497630	0.46832703032694706	+	gene
1993089	1993266	0	False	True	300	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	['WBGene00022296']	0	0	0	0	0.0	1992966	1992966	0	DOG	975.625	IV	1992966	protein_coding	WBGene00022300	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	['WBGene00220211']	0	0.0	11560	0.342190464159578	0.0547651177409809	0.999080862006025	0.872848772674614	123.0	OK80-INP_split	WormBase	1981406	0.0256131234862664	+	gene
2235995	2235995	0	False	False	200	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	2235795	2235795	0	DOG	1506.0	IV	2235795	protein_coding	WBGene00020208	0	0	0	['WBGene00202285']	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	12967	0.345303965458149	-0.109856696225363	0.999080862006025	0.7503868867739129	7265.0	OK80-INP_split	WormBase	2222828	0.101206228285619	+	gene
2382371	2382371	0	False	False	200	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	2382171	2382171	0	DOG	2353.0	IV	2382171	protein_coding	WBGene00021423	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	32900	0.304320476628278	-0.0791084439129232	0.999080862006025	0.79490688472304	1842.0	OK80-INP_split	WormBase	2349271	0.0675709409125176	+	gene
2732604	2732604	0	False	False	200	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	2732404	2732404	0	DOG	13.875	IV	2732404	protein_coding	WBGene00022375	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2152	1.18634055371916	-0.35989535525002897	0.999080862006025	0.7619677051149442	7810.0	N2-J2-3__split	WormBase	2730252	0.0917471113291057	+	gene
3169149	3169149	0	False	False	200	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	3168949	3168949	0	DOG	11.375	IV	3168949	ncRNA	WBGene00200723	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	149	1.30788475917676	0.292181366417737	0.999080862006025	0.8231347008408871	33384.0	N2-J2-3__split	WormBase	3168800	0.0499589605424475	+	gene
3255124	3255124	0	False	False	300	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	3254824	3254824	0	DOG	35.625	IV	3254824	ncRNA	WBGene00197555	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	90	0.7855700181796109	-0.10431346176886301	0.999080862006025	0.8943452397239829	4086.0	N2-J2-1__split	WormBase	3254734	0.0176379606997017	+	gene
3325150	3325150	0	False	False	200	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	3324950	3324950	0	DOG	1225.75	IV	3324950	pseudogene	WBGene00018325	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	4937	0.305067947486884	0.0710398156627217	0.999080862006025	0.815868909650611	7227.0	N2WT_INP_split	WormBase	3320013	0.054224505502134	+	gene
3589535	3589535	0	False	False	200	0.0	0.0	0.0	0	0	['WBGene00006383']	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	['WBGene00006383']	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	3589335	3589335	0	DOG	21.0	IV	3589335	pseudogene	WBGene00023366	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	72	1.07348073381904	-1.8188485445111298	0.999080862006025	0.0936586249469654	17449.0	OK8-J2-2_split	WormBase	3589263	2.81033826777129	+	gene
4258373	4258373	0	False	False	200	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	4258173	4258173	0	DOG	4269.0	IV	4258173	protein_coding	WBGene00000123	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	10153	0.339621396123032	0.0108085409206698	0.9995441434906409	0.974611386396866	5120.0	OK80-INP_split	WormBase	4248020	0.00101284844095062	+	gene
4398725	4398725	0	False	False	800	0.0	0.0	0.0	0	0	['WBGene00021283']	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	['WBGene00021283']	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	['WBGene00021281']	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	['WBGene00021281']	0	0	0	0	0.0	4397925	4397925	0	DOG	528.25	IV	4397925	ncRNA	WBGene00235373	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	3515	0.40760236609547995	0.167272452521706	0.999080862006025	0.681542561332009	24414.0	N2-J2-3__split	WormBase	4394410	0.168394571951907	+	gene
4769740	4769740	0	False	False	300	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	4769440	4769440	0	DOG	25.875	IV	4769440	ncRNA	WBGene00220042	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	96	0.926659245954793	-0.46566220550878495	0.999080862006025	0.615725281251293	2652.0	N2-J2-2__split	WormBase	4769344	0.25192156713656305	+	gene
6707252	6707252	0	False	False	200	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	6707052	6707052	0	DOG	32.125	IV	6707052	pseudogene	WBGene00044503	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2127	0.849674170903717	0.37696857932935995	0.999080862006025	0.6566729216711371	24921.0	N2-J2-3__split	WormBase	6704925	0.19759034407616102	+	gene
6793400	6793400	0	False	False	200	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	6793200	6793200	0	DOG	100.625	IV	6793200	snoRNA	WBGene00219822	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	226	0.546318112874099	0.182263016886434	0.999080862006025	0.738706843091133	2713.0	N2WT_INP_split	WormBase	6792974	0.11126648416483699	+	gene
7236951	7236951	0	False	False	300	0.0	0.0	0.0	['WBGene00200282']	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	['WBGene00200282']	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	7236651	7236651	0	DOG	16.125	IV	7236651	ncRNA	WBGene00198262	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	207	1.04259641308074	-0.9477354817126908	0.999080862006025	0.363430730794497	1071.0	OK80-INP_split	WormBase	7236444	0.8260034292195191	+	gene
7800452	7800452	0	False	False	200	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	7800252	7800252	0	DOG	980.875	IV	7800252	pseudogene	WBGene00002221	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	3060	0.36511966079323405	-0.32203515110025605	0.999080862006025	0.3779629062485129	4788.0	OK80-INP_split	WormBase	7797192	0.777317157560077	+	gene
7915291	7915484	0	False	True	300	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	['WBGene00016791']	0	0	0	0	0.0	7915184	7915184	0	DOG	3541.5	IV	7915184	protein_coding	WBGene00003827	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	4609	0.30946138436094	0.37988919828351403	0.999080862006025	0.21987863655141898	107.0	OK80-INP_split	WormBase	7910575	1.5051631259313203	+	gene
11072450	11072450	0	False	False	1500	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0	0	0	0	0.0	11070950	11070950	0	DOG	111.5	IV	11070950	pseudogene	WBGene00012384	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1563	0.715165287982105	0.913604352331328	0.999080862006025	0.190508066596561	12197.0	N2-J2-3__split	WormBase	11069387	1.7136841589343899	+	gene
