DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
179576	179576		False	False	200	179376	179376		ADOG	X	.	.	179376	protein_coding	gene_id "WBGene00011610"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00011610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1134	3315.0	WormBase	178242	+	gene	False	OK80-INP_split
1452606	1452606		False	False	300	1452306	1452306		ADOG	X	.	.	1452306	protein_coding	gene_id "WBGene00021044"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1538	6741.0	WormBase	1450768	+	gene	False	OK80-INP_split
564415	564415		False	False	200	564215	564215		ADOG	II	.	.	564215	protein_coding	gene_id "WBGene00015644"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015644	['WBGene00219647']	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		7730	9340.0	WormBase	556485	+	gene	False	OK80-INP_split
2261401	2261401		False	False	300	2261101	2261101		ADOG	II	.	.	2261101	protein_coding	gene_id "WBGene00019586"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		5929	19038.0	WormBase	2255172	+	gene	False	OK80-INP_split
3309487	3309487		False	False	200	3309287	3309287		ADOG	II	.	.	3309287	ncRNA	gene_id "WBGene00249813"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00249813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		18	701.0	WormBase	3309269	+	gene	False	OK80-INP_split
5682867	5682867		False	False	200	5682667	5682667		ADOG	II	.	.	5682667	protein_coding	gene_id "WBGene00016114"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00016114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1687	8995.0	WormBase	5680980	+	gene	False	OK80-INP_split
7151960	7151960		False	False	200	7151760	7151760		ADOG	II	.	.	7151760	protein_coding	gene_id "WBGene00020318"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2512	806.0	WormBase	7149248	+	gene	False	OK80-INP_split
1185142	1185142		False	False	200	1184942	1184942		ADOG	III	.	.	1184942	protein_coding	gene_id "WBGene00022490"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00022490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2952	17606.0	WormBase	1181990	+	gene	False	OK80-INP_split
2512102	2512102		False	False	300	2511802	2511802		ADOG	III	.	.	2511802	protein_coding	gene_id "WBGene00021850"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2954	17261.0	WormBase	2508848	+	gene	False	OK80-INP_split
4795623	4795623		False	False	200	4795423	4795423		ADOG	III	.	.	4795423	protein_coding	gene_id "WBGene00008005"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00008005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2337	1416.0	WormBase	4793086	+	gene	False	OK80-INP_split
