DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
3612193	3612193		False	False	200	3611993	3611993		ADOG	III	.	.	3611993	protein_coding	gene_id "WBGene00004213"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004213	0	0	0	['WBGene00195294']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		21259	9527.0	WormBase	3590734	+	gene	False	N2HS_J2B_split
1153501	1153501		False	False	800	1152701	1152701		ADOG	II	.	.	1152701	protein_coding	gene_id "WBGene00004076"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004076	0	0	0	0	0	['WBGene00021105']	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		15920	10874.0	WormBase	1136781	+	gene	False	N2HS_J2B_split
2009950	2009950		False	False	1700	2008250	2008250		ADOG	II	.	.	2008250	protein_coding	gene_id "WBGene00019136"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		4873	1955.0	WormBase	2003377	+	gene	False	N2HS_J2B_split
11072450	11072450		False	False	1500	11070950	11070950		ADOG	IV	.	.	11070950	pseudogene	gene_id "WBGene00012384"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00012384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1563	12197.0	WormBase	11069387	+	gene	False	N2HS_J2B_split
5778101	5778101		False	False	200	5777901	5777901		ADOG	V	.	.	5777901	pseudogene	gene_id "WBGene00235319"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00235319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		472	2253.0	WormBase	5777429	+	gene	False	N2HS_J2B_split
9073828	9073828		False	False	200	9073628	9073628		ADOG	V	.	.	9073628	ncRNA	gene_id "WBGene00199334"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		196	3032.0	WormBase	9073432	+	gene	False	N2HS_J2B_split
9081813	9081813		False	False	200	9081613	9081613		ADOG	V	.	.	9081613	ncRNA	gene_id "WBGene00195276"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00195276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		85	6518.0	WormBase	9081528	+	gene	False	N2HS_J2B_split
10049326	10049326		False	False	600	10048726	10048726		ADOG	V	.	.	10048726	protein_coding	gene_id "WBGene00010177"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00010177	0	0	0	['WBGene00199742', 'WBGene00198348', 'WBGene00197228', 'WBGene00197215']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		11386	3429.0	WormBase	10037340	+	gene	False	N2HS_J2B_split
18852929	18852929		False	False	200	18852729	18852729		ADOG	V	.	.	18852729	protein_coding	gene_id "WBGene00012446"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		5912	21404.0	WormBase	18846817	+	gene	False	N2HS_J2B_split
2870567	2870567		False	False	400	2870167	2870167		ADOG	I	.	.	2870167	protein_coding	gene_id "WBGene00022115"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00022115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		3659	6765.0	WormBase	2866508	+	gene	False	N2HS_J2B_split
14400422	14400422		False	False	200	14400222	14400222		ADOG	I	.	.	14400222	protein_coding	gene_id "WBGene00002977"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00002977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00001147']	0	0.0	0	0	0		9889	5806.0	WormBase	14390333	+	gene	False	N2HS_J2B_split
14432006	14432006		False	False	200	14431806	14431806		ADOG	I	.	.	14431806	protein_coding	gene_id "WBGene00013670"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		13609	987.0	WormBase	14418197	+	gene	False	N2HS_J2B_split
15071333	15071333		True	False	300	15071033	15071033		ADOG	I	.	.	15071033	rRNA	gene_id "WBGene00004513"; gene_source "WormBase"; gene_biotype "rRNA";	WBGene00004513	0	0	0	['WBGene00195813']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1753	1233.0	WormBase	15069280	+	gene	False	N2HS_J2B_split
245614	245614		False	False	200	245414	245414		ADOG	I	.	.	245414	pseudogene	gene_id "WBGene00021668"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00021668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		4923	6704.0	WormBase	240491	+	gene	False	N2HS_J2B_spl
