GeneID	Length	BAMS.N2WT_INP_.bam	BAMS.OK803.INP__.bam	BAMS.N2.J2.1_.bam	BAMS.N2.J2.2_.bam	BAMS.N2.J2.3_.bam	BAMS.OK803.J2.1_.bam	BAMS.OK803.J2.2_.bam	BAMS.OK803.J2.3_.bam
WBGene00014450	55	27	0	4	4	2	0	0	0
WBGene00014451	54	49	19	7	4	10	7	4	6
WBGene00010957	437	2246	8949	567	357	480	1125	1028	656
WBGene00010958	235	1460	3930	145	101	146	190	244	161
WBGene00014452	56	31	53	1	3	3	7	3	4
WBGene00014453	55	468	785	34	33	20	54	25	40
WBGene00014454	696	1407383	1854430	100478	83933	90864	204754	136473	111454
WBGene00014455	52	17	2	2	2	4	0	0	0
WBGene00014456	55	5	2	1	4	10	2	0	0
WBGene00014457	55	662	1479	321	235	211	268	175	162
WBGene00010959	873	9944	15718	5329	4326	4334	4077	3284	2511
WBGene00010960	602	7260	15051	3787	3148	2852	3430	2676	2385
WBGene00014458	62	55	28	3	5	12	2	6	0
WBGene00014459	54	47	3	32	19	43	1	1	0
WBGene00014460	55	46	14	9	17	8	9	7	5
WBGene00010961	881	2990	11446	2092	1510	1955	1844	1736	1362
WBGene00014461	60	1121	14	242	281	198	1	0	0
WBGene00014462	54	6	3	5	1	11	1	0	0
WBGene00014463	54	3	7	4	1	5	1	0	0
WBGene00014464	56	72	18	13	8	14	0	0	0
WBGene00000829	1118	24593	36839	10754	9725	9129	7397	6097	4436
WBGene00014465	56	21	65	7	8	12	10	3	5
WBGene00010962	772	22854	30793	7479	6867	5815	7106	5749	4539
WBGene00014466	55	78	151	46	52	40	33	34	25
WBGene00010963	1303	11679	20102	5646	4609	4877	4170	3593	2865
WBGene00010964	1602	33091	84447	17345	12495	15028	17044	12956	9204
WBGene00014467	55	42	48	4	2	3	2	1	0
WBGene00014468	59	50	26	5	2	4	1	0	0
WBGene00014469	54	1	1	1	0	4	0	0	0
WBGene00014470	55	55	26	15	3	21	6	2	1
WBGene00010965	700	17772	28076	4440	3286	3522	4367	3257	2384
WBGene00014471	54	165	178	31	34	41	9	15	10
WBGene00014472	952	418440	591089	55201	47829	46696	95857	67279	51496
WBGene00010966	336	1248	4325	282	159	227	375	325	230
WBGene00010967	1582	18935	39361	7970	5963	6681	7361	5832	4512
WBGene00014473	53	37	75	25	17	38	11	8	4
WBGene00021406	14232	870	1027	547	477	406	295	244	158
WBGene00021405	1706	30	33	65	75	55	33	40	17
WBGene00021404	5399	62	78	44	44	48	27	25	14
WBGene00021403	2306	35	31	6	8	6	3	4	0
WBGene00195502	150	0	1	1	0	0	0	0	0
WBGene00166500	21	0	0	1	0	1	0	0	0
WBGene00235260	4237	24	41	122	107	106	55	82	24
WBGene00023131	71	4784	0	43	34	25	0	0	0
WBGene00235261	162	9	4	2	4	2	2	0	1
WBGene00235262	105	0	0	3	0	2	0	0	1
WBGene00201447	52	1	4	3	5	3	0	0	0
WBGene00006599	18741	615	767	383	325	345	198	194	116
WBGene00017927	398	4	2	4	6	7	0	5	1
WBGene00023277	2820	12	7	1	7	10	5	2	2
WBGene00196821	129	0	0	0	0	0	0	0	0
WBGene00017926	910	818	508	194	181	187	163	121	94
WBGene00000897	5661	426	574	284	219	238	197	131	95
WBGene00023019	73	46	0	0	3	5	0	0	0
WBGene00197291	117	0	0	0	0	0	0	0	0
WBGene00199863	70	0	0	0	0	0	0	0	0
WBGene00021398	875	164	67	65	76	78	33	15	15
WBGene00219750	1500	9	1	56	44	55	1	1	1
WBGene00021397	1985	39	50	27	15	24	14	5	15
WBGene00021396	4904	60	75	48	39	45	31	26	12
WBGene00198224	141	0	0	0	1	0	0	0	0
WBGene00021395	7598	355	396	256	196	217	165	120	85
WBGene00021402	2490	417	478	343	272	290	218	161	85
WBGene00000815	7842	1225	1519	713	602	536	354	309	246
WBGene00044736	1941	69	105	82	63	80	60	59	38
WBGene00195063	2811	283	251	136	120	94	88	64	60
WBGene00021394	9202	685	978	764	699	657	451	468	286
WBGene00021401	2304	149	236	71	68	68	36	38	21
WBGene00019820	3679	1068	1309	493	421	346	335	236	167
WBGene00019819	6812	1513	1731	389	320	334	356	265	186
WBGene00020651	1875	214	101	29	27	28	10	13	2
WBGene00020650	2693	8	3	4	3	1	2	2	1
WBGene00003362	94	0	0	0	0	2	0	0	0
WBGene00020649	5371	717	949	693	597	600	428	286	198
WBGene00206487	3566	136	127	50	55	43	39	44	22
WBGene00019300	3728	166	182	55	48	68	53	38	34
WBGene00198707	102	4	0	0	0	0	0	0	0
WBGene00200120	89	0	0	0	0	0	0	0	0
WBGene00017578	5569	186	181	109	109	84	41	56	42
WBGene00017577	3563	4	7	2	8	0	1	3	0
WBGene00017576	19348	110	167	128	139	132	61	53	42
WBGene00004493	714	8570	6165	2170	2037	1690	1852	1269	849
WBGene00044789	1251	1483	1171	1013	938	871	734	782	675
WBGene00020300	650	450	385	117	87	105	123	127	77
WBGene00020298	2647	521	753	237	170	162	146	113	73
WBGene00020297	2675	3693	4706	2230	1940	1760	1852	1320	894
WBGene00001666	3652	12	22	12	5	12	5	7	3
WBGene00219270	111	3	1	7	6	7	3	2	0
WBGene00020299	4785	34	77	45	44	52	25	44	17
WBGene00022046	1233	1579	1672	621	466	499	354	275	210
WBGene00022045	799	109	94	23	16	20	26	14	15
WBGene00022044	2763	396	534	214	178	183	123	89	60
WBGene00235264	329	0	1	1	1	0	0	0	0
WBGene00019772	1374	23	44	5	11	6	7	6	3
WBGene00235265	456	3	3	0	0	1	0	0	0
WBGene00201763	150	0	0	0	0	0	0	0	0
WBGene00021010	1828	14	7	8	5	8	4	2	0
WBGene00001625	3569	19	21	6	4	4	2	3	2
WBGene00199193	88	0	0	0	0	0	0	0	0
WBGene00018924	4930	16	14	12	7	6	4	2	1
WBGene00201760	138	0	1	0	0	0	0	0	0
WBGene00198589	191	1	3	0	0	2	0	0	0
WBGene00001165	8843	186	250	112	85	99	56	53	31
WBGene00001579	10855	1212	1593	895	805	750	549	408	264
WBGene00015995	1422	0	0	1	1	0	0	0	0
WBGene00015994	1905	53	22	17	13	11	5	7	2
WBGene00044457	1908	18	37	11	4	3	14	10	8
WBGene00000676	1433	71	6	8	7	9	0	1	0
WBGene00002140	7667	25	23	13	12	12	7	1	3
WBGene00015993	5382	746	54	21	26	10	11	8	7
WBGene00200054	207	20	12	4	11	7	0	1	0
WBGene00015497	6418	135	130	145	155	167	85	74	56
WBGene00019665	2330	43	40	19	14	24	18	10	5
WBGene00019664	3252	673	467	109	114	102	59	39	38
WBGene00019663	1393	145	123	45	50	33	44	27	25
WBGene00019662	1266	0	3	2	2	0	1	2	1
WBGene00044458	613	0	1	2	1	0	1	0	0
WBGene00019661	1556	20	31	14	13	8	6	5	5
WBGene00023038	72	9	6	1	0	0	0	0	0
WBGene00018256	3840	54	59	31	18	17	21	11	7
