sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2_J2_1	11100	WBGene00195813	15068355	15070431	I	-	DOG	J2	N2
N2_J2_1	8100	WBGene00196396	15063383	15067668	I	-	DOG	J2	N2
N2_J2_1	2900	WBGene00198814	15061159	15063050	I	-	DOG	J2	N2
N2_J2_1	1000	WBGene00004765	3611951	3612951	III	-	DOG	J2	N2
N2_J2_1	1000	WBGene00003598	4893647	4894647	III	-	DOG	J2	N2
N2_J2_1	900	WBGene00013732	12537764	12538664	III	-	DOG	J2	N2
N2_J2_1	700	WBGene00194769	16603369	16603529	V	-	DOG	J2	N2
N2_J2_1	700	WBGene00019593	2286330	2287030	II	-	DOG	J2	N2
N2_J2_1	600	WBGene00019592	2280078	2280678	II	-	DOG	J2	N2
N2_J2_1	600	WBGene00003779	12077556	12077788	III	-	DOG	J2	N2
N2_J2_1	600	WBGene00201398	15060261	15060861	I	-	DOG	J2	N2
N2_J2_1	600	WBGene00004947	4517043	4517643	V	-	DOG	J2	N2
N2_J2_1	500	WBGene00021914	464215	464715	III	-	DOG	J2	N2
N2_J2_1	500	WBGene00015273	2482504	2483004	V	-	DOG	J2	N2
N2_J2_1	500	WBGene00001928	8852506	8853006	V	-	DOG	J2	N2
N2_J2_1	500	WBGene00001894	8894601	8895101	V	-	DOG	J2	N2
N2_J2_1	500	WBGene00001707	1258874	1259374	I	-	DOG	J2	N2
N2_J2_1	500	WBGene00021227	2374543	2375043	V	-	DOG	J2	N2
N2_J2_1	500	WBGene00077687	11063870	11064370	I	-	DOG	J2	N2
N2_J2_1	500	WBGene00012476	12809682	12809999	I	-	DOG	J2	N2
N2_J2_1	500	WBGene00020758	867012	867512	III	-	DOG	J2	N2
N2_J2_1	500	WBGene00008968	8752860	8753195	IV	-	DOG	J2	N2
N2_J2_1	400	WBGene00019590	2290496	2290896	II	-	DOG	J2	N2
N2_J2_1	400	WBGene00220118	2822337	2822737	I	-	DOG	J2	N2
N2_J2_1	400	WBGene00022389	872764	873164	I	-	DOG	J2	N2
N2_J2_1	400	WBGene00220207	12122800	12123200	III	-	DOG	J2	N2
N2_J2_1	400	WBGene00201669	15071866	15072266	I	-	DOG	J2	N2
N2_J2_1	400	WBGene00013669	14400279	14400679	I	-	DOG	J2	N2
N2_J2_1	300	WBGene00004890	3666623	3666923	I	-	DOG	J2	N2
N2_J2_1	300	WBGene00012719	13143073	13143373	III	-	DOG	J2	N2
N2_J2_1	300	WBGene00235348	2679197	2679497	IV	-	DOG	J2	N2
N2_J2_1	300	WBGene00017190	8854693	8854993	V	-	DOG	J2	N2
N2_J2_1	300	WBGene00220154	1651599	1651899	IV	-	DOG	J2	N2
N2_J2_1	300	WBGene00220183	827704	828004	IV	-	DOG	J2	N2
N2_J2_1	300	WBGene00010713	13445519	13445819	IV	-	DOG	J2	N2
N2_J2_1	300	WBGene00013099	16493128	16493428	IV	-	DOG	J2	N2
N2_J2_1	300	WBGene00202259	4352594	4352745	I	-	DOG	J2	N2
N2_J2_1	300	WBGene00196043	4355481	4355632	I	-	DOG	J2	N2
N2_J2_1	300	WBGene00199244	4349707	4349858	I	-	DOG	J2	N2
N2_J2_1	300	WBGene00197673	4346820	4346971	I	-	DOG	J2	N2
N2_J2_1	300	WBGene00195962	4343780	4343931	I	-	DOG	J2	N2
N2_J2_1	300	WBGene00011611	179486	179786	X	-	DOG	J2	N2
N2_J2_1	300	WBGene00004246	211956	212256	I	-	DOG	J2	N2
N2_J2_1	300	WBGene00015485	6422159	6422459	III	-	DOG	J2	N2
N2_J2_1	200	WBGene00007952	10521792	10521992	V	-	DOG	J2	N2
N2_J2_1	200	WBGene00006958	11924585	11924785	I	-	DOG	J2	N2
N2_J2_1	200	WBGene00021317	5352641	5352841	III	-	DOG	J2	N2
N2_J2_1	200	WBGene00219803	10574451	10574651	II	-	DOG	J2	N2
N2_J2_1	200	WBGene00022491	1185048	1185248	III	-	DOG	J2	N2
N2_J2_1	200	WBGene00012961	12095577	12095777	I	-	DOG	J2	N2
N2_J2_1	200	WBGene00022211	150163	150363	X	-	DOG	J2	N2
N2_J2_1	200	WBGene00021238	1988046	1988246	I	-	DOG	J2	N2
N2_J2_1	200	WBGene00003783	10951679	10951879	II	-	DOG	J2	N2
N2_J2_1	200	WBGene00001925	8849588	8849788	V	-	DOG	J2	N2
N2_J2_1	200	WBGene00001895	8891683	8891883	V	-	DOG	J2	N2
N2_J2_1	200	WBGene00202216	828691	828891	IV	-	DOG	J2	N2
N2_J2_1	200	WBGene00013106	16646591	16646791	IV	-	DOG	J2	N2
N2_J2_1	200	WBGene00000904	8583881	8584081	I	-	DOG	J2	N2
