sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
OK8_J2_1	13400	WBGene00022951	16931619	16943323	X	+	DOG	J2	OK
OK8_J2_1	11800	WBGene00004677	15061150	15062083	I	+	DOG	J2	OK
OK8_J2_1	8800	WBGene00004512	15063836	15064301	I	+	DOG	J2	OK
OK8_J2_1	8100	WBGene00004567	15064453	15064838	I	+	DOG	J2	OK
OK8_J2_1	3300	WBGene00004622	15068346	15069280	I	+	DOG	J2	OK
OK8_J2_1	900	WBGene00016458	10819963	10820863	I	+	DOG	J2	OK
OK8_J2_1	900	WBGene00016002	6691841	6691986	II	+	DOG	J2	OK
OK8_J2_1	800	WBGene00014115	9122398	9122524	I	+	DOG	J2	OK
OK8_J2_1	800	WBGene00220093	11484600	11484826	X	+	DOG	J2	OK
OK8_J2_1	700	WBGene00219838	5916938	5917638	III	+	DOG	J2	OK
OK8_J2_1	600	WBGene00023341	6418047	6418647	V	+	DOG	J2	OK
OK8_J2_1	600	WBGene00044726	14992667	14992898	II	+	DOG	J2	OK
OK8_J2_1	500	WBGene00220246	9122693	9123193	I	+	DOG	J2	OK
OK8_J2_1	500	WBGene00220094	11484924	11485424	X	+	DOG	J2	OK
OK8_J2_1	500	WBGene00017496	2348123	2348623	V	+	DOG	J2	OK
OK8_J2_1	500	WBGene00018911	2456147	2456647	V	+	DOG	J2	OK
OK8_J2_1	400	WBGene00009068	16223519	16223919	X	+	DOG	J2	OK
OK8_J2_1	400	WBGene00008748	10694461	10694861	X	+	DOG	J2	OK
OK8_J2_1	400	WBGene00044131	2531174	2531574	V	+	DOG	J2	OK
OK8_J2_1	400	WBGene00017930	6040582	6040982	V	+	DOG	J2	OK
OK8_J2_1	400	WBGene00013606	16814563	16814963	V	+	DOG	J2	OK
OK8_J2_1	400	WBGene00015731	2422895	2423295	V	+	DOG	J2	OK
OK8_J2_1	400	WBGene00021406	14926	15326	IV	+	DOG	J2	OK
OK8_J2_1	300	WBGene00007062	18060708	18061008	V	+	DOG	J2	OK
OK8_J2_1	300	WBGene00220000	6835631	6835931	I	+	DOG	J2	OK
OK8_J2_1	300	WBGene00004513	15071033	15071333	I	+	DOG	J2	OK
OK8_J2_1	300	WBGene00012663	10854561	10854861	III	+	DOG	J2	OK
OK8_J2_1	300	WBGene00220163	11238559	11238859	III	+	DOG	J2	OK
OK8_J2_1	300	WBGene00219826	6692079	6692379	II	+	DOG	J2	OK
OK8_J2_1	300	WBGene00012384	11070950	11071250	IV	+	DOG	J2	OK
OK8_J2_1	300	WBGene00007637	11616244	11616544	I	+	DOG	J2	OK
OK8_J2_1	200	WBGene00013683	14546634	14546834	I	+	DOG	J2	OK
OK8_J2_1	200	WBGene00002189	14951924	14952124	I	+	DOG	J2	OK
OK8_J2_1	200	WBGene00017364	7330001	7330201	V	+	DOG	J2	OK
OK8_J2_1	200	WBGene00195529	11668145	11668345	I	+	DOG	J2	OK
OK8_J2_1	200	WBGene00022375	2732404	2732604	IV	+	DOG	J2	OK
OK8_J2_1	200	WBGene00235373	4397925	4398125	IV	+	DOG	J2	OK
OK8_J2_1	200	WBGene00219822	6793200	6793400	IV	+	DOG	J2	OK
OK8_J2_1	200	WBGene00007736	12474889	12475089	IV	+	DOG	J2	OK
OK8_J2_1	200	WBGene00011418	12482426	12482626	IV	+	DOG	J2	OK
OK8_J2_1	200	WBGene00016544	2155220	2155420	II	+	DOG	J2	OK
OK8_J2_1	200	WBGene00017287	5347013	5347213	II	+	DOG	J2	OK
OK8_J2_1	200	WBGene00219232	12238711	12238911	II	+	DOG	J2	OK
OK8_J2_1	200	WBGene00003229	134065	134265	I	+	DOG	J2	OK
OK8_J2_1	200	WBGene00219964	16943517	16943717	X	+	DOG	J2	OK
OK8_J2_1	200	WBGene00044761	1403460	1403660	III	+	DOG	J2	OK
OK8_J2_1	200	WBGene00009654	10518391	10518591	III	+	DOG	J2	OK
OK8_J2_1	200	WBGene00004010	11136380	11136580	III	+	DOG	J2	OK
OK8_J2_1	200	WBGene00000793	11693837	11694037	III	+	DOG	J2	OK
