GeneID	Length	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2WT_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.1_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.2_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.3_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2A_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2B_.bam
WBGene00014450	55	27	1	4	4	2	51	17
WBGene00014451	54	49	2	7	4	10	74	19
WBGene00010957	437	2246	13	567	357	480	1320	738
WBGene00010958	235	1460	17	145	101	146	298	411
WBGene00014452	56	31	2	1	3	3	19	32
WBGene00014453	55	468	3	34	33	20	108	144
WBGene00014455	52	17	6	2	2	4	29	20
WBGene00014456	55	5	2	1	4	10	92	19
WBGene00014457	55	662	2	321	235	211	25	85
WBGene00010960	602	7260	5277	3787	3148	2852	8070	12756
WBGene00014458	62	55	2	3	5	12	30	23
WBGene00014459	54	47	0	32	19	43	253	87
WBGene00014460	55	46	9	9	17	8	64	59
WBGene00010961	881	2990	95	2092	1510	1955	3772	4599
WBGene00014461	60	1121	1454	242	281	198	873	446
WBGene00014462	54	6	13	5	1	11	29	49
WBGene00014463	54	3	9	4	1	5	27	25
WBGene00014464	56	72	9	13	8	14	69	28
WBGene00000829	1118	24593	15000	10754	9725	9129	27598	35363
WBGene00014465	56	21	13	7	8	12	6	11
WBGene00010962	772	22854	27257	7479	6867	5815	17727	25538
WBGene00014466	55	78	8	46	52	40	84	223
WBGene00014467	55	42	2	4	2	3	71	31
WBGene00014468	59	50	27	5	2	4	121	36
WBGene00014469	54	1	1	1	0	4	126	6
WBGene00010965	700	17772	3857	4440	3286	3522	12300	12296
WBGene00014471	54	165	28	31	34	41	48	62
WBGene00010966	336	1248	45	282	159	227	863	816
WBGene00010967	1582	18935	1132	7970	5963	6681	19252	24236
WBGene00014473	53	37	1	25	17	38	117	48
WBGene00021406	14232	870	1780	547	477	406	1437	1566
WBGene00021405	1706	30	33	65	75	55	5	24
WBGene00021404	5399	62	30	44	44	48	32	16
WBGene00021403	2306	35	49	6	8	6	14	11
WBGene00195502	150	0	0	1	0	0	0	0
WBGene00166500	21	0	0	1	0	1	0	0
WBGene00235260	4237	24	9	122	107	106	27	17
WBGene00023131	71	4784	66972	43	34	25	232	70
