GeneID,gene_biotype_name,TYPE,chr,strand,DOG_length,DOG_start_local,DOG_end_local,DOG_start_meta,DOG_end_meta,DOG_from_downstream_gene,DOG_from_upstream_gene,DOG_into_downstream_gene,POG_into_upstream_gene,padj,baseMean,pvalue,log2FoldChange,lfcSE,stat,source,length,left_int_length,right_int_length,sample_name,start,end,type
WBGene00021406,protein_coding,DOG,IV,+,400,14926,15326,14926,15326,0,False,False,0,0.231681648734392,1075.28571428571,0.040780278969709,-0.594854778422479,0.29015488377072496,4.1851219368007495,WormBase,14231,0.0,6567.0,N2WT_INP_split,695,14926,gene
WBGene00016637,protein_coding,DOG,IV,+,4600,1105086,1107396,1105086,1109686,0,False,True,0,0.9764517520136221,810.8571428571429,0.9453191523138019,0.0401610217019527,0.584798344935478,0.00470404123834101,WormBase,313,0.0,2310.0,N2HS_J2A_split,1104773,1105086,gene
WBGene00044467,protein_coding,POG,IV,+,400,2051100,2051500,2051100,2051500,False,0,0,False,0.240467826057987,106.42857142857099,0.047836117612110006,-1.14795763690803,0.5772712300910551,3.91573415381087,WormBase,5579,6704.0,0.0,N2-J2-1__split,2051500,2057079,gene
WBGene00018325,pseudogene,DOG,IV,+,200,3324950,3325150,3324950,3325150,0,False,False,0,0.513876317221825,2283.0,0.240729579714255,0.314641389653938,0.268264859248918,1.3763164968405301,WormBase,4937,0.0,7227.0,N2WT_INP_split,3320013,3324950,gene
WBGene00023366,pseudogene,DOG,IV,+,200,3589335,3589535,3589335,3589535,0,False,False,0,0.5741322729447851,29.428571428571402,0.30491379196247803,-2.1080550652534398,1.8705871826195701,1.05257932594223,WormBase,72,0.0,17449.0,N2-J2-1__split,3589263,3589335,gene
WBGene00235373,ncRNA,DOG,IV,+,700,4397925,4398625,4397925,4398625,0,False,False,0,1.1507764452188203e-08,693.8571428571429,1.33658844696333e-10,-2.0521353239021,0.315593153520212,41.2542802685484,WormBase,3515,0.0,24414.0,N2-J2-3__split,4394410,4397925,gene
WBGene00220042,ncRNA,DOG,IV,+,300,4769440,4769740,4769440,4769740,0,False,False,0,0.0458854204217877,36.1428571428571,0.0021735749140815,-2.85441939659662,0.9273351179137952,9.39685905486724,WormBase,96,0.0,2652.0,N2-J2-2__split,4769344,4769440,gene
WBGene00002221,pseudogene,DOG,IV,+,200,7800252,7800452,7800252,7800452,0,False,False,0,0.4452249677524471,1805.57142857143,0.18433591240581887,-0.36386178878946795,0.273795881216226,1.76231590516826,WormBase,3060,0.0,4788.0,N2HS_J2A_split,7797192,7800252,gene
WBGene00012384,pseudogene,DOG,IV,+,1500,11070950,11072450,11070950,11072450,0,False,False,0,0.428916612767346,753.285714285714,0.168873546060972,0.658014680053,0.4790220224897701,1.8929146318739398,WormBase,1563,0.0,12197.0,N2HS_J2A_split,11069387,11070950,gene
WBGene00220032,snoRNA,DOG,IV,+,500,11083243,11083735,11083243,11083743,0,False,True,0,0.9495685707019399,88.42857142857142,0.8869197877354029,-0.11948328258488601,0.840289903099501,0.0202216480128428,WormBase,96,0.0,492.0,N2HS_J2A_split,11083147,11083243,gene
WBGene00166243,piRNA,DOG,IV,+,200,11401984,11402184,11401984,11402184,0,False,False,0,,6.428571428571429,0.701921750107854,-0.9004656877887621,2.3799129670503905,0.146480413577891,WormBase,20,0.0,1977.0,N2HS_J2A_split,11401964,11401984,gene
WBGene00007736,protein_coding,DOG,IV,+,200,12474889,12475089,12474889,12475089,0,False,False,0,0.5438739470574651,1567.71428571429,0.268778516309428,-0.322025293956094,0.290922845886441,1.2229702993028,WormBase,6231,0.0,4122.0,N2HS_J2B_split,12468658,12474889,gene
WBGene00011418,protein_coding,DOG,IV,+,200,12482426,12482626,12482426,12482626,0,False,False,0,0.21649760098533105,1124.14285714286,0.0270276494678582,-0.6666048626730079,0.3007000719728061,4.889043916159861,WormBase,3415,0.0,5153.0,N2HS_J2B_split,12479011,12482426,gene
WBGene00007870,protein_coding,DOG,IV,+,200,12931514,12931714,12931514,12931714,0,False,False,0,0.5115031654766379,190.285714285714,0.23891892334151305,-0.525348485215856,0.44534198411114395,1.38696136468824,WormBase,807,0.0,5224.0,N2HS_J2A_split,12930707,12931514,gene
WBGene00012640,protein_coding,DOG,IV,+,200,13456346,13456546,13456346,13456546,0,False,False,0,0.6274161794780999,699.8571428571429,0.3700459098399621,0.29891627136892496,0.33359245256046993,0.803510319103026,WormBase,846,0.0,9793.0,N2HS_J2A_split,13455500,13456346,gene
WBGene00045201,snRNA,DOG,IV,+,600,13601725,13602202,13601725,13602325,0,False,True,0,0.0765953618891244,660.714285714286,0.00409927352401372,1.06968719450492,0.3720076265199389,8.23930902048708,WormBase,89,0.0,477.0,N2HS_J2A_split,13601636,13601725,gene
WBGene00170574,piRNA,DOG,IV,+,200,13602484,13602674,13602484,13602684,0,False,True,0,,5.0,0.8424791802337521,0.517833643776691,2.5943358391815496,0.0394909583557208,WormBase,20,0.0,190.0,N2HS_J2A_split,13602464,13602484,gene
WBGene00047916,piRNA,DOG,IV,+,900,14035221,14035577,14035221,14036121,0,True,True,0,0.674198064923988,39.8571428571429,0.428839716541266,1.50634331556415,1.75057835111649,0.6259637424706601,WormBase,20,0.0,356.0,N2HS_J2A_split,14035201,14035221,gene
WBGene00050197,piRNA,DOG,IV,+,500,14035597,14036000,14035597,14036097,0,True,True,0,0.879966273886198,41.4285714285714,0.7550766532308041,-0.528381239470032,1.74019188464955,0.0973143371466278,WormBase,20,0.0,403.0,N2HS_J2A_split,14035577,14035597,gene
WBGene00050206,piRNA,DOG,IV,+,200,14037160,14037360,14037160,14037360,0,False,False,0,,15.142857142857098,0.51977730358372,1.04438620725206,1.60869022196237,0.414335172982234,WormBase,20,0.0,450.0,N2HS_J2A_split,14037140,14037160,gene
WBGene00172925,piRNA,DOG,IV,+,600,14037630,14037789,14037630,14038230,0,False,True,0,,5.0,0.522193812905845,1.7004142101992101,2.61254530140333,0.4095582351859021,WormBase,20,0.0,159.0,N2HS_J2A_split,14037610,14037630,gene
WBGene00171269,piRNA,DOG,IV,+,300,14037809,14038024,14037809,14038109,0,True,True,0,,6.571428571428571,0.7746212983631171,-0.65207917607044,2.30046283472111,0.0819879231415257,WormBase,20,0.0,215.0,N2HS_J2A_split,14037789,14037809,gene
WBGene00010087,protein_coding,POG,IV,+,900,14426795,14427695,14426795,14427695,False,0,0,False,0.27355249068445703,176.57142857142898,0.066247939268249,1.17296999349078,0.640969486963184,3.373622481678201,WormBase,769,1836.0,0.0,N2-J2-3__split,14427695,14428464,gene
WBGene00167633,piRNA,DOG,IV,+,200,16053026,16053226,16053026,16053226,0,False,False,0,,3.85714285714286,0.45311046891247103,2.2478865185234302,2.9782931673447997,0.5628593172448609,WormBase,20,0.0,345.0,N2HS_J2A_split,16053006,16053026,gene
WBGene00170519,piRNA,DOG,IV,+,200,16277642,16277842,16277642,16277842,0,False,False,0,,3.4285714285714306,0.646765688597101,1.3922863183640801,3.0322838401707797,0.210002188615121,WormBase,20,0.0,560.0,N2HS_J2A_split,16277622,16277642,gene
WBGene00046822,piRNA,DOG,IV,+,400,16625610,16626010,16625610,16626010,0,False,False,0,,11.714285714285701,0.105768676921096,4.20940735164211,2.4685369813463103,2.6163320296194303,WormBase,20,0.0,618.0,N2HS_J2A_split,16625590,16625610,gene
WBGene00219916,ncRNA,DOG,IV,+,3500,17278502,17278959,17278502,17282002,0,False,True,0,5.73629834907278e-14,154.285714285714,2.743390237543349e-16,4.36286436959464,0.529281731549117,66.9795443608443,WormBase,89,0.0,457.0,N2HS_J2A_split,17278413,17278502,gene
WBGene00022497,protein_coding,DOG,III,+,200,1215293,1215493,1215293,1215493,0,False,False,0,0.7515974468293529,1759.85714285714,0.5410585411514129,-0.161389071782107,0.26394627875269505,0.373581399699844,WormBase,342,0.0,3073.0,N2HS_J2A_split,1214951,1215293,gene
WBGene00007966,protein_coding,DOG,III,+,200,3848341,3848541,3848341,3848541,0,False,False,0,0.211995481529436,3869.285714285711,0.0250626312134407,0.579159605900781,0.258479925680462,5.01955347875125,WormBase,3448,0.0,3606.0,N2HS_J2A_split,3844893,3848341,gene
WBGene00007135,protein_coding,DOG,III,+,500,4340464,4340964,4340464,4340964,0,False,False,0,0.209371182637302,2858.85714285714,0.0226893272475322,0.641261385470435,0.281358369668943,5.19213489907941,WormBase,7468,0.0,2982.0,N2HS_J2A_split,4332996,4340464,gene
WBGene00219838,ncRNA,DOG,III,+,600,5916938,5917538,5916938,5917538,0,False,False,0,0.8579562647350658,219.57142857142898,0.7146922404243531,0.192506554602815,0.526771216884115,0.13363527647131,WormBase,670,0.0,6249.0,N2HS_J2A_split,5916268,5916938,gene
WBGene00044443,protein_coding,POG,III,+,900,8529177,8530077,8529177,8530077,False,0,0,False,0.322309999787493,816.285714285714,0.0920513618016887,0.7475384311711151,0.4417042288538761,2.83812864474751,WormBase,1046,1427.0,0.0,N2HS_J2B_split,8530077,8531123,gene
WBGene00269391,protein_coding,DOG,III,+,200,8792245,8792445,8792245,8792445,0,False,False,0,5.764028012343608e-13,225.42857142857102,3.15949815507414e-15,-4.19517989581511,0.533401785496255,62.1643900914363,WormBase,666,0.0,602.0,N2WT_INP_split,8791579,8792245,gene
WBGene00185002,protein_coding,DOG,III,+,200,9838311,9838511,9838311,9838511,0,False,False,0,0.441388677953065,513.0,0.17999529029342104,-0.51089295877572,0.3804285351948401,1.7976629459739095,WormBase,3119,0.0,5471.0,N2-J2-3__split,9835192,9838311,gene
WBGene00011561,protein_coding,DOG,III,+,200,10339440,10339640,10339440,10339640,0,False,False,0,0.8722056794712622,3140.14285714286,0.7396440322359631,0.0927278539339061,0.2790689986864749,0.110439757811179,WormBase,1600,0.0,8135.0,N2HS_J2A_split,10337840,10339440,gene
WBGene00010840,protein_coding,DOG,III,+,700,10415150,10415850,10415150,10415850,0,False,False,0,0.37260008848688697,3539.0,0.12734974174553,-0.412150958063173,0.269954352958941,2.3245170242172004,WormBase,10080,0.0,919.0,N2HS_J2A_split,10405070,10415150,gene
WBGene00004010,protein_coding,DOG,III,+,200,11136380,11136580,11136380,11136580,0,False,False,0,0.15768769224165194,413.571428571429,0.0107734702055331,1.10929938320244,0.43931721294021203,6.502305526421349,WormBase,4605,0.0,6068.0,N2HS_J2B_split,11131775,11136380,gene
WBGene00012928,protein_coding,DOG,III,+,900,11238252,11238451,11238252,11239152,0,False,True,0,0.7351447642833091,1866.42857142857,0.519309286667766,0.224282997788644,0.348128430188886,0.41526487433014797,WormBase,1103,0.0,199.0,N2HS_J2A_split,11237149,11238252,gene
WBGene00013427,protein_coding,DOG,III,+,200,11609082,11609282,11609082,11609282,0,False,False,0,0.26652248503821696,523.857142857143,0.0627131898273874,-0.8707751789924779,0.47370782546752704,3.46413791875111,WormBase,912,0.0,786.0,N2HS_J2B_split,11608170,11609082,gene
WBGene00000793,protein_coding,DOG,III,+,1400,11693837,11694136,11693837,11695237,0,False,True,0,1.81264728577204e-05,4459.28571428571,3.71528708083543e-07,-1.38569462307936,0.27021976018153304,25.8368422084225,WormBase,36099,0.0,299.0,N2HS_J2A_split,11657738,11693837,gene
WBGene00013554,protein_coding,DOG,III,+,200,12232241,12232441,12232241,12232441,0,False,False,0,0.797306792093723,184.57142857142898,0.621537310698232,-0.222493996754934,0.45045911356406704,0.243712787418836,WormBase,5609,0.0,3943.0,N2-J2-3__split,12226632,12232241,gene
WBGene00012559,protein_coding,DOG,III,+,200,12941069,12941269,12941069,12941269,0,False,False,0,0.994678430291132,3656.285714285711,0.986163492679082,0.00504201379621386,0.290750465308393,0.0003007574331803649,WormBase,6352,0.0,1548.0,N2HS_J2A_split,12934717,12941069,gene
WBGene00006863,protein_coding,DOG,X,+,200,3540940,3541140,3540940,3541140,0,False,False,0,0.240467826057987,2481.71428571429,0.0478635572704806,-0.568637653516276,0.28684032853480396,3.9147702477496,WormBase,3299,0.0,1618.0,N2HS_J2A_split,3537641,3540940,gene
WBGene00196263,ncRNA,DOG,X,+,200,4810245,4810445,4810245,4810445,0,False,False,0,,10.0,0.3801943566133139,-1.77051402738114,2.0932247642819397,0.770073367003725,WormBase,137,0.0,2581.0,N2HS_J2A_split,4810108,4810245,gene
WBGene00077784,protein_coding,DOG,X,+,400,5373272,5373672,5373272,5373672,0,False,False,0,0.994815950512708,27.285714285714306,0.9880192120669359,-0.0138265852226702,0.9207323788928792,0.000225487920360479,WormBase,334,0.0,1798.0,N2WT_INP_split,5372938,5373272,gene
WBGene00201633,ncRNA,DOG,X,+,200,5820260,5820460,5820260,5820460,0,False,False,0,0.600514150143042,24.428571428571402,0.33902859899899795,-0.986878035434538,1.02971918868796,0.914101152024962,WormBase,193,0.0,2017.0,N2-J2-1__split,5820067,5820260,gene
WBGene00199051,ncRNA,DOG,X,+,200,6744601,6744801,6744601,6744801,0,False,False,0,0.76830472245333,19.8571428571429,0.566273500566621,-1.00939884708194,1.83376341535735,0.32895766102315305,WormBase,329,0.0,3597.0,N2HS_J2A_split,6744272,6744601,gene
WBGene00200041,ncRNA,DOG,X,+,600,6748259,6748859,6748259,6748859,0,False,False,0,0.578836800985552,29.714285714285694,0.309257830815783,-1.65907780455963,1.7613788185263601,1.0338427123032599,WormBase,61,0.0,26270.0,N2HS_J2A_split,6748198,6748259,gene
WBGene00008748,protein_coding,DOG,X,+,200,10694461,10694661,10694461,10694661,0,False,False,0,0.7990227875008531,486.428571428571,0.6235567897307089,0.18466282144855106,0.37632568663684,0.240900072189731,WormBase,2518,0.0,851.0,N2HS_J2A_split,10691943,10694461,gene
WBGene00003003,protein_coding,DOG,X,+,200,11484368,11484493,11484368,11484568,0,False,True,0,0.68215602546275,1129.85714285714,0.43858909464090506,-0.238836598189137,0.308159301984456,0.599970990741724,WormBase,18811,0.0,125.0,N2HS_J2A_split,11465557,11484368,gene
WBGene00220094,snoRNA,DOG,X,+,900,11484924,11485824,11484924,11485824,0,True,False,0,0.000112758105102993,212.85714285714297,2.4652193327003607e-06,3.46903729313585,0.862276313275991,22.193383168355,WormBase,98,0.0,2864.0,N2-J2-2__split,11484826,11484924,gene
WBGene00003332,miRNA,DOG,X,+,200,11792542,11792742,11792542,11792742,0,False,False,0,,13.285714285714299,0.9042764777553042,0.24284966380694,2.00455184425063,0.0144626837003798,WormBase,97,0.0,5963.0,N2HS_J2B_split,11792445,11792542,gene
WBGene00012158,protein_coding,DOG,X,+,500,12021212,12021712,12021212,12021712,0,False,False,0,0.0595333472506152,3556.2857142857106,0.00295565240278618,0.7851653650416199,0.263976090208773,8.83464430680108,WormBase,53178,0.0,2375.0,N2HS_J2A_split,11968034,12021212,gene
WBGene00009936,tRNA,DOG,X,+,400,15297544,15297944,15297544,15297944,0,False,False,0,0.200544016290538,302.571428571429,0.0184784178666721,-2.1502245530215203,0.8729122693332709,5.55021492340068,WormBase,73,0.0,8210.0,N2HS_J2A_split,15297471,15297544,gene
WBGene00003638,protein_coding,DOG,X,+,200,15716444,15716644,15716444,15716644,0,False,False,0,0.42486237455635495,772.0,0.16497161207437602,-0.42713088854107395,0.307240403151336,1.9280530172315904,WormBase,8249,0.0,2181.0,N2HS_J2A_split,15708195,15716444,gene
WBGene00019347,protein_coding,DOG,X,+,1700,17008462,17010162,17008462,17010162,0,False,False,0,0.765028632948288,900.428571428571,0.5614215952171121,-0.197385698924554,0.339725148358329,0.33724878733662,WormBase,21833,0.0,5000.0,N2-J2-1__split,16986629,17008462,gene
WBGene00016904,protein_coding,DOG,I,+,300,280445,280745,280445,280745,0,False,False,0,0.810985416072126,28.142857142857103,0.639438616007222,0.53009765116893,1.13767064446418,0.21947711971876105,WormBase,325,0.0,3055.0,N2HS_J2A_split,280120,280445,gene
WBGene00220217,snoRNA,DOG,I,+,200,906481,906681,906481,906681,0,False,False,0,,14.4285714285714,0.8359189485925479,0.4974816937418341,2.39988494574579,0.0428972062514319,WormBase,142,0.0,967.0,N2HS_J2A_split,906339,906481,gene
WBGene00001115,protein_coding,DOG,I,+,200,1490494,1490694,1490494,1490694,0,False,False,0,0.70172900226788,150.0,0.466487578597117,-0.347214863897388,0.476458103583261,0.5302837760212,WormBase,7411,0.0,24261.0,N2-J2-2__split,1483083,1490494,gene
WBGene00021764,protein_coding,DOG,I,+,600,1973882,1974482,1973882,1974482,0,False,False,0,0.9128313999914068,988.285714285714,0.811382590336247,0.0767050417484656,0.32145874229127,0.0569503760585519,WormBase,6110,0.0,938.0,N2HS_J2A_split,1967772,1973882,gene
WBGene00220004,ncRNA,DOG,I,+,400,3415924,3416324,3415924,3416324,0,False,False,0,3.2245756216146296e-08,268.571428571429,4.11241709884808e-10,4.5764350378202,0.874073620554579,39.0587506398648,WormBase,99,0.0,3676.0,N2HS_J2A_split,3415825,3415924,gene
WBGene00220243,snoRNA,DOG,I,+,1600,6092811,6093305,6092811,6094411,0,False,True,0,3.427277012062361e-07,89.42857142857142,5.073400268368329e-09,3.7986058129372102,0.652942498837796,34.16106255961311,WormBase,125,0.0,494.0,N2HS_J2A_split,6092686,6092811,gene
WBGene00018581,protein_coding,DOG,I,+,500,6596231,6596731,6596231,6596731,0,False,False,0,0.5317045551607461,153.571428571429,0.2556202040410689,-0.5149912755248499,0.4524924330984221,1.2923234800350902,WormBase,1911,0.0,688.0,N2HS_J2A_split,6594320,6596231,gene
WBGene00220000,ncRNA,DOG,I,+,3500,6835631,6836375,6835631,6839131,0,False,True,0,0.00246581989815346,204.85714285714297,7.356465649239441e-05,1.8900421452768301,0.47395659774768895,15.716881984178801,WormBase,125,0.0,744.0,N2HS_J2A_split,6835506,6835631,gene
WBGene00201383,ncRNA,DOG,I,+,400,10399056,10399456,10399056,10399456,0,False,False,0,,14.5714285714286,0.0682433604004549,3.18584311317533,1.9138426282673704,3.3247747873197,WormBase,148,0.0,2009.0,N2HS_J2A_split,10398908,10399056,gene
WBGene00220142,ncRNA,DOG,I,+,2800,10858150,10859534,10858150,10860950,0,False,True,0,0.627764627533464,187.14285714285703,0.371609074083604,-1.12046610662544,1.2476594964543701,0.7982768126490072,WormBase,72,0.0,1384.0,N2HS_J2A_split,10858078,10858150,gene
WBGene00014126,tRNA,DOG,I,+,500,11584859,11585358,11584859,11585359,0,False,True,0,0.8023349913958359,54.57142857142861,0.628931232153147,0.8488233137755121,1.6592961576152598,0.23351287223141504,WormBase,72,0.0,499.0,N2HS_J2A_split,11584787,11584859,gene
WBGene00199697,ncRNA,DOG,I,+,300,11670094,11670394,11670094,11670394,0,False,False,0,0.57922240305174,38.1428571428571,0.31027047066486796,-0.951380857336732,0.9345450755952359,1.0295240933299699,WormBase,109,0.0,404.0,N2WT_INP_split,11669985,11670094,gene
WBGene00195155,protein_coding,DOG,I,+,300,13853727,13854027,13853727,13854027,0,False,False,0,0.7990227875008531,142.857142857143,0.623843306736828,0.29910121639343396,0.60923277385762,0.240502654488445,WormBase,648,0.0,905.0,N2HS_J2B_split,13853079,13853727,gene
WBGene00201688,ncRNA,DOG,I,+,200,13952052,13952159,13952052,13952252,0,False,True,0,4.6250653735056204e-10,398.428571428571,4.0025616987750695e-12,3.06849273898239,0.43398220179494895,48.1232308256658,WormBase,281,0.0,107.0,N2HS_J2A_split,13951771,13952052,gene
WBGene00013683,protein_coding,DOG,I,+,200,14546634,14546834,14546634,14546834,0,False,False,0,0.197667988444524,874.428571428571,0.0169152762867684,-0.708634546304033,0.29592751182687604,5.7051431053735815,WormBase,17103,0.0,43122.0,N2WT_INP_split,14529531,14546634,gene
WBGene00004512,rRNA,DOG,I,+,8800,15063836,15064301,15063836,15072636,0,True,True,0,0.713156411138258,14308483.5714286,0.483404094592314,0.21971471964934,0.313583476259508,0.49117396015702797,WormBase,1753,0.0,465.0,N2HS_J2A_split,15062083,15063836,gene
WBGene00004513,rRNA,DOG,I,+,300,15071033,15071333,15071033,15071333,0,True,False,0,0.7889116706772579,13936373.142857099,0.6034967665235501,0.164409610321858,0.31662285459347994,0.269754107818585,WormBase,1753,0.0,1233.0,N2HS_J2B_split,15069280,15071033,gene
WBGene00019241,protein_coding,DOG,V,+,300,911214,911514,911214,911514,0,False,False,0,0.415600833419616,1737.0,0.15749482733095901,-0.397988000458823,0.281205021267652,1.99811632294839,WormBase,6264,0.0,562.0,N2HS_J2A_split,904950,911214,gene
WBGene00197318,ncRNA,DOG,V,+,200,970170,970370,970170,970370,0,False,False,0,0.78047591773371,23.571428571428598,0.590541428870508,-1.0588944238982199,1.8838478681294093,0.28949951898875503,WormBase,57,0.0,9733.0,N2-J2-3__split,970113,970170,gene
WBGene00044747,ncRNA,DOG,V,+,3900,1279521,1283421,1279521,1283421,0,False,False,0,0.298890992921447,132.714285714286,0.0798449407189382,-1.2404939195932099,0.711019701259974,3.0680551624739105,WormBase,30,0.0,13340.0,N2HS_J2A_split,1279491,1279521,gene
WBGene00002018,protein_coding,DOG,V,+,12000,1805875,1807450,1805875,1817875,0,False,True,0,0.9348177753041998,6606.142857142861,0.857537235009182,-0.158744450948679,0.884088248801908,0.0322238542718196,WormBase,697,0.0,1575.0,N2HS_J2A_split,1805178,1805875,gene
