DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name	ADOG_overlap_DOG
2488820	2488820	False	0	0	1200	2487620	2487620	False	APOG	IV	.	.	2494135	protein_coding	gene_id "WBGene00022090"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00022090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	1337.0	5315	0.0	WormBase	2488820	+	gene	False	N2-J2-3__split	False
2261801	2261801	0	False	False	700	2261101	2261101	0	ADOG	II	.	.	2261101	protein_coding	gene_id "WBGene00019586"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	5929	19038.0	WormBase	2255172	+	gene	False	OK8-J2-3_split	False
11065973	11065973	0	False	False	600	11065373	11065373	0	ADOG	I	.	.	11065373	protein_coding	gene_id "WBGene00206530"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00206530	0	0	0	0	0	0	['WBGene00077687']	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2013	31621.0	WormBase	11063360	+	gene	False	OK80-INP_split	False
1258858	1258858	0	False	False	600	1258258	1258258	0	ADOG	I	.	.	1258258	protein_coding	gene_id "WBGene00021692"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	3488	20550.0	WormBase	1254770	+	gene	False	OK8-J2-1_split	False
9934685	9934685	0	False	False	400	9934285	9934285	0	ADOG	IV	.	.	9934285	protein_coding	gene_id "WBGene00004974"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	375	10201.0	WormBase	9933910	+	gene	False	OK80-INP_split	False
2745418	2745418	0	False	False	300	2745118	2745118	0	ADOG	I	.	.	2745118	ncRNA	gene_id "WBGene00196517"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00196517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	165	13180.0	WormBase	2744953	+	gene	False	N2WT_INP_split	False
13633794	13633794	0	False	False	300	13633494	13633494	0	ADOG	I	.	.	13633494	protein_coding	gene_id "WBGene00006793"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00006793	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00255577']	0	0	0	0	0.0	0	0	0	0.0	4267	1548.0	WormBase	13629227	+	gene	False	N2-J2-2__split	False
15071333	15071333	0	True	False	300	15071033	15071033	0	ADOG	I	.	.	15071033	rRNA	gene_id "WBGene00004513"; gene_source "WormBase"; gene_biotype "rRNA";	WBGene00004513	0	0	0	['WBGene00195813']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1753	1233.0	WormBase	15069280	+	gene	False	OK80-INP_split	False
15558379	15558379	0	False	False	300	15558079	15558079	0	ADOG	IV	.	.	15558079	pseudogene	gene_id "WBGene00014958"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00014958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2042	437.0	WormBase	15556037	+	gene	False	N2-J2-3__split	False
219399	219399	0	False	False	300	219099	219099	0	ADOG	I	.	.	219099	protein_coding	gene_id "WBGene00255594"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00255594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1039	21392.0	WormBase	218060	+	gene	False	OK80-INP_split	False
2512102	2512102	0	False	False	300	2511802	2511802	0	ADOG	III	.	.	2511802	protein_coding	gene_id "WBGene00021850"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2954	17261.0	WormBase	2508848	+	gene	False	OK80-INP_split	False
1452606	1452606	0	False	False	300	1452306	1452306	0	ADOG	X	.	.	1452306	protein_coding	gene_id "WBGene00021044"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1538	6741.0	WormBase	1450768	+	gene	False	OK80-INP_split	False
2496941	2496941	0	False	False	300	2496641	2496641	0	ADOG	II	.	.	2496641	protein_coding	gene_id "WBGene00018766"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00018766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	7887	5397.0	WormBase	2488754	+	gene	False	N2-J2-1__split	False
