RUNON	chr	RUNON_strand	RUNON_start	RUNON_end	OPERON	OPERON_strand	OPERON_start	OPERON_end
WBGene00021925	IV	-	1003400	1003600	CEOP4044	-	992240	1003639
WBGene00021925	IV	-	1003400	1003600	CEOP4642	-	1003600	1009734
WBGene00220216	IV	-	2713693	2713893	CEOP4068	+	2711939	2725858
WBGene00015658	IV	-	3509746	3510046	CEOP4088	+	3506328	3514572
WBGene00167905	IV	-	5182560	5182760	CEOP4156	-	5173280	5189096
WBGene00014829	IV	-	11362794	11363194	CEOP4639	-	11341325	11371836
WBGene00009589	IV	-	11587963	11588263	CEOP4456	+	11570500	11588321
WBGene00010234	IV	-	11639547	11640047	CEOP4464	+	11636648	11640097
WBGene00022491	III	-	1184948	1185248	CEOP3060	+	1185248	1202008
WBGene00003598	III	-	4893647	4894647	CEOP3232	+	4887921	4899085
WBGene00016016	III	-	6212112	6213112	CEOP3356	+	6206803	6212904
WBGene00015485	III	-	6421885	6422459	CEOP3372	+	6422459	6431792
WBGene00219841	III	-	8446920	8447043	CEOP3524	-	8438061	8446920
WBGene00013225	III	-	11849451	11849951	CEOP3732	+	11849951	11869281
WBGene00010011	X	-	15852635	15852935	CEOPX182	+	15852935	15865918
WBGene00021333	I	-	1050721	1050921	CEOP1908	-	1034443	1050727
WBGene00022367	I	-	1385318	1385818	CEOP1963	+	1376942	1392759
WBGene00021473	I	-	2375289	2377089	CEOP1967	-	2377089	2401492
WBGene00022128	I	-	2721679	2721879	CEOP1052	+	2718027	2726724
WBGene00004415	I	-	4645241	4645641	CEOP1196	+	4635722	4646963
WBGene00010427	I	-	7139973	7140278	CEOP1368	-	7140278	7156868
WBGene00009141	I	-	7641870	7642270	CEOP1412	-	7634494	7656336
WBGene00006958	I	-	11924585	11924785	CEOP1660	+	11912005	11929511
WBGene00013020	I	-	13471283	13471683	CEOP1996	+	13455356	13493317
WBGene00018483	V	-	8519046	8519346	CEOP5196	-	8512689	8520896
WBGene00003344	V	-	11768317	11769917	CEOP5300	+	11764904	11773494
WBGene00007365	V	-	13907933	13908133	CEOP5519	-	13904611	13908135
WBGene00010880	II	-	8469779	8470079	CEOP2348	-	8457818	8470162
WBGene00010877	II	-	8475568	8478010	CEOP2352	+	8478010	8483872
WBGene00011980	II	-	9041580	9042180	CEOP2408	-	9035562	9053824
WBGene00220052	II	-	10555044	10555251	CEOP2492	+	10534332	10555044
WBGene00012180	II	-	14788118	14800918	CEOP2755	-	14795404	14800971
WBGene00001909	V	-	9544226	9544611	CEOP5232	-	9537672	9549836
WBGene00011230	I	-	7856623	7857823	CEOP1428	-	7848975	7857850
WBGene00004765	III	-	3611951	3612951	CEOP3862	+	3612951	3630368
WBGene00013682	I	-	14566783	14567169	CEOP1740	-	14552030	14616524
WBGene00006389	III	-	12670507	12671307	CEOP3799	+	12652344	12673421
WBGene00007859	III	-	3627286	3627986	CEOP3862	+	3612951	3630368
WBGene00013552	III	-	12223887	12224487	CEOP3756	-	12224487	12226267
WBGene00008968	IV	-	8752860	8753195	CEOP4609	+	8753195	8762057
WBGene00010910	II	-	10843813	10844313	CEOP2715	-	10841386	10855554
WBGene00004905	III	-	1519724	1520224	CEOP3062	+	1468643	1532768
WBGene00044233	III	-	11929389	11929889	CEOP3841	-	11929889	11947017
