DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
2261301	2261301		False	False	200	2261101	2261101		ADOG	II	.	.	2261101	protein_coding	gene_id "WBGene00019586"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		5929	19038.0	WormBase	2255172	+	gene	False	N2-J2-3__split
3309487	3309487		False	False	200	3309287	3309287		ADOG	II	.	.	3309287	ncRNA	gene_id "WBGene00249813"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00249813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		18	701.0	WormBase	3309269	+	gene	False	N2-J2-3__split
13145510	13145510		False	False	200	13145310	13145310		ADOG	II	.	.	13145310	ncRNA	gene_id "WBGene00199283"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00199283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		175	12023.0	WormBase	13145135	+	gene	False	N2-J2-3__split
1598889	1598889		False	False	200	1598689	1598689		ADOG	V	.	.	1598689	pseudogene	gene_id "WBGene00017505"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00017505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2545	2349.0	WormBase	1596144	+	gene	False	N2-J2-3__split
18852929	18852929		False	False	200	18852729	18852729		ADOG	V	.	.	18852729	protein_coding	gene_id "WBGene00012446"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		5912	21404.0	WormBase	18846817	+	gene	False	N2-J2-3__split
15558379	15558379		False	False	300	15558079	15558079		ADOG	IV	.	.	15558079	pseudogene	gene_id "WBGene00014958"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00014958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2042	437.0	WormBase	15556037	+	gene	False	N2-J2-3__split
2488820	2488820	False			1200	2487620	2487620	False	APOG	IV	.	.	2494135	protein_coding	gene_id "WBGene00022090"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00022090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	1337.0	5315		WormBase	2488820	+	gene	False	N2-J2-3__split
1258758	1258758		False	False	500	1258258	1258258		ADOG	I	.	.	1258258	protein_coding	gene_id "WBGene00021692"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		3488	20550.0	WormBase	1254770	+	gene	False	N2-J2-3__split
1490694	1490694		False	False	200	1490494	1490494		ADOG	I	.	.	1490494	protein_coding	gene_id "WBGene00001115"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001115	0	0	0	0	['WBGene00170789']	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		7411	24261.0	WormBase	1483083	+	gene	False	N2-J2-3__split
2049113	2049113		False	False	200	2048913	2048913		ADOG	I	.	.	2048913	lincRNA	gene_id "WBGene00219749"; gene_source "WormBase"; gene_biotype "lincRNA";	WBGene00219749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2374	15380.0	WormBase	2046539	+	gene	False	N2-J2-3__split
11065573	11065573		False	False	200	11065373	11065373		ADOG	I	.	.	11065373	protein_coding	gene_id "WBGene00206530"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00206530	0	0	0	0	0	0	['WBGene00077687']	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2013	31621.0	WormBase	11063360	+	gene	False	N2-J2-3__split
13633694	13633694		False	False	200	13633494	13633494		ADOG	I	.	.	13633494	protein_coding	gene_id "WBGene00006793"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00006793	0	0	0	0	0	0	0	0	0	0	0	0	['WBGene00255577']	0	0	0	0	0.0	0	0	0		4267	1548.0	WormBase	13629227	+	gene	False	N2-J2-3__split
15071333	15071333		False	False	300	15071033	15071033		ADOG	I	.	.	15071033	rRNA	gene_id "WBGene00004513"; gene_source "WormBase"; gene_biotype "rRNA";	WBGene00004513	0	0	0	['WBGene00195813']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1753	1233.0	WormBase	15069280	+	gene	False	N2-J2-3__split
10719685	10719685		False	False	200	10719485	10719485		ADOG	III	.	.	10719485	lincRNA	gene_id "WBGene00219614"; gene_source "WormBase"; gene_biotype "lincRNA";	WBGene00219614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1144	23292.0	WormBase	10718341	+	gene	False	N2-J2-3__split
16931819	16931819		False	False	200	16931619	16931619		ADOG	X	.	.	16931619	ncRNA	gene_id "WBGene00022951"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00022951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1705	11704.0	WormBase	16929914	+	gene	False	N2-J2-3__split
