gene_id_name	gene_biotype_name	TYPE	chr	strand	DOG_length	DOG_start_local	DOG_end_local	DOG_start_meta	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	POG_into_upstream_gene	padj	baseMean	pvalue	log2FoldChange	lfcSE	stat	source	length	left_int_length	right_int_length	sample_name	start	end	type
WBGene00021405	protein_coding	ADOG	IV	+	500	23198	23698	23198	23698	0	False	False	0	0.604421374000428	24.714285714285698	0.0151903279012429	-4.142934817582391	1.70345227539761	5.8942580265383695	WormBase	1705	0.0	3784.0	N2HS_J2B_sp	21493	23198	gene
WBGene00017926	protein_coding	ADOG	IV	+	200	127640	127840	127640	127840	0	False	False	0	0.9579774124154459	4.28571428571429	0.6367295030603449	0.9634660061674429	2.03864594802432	0.223045011461394	WormBase	909	0.0	4776.0	N2HS_J2B_sp	126731	127640	gene
WBGene00021947	protein_coding	ADOG	IV	+	900	759084	759984	759084	759984	0	False	False	0	0.9579774124154459	110.857142857143	0.22288438949524106	-1.23446580593958	1.01751265673179	1.48570282580989	WormBase	2363	0.0	1526.0	N2HS_J2A_split	756721	759084	gene
WBGene00021920	protein_coding	ADOG	IV	+	300	1057620	1057920	1057620	1057920	0	False	False	0	0.9718747613649571	4.28571428571429	0.8311779156724208	-0.4374041494643471	2.05117321512049	0.0454504419511679	WormBase	730	0.0	36467.0	N2HS_J2B_sp	1056890	1057620	gene
WBGene00201141	ncRNA	ADOG	IV	+	400	2044796	2045196	2044796	2045196	0	True	False	0	0.9875638798104909	2.28571428571429	0.9589620334895079	-0.151997204493236	2.95173281993121	0.00264773657061212	WormBase	117	0.0	6704.0	N2HS_J2B_sp	2044679	2044796	gene
WBGene00235343	protein_coding	ADOG	IV	+	700	2572683	2573383	2572683	2573383	0	True	False	0	0.9718747613649571	1.7142857142857097	0.853204499398274	0.584959745742855	3.1675510442585897	0.0342365754627174	WormBase	276	0.0	12094.0	N2HS_J2B_sp	2572407	2572683	gene
WBGene00235294	protein_coding	ADOG	IV	+	2600	2597970	2600570	2597970	2600570	0	True	False	0	0.9579774124154459	3.0	0.209997482109613	-3.3218991034264302	2.6888931178843998	1.5714436668493998	WormBase	396	0.0	3171.0	N2HS_J2B_sp	2597574	2597970	gene
WBGene00015413	protein_coding	ADOG	IV	+	6300	3403904	3410204	3403904	3410204	0	False	False	0	0.9579774124154459	10.7142857142857	0.24422983477592103	-1.65563044078066	1.41699341767457	1.35601199738548	WormBase	4232	0.0	11779.0	N2HS_J2B_sp	3399672	3403904	gene
WBGene00001699	protein_coding	ADOG	IV	+	300	3441770	3442070	3441770	3442070	0	False	False	0	0.9579774124154459	3.71428571428571	0.17725543036886302	3.2853770482740896	2.4976096743611	1.82048606189809	WormBase	715	0.0	3144.0	N2HS_J2B_sp	3441055	3441770	gene
WBGene00194843	pseudogene	ADOG	IV	+	400	3452027	3452427	3452027	3452427	0	False	False	0	0.998221069998119	2.85714285714286	0.9840719986761941	0.0544467983972168	2.72837020045969	0.000398565900841419	WormBase	1136	0.0	1581.0	N2HS_J2B_sp	3450891	3452027	gene
WBGene00019546	protein_coding	ADOG	IV	+	200	3794044	3794244	3794044	3794244	0	False	False	0	0.966608016067798	21.857142857142897	0.790614309186162	-0.287296532826107	1.08171482392836	0.0704971444826015	WormBase	9686	0.0	723.0	N2HS_J2B_sp	3784358	3794044	gene
WBGene00006488	protein_coding	ADOG	IV	+	200	3903644	3903844	3903644	3903844	0	False	False	0	0.9579774124154459	2.0	0.322943612197318	-2.99996076948107	3.05660667930512	0.9769877627747621	WormBase	389	0.0	1276.0	N2HS_J2B_sp	3903255	3903644	gene
WBGene00019932	pseudogene	ADOG	IV	+	200	4150055	4150255	4150055	4150255	0	False	False	0	0.184802175367623	15.4285714285714	0.00174392821464655	-4.77257351531496	1.51861558417297	9.80125493133816	WormBase	1914	0.0	517.0	N2HS_J2B_sp	4148141	4150055	gene
WBGene00001074	protein_coding	ADOG	IV	+	300	4236710	4237010	4236710	4237010	0	False	False	0	0.9579774124154459	4.71428571428571	0.627249663634308	0.9999979524241249	2.06118154691209	0.23580891143756896	WormBase	1096	0.0	3050.0	N2HS_J2B_sp	4235614	4236710	gene
WBGene00018085	protein_coding	ADOG	IV	+	300	4247486	4247786	4247486	4247786	0	False	False	0	0.9579774124154459	3.28571428571429	0.42012334446633504	1.90687388432296	2.37266272062089	0.649970170805595	WormBase	726	0.0	534.0	N2HS_J2B_sp	4246760	4247486	gene
WBGene00017485	protein_coding	ADOG	IV	+	600	4291872	4292472	4291872	4292472	0	True	False	0	0.9579774124154459	6.571428571428571	0.547915185542022	-1.11547091464036	1.85237916032246	0.361065307406875	WormBase	405	0.0	997.0	N2HS_J2B_sp	4291467	4291872	gene
WBGene00019948	protein_coding	ADOG	IV	+	200	4437318	4437518	4437318	4437518	0	False	False	0	0.9579774124154459	12.0	0.28851215881757897	1.41503348249477	1.3325541376982801	1.12655125910046	WormBase	2191	0.0	8672.0	N2HS_J2B_sp	4435127	4437318	gene
WBGene00021201	protein_coding	ADOG	IV	+	300	4753163	4753463	4753163	4753463	0	False	False	0	0.9759312650292321	3.85714285714286	0.908829107317881	0.263034053598158	2.2989552697580202	0.0131138149629066	WormBase	1044	0.0	3442.0	N2HS_J2B_sp	4752119	4753163	gene
WBGene00167582	piRNA	ADOG	IV	+	200	4919946	4920146	4919946	4920146	0	False	False	0	1.0	1.7142857142857097	1.0	-7.18898346585995e-06	3.28501090951341	-4.78905803902308e-12	WormBase	20	0.0	409.0	N2HS_J2B_sp	4919926	4919946	gene
WBGene00170298	piRNA	ADOG	IV	+	400	4938831	4939231	4938831	4939231	0	False	False	0	0.9579774124154459	1.42857142857143	0.77604976378345	-0.999984282459881	3.5120182943190597	0.0809235206044079	WormBase	20	0.0	484.0	N2HS_J2B_sp	4938811	4938831	gene
WBGene00021997	protein_coding	ADOG	IV	+	900	5249820	5250720	5249820	5250720	0	False	False	0	0.9734923891151128	3.0	0.8604513164380211	0.46947813748863304	2.68058284367418	0.0309055295498588	WormBase	392	0.0	3067.0	N2HS_J2B_sp	5249428	5249820	gene
WBGene00198617	ncRNA	ADOG	IV	+	300	5419908	5420208	5419908	5420208	0	True	False	0	0.9579774124154459	1.42857142857143	0.77604976378345	-0.999984282459881	3.5120182943190597	0.0809235206044079	WormBase	61	0.0	360.0	N2HS_J2B_sp	5419847	5419908	gene
WBGene00021792	pseudogene	ADOG	IV	+	200	5469134	5469334	5469134	5469334	0	False	False	0	0.9579774124154459	5.28571428571429	0.722232312037707	0.672419330088132	1.88990022528875	0.12636386008873	WormBase	1741	0.0	827.0	N2HS_J2B_sp	5467393	5469134	gene
WBGene00170460	piRNA	ADOG	IV	+	300	5627484	5627784	5627484	5627784	0	True	False	0	0.9579774124154459	1.42857142857143	0.77604976378345	-0.999984282459881	3.5120182943190597	0.0809235206044079	WormBase	20	0.0	1679.0	N2HS_J2B_sp	5627464	5627484	gene
WBGene00016953	protein_coding	ADOG	IV	+	300	5688273	5688573	5688273	5688573	0	False	False	0	2.54122236871281e-06	120.57142857142901	4.34885502175574e-09	7.0684907878645395	1.14407269328331	34.4609669726105	WormBase	2986	0.0	2757.0	N2HS_J2B_sp	5685287	5688273	gene
WBGene00165406	piRNA	ADOG	IV	+	200	5719102	5719302	5719102	5719302	0	False	False	0	0.9579774124154459	1.42857142857143	0.77604976378345	-0.999984282459881	3.5120182943190597	0.0809235206044079	WormBase	20	0.0	703.0	N2HS_J2B_sp	5719082	5719102	gene
WBGene00016665	protein_coding	ADOG	IV	+	900	5742980	5743880	5742980	5743880	0	False	False	0	0.9734923891151128	4.71428571428571	0.873142467417109	0.337034801746333	2.1141197877818603	0.0254939279207704	WormBase	1635	0.0	1356.0	N2HS_J2B_sp	5741345	5742980	gene
WBGene00171559	piRNA	ADOG	IV	+	400	5778341	5778741	5778341	5778741	0	False	False	0	0.9867449309358192	2.0	0.9556353145384741	0.16992744663109102	3.05660471118874	0.00309487153582211	WormBase	20	0.0	590.0	N2HS_J2B_sp	5778321	5778341	gene
WBGene00201323	ncRNA	ADOG	IV	+	200	5819419	5819619	5819419	5819619	0	True	False	0	0.9579774124154459	1.42857142857143	0.77604976378345	-0.999984282459881	3.5120182943190597	0.0809235206044079	WormBase	67	0.0	363.0	N2HS_J2B_sp	5819352	5819419	gene
WBGene00047585	piRNA	ADOG	IV	+	400	6035647	6036047	6035647	6036047	0	False	False	0	0.9579774124154459	1.42857142857143	0.77604976378345	-0.999984282459881	3.5120182943190597	0.0809235206044079	WormBase	20	0.0	535.0	N2HS_J2B_sp	6035627	6035647	gene
WBGene00046595	piRNA	ADOG	IV	+	500	6083780	6084280	6083780	6084280	0	False	False	0	0.9579774124154459	1.85714285714286	0.7003954874226109	1.16991088531815	3.05443726697662	0.148060769511478	WormBase	20	0.0	1826.0	N2HS_J2B_sp	6083760	6083780	gene
WBGene00020468	protein_coding	ADOG	IV	+	200	6277023	6277223	6277023	6277223	0	False	False	0	0.9579774124154459	3.14285714285714	0.767581848272624	-0.8300629596590109	2.7928430676305402	0.0873435451452451	WormBase	767	0.0	2772.0	N2HS_J2B_sp	6276256	6277023	gene
WBGene00022250	protein_coding	ADOG	IV	+	200	6323562	6323762	6323562	6323762	0	False	False	0	0.9718747613649571	5.857142857142861	0.842919382780478	0.36256666787726594	1.82977655767099	0.0392676386070576	WormBase	1614	0.0	417.0	N2HS_J2B_sp	6321948	6323562	gene
WBGene00173019	piRNA	ADOG	IV	+	300	6343429	6343729	6343429	6343729	0	False	False	0	0.9579774124154459	1.7142857142857097	0.675808837080108	-1.4150170332678702	3.3782222967820497	0.17488215476898	WormBase	20	0.0	4084.0	N2HS_J2B_sp	6343409	6343429	gene
WBGene00235289	protein_coding	ADOG	IV	+	300	6347875	6348175	6347875	6348175	0	False	False	0	0.9579774124154459	4.0	0.519338303781944	-1.56702689283735	2.4215181788601097	0.4152071898441289	WormBase	362	0.0	6149.0	N2HS_J2B_sp	6347513	6347875	gene
WBGene00170930	piRNA	ADOG	IV	+	500	6462937	6463437	6462937	6463437	0	False	False	0	0.9579774124154459	1.42857142857143	0.77604976378345	-0.999984282459881	3.5120182943190597	0.0809235206044079	WormBase	20	0.0	1415.0	N2HS_J2B_sp	6462917	6462937	gene
WBGene00015309	protein_coding	ADOG	IV	+	200	6519502	6519702	6519502	6519702	0	False	False	0	0.9734923891151128	2.71428571428571	0.884673795195068	-0.4150410382525279	2.8665962748864198	0.0210386205642692	WormBase	1328	0.0	424.0	N2HS_J2B_sp	6518174	6519502	gene
WBGene00172592	piRNA	ADOG	IV	+	200	6648315	6648515	6648315	6648515	0	False	False	0	0.9579774124154459	1.42857142857143	0.77604976378345	-0.999984282459881	3.5120182943190597	0.0809235206044079	WormBase	20	0.0	2871.0	N2HS_J2B_sp	6648295	6648315	gene
WBGene00169640	piRNA	ADOG	IV	+	600	6655600	6656200	6655600	6656200	0	False	False	0	0.9579774124154459	1.42857142857143	0.77604976378345	-0.999984282459881	3.5120182943190597	0.0809235206044079	WormBase	20	0.0	1263.0	N2HS_J2B_sp	6655580	6655600	gene
WBGene00006052	protein_coding	ADOG	IV	+	300	7112861	7113161	7112861	7113161	0	False	False	0	0.9579774124154459	6.142857142857139	0.40862609612975104	1.5849552491440901	1.9372826612618799	0.6827945284324459	WormBase	1257	0.0	2038.0	N2HS_J2B_sp	7111604	7112861	gene
