DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name	ADOG_overlap_DOG
3410204	3410204	0	False	False	6300	3403904	3403904	0	ADOG	IV	.	.	3403904	protein_coding	gene_id "WBGene00015413"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	4232	11779.0	WormBase	3399672	+	gene	False	N2HS_J2B_sp	False
4478153	4478153	0	False	False	4600	4473553	4473553	0	ADOG	II	.	.	4473553	protein_coding	gene_id "WBGene00021056"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	2152	5060.0	WormBase	4471401	+	gene	False	N2HS_J2B_sp	False
1156301	1156301	0	False	False	3600	1152701	1152701	0	ADOG	II	.	.	1152701	protein_coding	gene_id "WBGene00004076"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004076	0	0	0	0	0	['WBGene00021105']	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	15920	10874.0	WormBase	1136781	+	gene	False	N2HS_J2B_sp	False
7933797	7933797	0	False	False	2900	7930897	7930897	0	ADOG	II	.	.	7930897	ncRNA	gene_id "WBGene00201817"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	72	10254.0	WormBase	7930825	+	gene	False	N2HS_J2B_sp	False
6978213	6978213	0	True	False	2800	6975413	6975413	0	ADOG	X	.	.	6975413	ncRNA	gene_id "WBGene00200619"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	138	3989.0	WormBase	6975275	+	gene	False	N2HS_J2B_spl	False
9279041	9279041	0	False	False	2800	9276241	9276241	0	ADOG	III	.	.	9276241	ncRNA	gene_id "WBGene00200279"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00200279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	141	5544.0	WormBase	9276100	+	gene	False	N2HS_J2B_s	False
11779274	11779274	0	True	False	2700	11776574	11776574	0	ADOG	X	.	.	11776574	pseudogene	gene_id "WBGene00044585"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00044585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	845	15541.0	WormBase	11775729	+	gene	False	N2HS_J2B_spl	False
2600570	2600570	0	True	False	2600	2597970	2597970	0	ADOG	IV	.	.	2597970	protein_coding	gene_id "WBGene00235294"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	396	3171.0	WormBase	2597574	+	gene	False	N2HS_J2B_sp	False
8137185	8137185	0	True	False	2200	8134985	8134985	0	ADOG	V	.	.	8134985	protein_coding	gene_id "WBGene00017017"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	1553	6199.0	WormBase	8133432	+	gene	False	N2HS_J2B_spl	False
9707420	9707420	0	True	False	2000	9705420	9705420	0	ADOG	I	.	.	9705420	protein_coding	gene_id "WBGene00219286"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00219286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	550	3191.0	WormBase	9704870	+	gene	False	N2HS_J2B_spl	False
