GeneID	Length	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2WT_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.1_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.2_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.3_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2A_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2B_.bam
WBGene00021407	2306	8	8	10	8	9	7	5
WBGene00021408	5401	8	2	7	6	6	22	12
WBGene00021409	1706	6	3	21	21	29	1	0
WBGene00001492	16400	72	150	18	26	13	71	46
WBGene00235257	231	2	1	4	5	2	0	0
WBGene00235258	415	0	0	0	0	0	0	0
WBGene00235259	1729	7	6	15	13	11	6	5
WBGene00015246	3193	43	6	49	44	43	29	21
WBGene00015247	3084	148	25	89	78	93	85	125
WBGene00001111	6222	18	26	3	9	11	25	14
WBGene00017928	2436	9	5	3	6	5	27	4
WBGene00017929	4429	30	20	7	4	4	49	28
WBGene00000674	9574	66	44	6	13	9	81	32
WBGene00198551	70	0	0	0	0	0	0	0
WBGene00021400	1831	1	0	0	1	0	1	0
WBGene00019821	6335	10	7	2	6	26	24	18
WBGene00019822	4978	3	10	2	2	4	16	9
WBGene00019823	2717	6	7	10	6	7	26	15
WBGene00001728	585	0	1	0	0	1	3	1
WBGene00019824	1859	2	3	2	0	2	10	19
WBGene00019825	1234	2	1	0	2	2	5	3
WBGene00001071	1821	1	13	0	0	1	4	4
WBGene00020647	1714	5	5	1	3	2	20	22
WBGene00003932	2347	3	22	0	3	0	24	18
WBGene00005487	949	1	0	1	0	0	1	0
WBGene00045177	823	1	0	1	3	0	1	1
WBGene00020648	2654	10	120	5	16	9	262	104
WBGene00019298	5852	8	25	16	23	9	19	20
WBGene00019299	2186	9	18	3	4	1	16	20
WBGene00001099	5550	72	168	13	16	10	56	33
WBGene00001735	1452	3	17	2	4	4	14	5
WBGene00000675	1275	18	10	18	16	16	142	137
WBGene00017574	2370	4	7	1	2	0	9	11
WBGene00197593	58	0	0	0	0	0	0	0
WBGene00022048	16859	84	93	31	45	43	157	156
WBGene00004981	3288	3	37	3	2	3	10	14
WBGene00020295	1236	35	6	2	2	1	8	24
WBGene00045249	391	0	1	0	0	1	1	5
WBGene00002187	4413	9	4	20	20	15	53	34
WBGene00165558	21	0	1	3	1	1	0	1
WBGene00001332	4324	6	7	5	11	10	13	18
WBGene00022047	1064	6	7	2	3	3	6	1
WBGene00002041	11341	23	69	76	105	66	82	105
WBGene00235263	3799	10	9	39	33	30	18	13
WBGene00019773	2998	9	8	4	3	1	7	4
WBGene00019774	19876	141	100	39	46	28	199	237
WBGene00021011	1532	23	4	9	9	6	11	9
WBGene00021012	12721	412	190	173	133	133	209	230
WBGene00000213	3596	6	128	3	6	3	5	8
WBGene00021013	1205	1	2	1	1	0	3	0
