DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_overlap_opposite_strand_local:antisense	DOG_overlap_opposite_strand_local:lincRNA	DOG_overlap_opposite_strand_local:miRNA	DOG_overlap_opposite_strand_local:ncRNA	DOG_overlap_opposite_strand_local:piRNA	DOG_overlap_opposite_strand_local:protein_coding	DOG_overlap_opposite_strand_local:pseudogene	DOG_overlap_opposite_strand_local:rRNA	DOG_overlap_opposite_strand_local:snRNA	DOG_overlap_opposite_strand_local:snoRNA	DOG_overlap_opposite_strand_local:tRNA	DOG_overlap_opposite_strand_meta:antisense	DOG_overlap_opposite_strand_meta:lincRNA	DOG_overlap_opposite_strand_meta:miRNA	DOG_overlap_opposite_strand_meta:ncRNA	DOG_overlap_opposite_strand_meta:piRNA	DOG_overlap_opposite_strand_meta:protein_coding	DOG_overlap_opposite_strand_meta:pseudogene	DOG_overlap_opposite_strand_meta:rRNA	DOG_overlap_opposite_strand_meta:snRNA	DOG_overlap_opposite_strand_meta:snoRNA	DOG_overlap_opposite_strand_meta:tRNA	DOG_overlap_same_strand_local:antisense	DOG_overlap_same_strand_local:lincRNA	DOG_overlap_same_strand_local:miRNA	DOG_overlap_same_strand_local:ncRNA	DOG_overlap_same_strand_local:piRNA	DOG_overlap_same_strand_local:protein_coding	DOG_overlap_same_strand_local:pseudogene	DOG_overlap_same_strand_local:rRNA	DOG_overlap_same_strand_local:snRNA	DOG_overlap_same_strand_local:snoRNA	DOG_overlap_same_strand_local:tRNA	DOG_overlap_same_strand_meta:antisense	DOG_overlap_same_strand_meta:lincRNA	DOG_overlap_same_strand_meta:miRNA	DOG_overlap_same_strand_meta:ncRNA	DOG_overlap_same_strand_meta:piRNA	DOG_overlap_same_strand_meta:protein_coding	DOG_overlap_same_strand_meta:pseudogene	DOG_overlap_same_strand_meta:rRNA	DOG_overlap_same_strand_meta:snRNA	DOG_overlap_same_strand_meta:snoRNA	DOG_overlap_same_strand_meta:tRNA	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	baseMean	chr	end	gene_biotype_name	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	lfcSE	log2FoldChange	padj	pvalue	right_int_length	sample_name	source	start	stat	strand	type
621425	621425	0	False	False	500	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	620925	620925	0	DOG	207.714285714286	IV	620925	protein_coding	WBGene00015993	0	0	0	['WBGene00200850']	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	['WBGene00022911']	0.0	5381	1.0765660771371302	3.5068137935539	0.0374457280322442	0.00167145586297424	3139.0	N2HS_J2B_sp	WormBase	615544	9.87933224857159	+	gene
5337027	5337027	0	True	False	200	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	5336827	5336827	0	DOG	436.0	IV	5336827	protein_coding	WBGene00021157	0	0	0	['WBGene00199412']	['WBGene00165565', 'WBGene00174667', 'WBGene00047034']	0	0		0	0	0	0	0	0	0	['WBGene00165295', 'WBGene00170077', 'WBGene00174627', 'WBGene00168576', 'WBGene00046441', 'WBGene00045592', 'WBGene00173931', 'WBGene00165983']	0	0	0.0	0	0	['WBGene00023166']	0.0	4349	0.8273221292250329	3.09117484766252	0.0083102289985678	0.000279581651080417	214.0	N2HS_J2B_sp	WormBase	5332478	13.2024616486833	+	gene
5698946	5698946	0	False	False	4300	0	0	0	0	0	['WBGene00016955']	0		0	0	0	0	0	0	0	0	['WBGene00016955']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	5694646	5694646	0	DOG	19.8571428571429	IV	5694646	protein_coding	WBGene00044501	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	3616	1.25612631686306	4.4594203795397	0.0083102289985678	0.00028009881388932703	10973.0	N2HS_J2B_sp	WormBase	5691030	13.1989981246774	+	gene
6253300	6257483	0	False	True	4400	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	['WBGene00003754']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	['WBGene00165540', 'WBGene00173113', 'WBGene00170566']	['WBGene00020469', 'WBGene00235303']	0	0	0	0	0	6253083	6253083	0	DOG	29.857142857142897	IV	6253083	protein_coding	WBGene00019055	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	3209	0.9688524083260459	3.1128335124521103	0.0308967886830273	0.0013017321581325599	217.0	N2HS_J2B_sp	WormBase	6249874	10.3400680076799	+	gene
17278959	17282202	0	False	True	3700	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	['WBGene00012128']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	['WBGene00002005']	0	0	0	['WBGene00219917']	0	17278502	17278502	0	DOG	154.285714285714	IV	17278502	ncRNA	WBGene00219916	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	89	0.529281731549117	4.36286436959464	5.73629834907278e-14	2.7433902375433495e-16	457.0	N2HS_J2A_split	WormBase	17278413	66.9795443608443	+	gene
8121345	8121345	0	True	False	10100	0	0	0	0	0	['WBGene00001565']	0		0	0	0	0	0	0	0	0	['WBGene00001565']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	8111245	8111245	0	DOG	1130.28571428571	III	8111245	protein_coding	WBGene00015753	0	0	0	['WBGene00197895']	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	['WBGene00022924']	0.0	2542	1.0278120182689798	6.85611120189083	3.58030789267804e-07	5.38146939004215e-09	19607.0	N2HS_J2B_s	WormBase	8108703	34.0463524427946	+	gene
10817228	10817228	0	False	False	2100	0	0	0	['WBGene00197424']	0	['WBGene00004736']	0		0	0	0	0	0	0	['WBGene00197424']	0	['WBGene00004736']	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	10815128	10815128	0	DOG	58.1428571428571	III	10815128	antisense	WBGene00194856	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	752	0.93554063142056	2.90053749038517	0.0308967886830273	0.00129896955763987	2135.0	N2HS_J2B_s	WormBase	10814376	10.3439895221057	+	gene
192834	220393	0	False	True	29200	0	0	0	['WBGene00195036']	0	0	0		0	0	0	0	0	0	['WBGene00195036']	0	['WBGene00022223', 'WBGene00022224']	['WBGene00007078']		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	['WBGene00011613', 'WBGene00022225']	['WBGene00022227']	0	0	['WBGene00220062']	0	191193	191193	0	DOG	194.42857142857102	X	191193	protein_coding	WBGene00011612	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	8502	0.49314180717236294	1.6842319853926202	0.0178866157524442	0.000659902471395118	1641.0	N2HS_J2B_spl	WormBase	182691	11.598916710961799	+	gene
1180072	1180072	0	False	False	2900	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	1177172	1177172	0	DOG	148.571428571429	X	1177172	protein_coding	WBGene00020490	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	14019	0.47467095604882104	1.47662227935401	0.0411410838434349	0.00186451279545515	3112.0	N2HS_J2B_spl	WormBase	1163153	9.67835706363799	+	gene
11485924	11485924	0	True	False	1000	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	11484924	11484924	0	DOG	212.85714285714297	X	11484924	snoRNA	WBGene00220094	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0.0	98	0.862276313275991	3.46903729313585	0.000112758105102993	2.4652193327003603e-06	2864.0	N2WT_INP_split	WormBase	11484826	22.193383168355	+	gene
