sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
OK80_INP	11100	WBGene00195813	15068355	15070431	I	-	DOG	INP	OK
OK80_INP	8100	WBGene00196396	15063383	15067668	I	-	DOG	INP	OK
OK80_INP	3000	WBGene00198814	15061159	15063050	I	-	DOG	INP	OK
OK80_INP	1900	WBGene00003598	4893409	4894647	III	-	DOG	INP	OK
OK80_INP	1800	WBGene00015504	5979978	5981778	I	-	DOG	INP	OK
OK80_INP	1500	WBGene00019593	2285530	2287030	II	-	DOG	INP	OK
OK80_INP	1200	WBGene00194769	16603369	16603529	V	-	DOG	INP	OK
OK80_INP	1200	WBGene00197673	4346820	4346971	I	-	DOG	INP	OK
OK80_INP	1200	WBGene00195962	4343780	4343931	I	-	DOG	INP	OK
OK80_INP	1200	WBGene00196043	4355481	4355632	I	-	DOG	INP	OK
OK80_INP	1200	WBGene00202259	4352594	4352745	I	-	DOG	INP	OK
OK80_INP	1200	WBGene00199244	4349707	4349858	I	-	DOG	INP	OK
OK80_INP	1100	WBGene00004765	3611851	3612951	III	-	DOG	INP	OK
OK80_INP	900	WBGene00013732	12537764	12538664	III	-	DOG	INP	OK
OK80_INP	800	WBGene00003834	14411600	14412400	V	-	DOG	INP	OK
OK80_INP	700	WBGene00015273	2482304	2483004	V	-	DOG	INP	OK
OK80_INP	700	WBGene00021227	2374343	2375043	V	-	DOG	INP	OK
OK80_INP	700	WBGene00004277	1077450	1078150	III	-	DOG	INP	OK
OK80_INP	700	WBGene00019592	2279978	2280678	II	-	DOG	INP	OK
OK80_INP	500	WBGene00201669	15071766	15072266	I	-	DOG	INP	OK
OK80_INP	500	WBGene00007317	10842158	10842658	X	-	DOG	INP	OK
OK80_INP	500	WBGene00013669	14400179	14400679	I	-	DOG	INP	OK
OK80_INP	500	WBGene00008968	8752860	8753195	IV	-	DOG	INP	OK
OK80_INP	500	WBGene00201398	15060361	15060861	I	-	DOG	INP	OK
OK80_INP	500	WBGene00220207	12122700	12123200	III	-	DOG	INP	OK
OK80_INP	400	WBGene00167610	16838305	16838444	IV	-	DOG	INP	OK
OK80_INP	400	WBGene00219267	2284410	2284810	II	-	DOG	INP	OK
OK80_INP	400	WBGene00020423	5169799	5169933	III	-	DOG	INP	OK
OK80_INP	400	WBGene00017190	8854593	8854993	V	-	DOG	INP	OK
OK80_INP	400	WBGene00001689	9390870	9391270	III	-	DOG	INP	OK
OK80_INP	400	WBGene00004890	3666523	3666923	I	-	DOG	INP	OK
OK80_INP	400	WBGene00004246	211856	212256	I	-	DOG	INP	OK
OK80_INP	400	WBGene00015485	6422059	6422459	III	-	DOG	INP	OK
OK80_INP	400	WBGene00001707	1258974	1259374	I	-	DOG	INP	OK
OK80_INP	400	WBGene00006577	8697523	8697923	I	-	DOG	INP	OK
OK80_INP	400	WBGene00012961	12095377	12095777	I	-	DOG	INP	OK
OK80_INP	300	WBGene00009740	13493050	13493181	II	-	DOG	INP	OK
OK80_INP	300	WBGene00013870	10072207	10072507	X	-	DOG	INP	OK
OK80_INP	300	WBGene00014220	9532127	9532427	III	-	DOG	INP	OK
OK80_INP	300	WBGene00015734	6622376	6622676	III	-	DOG	INP	OK
OK80_INP	300	WBGene00012719	13143073	13143373	III	-	DOG	INP	OK
OK80_INP	300	WBGene00014376	13411066	13411366	III	-	DOG	INP	OK
OK80_INP	300	WBGene00017814	7630635	7630905	X	-	DOG	INP	OK
OK80_INP	300	WBGene00012097	13457387	13457687	III	-	DOG	INP	OK
OK80_INP	300	WBGene00220154	1651599	1651899	IV	-	DOG	INP	OK
OK80_INP	300	WBGene00019441	4189639	4189939	IV	-	DOG	INP	OK
