DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name	ADOG_overlap_DOG
4341983	4341983	0.0	False	False	1200	4340783	4340783	0.0	ADOG	III	.	.	4343336	protein_coding	gene_id "WBGene00007136"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00007136	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1338.0	1353	0.0	WormBase	4341983	-	gene	False	OK80-INP_split	False
8854993	8854993	0.0	False	False	800	8854193	8854193	0.0	ADOG	V	.	.	8862049	protein_coding	gene_id "WBGene00017190"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017190	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1562.0	7056	0.0	WormBase	8854993	-	gene	False	N2-J2-3__split	False
15072266	15072266	0.0	True	False	600	15071666	15071666	0.0	ADOG	I	.	.	15072426	ncRNA	gene_id "WBGene00201669"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201669	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1686.0	160	0.0	WormBase	15072266	-	gene	False	OK80-INP_split	False
5626316	5626316	0.0	False	False	400	5625916	5625916	0.0	ADOG	II	.	.	5627263	protein_coding	gene_id "WBGene00235269"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00235269	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3833.0	947	0.0	WormBase	5626316	-	gene	False	N2-J2-1__split	False
7240445	7240445	0.0	False	False	300	7240145	7240145	0.0	ADOG	IV	.	.	7242270	protein_coding	gene_id "WBGene00017054"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017054	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	['WBGene00169485']	0	0	0	0	0	3791.0	1825	0.0	WormBase	7240445	-	gene	False	OK80-INP_split	False
3539554	3539554	0.0	False	False	300	3539254	3539254	0.0	ADOG	I	.	.	3546904	protein_coding	gene_id "WBGene00004389"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004389	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9598.0	7350	0.0	WormBase	3539554	-	gene	False	OK8-J2-1_split	False
2163341	2163341	0.0	False	False	300	2163041	2163041	0.0	ADOG	II	.	.	2163832	protein_coding	gene_id "WBGene00044360"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00044360	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	12051.0	491	0.0	WormBase	2163341	-	gene	False	N2-J2-2__split	False
12809999	12809999	0.0	False	False	300	12809699	12809699	0.0	ADOG	I	.	.	12815641	protein_coding	gene_id "WBGene00012476"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00012476	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	317.0	5642	0.0	WormBase	12809999	-	gene	False	N2-J2-3__split	False
11604027	11604027	0.0	False	False	300	11603727	11603727	0.0	ADOG	I	.	.	11611314	protein_coding	gene_id "WBGene00007640"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00007640	0	0	0	0	0	0	0	0.0	0	['WBGene00045375']	0	0	0	0	0	0	0	0	0	0	0	7270.0	7287	0.0	WormBase	11604027	-	gene	False	N2-J2-1__split	False
9908794	9908794	0.0	False	False	300	9908494	9908494	0.0	ADOG	X	.	.	9917448	protein_coding	gene_id "WBGene00009027"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009027	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	5486.0	8654	0.0	WormBase	9908794	-	gene	False	OK8-J2-2_split	False
11444424	11444424	0.0	False	False	300	11444124	11444124	0.0	ADOG	X	.	.	11446635	protein_coding	gene_id "WBGene00009842"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009842	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6677.0	2211	0.0	WormBase	11444424	-	gene	False	N2-J2-1__split	False
851328	851328	0.0	False	False	200	851128	851128	0.0	ADOG	III	.	.	852396	protein_coding	gene_id "WBGene00019333"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019333	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9962.0	1068	0.0	WormBase	851328	-	gene	False	OK8-J2-2_split	False
10055604	10055604	0.0	False	False	200	10055404	10055404	0.0	ADOG	III	.	.	10056133	protein_coding	gene_id "WBGene00044222"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00044222	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	5747.0	529	0.0	WormBase	10055604	-	gene	False	OK80-INP_split	False
17995347	17995347	0.0	False	False	200	17995147	17995147	0.0	ADOG	V	.	.	18001368	protein_coding	gene_id "WBGene00013352"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013352	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	15265.0	6021	0.0	WormBase	17995347	-	gene	False	OK80-INP_split	False
525234	525234	0.0	False	False	200	525034	525034	0.0	ADOG	III	.	.	526924	protein_coding	gene_id "WBGene00020703"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020703	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1190.0	1690	0.0	WormBase	525234	-	gene	False	OK80-INP_split	False
5706718	5706718	0.0	False	False	200	5706518	5706518	0.0	ADOG	III	.	.	5709329	protein_coding	gene_id "WBGene00015148"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015148	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	589.0	2611	0.0	WormBase	5706718	-	gene	False	OK80-INP_split	False
6622676	6622676	0.0	False	False	200	6622476	6622476	0.0	ADOG	III	.	.	6624972	protein_coding	gene_id "WBGene00015734"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015734	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	14570.0	2296	0.0	WormBase	6622676	-	gene	False	OK80-INP_split	False
15546688	15546688	0.0	False	False	200	15546488	15546488	0.0	ADOG	X	.	.	15552233	protein_coding	gene_id "WBGene00007261"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00007261	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4275.0	5545	0.0	WormBase	15546688	-	gene	False	OK80-INP_split	False
10184478	10184478	0.0	False	False	200	10184278	10184278	0.0	ADOG	I	.	.	10185470	protein_coding	gene_id "WBGene00007709"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00007709	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9017.0	992	0.0	WormBase	10184478	-	gene	False	OK8-J2-2_split	False
433659	433659	0.0	False	False	200	433459	433459	0.0	ADOG	II	.	.	435406	pseudogene	gene_id "WBGene00044639"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00044639	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4507.0	1747	0.0	WormBase	433659	-	gene	False	OK8-J2-2_split	False
8767019	8767019	0.0	False	False	200	8766819	8766819	0.0	ADOG	I	.	.	8768042	protein_coding	gene_id "WBGene00001960"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001960	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7231.0	1023	0.0	WormBase	8767019	-	gene	False	OK80-INP_split	False
14610667	14610667	0.0	False	False	200	14610467	14610467	0.0	ADOG	IV	.	.	14610687	piRNA	gene_id "WBGene00167292"; gene_source "WormBase"; gene_biotype "piRNA";	WBGene00167292	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	310.0	20	0.0	WormBase	14610667	-	gene	False	N2-J2-1__split	False
9089280	9089280	0.0	False	False	200	9089080	9089080	0.0	ADOG	V	.	.	9089766	protein_coding	gene_id "WBGene00002020"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00002020	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1498.0	486	0.0	WormBase	9089280	-	gene	False	N2-J2-1__split	False
13408606	13408606	0.0	False	False	200	13408406	13408406	0.0	ADOG	IV	.	.	13412895	protein_coding	gene_id "WBGene00013382"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013382	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	300.0	4289	0.0	WormBase	13408606	-	gene	False	N2-J2-1__split	False
10497962	10497962	0.0	False	False	200	10497762	10497762	0.0	ADOG	I	.	.	10498106	ncRNA	gene_id "WBGene00195776"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00195776	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	3414.0	144	0.0	WormBase	10497962	-	gene	False	N2-J2-2__split	False
13505270	13505270	0.0	False	False	200	13505070	13505070	0.0	ADOG	IV	.	.	13505762	protein_coding	gene_id "WBGene00003755"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00003755	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2418.0	492	0.0	WormBase	13505270	-	gene	False	N2-J2-3__split	False
