DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
3539554	3539554		False	False	200	3539354	3539354		ADOG	I	.	.	3546904	protein_coding	gene_id "WBGene00004389"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004389	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9598.0	7350		WormBase	3539554	-	gene	False	OK80-INP_split
8767019	8767019		False	False	200	8766819	8766819		ADOG	I	.	.	8768042	protein_coding	gene_id "WBGene00001960"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001960	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7231.0	1023		WormBase	8767019	-	gene	False	OK80-INP_split
12528312	12528312		False	False	400	12527912	12527912		ADOG	I	.	.	12532182	protein_coding	gene_id "WBGene00004181"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00004181	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	6666.0	3870		WormBase	12528312	-	gene	False	OK80-INP_split
15072266	15072266		True	False	600	15071666	15071666		ADOG	I	.	.	15072426	ncRNA	gene_id "WBGene00201669"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201669	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1686.0	160		WormBase	15072266	-	gene	False	OK80-INP_split
17995347	17995347		False	False	200	17995147	17995147		ADOG	V	.	.	18001368	protein_coding	gene_id "WBGene00013352"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013352	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	15265.0	6021		WormBase	17995347	-	gene	False	OK80-INP_split
525234	525234		False	False	200	525034	525034		ADOG	III	.	.	526924	protein_coding	gene_id "WBGene00020703"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00020703	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1190.0	1690		WormBase	525234	-	gene	False	OK80-INP_split
851328	851328		False	False	200	851128	851128		ADOG	III	.	.	852396	protein_coding	gene_id "WBGene00019333"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00019333	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	9962.0	1068		WormBase	851328	-	gene	False	OK80-INP_split
4341983	4341983		False	False	1200	4340783	4340783		ADOG	III	.	.	4343336	protein_coding	gene_id "WBGene00007136"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00007136	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1338.0	1353		WormBase	4341983	-	gene	False	OK80-INP_split
5706718	5706718		False	False	200	5706518	5706518		ADOG	III	.	.	5709329	protein_coding	gene_id "WBGene00015148"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015148	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	589.0	2611		WormBase	5706718	-	gene	False	OK80-INP_split
6622676	6622676		False	False	200	6622476	6622476		ADOG	III	.	.	6624972	protein_coding	gene_id "WBGene00015734"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015734	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	14570.0	2296		WormBase	6622676	-	gene	False	OK80-INP_split
10055604	10055604		False	False	200	10055404	10055404		ADOG	III	.	.	10056133	protein_coding	gene_id "WBGene00044222"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00044222	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	5747.0	529		WormBase	10055604	-	gene	False	OK80-INP_split
7240445	7240445		False	False	300	7240145	7240145		ADOG	IV	.	.	7242270	protein_coding	gene_id "WBGene00017054"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017054	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	['WBGene00169485']	0	0	0	0	0	3791.0	1825		WormBase	7240445	-	gene	False	OK80-INP_split
15546688	15546688		False	False	200	15546488	15546488		ADOG	X	.	.	15552233	protein_coding	gene_id "WBGene00007261"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00007261	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	4275.0	5545		WormBase	15546688	-	gene	False	OK80-INP_split
