GeneID	Length	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2WT_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.1_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.2_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.3_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2A_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2B_.bam
WBGene00014450	55	0	0	0	2	2	7	4
WBGene00014451	54	0	0	5	3	9	8	3
WBGene00010957	437	20	1	160	157	235	22	20
WBGene00010958	235	16	0	215	273	293	16	21
WBGene00014452	56	1	0	85	117	80	7	4
WBGene00014453	55	2	0	39	56	42	3	2
WBGene00014455	52	0	0	3	1	1	0	0
WBGene00014456	55	0	2	3	1	3	3	0
WBGene00014457	55	0	0	3	3	3	1	0
WBGene00010960	602	16	11	118	119	158	25	39
WBGene00014458	62	1	0	23	14	37	7	6
WBGene00014459	54	0	0	22	17	23	11	11
WBGene00014460	55	4	0	24	24	33	9	12
WBGene00010961	881	17	0	105	154	131	31	34
WBGene00014461	60	1	0	13	22	18	7	3
WBGene00014462	54	2	0	7	22	27	15	7
WBGene00014463	54	14	1	57	79	83	107	81
WBGene00014464	56	9	1	44	53	69	13	14
WBGene00000829	1118	72	5	204	231	258	89	121
WBGene00014465	56	2	0	9	8	12	2	6
WBGene00010962	772	50	20	300	466	382	64	109
WBGene00014466	55	5	0	84	112	111	7	11
WBGene00014467	55	0	0	12	10	15	1	2
WBGene00014468	59	0	1	10	9	16	3	1
WBGene00014469	54	0	0	2	1	8	6	0
WBGene00010965	700	21	6	105	126	127	26	36
WBGene00014471	54	1	0	12	15	19	5	1
WBGene00010966	336	6	0	74	77	121	8	12
WBGene00010967	1582	34	1	169	201	273	51	77
WBGene00014473	53	1	0	30	15	45	7	6
WBGene00021406	14232	66	139	15	26	13	68	40
WBGene00021405	1706	6	3	21	21	29	1	0
WBGene00021404	5399	8	2	7	6	6	22	12
WBGene00021403	2306	8	8	10	8	9	7	5
WBGene00195502	150	40	18	52	36	32	75	106
WBGene00166500	21	0	0	1	0	0	0	0
WBGene00235260	4237	45	13	179	177	168	111	113
WBGene00023131	71	1	0	0	0	0	1	1
WBGene00235261	162	0	0	0	0	2	0	0
WBGene00235262	105	2	2	0	0	1	0	1
WBGene00201447	52	0	0	0	0	0	0	0
WBGene00006599	18741	56	94	39	40	17	67	53
WBGene00017927	398	21	19	21	17	20	19	28
WBGene00023277	2820	10	41	6	9	7	52	17
WBGene00196821	129	3	0	0	0	0	0	1
WBGene00017926	910	2	5	0	1	0	11	10
WBGene00023019	73	1	7	1	2	0	0	1
WBGene00197291	117	1	0	0	1	0	0	3
WBGene00199863	70	1	0	0	0	0	0	0
WBGene00021398	875	7	11	0	0	1	5	6
WBGene00219750	1500	8	1	57	47	59	81	47
WBGene00021397	1985	2	3	0	0	2	5	5
WBGene00021396	4904	4	10	5	2	2	20	12
WBGene00198224	141	2	3	0	0	1	0	6
WBGene00021395	7598	20	33	46	44	48	39	40
WBGene00021402	2490	9	4	3	2	3	7	12
WBGene00000815	7842	8	59	18	25	20	19	21
WBGene00044736	1941	1	9	1	3	7	10	4
WBGene00195063	2811	4	12	4	7	7	17	6
WBGene00021394	9202	10	26	22	24	26	28	18
WBGene00021401	2304	1	4	0	4	1	10	6
WBGene00019819	6812	16	7	14	15	19	16	17
WBGene00020651	1875	1	1	4	5	2	9	2
WBGene00020650	2693	23	5	1	5	4	56	12
WBGene00003362	94	0	3	0	0	0	0	1
WBGene00020649	5371	19	29	22	20	16	45	29
WBGene00206487	3566	6	10	1	0	0	18	20
WBGene00019300	3728	11	21	10	13	3	19	23
WBGene00198707	102	1	0	0	0	0	0	2
WBGene00200120	89	21	0	0	0	0	8	5
WBGene00017578	5569	2406	8427	1167	1218	925	14089	13891
WBGene00017577	3563	5	3	5	1	1	6	4
WBGene00017576	19348	28	30	45	48	36	76	55
WBGene00044789	1251	29	11	24	12	13	37	55
WBGene00020300	650	18	12	8	11	14	14	23
WBGene00020298	2647	6	2	1	5	5	10	7
WBGene00020297	2675	18	16	15	15	20	40	43
WBGene00001666	3652	23	9	2	3	3	8	3
WBGene00219270	111	9	0	48	30	54	5	4
WBGene00020299	4785	18	26	7	10	9	11	16
WBGene00022046	1933	25	29	70	39	65	224	132
WBGene00022045	799	0	2	3	2	0	5	5
WBGene00022044	2763	8	6	56	69	63	28	15
WBGene00235264	329	4	19	2	0	1	0	1
WBGene00019772	1374	1	0	0	0	0	4	4
WBGene00201763	150	11	1	2	5	2	8	12
WBGene00021010	1828	11	6	0	1	0	7	2
WBGene00001625	3569	4	10	1	3	0	11	11
WBGene00199193	88	0	0	0	0	0	0	1
WBGene00018924	4930	11	48	2	5	0	15	15
WBGene00201760	138	0	1	0	0	0	1	1
WBGene00198589	191	0	4	0	0	0	0	0
WBGene00001165	8843	13	24	1	10	7	32	36
WBGene00001579	10855	125	60	36	40	25	36	21
WBGene00015995	1422	1	0	0	0	1	1	1
