,GeneID,gene_biotype_name,TYPE,chr,strand,DOG_length,DOG_start_local,DOG_end_local,DOG_start_meta,DOG_end_meta,DOG_from_downstream_gene,DOG_from_upstream_gene,DOG_into_downstream_gene,POG_into_upstream_gene,padj,baseMean,pvalue,log2FoldChange,lfcSE,stat,source,length,left_int_length,right_int_length,sample_name,start,end,type
26,WBGene00219916,ncRNA,DOG,IV,+,3500,17278502,17278959,17278502,17282002,0,False,True,0,5.73629834907278e-14,154.285714285714,2.743390237543349e-16,4.36286436959464,0.529281731549117,66.9795443608443,WormBase,89,0.0,457.0,N2HS_J2A_split,17278413,17278502,gene
50,WBGene00220094,snoRNA,DOG,X,+,900,11484924,11485824,11484924,11485824,0,True,False,0,0.000112758105102993,212.85714285714297,2.4652193327003607e-06,3.46903729313585,0.862276313275991,22.193383168355,WormBase,98,0.0,2864.0,N2-J2-2__split,11484826,11484924,gene
60,WBGene00220004,ncRNA,DOG,I,+,400,3415924,3416324,3415924,3416324,0,False,False,0,3.2245756216146296e-08,268.571428571429,4.11241709884808e-10,4.5764350378202,0.874073620554579,39.0587506398648,WormBase,99,0.0,3676.0,N2HS_J2A_split,3415825,3415924,gene
61,WBGene00220243,snoRNA,DOG,I,+,1600,6092811,6093305,6092811,6094411,0,False,True,0,3.427277012062361e-07,89.42857142857142,5.073400268368329e-09,3.7986058129372102,0.652942498837796,34.16106255961311,WormBase,125,0.0,494.0,N2HS_J2A_split,6092686,6092811,gene
63,WBGene00220000,ncRNA,DOG,I,+,3500,6835631,6836375,6835631,6839131,0,False,True,0,0.00246581989815346,204.85714285714297,7.356465649239441e-05,1.8900421452768301,0.47395659774768895,15.716881984178801,WormBase,125,0.0,744.0,N2HS_J2A_split,6835506,6835631,gene
69,WBGene00201688,ncRNA,DOG,I,+,200,13952052,13952159,13952052,13952252,0,False,True,0,4.6250653735056204e-10,398.428571428571,4.0025616987750695e-12,3.06849273898239,0.43398220179494895,48.1232308256658,WormBase,281,0.0,107.0,N2HS_J2A_split,13951771,13952052,gene
115,WBGene00199162,ncRNA,DOG,II,+,1200,13819596,13820210,13819596,13820796,0,False,True,0,0.0439604889495888,931.428571428571,0.00207238014405941,1.0452506147123999,0.339262885428413,9.484296947612053,WormBase,49,0.0,614.0,N2HS_J2A_split,13819547,13819596,gene
129,WBGene00002017,protein_coding,DOG,V,+,10000,9090604,9090876,9090604,9100604,0,True,True,0,1.52024531122661e-07,360.571428571429,2.14655452735253e-09,6.6530366336763604,0.995816263231155,35.835903959554294,WormBase,527,0.0,272.0,N2HS_J2A_split,9090077,9090604,gene
131,WBGene00004567,rRNA,DOG,I,+,8100,15064453,15064838,15064453,15072553,0,True,True,0,0.0179325746406605,947410.0,0.0006697659396648411,0.831310671959389,0.24414253221402002,11.5713272603876,WormBase,152,0.0,385.0,N2HS_J2A_split,15064301,15064453,gene
132,WBGene00010790,protein_coding,DOG,V,+,5900,11889634,11891812,11889634,11895534,0,False,True,0,1.55793622777102e-09,242.0,1.52564923238792e-11,4.38693215693935,0.631047970990783,45.5009485916092,WormBase,1398,0.0,2178.0,N2HS_J2A_split,11888236,11889634,gene
