DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:rRNA	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
217196	217196		False	False	200	216996	216996		ADOG	I	.	.	216996	protein_coding	gene_id "WBGene00021662"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		968	1064.0	WormBase	216028	+	gene	False	N2HS_J2A_split
1258758	1258758		False	False	500	1258258	1258258		ADOG	I	.	.	1258258	protein_coding	gene_id "WBGene00021692"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		3488	20550.0	WormBase	1254770	+	gene	False	N2HS_J2A_split
7895364	7895364		False	False	500	7894864	7894864		ADOG	I	.	.	7894864	protein_coding	gene_id "WBGene00010111"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00010111	0	0	0	['WBGene00202233']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		5554	1261.0	WormBase	7889310	+	gene	False	N2HS_J2A_split
13636558	13636558		False	False	600	13635958	13635958		ADOG	I	.	.	13635958	pseudogene	gene_id "WBGene00014858"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00014858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		916	1254.0	WormBase	13635042	+	gene	False	N2HS_J2A_split
14434041	14434041		False	False	200	14433841	14433841		ADOG	I	.	.	14433841	protein_coding	gene_id "WBGene00013671"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00013671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1048	3529.0	WormBase	14432793	+	gene	False	N2HS_J2A_split
15071333	15071333		True	False	300	15071033	15071033		ADOG	I	.	.	15071033	rRNA	gene_id "WBGene00004513"; gene_source "WormBase"; gene_biotype "rRNA";	WBGene00004513	0	0	0	['WBGene00195813']	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1753	1233.0	WormBase	15069280	+	gene	False	N2HS_J2A_split
427904	427904		False	False	700	427204	427204		ADOG	IV	.	.	427204	protein_coding	gene_id "WBGene00022046"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00022046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1232	16781.0	WormBase	425972	+	gene	False	N2HS_J2A_split
759984	759984		False	False	900	759084	759084		ADOG	IV	.	.	759084	protein_coding	gene_id "WBGene00021947"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		2363	1526.0	WormBase	756721	+	gene	False	N2HS_J2A_split
11072450	11072450		False	False	1500	11070950	11070950		ADOG	IV	.	.	11070950	pseudogene	gene_id "WBGene00012384"; gene_source "WormBase"; gene_biotype "pseudogene";	WBGene00012384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		1563	12197.0	WormBase	11069387	+	gene	False	N2HS_J2A_split
15896131	15896131		False	False	400	15895731	15895731		ADOG	IV	.	.	15895731	piRNA	gene_id "WBGene00173092"; gene_source "WormBase"; gene_biotype "piRNA";	WBGene00173092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0		20	891.0	WormBase	15895711	+	gene	False	N2HS_J2A_split
