sample_name	DOG_length	gene_id_name	DOG_start_local	DOG_end_local	chr	strand	TYPE	Enrichment	Treatment
N2HS_INP	2700	WBGene00002020	9087021	9089280	V	-	DOG	INP	HS
N2HS_INP	900	WBGene00197215	10047267	10048167	V	-	DOG	INP	HS
N2HS_INP	600	WBGene00196396	15067068	15067668	I	-	DOG	INP	HS
N2HS_INP	400	WBGene00008944	20162249	20162649	V	-	DOG	INP	HS
N2HS_INP	300	WBGene00198814	15062750	15063050	I	-	DOG	INP	HS
N2HS_INP	300	WBGene00199742	10039588	10039888	V	-	DOG	INP	HS
N2HS_INP	300	WBGene00198348	10041352	10041652	V	-	DOG	INP	HS
N2HS_INP	300	WBGene00197228	10043137	10043437	V	-	DOG	INP	HS
N2HS_INP	200	WBGene00012813	19519725	19519925	V	-	DOG	INP	HS
N2HS_INP	200	WBGene00003344	11769717	11769917	V	-	DOG	INP	HS
N2HS_INP	200	WBGene00045366	18720389	18720589	V	-	DOG	INP	HS
N2HS_INP	200	WBGene00202175	11669794	11669994	I	-	DOG	INP	HS
N2HS_INP	200	WBGene00003331	8867128	8867328	III	-	DOG	INP	HS
N2HS_INP	200	WBGene00219675	5781721	5781921	II	-	DOG	INP	HS
N2HS_INP	200	WBGene00197545	15136053	15136253	II	-	DOG	INP	HS
N2HS_INP	200	WBGene00009589	11588063	11588263	IV	-	DOG	INP	HS
