DOG_end_local	DOG_end_meta	DOG_from_downstream_gene	DOG_from_upstream_gene	DOG_into_downstream_gene	DOG_length	DOG_start_local	DOG_start_meta	POG_into_upstream_gene	TYPE	chr	dot	dot2	end	gene_biotype_name	gene_id	gene_id_name	inside_gene_opposite_strand:antisense	inside_gene_opposite_strand:lincRNA	inside_gene_opposite_strand:miRNA	inside_gene_opposite_strand:ncRNA	inside_gene_opposite_strand:piRNA	inside_gene_opposite_strand:protein_coding	inside_gene_opposite_strand:pseudogene	inside_gene_opposite_strand:rRNA	inside_gene_opposite_strand:snRNA	inside_gene_opposite_strand:snoRNA	inside_gene_opposite_strand:tRNA	inside_gene_same_strand:antisense	inside_gene_same_strand:lincRNA	inside_gene_same_strand:miRNA	inside_gene_same_strand:ncRNA	inside_gene_same_strand:piRNA	inside_gene_same_strand:protein_coding	inside_gene_same_strand:pseudogene	inside_gene_same_strand:snRNA	inside_gene_same_strand:snoRNA	inside_gene_same_strand:tRNA	left_int_length	length	right_int_length	source	start	strand	type	AnyGeneOverlap	sample_name
9099638	9099638		False	False	300	9099338	9099338		ADOG	V	.	.	9101133	protein_coding	gene_id "WBGene00017661"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017661	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	942.0	1495		WormBase	9099638	-	gene	False	N2HS_J2B_split
7847246	7847246		False	False	300	7846946	7846946		ADOG	I	.	.	7848920	protein_coding	gene_id "WBGene00009274"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00009274	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	11793.0	1674		WormBase	7847246	-	gene	False	N2HS_J2B_split
15072266	15072266		True	False	600	15071666	15071666		ADOG	I	.	.	15072426	ncRNA	gene_id "WBGene00201669"; gene_source "WormBase"; gene_biotype "ncRNA";	WBGene00201669	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1686.0	160		WormBase	15072266	-	gene	False	N2HS_J2B_split
2594052	2594052		False	False	200	2593852	2593852		ADOG	II	.	.	2598903	protein_coding	gene_id "WBGene00018020"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00018020	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	7141.0	4851		WormBase	2594052	-	gene	False	N2HS_J2B_split
13828287	13828287		False	False	500	13827787	13827787		ADOG	II	.	.	13828697	protein_coding	gene_id "WBGene00001916"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00001916	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1189.0	410		WormBase	13828287	-	gene	False	N2HS_J2B_split
1985418	1985418	False			1300	1984118	1984118	False	APOG	II	.	.	1984118	protein_coding	gene_id "WBGene00021194"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00021194	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0		4873	6574.0	WormBase	1979245	-	gene	False	N2HS_J2B_split
6622676	6622676		False	False	200	6622476	6622476		ADOG	III	.	.	6624972	protein_coding	gene_id "WBGene00015734"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00015734	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	14570.0	2296		WormBase	6622676	-	gene	False	N2HS_J2B_split
4170776	4170776		False	False	200	4170576	4170576		ADOG	IV	.	.	4171569	protein_coding	gene_id "WBGene00195048"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00195048	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	26430.0	793		WormBase	4170776	-	gene	False	N2HS_J2B_split
7240445	7240445		False	False	400	7240045	7240045		ADOG	IV	.	.	7242270	protein_coding	gene_id "WBGene00017054"; gene_source "WormBase"; gene_biotype "protein_coding";	WBGene00017054	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	['WBGene00169485']	0	0	0	0	0	3791.0	1825		WormBase	7240445	-	gene	False	N2HS_J2B_split
14079397	14079397		False	False	200	14079197	14079197		ADOG	X	.	.	14080037	lincRNA	gene_id "WBGene00219564"; gene_source "WormBase"; gene_biotype "lincRNA";	WBGene00219564	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	723.0	640		WormBase	14079397	-	gene	False	N2HS_J2B_split
