GeneID	Length	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2WT_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_INP_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.1_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.2_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2.J2.3_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2A_.bam	X.Users.M.Google_Drive.Scripts.hs.worm.EMBO.Runion_with_normalization_compleete.Runion_TDP1_HS_and_bams_with_J2_normalization_and_total.BAMS.N2HS_J2B_.bam
WBGene00021407	2306	35	49	6	8	6	14	11
WBGene00021408	5401	61	30	44	43	48	33	16
WBGene00001492	16400	1065	1896	621	536	496	1674	1885
WBGene00235257	231	3	0	0	0	0	1	0
WBGene00235258	415	0	2	0	0	0	1	0
WBGene00235259	1729	10	15	15	8	14	7	11
WBGene00015246	3193	27	15	8	7	6	6	3
WBGene00015247	3084	68	55	52	47	30	52	64
WBGene00001111	6222	18	56	16	12	16	89	30
WBGene00017928	2436	489	1294	174	164	140	777	1021
WBGene00017929	4429	718	1205	390	299	304	1587	1587
WBGene00000674	9574	150	294	98	115	103	201	199
WBGene00198551	70	1	0	0	0	0	0	0
WBGene00021400	1831	26	22	5	2	5	9	8
WBGene00019821	6335	692	1036	283	273	248	929	1084
WBGene00001728	585	0	3	1	0	0	1	0
WBGene00019824	1859	894	1581	510	436	443	2419	2725
WBGene00001071	1821	25	20	11	18	8	22	22
WBGene00020647	1714	740	2558	253	218	198	1237	1613
WBGene00005487	949	2	5	7	5	7	15	5
WBGene00045177	823	4	1	3	3	5	21	10
WBGene00020648	2654	12	49	6	5	5	37	50
WBGene00019299	2186	14	22	3	1	6	18	10
WBGene00001099	5550	746	674	360	375	298	604	873
WBGene00001735	1452	25	16	2	9	1	21	21
WBGene00017574	2370	115	31	43	39	52	60	59
WBGene00197593	58	0	0	0	0	0	0	0
WBGene00022048	16859	13104	12425	6920	6035	5774	20470	21717
WBGene00020295	1236	294	628	141	117	100	449	635
WBGene00165558	21	1	0	1	0	2	1	0
WBGene00001332	4324	656	1407	688	664	572	1626	2053
WBGene00000913	5244	6680	14991	3618	3187	2891	17686	22209
WBGene00235263	3799	13	6	17	13	14	23	28
WBGene00019773	2998	14	100	6	3	2	10	5
WBGene00019774	19876	124	1439	75	76	82	121	86
WBGene00021011	1532	62	137	28	29	26	114	124
WBGene00000213	3596	298	377	111	106	94	182	324
WBGene00021013	1205	1	5	1	2	1	7	2
WBGene00017276	856	0	0	0	0	0	2	1
WBGene00200779	173	0	1	0	0	0	1	4
WBGene00195964	118	0	4	0	0	0	0	0
WBGene00197598	138	2	4	0	1	0	0	1
WBGene00197815	122	0	0	0	0	0	0	2
WBGene00018925	2504	520	1206	213	212	201	1058	1100
WBGene00189987	4017	7	12	2	1	3	11	4
WBGene00015997	698	10	3	1	1	0	0	0
WBGene00015998	2247	3	4	1	3	0	5	1
